round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_prevalence,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.643676452724702,0.5158244143850055,40.27056,40.27056,1.0,0.3459710660889197,0.2162919088252181,0.6884652415747814,0.30927015101778393,0.550476821738292,0.2885057444428509,2.15361821389052,0.11092225369845767,0.23636652468732233,0.6717517337946044,0.22347833236117906,1.9621259326930034,0.2819314641744548,0.2833565534240703,0.49250057339668274,0.3435844792694047,0.21834401438158582,0.11389601892395189,0.007504322048479604,1.4655172164293617,0.006132173432906792,0.008727611396144145,0.005359566372227321
12.0,0.6434560621803587,0.5461852051746149,43.93152,43.93152,1.0,0.34527300196996746,0.2158467922895885,0.6897298848213675,0.31509844942888615,0.5558410726292988,0.28555411728594915,2.1799220230842042,0.11092225369845767,0.2388669859887228,0.6715408653569824,0.22257641336355294,1.9542071396908676,0.2820953198797767,0.2835352175863616,0.5603695511817932,0.3427186712650392,0.2181130784755006,0.11389601892395189,0.00729215631426503,1.5081809130970214,0.005653906024452271,0.00878681754981215,0.003956041687503237
13.0,0.641785222317943,0.4957815310457182,47.59248,47.59248,1.0,0.3516118520370699,0.22079026220675266,0.6916966104464043,0.3139733559922172,0.5680721227144122,0.28780066980803565,2.2007045963851786,0.11092225369845767,0.24154130052510148,0.6711759774981303,0.22304433812875982,1.9583154901813207,0.2794260438019204,0.28287841191067,0.5429040193557739,0.3492256806528414,0.22325759134219367,0.11389601892395189,0.006809645906594201,1.4903649661155214,0.005291743742289773,0.008217684411367708,0.004535659807610285
14.0,0.6418025170431356,0.5645431543494358,51.25344,51.25344,1.0,0.3187589153140868,0.19957394351289012,0.6933586436840996,0.3166900576117041,0.548705382006777,0.29550896191464077,2.224869713447707,0.11092225369845767,0.24429224406499753,0.6717348296831077,0.22344636606840357,1.9618452706200222,0.28085106382978725,0.28290709435052735,0.5372883677482605,0.31612967019730526,0.20234142246016212,0.11389601892395189,0.006550276274533734,1.5145174811004836,0.0049956424573580575,0.00802417942338282,0.004149304439931542
15.0,0.6452231418358817,0.5917226724500112,54.9144,54.9144,1.0,0.3451060080062979,0.21518402611172324,0.6946505629532631,0.3164693277577223,0.538704607882213,0.29268192574966023,2.255820582925081,0.11092225369845767,0.24772386211467087,0.6711695647282901,0.22338098444783744,1.9612712240362713,0.280419194704909,0.28406851599211763,0.5526227355003357,0.3428720204475824,0.2179204004163354,0.11389601892395189,0.006376086136386714,1.55765595894718,0.004717578651376761,0.007979768171383173,0.0038507487825654926
16.0,0.6393621906570809,0.5126389721461307,58.57536,58.57536,1.0,0.34468804819706966,0.2158811042447944,0.6953738829237628,0.3175194362854924,0.5710845721754819,0.2908164084761849,2.2748381193167475,0.11092225369845767,0.2501031772716933,0.6711872092574394,0.22381649920577523,1.96509501666794,0.2782719186785261,0.28296747316135235,0.5743777751922607,0.3424109495507644,0.21886801763967922,0.11389601892395189,0.00570996660219862,1.47293882552367,0.0041624598743572865,0.007224996401905755,0.0037699847902743994
17.0,0.6445291243676082,0.7180912580211353,62.23632,62.23632,1.0,0.33565398425210896,0.20808360532111836,0.6979766592527339,0.324203915755862,0.5641600919156319,0.29521738959330796,2.3127118194076908,0.11092225369845767,0.25406642405467444,0.6718194004383975,0.2249101598265213,1.974697289259015,0.2804777107721414,0.2848664688427299,0.5400717854499817,0.33276769187140337,0.21088304579225856,0.11389601892395189,0.0057221375085719,1.5524740617292991,0.0040912113943089206,0.007341233092432592,0.003769823260829948
18.0,0.6409803169762677,0.6348589158493396,65.89728,65.89728,1.0,0.3429877542958325,0.21350511655110513,0.700253044644905,0.32591590572654083,0.573995001908177,0.29484809747882185,2.3186781670335925,0.11092225369845767,0.25495040872690017,0.6709088749672523,0.2243565236857885,1.9698363981939602,0.27884507358723737,0.28643076065756473,0.5376539826393127,0.34043365894864663,0.21676363115212557,0.11389601892395189,0.005998504367367149,1.7122902518067349,0.003942741937253446,0.008062366750682138,0.0032435296460609497
19.0,0.6440302336127733,0.7451790863054621,69.55824,69.55824,1.0,0.3228798938080843,0.20129444862523077,0.699162113124365,0.3271739933383946,0.5712514031109736,0.29815382955566705,2.3411271736680432,0.11092225369845767,0.2572179259183576,0.6691368045351108,0.22343061861976893,1.9617070089952227,0.2801106966670677,0.28395234758234056,0.5273600816726685,0.32018697133809115,0.20481708314952354,0.11389601892395189,0.005798934567608447,1.7494231786686214,0.0038075350074759542,0.007805828415856143,0.004091952671337159
20.0,0.6415797484077997,0.8398262341538937,73.2192,73.2192,1.0,0.35221379246195694,0.22032836749436216,0.6996665677112522,0.32385332975850767,0.6088627955412241,0.29059870754086536,2.341696532644313,0.11092225369845767,0.257560644881805,0.6684265181159619,0.22151469424557138,1.9448853115180105,0.27649865173200583,0.2840625410589936,0.5431073904037476,0.349738343647356,0.22388090457762616,0.11389601892395189,0.005546910819099464,1.7621706391701082,0.003820988911823261,0.007298094877484042,0.003801446834733505
21.0,0.6437054521726246,0.782346059491877,76.88016,76.88016,1.0,0.35633616362530407,0.2223897224730143,0.7010369707011794,0.32961906168687094,0.5992644554963831,0.29104133648073294,2.3632143550277336,0.11092225369845767,0.26004968168072456,0.6686231429258566,0.22406186327986105,1.9672492980590186,0.2794579945799458,0.2858224971594496,0.5306164026260376,0.35346005161093313,0.22591603066656463,0.11389601892395189,0.005371437757122439,1.7900207682396285,0.0034912587765072575,0.007296990756241148,0.005154160394864977
