round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_auprc,fed_f1_best_threshold,fed_f1,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
17.0,0.6480823701042104,0.9126429929227312,62.23632,62.23632,1.0,0.32862481161133184,0.20877939090107192,0.26957571812553577,0.5513678527207763,0.2897930859868371,0.6872605341656837,0.11443318436457478,2.3971129072557593,0.3257519042917153,0.6549001041052318,0.2094248015295357,1.8387368014097853,0.27359146765592396,0.2745344740815299,0.5151276588439941,0.3280220315199893,0.21209577024564197,0.11389601892395189,0.0056972556583774064,1.6290546265263401,0.0041055481487353145,0.007252528146974314,0.0037386557779163117
18.0,0.6375999624964982,0.7687826303109471,65.89728,65.89728,1.0,0.3359946253546936,0.21134451417759775,0.2717188810901526,0.5502333778273866,0.2894195987383171,0.68818804398278,0.11443318436457478,2.4165892584399002,0.32681302963422165,0.6553981541965191,0.2099448071163898,1.8433024182923325,0.27626779621131897,0.2764284876217294,0.4995589256286621,0.33515154217311305,0.21425692895911305,0.11389601892395189,0.005492537629071232,1.6522736385813914,0.003845462046619218,0.00711872685230992,0.003939360787229418
19.0,0.6434040141573983,0.6352510365300535,69.55824,69.55824,1.0,0.3341354748137192,0.21201902186476804,0.27529349668256975,0.569828039168741,0.28792673035515104,0.6910518707322794,0.11443318436457478,2.4478655395445363,0.3281472485728747,0.6537864281092861,0.20761659958850803,1.82286090023158,0.27069787602947554,0.2736689954227897,0.5195671916007996,0.3333657693943387,0.2155133780867811,0.11389601892395189,0.004988483653615762,1.5745721558268997,0.0034051536735836916,0.006562415504160694,0.004021021609517248
20.0,0.641295034051419,0.8496616480754673,73.2192,73.2192,1.0,0.3183297405413692,0.20235171005048724,0.278868544981998,0.5609190072126832,0.2896236375926828,0.691599662427666,0.11443318436457478,2.4765636723456836,0.3293134369296382,0.6533002623487986,0.20638039530647123,1.8120071031128047,0.2732991612301957,0.2738557993730407,0.5131993889808655,0.31718925674848053,0.20611078327465018,0.11389601892395189,0.004928523796471385,1.6324733548499353,0.0032991450410134234,0.006561438863630876,0.004135058138267629
21.0,0.6487375619473235,1.0488784764458448,76.88016,76.88016,1.0,0.3155795916834451,0.19895418665386003,0.2799097707838069,0.5410918566562638,0.29462076247543045,0.6935772080371685,0.11443318436457478,2.4849948061512004,0.330485074122735,0.6512699492987091,0.20641831968601876,1.8123400768190485,0.27375364708867184,0.27458492975734355,0.5012540817260742,0.3143247481481192,0.20286446460248905,0.11389601892395189,0.004851516347594227,1.676060847887129,0.0032205364746140355,0.006502621768191045,0.004155148516128386
22.0,0.6440676174882858,1.0015317171190863,80.54112,80.54112,1.0,0.32583507147034985,0.20552486357502228,0.281109365753857,0.5551743026143495,0.295489974835287,0.6973669303359373,0.11443318436457478,2.491767189059884,0.33234483603532294,0.6520604267144897,0.20729611696430497,1.8200470826176647,0.2715008431703204,0.273431994362227,0.49644729495048523,0.32487544260848406,0.20991079873627042,0.11389601892395189,0.004536180178185726,1.6370674556055747,0.0029807427398102246,0.006123789331895093,0.0034530667143635174
23.0,0.6459921412419148,1.0484729205448373,84.20208,84.20208,1.0,0.31934862801325425,0.20142456761746488,0.28412492992278127,0.5472412451631795,0.29701851813203134,0.6987095931225004,0.11443318436457478,2.5076868714589096,0.3356359053109921,0.6518078940970843,0.20605993944946305,1.8091935205132041,0.27127847951835676,0.27333417306965613,0.5093347430229187,0.31846864448704765,0.20590807990326007,0.11389601892395189,0.004641564690829467,1.7507035311864456,0.002859773419442489,0.006469309585471447,0.00440017862214641
24.0,0.6424408987022269,1.0054389804290063,87.86304,87.86304,1.0,0.32421721054167835,0.2051962710436443,0.2858502696180546,0.559765756135846,0.2942696552493893,0.700606012588349,0.11443318436457478,2.5222347127968465,0.33375611804185634,0.6537314866095594,0.20772669335196292,1.8238275166637876,0.2723524561196843,0.27429259482239615,0.5042485594749451,0.3232897229530538,0.2100742742837137,0.11389601892395189,0.004363530716919296,1.7167263377250492,0.0027271455810725007,0.006048615286399976,0.005221839843382115
25.0,0.641596123617668,1.0819200849437434,91.524,91.524,1.0,0.32587724427830844,0.20530571536003067,0.2866317029789197,0.5473011369622509,0.30027419007840483,0.7007731411079463,0.11443318436457478,2.534276794965704,0.33376847445289265,0.6505449925704736,0.20639115635680605,1.8121015844690143,0.27185874954649897,0.2724747474747475,0.5065673589706421,0.3254711746707466,0.21082495982640712,0.11389601892395189,0.004088196926682298,1.675888759735244,0.002447287395181367,0.0057888725844348465,0.005205425006937244
26.0,0.6445826226055289,1.3210277245719695,95.18496,95.18496,1.0,0.3181697204396636,0.20178924654485209,0.28878037148001195,0.5508899871395225,0.3005799948491167,0.7019491429544774,0.11443318436457478,2.547641587870131,0.3344897594086573,0.6492051754541358,0.20719702178554247,1.8191770330786317,0.2716258783620063,0.27420370137227745,0.5071199536323547,0.3174948195739387,0.20768347318206862,0.11389601892395189,0.0040269724143702215,1.719632280359292,0.0023765230223579434,0.005747814604900047,0.003990090314853165
27.0,0.6461364648809957,1.4490604817474915,98.84592,98.84592,1.0,0.32684053620927345,0.2054385261904516,0.28985899873782295,0.5561430715772484,0.2990159410629445,0.7028573559052989,0.11443318436457478,2.5579230320311748,0.3367118742050278,0.648939378066239,0.20028946210232987,1.7585290863946939,0.26853146853146853,0.2714484856165252,0.5137742757797241,0.32620641395367705,0.21111874532196395,0.11389601892395189,0.0043073356048359,1.9122950789460447,0.00233718837279412,0.0063628417143932695,0.0051818903729244446
