round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_auroc,fed_auprc_lift,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
12.0,9.23138054106924,1198.9021802852053,43.93152,43.93152,1.0,0.2981264962189367,0.2431144792523513,0.6636390228517804,1.9801836937600716,0.22840124811577872,0.11438463959710417,0.5810033783677767,0.37987253865356674,0.27314410675106693,0.6599762694887338,0.21601431173113647,1.8965922933212331,0.2742809503959983,0.28450704225352114,0.566089391708374,0.3808960102888891,0.24360268102266142,0.11389601892395189,0.006174161909818845,1.1439467113464161,0.005265690659161447,0.006967684935182357,0.0021123890014374588
13.0,9.149182701778276,817.4694201436135,47.59248,47.59248,1.0,0.3018893012514124,0.242895968229666,0.6657908497938384,2.0260884541957895,0.23404807150827275,0.11438463959710417,0.6005408477287905,0.3796705068002005,0.27159322698853366,0.6591233334516329,0.22113909261767611,1.9415875524616026,0.2791747259832366,0.2826846608025063,0.5588669776916504,0.3803275073952761,0.24312421919263993,0.11389601892395189,0.0056718420993511175,1.0943720186523933,0.004848386357541354,0.006392334445880747,0.0022765074512681445
14.0,9.192025585941618,941.9684404824951,51.25344,51.25344,1.0,0.3029890683709326,0.24202846574506778,0.666314438670808,2.0536162867349317,0.23680092678145473,0.11438463959710417,0.5603218865462133,0.3786894550723477,0.2753753340389637,0.6615315983398381,0.22236894142720365,1.9523855489249267,0.27680270670331997,0.2831559823514145,0.5936449766159058,0.3797063491917909,0.24259927404263362,0.11389601892395189,0.005594850641896674,1.1197751574318318,0.004645353193693357,0.006428785958252392,0.0023227171964427594
15.0,9.133381645899679,937.711814964838,54.9144,54.9144,1.0,0.3034430453550557,0.24185117072073542,0.6583568575198346,2.0419744301818734,0.23546717140120402,0.11438463959710417,0.5749619288304935,0.37914100026874226,0.2786149553524947,0.6576021516587187,0.22169328960743334,1.9464533677463955,0.279334700387332,0.283869395711501,0.5325809121131897,0.3801066743042995,0.24255989446413798,0.11389601892395189,0.005410833231932426,1.1293872153109987,0.004701211427984314,0.006038777730724422,0.0027487420440640733
16.0,9.261990267279877,951.6628814162757,58.57536,58.57536,1.0,0.3035579176126612,0.24101574267400627,0.6674664067588758,2.0591364168778505,0.2377732397015678,0.11438463959710417,0.5823100316288113,0.3778659488143957,0.2785887164260151,0.6618020390248796,0.2232070109944767,1.9597437478785937,0.2763201594154766,0.2827612606864872,0.5673115849494934,0.37869847680297336,0.241715919317054,0.11389601892395189,0.004863030081765549,1.058999937524277,0.004023128599095421,0.005605065662262742,0.0023705642644965648
17.0,9.174574038091771,727.2610204754668,62.23632,62.23632,1.0,0.3054017664117883,0.2428363994478918,0.6682297764680988,2.0714168277072065,0.23905600489227655,0.11438463959710417,0.5581883466146186,0.3803186449101784,0.2791407156109337,0.659655982381373,0.221730361139752,1.946778853506731,0.27512066695919263,0.28188433550363845,0.5742603540420532,0.38118821965099564,0.24378579501177933,0.11389601892395189,0.005135307110476808,1.1591880917767412,0.004427552811392076,0.005769880424743452,0.0024037954189909103
18.0,9.299076063201143,1004.561256455179,65.89728,65.89728,1.0,0.3055788842739581,0.24093190894048316,0.6655309195869192,2.0097888497594325,0.23225821484581283,0.11438463959710417,0.5744695028119542,0.3779134791566023,0.2791447960010152,0.658794525266539,0.21579508107204232,1.8946674616970431,0.2756897675429068,0.28389116301468814,0.5512697100639343,0.378675312202802,0.24183078616962775,0.11389601892395189,0.005028553834811017,1.1865690075019302,0.004071820508261411,0.005884291977682196,0.00304792432143147
19.0,9.18108844373197,861.8379050205929,69.55824,69.55824,1.0,0.30997770087413484,0.24157533790455785,0.6684257569324822,2.0599473833254045,0.2378525194667984,0.11438463959710417,0.5697326621038942,0.37860448424981974,0.2805480017912348,0.6589014465953813,0.21788577297240896,1.9130236072420652,0.2723242558581381,0.28189550425273396,0.6027074456214905,0.3795510193345123,0.24272551532265418,0.11389601892395189,0.005272517943071124,1.2948326736091076,0.003975313324650157,0.00643971256308075,0.002589635736344633
20.0,9.141711149858615,1295.3558982983093,73.2192,73.2192,1.0,0.3088347224994076,0.24099154989205915,0.6700625493242822,2.061267950952729,0.23761065195827996,0.11438463959710417,0.5741119535362567,0.3779733728341873,0.2800038222838748,0.6603298628410182,0.22243095035680172,1.9529299834906289,0.2768590515825211,0.28184499865915796,0.5972442030906677,0.37866324432165366,0.24189323215477848,0.11389601892395189,0.004737333841868707,1.2104278501647059,0.003683441551384904,0.005687215444451954,0.003196522274713106
21.0,9.208138276743707,971.4111087932733,76.88016,76.88016,1.0,0.30907622210577307,0.24056390463934021,0.6726922117860237,2.07675250199767,0.2393232404922031,0.11438463959710417,0.5720427384588904,0.3777682653192383,0.28363532307694944,0.6577590323549463,0.2187760005125553,1.920839749970818,0.2757475083056478,0.27904466333828093,0.6003785729408264,0.37857534488792166,0.2420150620496166,0.11389601892395189,0.0047070753741141535,1.2522100180503912,0.0035588726154365796,0.005751346629384187,0.0024807455317131027
22.0,9.118260075867978,1167.7625234163193,80.54112,80.54112,1.0,0.31403154033319486,0.24056460641734317,0.6712946153200503,2.1163571153211445,0.24360559346046087,0.11438463959710417,0.5650623838125554,0.37783573563833595,0.2853476818523039,0.6591831566880872,0.22018373006922826,1.9331995283895254,0.275383088964833,0.27950988717699865,0.5498640537261963,0.37860544950536434,0.24195316552692048,0.11389601892395189,0.004239747824807245,1.1734752127786123,0.003288229864923967,0.005109576077426054,0.002969262108938849
23.0,9.063756073942255,1509.86375326714,84.20208,84.20208,1.0,0.31848064981554175,0.23959871858554185,0.6743989006760268,2.1199548360481737,0.24438333375320512,0.11438463959710417,0.560544466190005,0.3765595058393733,0.2822310749776778,0.6572349547007461,0.21754221947462768,1.9100072287854075,0.27352516387068104,0.2767918558261109,0.5999352335929871,0.3771968045147204,0.24109554088082943,0.11389601892395189,0.00393999918441854,1.1262090462369088,0.0030407859851693934,0.004772549494280896,0.00254482394463039
