round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_f1,fed_ece,fed_auroc,fed_auprc_lift,fed_auprc,fed_prevalence,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
23.0,0.657618301550929,1.8865633147399248,84.20208,84.20208,1.0,0.23922449779253144,0.09820942491742067,0.060486660494803474,0.7025033394075689,2.595129658666511,0.2937588939405564,0.11486656596173211,0.33927160897393227,0.09689241331252099,0.6571733368926925,0.21417634203266384,1.8804550330742367,0.09073132577238952,0.27780157030692365,0.19843892753124237,0.055011228796628446,0.1010692526819379,0.11389601892395189,0.004728788249026308,1.6476885315496475,0.0029221058223058535,0.006598488049498211,0.004282616578524001
24.0,0.6410032491199174,1.789318710663061,87.86304,87.86304,1.0,0.24772402590228865,0.10529597748396428,0.06411567232726292,0.7055798679538992,2.607132197061253,0.29574848684201893,0.11486656596173211,0.340834363749055,0.09718185820034672,0.659311223843115,0.21338361386544324,1.8734949288079945,0.08277493102089081,0.2787758642051791,0.18573012948036194,0.058343065794571596,0.10131317022092715,0.11389601892395189,0.004599948018128091,1.671073668898316,0.002739647167513384,0.006528882777744976,0.0037181667285805325
25.0,0.6411718061855981,2.1691878643825975,91.524,91.524,1.0,0.22773098610416584,0.12246323833453009,0.0643215115123601,0.706296527896015,2.6123774996763904,0.2967930726173293,0.11486656596173211,0.33959516047263544,0.09726192995789212,0.6590487646093816,0.21441518080566535,1.8825520227254815,0.09876543209876543,0.28208452164895,0.19230760633945465,0.05936560927709966,0.10179640076234608,0.11389601892395189,0.0045262724524271405,1.7127253467187984,0.0026023691867360192,0.006531175512412048,0.003258308870790723
26.0,0.6527711413213934,2.2760055558915595,95.18496,95.18496,1.0,0.2170501557991944,0.11151595100547868,0.06047831202003366,0.7064211463729031,2.6387855656187873,0.2995796868701769,0.11486656596173211,0.3421473026664679,0.09647761718365319,0.659003448539141,0.2120181127224623,1.8615059132490512,0.0851063829787234,0.27869075105256014,0.1909705400466919,0.05422626907533744,0.10101657747257424,0.11389601892395189,0.0041866419648337715,1.6448363003437407,0.00235847870416415,0.006088352635954559,0.0036834284342881665
27.0,0.6577118143297727,2.194071501300792,98.84592,98.84592,1.0,0.22091069858153567,0.10370123884735356,0.05637192316401389,0.7061387875325801,2.641353177729537,0.3003094207658771,0.11486656596173211,0.34210215925791776,0.09588075052329151,0.6574547457985565,0.2114108359066849,1.8561740603755732,0.08161648177496038,0.27742338961851154,0.17452387511730194,0.04921745060487882,0.10048450137880793,0.11389601892395189,0.003937293745095323,1.6051115548616508,0.002263383674426192,0.0056845857258469214,0.003037765182937353
28.0,0.6424309657662042,1.8678092637410137,102.50688,102.50688,1.0,0.2335164630532355,0.12942077674078928,0.06413708770451158,0.7079639588172717,2.698546170810117,0.3069555384267596,0.11486656596173211,0.347035212285389,0.09651942350444061,0.6568315023766905,0.21212073391358335,1.8624069209584566,0.09619860356865788,0.276415770609319,0.20388701558113098,0.05815408094262067,0.1017737781702363,0.11389601892395189,0.003636074799882109,1.5415971945476485,0.002191462262769987,0.005142550245383412,0.002608218868435321
29.0,0.6495264735909241,2.074569511826276,106.16784,106.16784,1.0,0.21589066169608276,0.13395626772056998,0.05191858035656118,0.709056378586142,2.693754890855061,0.30653474294142785,0.11486656596173211,0.3462849446938466,0.09518370168558642,0.6574494750288249,0.2127620493797093,1.8680376310762015,0.09228383094222567,0.27503382949932337,0.21058069169521332,0.0456303014118684,0.10040178814797586,0.11389601892395189,0.003522941656621509,1.5476226573518943,0.002023758680548431,0.0050921761911749625,0.002783112233101347
30.0,0.6605983801486955,2.2786328772168822,109.8288,109.8288,1.0,0.22874642269777784,0.11999112484581385,0.0633912725951607,0.7099159844208303,2.704116540587857,0.3076911416005933,0.11486656596173211,0.34610995219075363,0.09621775795400446,0.6530763048330097,0.207757493301009,1.82409793831098,0.08179315768777035,0.27941880887753473,0.21534347534179688,0.05604091088650659,0.1014867065076169,0.11389601892395189,0.0034779976620740493,1.5846670012833783,0.002070893954175191,0.004953646203787282,0.0025659738751389917
31.0,0.6603720764322385,2.063405917307473,113.48976,113.48976,1.0,0.25265460943546214,0.1694077460709664,0.0647806679754748,0.7127063973760823,2.746581929032922,0.3117094253705426,0.11486656596173211,0.3506283501979505,0.09654758451604978,0.6529279075661598,0.2074577721692058,1.8214664053159302,0.10643840714551545,0.2762141280353201,0.20505040884017944,0.058739218508302396,0.10303782280313575,0.11389601892395189,0.0035643999505842673,1.6805128894629888,0.001899159535026864,0.005310920965299012,0.003023600759561698
32.0,0.6523072096558437,2.3399702367758812,117.15072,117.15072,1.0,0.22081854357595174,0.160229060563668,0.05705201998204994,0.7116813009490413,2.7375486363098553,0.3108894515310675,0.11486656596173211,0.35024410874803835,0.09542095814787327,0.6509282151783209,0.20677772821379284,1.815495661458175,0.10113207547169811,0.27612344342176504,0.18516908586025238,0.0504909488976641,0.1018088491814427,0.11389601892395189,0.003486373900270001,1.700390472287836,0.001994088713235825,0.005045541336772746,0.0030430115825182745
33.0,0.6640577333568276,2.57258509916953,120.81168,120.81168,1.0,0.22433117046588347,0.13636053736111875,0.056979384287380946,0.7146676135706709,2.7534743289444386,0.3125783995364061,0.11486656596173211,0.3573898003474055,0.09513898285155184,0.6512459421975264,0.2070850089060919,1.818193566926708,0.08938981733385154,0.2703145095288203,0.1691356599330902,0.049847540405452556,0.10114621774820562,0.11389601892395189,0.00320325249781618,1.611423341659247,0.0018177581520780613,0.004654420073432047,0.0026503991439222707
