round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_auprc_lift,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_ece,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,0.6384916483417695,0.5807897854630376,46.4128,46.4128,0.5412350858791136,0.2962387005547635,0.3173359195295294,2.290656509689017,0.11283826305852734,0.6919996889698563,0.5583296996493845,0.3487613313164985,0.25388765179412026,0.21849650162033693,0.4048136132838256,0.08844646531792494,0.7765544937701505,0.13112797339926677,0.20459271313624447,0.4574184715747833,0.3945703922778277,0.26027437705747647,0.11389601892395189,0.006942239348175704,0.8749275850132108,,0.006942239348175704
17.0,0.6177972033044197,0.5360180594374688,48.39424,48.39424,0.5412350858791136,0.3049913405282523,0.33377583454821863,2.445830085853197,0.11283826305852734,0.7041809461849522,0.5617406477487035,0.33518679208955043,0.26989160306247634,0.2088298633168199,0.3989822469933898,0.08758641470834938,0.7690033026249199,0.1315306292772492,0.2046225519019404,0.46120044589042664,0.3965103133760682,0.26194454560754116,0.11389601892395189,0.0065221160413681005,0.8509196620434523,,0.0065221160413681005
18.0,0.6012522023440598,0.691999137627733,50.37568,50.37568,0.5412350858791136,0.3114818229793328,0.3427466633599066,2.6139081571737113,0.11283826305852734,0.71333769423556,0.5552040146611034,0.32581889601219194,0.28546159553499145,0.20265679926710442,0.4104773063495357,0.08944223089585471,0.7852972539415541,0.1412682602921647,0.2046112115732369,0.4564064145088196,0.3963818268750981,0.2616689920409859,0.11389601892395189,0.0065891302166055776,0.8977672627661377,,0.0065891302166055776
19.0,0.5836979957528418,0.7400973057097155,52.35712,52.35712,0.5412350858791136,0.3238379785673413,0.3459758650570001,2.7383909685020154,0.11283826305852734,0.7202742184725062,0.5433077067793203,0.3063038086193942,0.29664056985050435,0.19128577244108044,0.41342972801472844,0.08987554674579748,0.7891017402970615,0.14458029047345533,0.20459271313624447,0.45692333579063416,0.3983609685960705,0.26350526227506177,0.11389601892395189,0.007801991168250356,1.1061157685471699,,0.007801991168250356
20.0,0.6423543066047991,0.8617121600952709,56.00768,56.00768,0.9971592150692714,0.2874077629363744,0.3080419333165056,2.161515600935751,0.11283826305852734,0.6812419569678019,0.5335432231201173,0.3549043611475061,0.24281576691191925,0.22299683391657224,0.44986514108168946,0.09893492833960402,0.8686425502340221,0.14317019722425128,0.20453723788864786,0.45550569891929626,0.38537368828441926,0.2509922469034974,0.11389601892395189,0.005747102155394277,1.411896844045259,0.00589345165373732,0.005650273438215766
21.0,0.6403521779330236,0.5568216740093554,57.98912,57.98912,0.5412350858791136,0.2978259491835487,0.3197508952501835,2.3519680114204458,0.11283826305852734,0.6958773435906324,0.5533039978234702,0.33635309663037966,0.26110045112040486,0.210395131802384,0.450011317095581,0.09865317601157274,0.8661687822244537,0.14553182876227103,0.20451875282422052,0.45600804686546326,0.3864566619781755,0.2518474732922383,0.11389601892395189,0.00507361969076912,0.7654293914092705,,0.00507361969076912
22.0,0.6154972671694562,0.6474204311446422,59.97056,59.97056,0.5412350858791136,0.299701560256768,0.3330019360540181,2.4902947081726214,0.11283826305852734,0.705292357778816,0.5744163306161545,0.3394913674643424,0.2730409653023643,0.2131375198691722,0.43986605166990783,0.09523965811469487,0.836198306266404,0.1403821403821404,0.20455572629485672,0.4578227400779724,0.3881421529209975,0.25363093089943467,0.11389601892395189,0.005797603860042628,0.908018320100382,,0.005797603860042628
23.0,0.6023177861397717,0.7667034220282498,61.952,61.952,0.5412350858791136,0.3021027639905263,0.3464170585469796,2.669476069346342,0.11283826305852734,0.7168705524351962,0.582757656292168,0.3478883351811223,0.29040294565673064,0.21722996356827648,0.44780709374325,0.09776667297278521,0.8583853403872158,0.14650138305501487,0.20455572629485672,0.45772120356559753,0.3873391359230012,0.252642015310366,0.11389601892395189,0.0061553545471598236,1.0013410244137049,,0.0061553545471598236
24.0,0.5819955517712782,0.8305223411471341,63.93344,63.93344,0.5412350858791136,0.32023695934227797,0.3535100660936217,2.841284469104497,0.11283826305852734,0.7279882979511743,0.5788741675542538,0.31952394734314343,0.3067496373591951,0.1981893567185496,0.4317523040416915,0.09364537307361445,0.8222005822358133,0.14378844917822056,0.20459271313624447,0.45719414949417114,0.3923416008385422,0.25750851912040773,0.11389601892395189,0.006434993257634484,1.0896168565377593,,0.006434993257634484
25.0,0.6412346570349388,1.3223753933463345,65.60256,65.60256,0.4559241291901578,0.29541724727687374,0.3116729901390014,2.173359269681565,0.11283826305852734,0.6829714942455453,0.5355821116342718,0.3376439007065951,0.24403312718386333,0.2129386309877765,0.4343445940902423,0.0945511549664316,0.8301532912187491,0.1507372072853426,0.20454648167397296,0.4566650092601776,0.39347724723548333,0.25811776643212125,0.11389601892395189,0.005501094184580238,0.5768179562874138,0.005501094184580238,
