round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_f1,fed_brier,fed_auroc,fed_f1_best,fed_auprc_lift,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6320115922672828,0.4303343262853943,21.90336,21.90336,0.0,0.5431703463768793,0.2454112259267442,0.29559532899757124,0.20133636176165845,0.6836010110279915,0.31431133382820486,2.2278678465706574,0.31647724134084404,0.11202013845185647,0.42200760456617326,0.09209563332233575,0.8085939630938971,0.11573558869352325,0.20457835685848716,0.46267905831336975,0.38030636784408667,0.24751774552471897,0.11389601892395189,0.0,0.0,,
12.0,0.6157815599907382,0.47438559245380396,21.90336,21.90336,0.0,0.5652302731520129,0.25712245642471143,0.29779689959288075,0.21082506514929583,0.693833522433028,0.3267174594196495,2.34551037073526,0.33479513924503235,0.11202013845185647,0.42200760456617326,0.09209563332233575,0.8085939630938971,0.11573558869352325,0.20457835685848716,0.46267905831336975,0.38030636784408667,0.24751774552471897,0.11389601892395189,0.0,0.0,,
13.0,0.643109900293666,0.3218017146625348,25.55392,25.55392,0.9971592150692714,0.5359324816133781,0.22914461060516092,0.2797866481710335,0.21345501863165497,0.6652329148327836,0.2947937905019383,2.056548088237726,0.3394055326079481,0.11202013845185647,0.4195821845774366,0.09236406418897282,0.8109507694965536,0.12261636251794136,0.20456091036859045,0.4660740792751312,0.3836718377235329,0.2502591672407387,0.11389601892395189,0.008253113692508682,1.2999536741990596,0.006830381462562131,0.009411590395652984
14.0,0.6437648017064943,0.34981708008325785,25.55392,25.55392,0.0,0.5468273787021336,0.24036652519711796,0.2880487679853214,0.2135502898715113,0.677888819136733,0.30683317548664885,2.1673170772992423,0.3402079450753104,0.11202013845185647,0.4195821845774366,0.09236406418897282,0.8109507694965536,0.12261636251794136,0.20456091036859045,0.4660740792751312,0.3836718377235329,0.2502591672407387,0.11389601892395189,0.0,0.0,,
15.0,0.6242763085542338,0.4030607912918646,25.55392,25.55392,0.0,0.5645465082046442,0.25351522514753333,0.29463206567470435,0.20196698216947917,0.6890996599333449,0.32106396682020993,2.2978764691577016,0.32170496717906544,0.11202013845185647,0.4195821845774366,0.09236406418897282,0.8109507694965536,0.12261636251794136,0.20456091036859045,0.4660740792751312,0.3836718377235329,0.2502591672407387,0.11389601892395189,0.0,0.0,,
16.0,0.6136918279745738,0.4790958023098654,25.55392,25.55392,0.0,0.5882652496376298,0.26219903595187,0.2974313605558487,0.21507439031637707,0.6963813663052594,0.32719689073477753,2.3913372635103514,0.34247837239188295,0.11202013845185647,0.4195821845774366,0.09236406418897282,0.8109507694965536,0.12261636251794136,0.20456091036859045,0.4660740792751312,0.3836718377235329,0.2502591672407387,0.11389601892395189,0.0,0.0,,
17.0,0.6404466610189038,0.40560914591762287,29.20448,29.20448,0.9971592150692714,0.5243040356154407,0.23161012514260143,0.27958794422916655,0.21470827710492563,0.6693707564594136,0.2988636209047519,2.0697639977886553,0.34177545546697624,0.11202013845185647,0.41140759720717474,0.08964104264327027,0.7870428087844176,0.12040201005025125,0.20451875282422052,0.46528732776641846,0.38514162784008155,0.25175120895394765,0.11389601892395189,0.007154363158223651,1.1979092604015023,0.006000859913466367,0.00812345115709307
18.0,0.6407402308683288,0.3768305564326876,29.20448,29.20448,0.0,0.5449228687714749,0.24454477124662738,0.2901360222161461,0.21314190932210764,0.6818893050166414,0.3114914607171645,2.2070416572492375,0.3389217269254638,0.11202013845185647,0.41140759720717474,0.08964104264327027,0.7870428087844176,0.12040201005025125,0.20451875282422052,0.46528732776641846,0.38514162784008155,0.25175120895394765,0.11389601892395189,0.0,0.0,,
19.0,0.6223900977941091,0.4540594875280828,29.20448,29.20448,0.0,0.5210326932094018,0.25378297188457893,0.2953578231704913,0.19677700122623612,0.689795452455589,0.31957131194995736,2.306908922160195,0.3123195257836154,0.11202013845185647,0.41140759720717474,0.08964104264327027,0.7870428087844176,0.12040201005025125,0.20451875282422052,0.46528732776641846,0.38514162784008155,0.25175120895394765,0.11389601892395189,0.0,0.0,,
20.0,0.6088879297705729,0.5240853238430121,29.20448,29.20448,0.0,0.556536777671063,0.2657487519745721,0.2993070093366403,0.22181807886195334,0.702963140047143,0.3297526823222724,2.4291486168625993,0.3534943195681167,0.11202013845185647,0.41140759720717474,0.08964104264327027,0.7870428087844176,0.12040201005025125,0.20451875282422052,0.46528732776641846,0.38514162784008155,0.25175120895394765,0.11389601892395189,0.0,0.0,,
