round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_ece,fed_f1,fed_brier,fed_f1_best_threshold,fed_auprc,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6412870726345214,0.5087550375400631,40.27056,40.27056,1.0,0.6764534834548239,2.1507467303131773,0.3144118930898311,0.2884506366856296,0.1976838333173716,0.5143116356630305,0.23877907464885012,0.30504746158372764,0.11208307111390807,0.6597087904743035,0.21004903956728344,1.844217572762861,0.2715301553858309,0.2735535358013744,0.4594064950942993,0.3119791613113532,0.19978111602110932,0.11389601892395189,0.008266766728162166,1.6630834945008246,0.006219062284708624,0.010187046192681319,0.004987356872720093
12.0,0.6425913113527295,0.5160862529735213,43.93152,43.93152,1.0,0.6793661115347532,2.1878431634698514,0.3389715047941183,0.28787889175958703,0.212452683029017,0.5484079009185727,0.24324693398822095,0.31011083974707115,0.11208307111390807,0.659599007870464,0.21156631125181374,1.8575391242873562,0.269833729216152,0.2736141397911167,0.4915817081928253,0.3365311640363927,0.2145837659866353,0.11389601892395189,0.007446855025640251,1.6010627629766532,0.00554073043367843,0.009262115284536994,0.005491252332667086
13.0,0.6406239988220566,0.4559537021691182,47.59248,47.59248,1.0,0.6800685634301176,2.195433730868894,0.3336937999260207,0.2895463732782523,0.20900855440127922,0.5396621143652853,0.24430895259824723,0.31076051935494975,0.11208307111390807,0.6590320110913059,0.2097851399466804,1.8419005504200587,0.27166666666666667,0.2753476611883692,0.513752281665802,0.3314721309219689,0.21163859578901956,0.11389601892395189,0.006115069001938664,1.3938958031940274,0.004768923893121746,0.007436357138764534,0.0039073941481945155
14.0,0.6394864886940649,0.5500053826354626,51.25344,51.25344,1.0,0.6821333045515292,2.2271074831744064,0.33765040571262733,0.2894950782560858,0.21143330454386577,0.5602216206045552,0.24818292172096326,0.3126031019042391,0.11208307111390807,0.6584887453253919,0.20928059130527826,1.8374706445623392,0.27274875915859137,0.27383015597920274,0.49421414732933044,0.33554734870273206,0.21430155393255607,0.11389601892395189,0.0062612572271847295,1.5106230287583458,0.0047984858306726625,0.007734906977530837,0.003945208051544305
15.0,0.6398976302104901,0.5877492904915884,54.9144,54.9144,1.0,0.6831680681503314,2.232389916440162,0.32004574427839483,0.2944350783391389,0.19988190334017739,0.5386394694588182,0.24938648318296883,0.3134223372424334,0.11208307111390807,0.658066970801793,0.20986822252971937,1.842630010359255,0.26844106463878326,0.27373481105621583,0.5107313990592957,0.3177743388051233,0.20280934057977987,0.11389601892395189,0.006188434320648922,1.5769694197151694,0.004386258190639862,0.008045687753144065,0.004098515647501741
16.0,0.6395408641028119,0.6456579545958283,58.57536,58.57536,1.0,0.6838043514414816,2.2489539081328735,0.3396248728487009,0.2937444169492638,0.21230724157906258,0.5528606046363945,0.25094057230165356,0.3183085265016796,0.11208307111390807,0.6558496207229398,0.2110452779663339,1.8529644842744535,0.2704211676174293,0.27209414024975986,0.4971746504306793,0.33742616858658275,0.21549917461944146,0.11389601892395189,0.006059634372014956,1.6360598337305419,0.004114093955679648,0.008093604523545656,0.004722815886155605
17.0,0.6402159212781887,0.6568683570254921,62.23632,62.23632,1.0,0.6859886466384153,2.277105439645237,0.3309511422032526,0.29223664653309805,0.206297343099239,0.5399548426955055,0.2543362227543302,0.3189418964121119,0.11208307111390807,0.6552593070624448,0.20904291525406424,1.835383863536457,0.2728283701964661,0.27482854965709935,0.5062090754508972,0.328666932106159,0.2097856637297931,0.11389601892395189,0.006116624976588903,1.7516936100764724,0.0039543247113626445,0.008412812880888552,0.003980045883716318
18.0,0.6410843168592955,0.7121756340166394,65.89728,65.89728,1.0,0.6871583719919379,2.2942389786356796,0.32219052017625954,0.2976760634574833,0.2007726276626845,0.5374005402762457,0.25625943268623547,0.3260015996764426,0.11208307111390807,0.6546993128773588,0.20973963059847067,1.841500981158203,0.2694123819517314,0.27036892191370093,0.4981701672077179,0.3201618422964804,0.20475902411396832,0.11389601892395189,0.0052093914284663465,1.569679493253716,0.0034949953651935485,0.0070588361548444365,0.0037714916940166095
19.0,0.6413118628117729,0.7277021750239008,69.55824,69.55824,1.0,0.6882712960906961,2.319036345000275,0.3106757340900004,0.2997508328346117,0.1945753749242356,0.5450290854319301,0.25933309369407703,0.3265422663537226,0.11208307111390807,0.6546506084551479,0.20776595023122357,1.8241721896350778,0.2681740502169055,0.27179052006303794,0.48366716504096985,0.3086941551655321,0.19907131117244242,0.11389601892395189,0.005137394506716004,1.6247785867144557,0.0033465592898678834,0.007111865883846664,0.003470490798954847
20.0,0.6368440491684667,0.8170742003888736,73.2192,73.2192,1.0,0.6905072005690746,2.3348617762064863,0.3431064599490788,0.29434901435812816,0.21387517002789677,0.5623668679281779,0.2613086083431614,0.3267416272510837,0.11208307111390807,0.6539205064516983,0.20729854851003196,1.8200684314387208,0.27003036673674374,0.27381773059423686,0.5317749977111816,0.3413393953257781,0.2182088355141968,0.11389601892395189,0.005103021596742826,1.695753126845375,0.003278247963293088,0.007142379022719276,0.004406467924591343
