round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_brier,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
30.0,0.6493921206430482,1.3864362670888113,8.16736,65.18272,0.9971592150692714,0.23944726585688583,0.3404492020543695,0.11183134046570165,2.1753591677449218,0.3045958496884586,0.676044767255233,0.21420650502634256,0.28208350765637874,0.536859871423642,0.486326217777463,0.10736783021927003,0.9426829070378595,0.16234091592343922,0.20568223134057032,0.48752033710479736,0.3893380931224825,0.25335133288392186,0.11389601892395189,0.01752310702472845,5.081540633924305,0.022008442530444886,0.015720323454984936
31.0,0.637470181569771,0.9429311817702045,8.41568,67.16416,0.5412350858791136,0.2548981616453114,0.3281015629457547,0.11183134046570165,2.3360840749021676,0.3196257583932388,0.694135427624505,0.20500267056615218,0.296176019024503,0.5495300605771225,0.4778635577424621,0.10406617696576054,0.9136945957281025,0.1729932611106372,0.20476053914539719,0.49290868639945984,0.3960955801148846,0.25917923310099833,0.11389601892395189,0.02142873668361962,4.522062314441428,,0.02142873668361962
32.0,0.6146428920777385,1.1242045104776415,8.664,69.1456,0.5412350858791136,0.267796187704025,0.35146843813115913,0.11183134046570165,2.4686239149417384,0.33553453193940136,0.7031459968696232,0.22290089337946375,0.2931942109387885,0.606865656814761,0.4714422919234389,0.10479774201106162,0.9201176915677346,0.17859215653760052,0.20457421804375336,0.4695897698402405,0.3979825908893296,0.2607149890945727,0.11389601892395189,0.012521243987054452,2.6993307853117585,,0.012521243987054452
33.0,0.5984047532746973,1.0492266002222959,8.91232,71.12704,0.5412350858791136,0.28339857251937534,0.33936796694300314,0.11183134046570165,2.6286497741631387,0.34568012202961584,0.717747370990801,0.21023400217733687,0.30852085557147646,0.5515707125766534,0.4808185896936172,0.107138176214123,0.9406665590801634,0.17790180518008197,0.20457421804375336,0.46945086121559143,0.395580208456338,0.25855228438018807,0.11389601892395189,0.015057640701407284,3.374206334585324,,0.015057640701407284
34.0,0.5817916334699007,1.099218878756219,9.16064,73.10848,0.5412350858791136,0.299506920497882,0.33863935149661606,0.11183134046570165,2.7931924042070673,0.35213003044690877,0.7260081525408798,0.21080583418747892,0.3123621937847041,0.5698026683474576,0.4776322713468559,0.10346118065303594,0.9083827655303451,0.17137040806884427,0.20455572629485672,0.4678041338920593,0.39363647670167234,0.25729103959190036,0.11389601892395189,0.016257799302846578,3.7902613319456577,,0.016257799302846578
35.0,0.644233892938353,1.629958477038646,9.3696,74.7776,0.4559241291901578,0.24467354210750392,0.33995436882263763,0.11183134046570165,2.2224339454205126,0.3077563560417148,0.6785664308676178,0.21415170396281644,0.2827217807014297,0.5433555723286936,0.4726050739240515,0.10115201972543475,0.8881084754417423,0.16960088487418196,0.20479839445356687,0.4815141558647156,0.3938442550929937,0.25752636160751263,0.11389601892395189,0.02121968859150959,1.8962216032668948,0.02121968859150959,
36.0,0.6362962747600907,1.2612413713681154,9.61792,76.75904,0.5412350858791136,0.2600219310470526,0.34405913861823606,0.11183134046570165,2.3784701639784886,0.31970223969875944,0.6965778092531562,0.21506788471716334,0.29377526721829317,0.5538414630108166,0.49798300191820877,0.1109981474193596,0.9745568674658664,0.18727151877700232,0.2064975050429982,0.49128738045692444,0.39610537553032754,0.25876885005668765,0.11389601892395189,0.01334370496319535,3.2731388073880225,,0.01334370496319535
37.0,0.6104805439535339,0.914675153175134,9.86624,78.74048,0.5412350858791136,0.27648876398745253,0.3354799710187177,0.11183134046570165,2.5546151379040083,0.33253112629172854,0.7081379863233305,0.20900075765630893,0.30248445365414867,0.5608744748963583,0.49093396232524067,0.10824392597213815,0.9503749735485696,0.182460372157133,0.20511319281811083,0.4888254702091217,0.394756665768396,0.2577609827363764,0.11389601892395189,0.02406480840464119,5.987633697222918,,0.02406480840464119
38.0,0.5924591807053595,1.1484282158887096,10.11456,80.72192,0.5412350858791136,0.28834128871618775,0.31224564273722694,0.11183134046570165,2.676021674157814,0.33995601708962375,0.7170362072529081,0.1950864323122567,0.3082074442830991,0.5641718306617964,0.4852594767310324,0.10487795890717119,0.9208219909529759,0.17790262172284643,0.2063723448563099,0.4888635575771332,0.3957099397956194,0.2588905129758016,0.11389601892395189,0.01155381748838641,3.0427566757425666,,0.01155381748838641
39.0,0.5754777853732549,1.2777829277728434,10.36288,82.70336,0.5412350858791136,0.3047527138579941,0.32368584903293496,0.11183134046570165,2.841807994411833,0.35303492358336075,0.7289251405694731,0.20225771976879994,0.31354505252134685,0.587921819535346,0.49251790392631684,0.10557431948311706,0.9269359937295859,0.17810793878098988,0.20796817033173826,0.49095481634140015,0.3939535359943559,0.2572807529065889,0.11389601892395189,0.017810904799457277,4.789910087361932,,0.017810904799457277
