round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_f1,fed_brier,fed_prevalence,fed_auprc,fed_f1_best_threshold,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
15.0,0.637901796666333,0.8119194885468751,54.9144,54.9144,1.0,0.6819706693395209,2.2166114088037716,0.28165347761566834,0.2202438385161688,0.1132514951211835,0.25277150242031127,0.5858966789325903,0.3498642554237552,0.3102492378176611,0.6618014366511958,0.22751558914894646,1.997572797525593,0.277617887978747,0.28257960931228254,0.5336870551109314,0.34882543185581727,0.22239206006029638,0.11389601892395189,0.006605422265976206,1.671526774861377,0.004902684518174123,0.008285771277055907,0.004086037641354633
16.0,0.640538345330419,0.9046119065879845,58.57536,58.57536,1.0,0.6851179310840922,2.2436753538907204,0.28120822683935254,0.21223839785261578,0.1132514951211835,0.2555687052696652,0.5744577802349496,0.3365404503691448,0.31290973015162393,0.6600619947935839,0.22710218989669895,1.9939431776657142,0.27764913441393757,0.28186013489527867,0.5115220546722412,0.3355584774796133,0.21509312648541035,0.11389601892395189,0.006197556201391488,1.6585679853733382,0.004400731308230912,0.007999184479795734,0.00367467187467258
17.0,0.6364870408343632,0.9062022195708724,62.23632,62.23632,1.0,0.6869628264782622,2.2671546321815335,0.27792484392438044,0.22257212677354493,0.1132514951211835,0.25838245939850796,0.5932821012496348,0.35239785970884896,0.3135265291181178,0.6588210799064252,0.22638840110131547,1.987676156200635,0.27503613462729715,0.2812066136564432,0.5344383120536804,0.351513165968203,0.22561197308558917,0.11389601892395189,0.006486229635050652,1.8331545908995395,0.00431230681353725,0.008693778102578984,0.0034209842370174675
18.0,0.6416340116507199,0.8426230248241519,65.89728,65.89728,1.0,0.6872994922319323,2.2673124572260863,0.2844852131695584,0.21309895968423875,0.1132514951211835,0.25884183317856646,0.5782849171662953,0.33889366985281993,0.31427076084480726,0.6568826288430877,0.2253042782769311,1.9781576248715618,0.27832512315270935,0.280527289546716,0.5056667923927307,0.3378782753041748,0.21637292549813425,0.11389601892395189,0.005820834847802023,1.7392362719710945,0.003907283268969998,0.007778064220067177,0.003999211340428476
19.0,0.6381039213214424,0.9307300951780227,69.55824,69.55824,1.0,0.6920021584044581,2.29946390552542,0.28790414103785733,0.21035239186019297,0.1132514951211835,0.2623282051091842,0.5872444721130516,0.3346470317385006,0.3179585410671239,0.657002061975317,0.22485003709162657,1.9741694153661193,0.2799449288664525,0.2805947388486466,0.5180673599243164,0.3340666703285482,0.21428494030775042,0.11389601892395189,0.005621905631654257,1.7618437538767466,0.0037462688999506397,0.00756553354261636,0.004666075386773297
20.0,0.6424623789187515,1.188999653769324,73.2192,73.2192,1.0,0.6930560486584945,2.3285717403256183,0.281121557358375,0.2097999642386688,0.1132514951211835,0.2652289229706905,0.5797314252630509,0.33294711783469705,0.3189289658942171,0.6573362538752079,0.22557092462994544,1.980498763355009,0.2794380017841213,0.2801801801801802,0.5018482804298401,0.33292791334139427,0.21455291614146363,0.11389601892395189,0.005250239635569649,1.7239913025705391,0.003431287831075879,0.007162761717457671,0.005517028730427626
21.0,0.6414676958074613,1.0288306172549895,76.88016,76.88016,1.0,0.6922665851545463,2.3473846031431775,0.2813113706753584,0.21944238986722028,0.1132514951211835,0.2674367299773968,0.6094011380382033,0.345993811578886,0.3214040009331583,0.6555774984113648,0.22539687905864866,1.9789706540063148,0.2752,0.27966000239434935,0.5244697332382202,0.34599738884939407,0.2244213072401483,0.11389601892395189,0.004869253494256197,1.6739273953335214,0.0031230532793174934,0.006734192501962751,0.004654634796809918
22.0,0.6437305621354746,1.466451519202693,80.54112,80.54112,1.0,0.6948364700754178,2.357858976052591,0.2827086513353412,0.21897213465819365,0.1132514951211835,0.26879738023768873,0.588787861681975,0.3469997576172595,0.3238762077705036,0.6543392565574273,0.22549844974195205,1.9798624383220702,0.2748774770935436,0.2761554380317314,0.5141971707344055,0.34666553233610997,0.22402845684825265,0.11389601892395189,0.0049380556359038905,1.774573827686254,0.003044192620152265,0.006983221896814722,0.004354388222088237
23.0,0.6423733455341627,1.5092451720492641,84.20208,84.20208,1.0,0.6973613592735117,2.3698366164657103,0.28497862381913286,0.20907320512880664,0.1132514951211835,0.27049161559225804,0.5749398121790276,0.33364616653773205,0.3247738999935257,0.651515504420946,0.2226687314309858,1.955017686611691,0.2721028140926213,0.2755535161179305,0.5051440596580505,0.33334585754079415,0.21477542272875683,0.11389601892395189,0.004712241177595144,1.7710317341425252,0.0029063232109102916,0.006691305035149985,0.003742688044293625
24.0,0.6425187207713381,1.3153769745933301,87.86304,87.86304,1.0,0.6985055007893973,2.3860595300600815,0.28583130880690677,0.2111295140288,0.1132514951211835,0.27274319386485596,0.562613833093178,0.33544061817431065,0.3248164833403654,0.6518597358822307,0.22390272227552704,1.9658520498861893,0.27261092150170646,0.273581847649919,0.5023527145385742,0.33566340047028387,0.2171620909148455,0.11389601892395189,0.004179959603032665,1.6393248036101795,0.002650298402627229,0.005871521325987694,0.0038900685691560153
