round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1,fed_f1_best,fed_auprc_lift,fed_ece,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
13.0,0.643860101608725,0.27913170195830006,25.55392,25.55392,0.9971592150692714,0.2057783259950618,0.29149537657111185,0.30483110846164624,2.0851115616736937,0.3266018594752092,0.5130768809711405,0.6769150560704537,0.11486656596173213,0.2392188993995722,0.5172379394623483,0.12058185380592065,1.0587012166459733,0.1219281663516068,0.20505847158009247,0.4691280126571655,0.36881254219140086,0.23705831995839732,0.11389601892395189,0.008156893110967615,1.2825530711561441,0.0064339498670596615,0.00953665436975568
14.0,0.6418889954234267,0.2957347122294716,25.55392,25.55392,0.0,0.2098824260538732,0.30069744309690044,0.3154152829561753,2.2204821939526003,0.3342185649328677,0.5257732466365937,0.6907989093811734,0.11486656596173213,0.2538823035706362,0.5172379394623483,0.12058185380592065,1.0587012166459733,0.1219281663516068,0.20505847158009247,0.4691280126571655,0.36881254219140086,0.23705831995839732,0.11389601892395189,0.0,0.0,,
15.0,0.6286848241928752,0.36673407353188403,25.55392,25.55392,0.0,0.221952973024013,0.2932183742238396,0.32472332082413663,2.3176407352951967,0.34898050211596027,0.5633505776652097,0.7009942436988387,0.11486656596173213,0.26466192459976023,0.5172379394623483,0.12058185380592065,1.0587012166459733,0.1219281663516068,0.20505847158009247,0.4691280126571655,0.36881254219140086,0.23705831995839732,0.11389601892395189,0.0,0.0,,
16.0,0.6122709969604034,0.4227636981464964,25.55392,25.55392,0.0,0.21059834507692923,0.31003584163649445,0.34223358775877066,2.49475513448169,0.3358104430546577,0.5667602114401914,0.7144986564733917,0.11486656596173213,0.2834266034605142,0.5172379394623483,0.12058185380592065,1.0587012166459733,0.1219281663516068,0.20505847158009247,0.4691280126571655,0.36881254219140086,0.23705831995839732,0.11389601892395189,0.0,0.0,,
17.0,0.6433241160131498,0.38743432936137884,29.20448,29.20448,0.9971592150692714,0.21730541493904124,0.2878652953731421,0.3052779994577357,2.08749569324967,0.3448165239004675,0.5290938251804698,0.6790910661699198,0.11486656596173213,0.2396652120840901,0.4849421136459275,0.11338108284859123,0.9954788931147411,0.14200769499825114,0.2045002711006687,0.3805129826068878,0.3737219778294112,0.2410268523988575,0.11389601892395189,0.00757367029048824,1.262389109004289,0.005862123921739975,0.008970264289645542
18.0,0.6372259811824335,0.32565256139747045,29.20448,29.20448,0.0,0.20009966626963163,0.2975873811041382,0.3185709540098033,2.237304021173458,0.3134346300924117,0.5407100082426692,0.6941448338709317,0.11486656596173213,0.25519487900462884,0.4849421136459275,0.11338108284859123,0.9954788931147411,0.14200769499825114,0.2045002711006687,0.3805129826068878,0.3737219778294112,0.2410268523988575,0.11389601892395189,0.0,0.0,,
19.0,0.6230367383648858,0.37528795621154687,29.20448,29.20448,0.0,0.20783177132359576,0.31024837089924384,0.3300899946440526,2.422330995279703,0.3325435563800941,0.540097859420805,0.7061280480708567,0.11486656596173213,0.275681893104268,0.4849421136459275,0.11338108284859123,0.9954788931147411,0.14200769499825114,0.2045002711006687,0.3805129826068878,0.3737219778294112,0.2410268523988575,0.11389601892395189,0.0,0.0,,
20.0,0.6124080198135766,0.5058570555984738,29.20448,29.20448,0.0,0.21433326248203455,0.31442485041248575,0.34073568435188084,2.538636299690474,0.34146498919221147,0.5891103747770685,0.7178502568570951,0.11486656596173213,0.2877935654628157,0.4849421136459275,0.11338108284859123,0.9954788931147411,0.14200769499825114,0.2045002711006687,0.3805129826068878,0.3737219778294112,0.2410268523988575,0.11389601892395189,0.0,0.0,,
21.0,0.6403388963826699,0.3960617748103074,32.85504,32.85504,0.9971592150692714,0.21629584339953686,0.2895016323891713,0.3095069188449208,2.0818334133444014,0.34078735085757594,0.5558269097500697,0.680628832057636,0.11486656596173213,0.23951124142134772,0.4863510154941053,0.1152637587917389,1.0120086714242422,0.14181624311355961,0.2045002711006687,0.3717268109321594,0.37205659723544654,0.2398287449880644,0.11389601892395189,0.007034724055882732,1.2422421236988157,0.005493555215018973,0.008318802263435093
22.0,0.6372110594148601,0.42224062896590386,32.85504,32.85504,0.0,0.2113110046064092,0.30168141543133137,0.32330563676952007,2.2835717440377437,0.3349938637498216,0.547522443565207,0.6976273134865144,0.11486656596173213,0.2610374861314208,0.4863510154941053,0.1152637587917389,1.0120086714242422,0.14181624311355961,0.2045002711006687,0.3717268109321594,0.37205659723544654,0.2398287449880644,0.11389601892395189,0.0,0.0,,
23.0,0.6210241688465977,0.4501034821055058,32.85504,32.85504,0.0,0.20538315777401867,0.31072577519003686,0.33372827027505936,2.4179053638165335,0.32725557947084905,0.5658466227930358,0.7106749929401577,0.11486656596173213,0.2747677884190583,0.4863510154941053,0.1152637587917389,1.0120086714242422,0.14181624311355961,0.2045002711006687,0.3717268109321594,0.37205659723544654,0.2398287449880644,0.11389601892395189,0.0,0.0,,
24.0,0.6059179299723543,0.5664970195944524,32.85504,32.85504,0.0,0.19942280768748172,0.3232678335647413,0.3526402848421753,2.5958292927888063,0.31742830338551636,0.5559160327585742,0.7225651345188839,0.11486656596173213,0.2937791396367508,0.4863510154941053,0.1152637587917389,1.0120086714242422,0.14181624311355961,0.2045002711006687,0.3717268109321594,0.37205659723544654,0.2398287449880644,0.11389601892395189,0.0,0.0,,
25.0,0.6403860566490409,0.46111560629051523,36.5056,36.5056,0.9971592150692714,0.21970378000923527,0.28881988171984807,0.30996103758942367,2.1155003145041333,0.3454648389601527,0.5463584246749784,0.6830432883176688,0.11486656596173213,0.24338949301297627,0.4593903757451425,0.10905650327467786,0.9575093519949511,0.12146389713155292,0.2045002711006687,0.3419276773929596,0.37118734903601724,0.23940080082837442,0.11389601892395189,0.007016303267622098,1.3133896244689822,0.005349052519193857,0.008433158625602127
26.0,0.6396347744889611,0.5004427083977576,36.5056,36.5056,0.0,0.22331658628666415,0.2925380684099577,0.3219255104666671,2.301390692315213,0.34996016757339543,0.5881208326341163,0.6975047107253344,0.11486656596173213,0.2625985998488518,0.4593903757451425,0.10905650327467786,0.9575093519949511,0.12146389713155292,0.2045002711006687,0.3419276773929596,0.37118734903601724,0.23940080082837442,0.11389601892395189,0.0,0.0,,
27.0,0.6229609087046745,0.5283768510802969,36.5056,36.5056,0.0,0.21870636434556104,0.30698316357887295,0.34129956251480387,2.513750540041284,0.3479998220247849,0.5684670424323307,0.7139618772836344,0.11486656596173213,0.28519863823019,0.4593903757451425,0.10905650327467786,0.9575093519949511,0.12146389713155292,0.2045002711006687,0.3419276773929596,0.37118734903601724,0.23940080082837442,0.11389601892395189,0.0,0.0,,
28.0,0.6030392920683931,0.5320569825586365,36.5056,36.5056,0.0,0.20791701313735428,0.3199186892997627,0.3481322126630724,2.6090221766725907,0.33208617314000866,0.5737429122231368,0.7241999189791657,0.11486656596173213,0.29529369327307586,0.4593903757451425,0.10905650327467786,0.9575093519949511,0.12146389713155292,0.2045002711006687,0.3419276773929596,0.37118734903601724,0.23940080082837442,0.11389601892395189,0.0,0.0,,
29.0,0.6418060820130134,0.5554006030821835,40.15616,40.15616,0.9971592150692714,0.20441575513268082,0.2934964217923463,0.3105868437965705,2.137108547160262,0.3223391091218922,0.5321663031720323,0.6835062273465553,0.11486656596173213,0.24560864760734527,0.5053595445532895,0.1167290602498896,1.0248739275762513,0.14935064935064934,0.2045002711006687,0.36982572078704834,0.3705593489083846,0.23849738055047778,0.11389601892395189,0.007293826369828921,1.4468949878355488,0.005225881964404623,0.009089400539705349
30.0,0.6384323537549154,0.5410384814631339,40.15616,40.15616,0.0,0.2049632135636685,0.3063841391072207,0.3281751629377068,2.327734658190716,0.32718253173853196,0.5548390411778398,0.7018820644560855,0.11486656596173213,0.26559076689013517,0.5053595445532895,0.1167290602498896,1.0248739275762513,0.14935064935064934,0.2045002711006687,0.36982572078704834,0.3705593489083846,0.23849738055047778,0.11389601892395189,0.0,0.0,,
31.0,0.6174902204451636,0.5267508931179812,40.15616,40.15616,0.0,0.19165086387094,0.31834252117462536,0.34130118044192614,2.475445739755813,0.30320981968265065,0.5460917750469148,0.7110459454832294,0.11486656596173213,0.2823493351425056,0.5053595445532895,0.1167290602498896,1.0248739275762513,0.14935064935064934,0.2045002711006687,0.36982572078704834,0.3705593489083846,0.23849738055047778,0.11389601892395189,0.0,0.0,,
32.0,0.6060036957071997,0.6572737988230158,40.15616,40.15616,0.0,0.20156609230865347,0.32378111450772246,0.35297430064852287,2.651239590947711,0.322994009431055,0.5718512176409408,0.7272641719378886,0.11486656596173213,0.3001345923837476,0.5053595445532895,0.1167290602498896,1.0248739275762513,0.14935064935064934,0.2045002711006687,0.36982572078704834,0.3705593489083846,0.23849738055047778,0.11389601892395189,0.0,0.0,,
33.0,0.6413557926825646,0.5708513777081923,43.80672,43.80672,0.9971592150692714,0.21797029150417868,0.29421580067682457,0.3152127148943008,2.1807205927321682,0.34446487227531686,0.5402151481375054,0.6879837464839682,0.11486656596173213,0.2504317258444252,0.4613747452524044,0.10840476170836436,0.9517871013625679,0.1443553362122147,0.2045002711006687,0.33351755142211914,0.37209792218502785,0.2400371270211041,0.11389601892395189,0.006217823763748277,1.299793633283116,0.004422386048898065,0.007811349745287021
34.0,0.6393016916253761,0.5296850028453142,43.80672,43.80672,0.0,0.20724911882381533,0.30105223882794335,0.3269401855646078,2.3508013706745037,0.32863659108168286,0.5541022144715712,0.7035241432257542,0.11486656596173213,0.2678071379531427,0.4613747452524044,0.10840476170836436,0.9517871013625679,0.1443553362122147,0.2045002711006687,0.33351755142211914,0.37209792218502785,0.2400371270211041,0.11389601892395189,0.0,0.0,,
35.0,0.6141575981889587,0.5592863078830286,43.80672,43.80672,0.0,0.20345582644953453,0.31378673017831066,0.339278654509241,2.507552301123073,0.3233515555743636,0.5764381979805046,0.7176481383188398,0.11486656596173213,0.2849218098091451,0.4613747452524044,0.10840476170836436,0.9517871013625679,0.1443553362122147,0.2045002711006687,0.33351755142211914,0.37209792218502785,0.2400371270211041,0.11389601892395189,0.0,0.0,,
36.0,0.5985331123183749,0.5601301993082447,43.80672,43.80672,0.0,0.21824749819270123,0.31541577460517606,0.35449869554512825,2.725783340576242,0.3482911642355946,0.5841731505594164,0.7320552175631035,0.11486656596173213,0.3080510555513868,0.4613747452524044,0.10840476170836436,0.9517871013625679,0.1443553362122147,0.2045002711006687,0.33351755142211914,0.37209792218502785,0.2400371270211041,0.11389601892395189,0.0,0.0,,
37.0,0.6401360493135484,0.5622319749518007,47.45728,47.45728,0.9971592150692714,0.21529401129752382,0.29711859962184844,0.3173454337612412,2.200862561214751,0.3426848687850547,0.5621820821015077,0.6906081757975128,0.11486656596173213,0.2533932757877993,0.4630921628222091,0.10972139102062765,0.9633470252712553,0.13887427669647553,0.2045002711006687,0.33758533000946045,0.3711459602924567,0.23942320351068477,0.11389601892395189,0.005968219790218157,1.3139761285856366,0.004257373667145328,0.007511208937088219
38.0,0.6353385947083071,0.5775505550559679,47.45728,47.45728,0.0,0.2106936839683695,0.3098608202782726,0.33394430199879904,2.3766675261234824,0.33653231421841934,0.5659774495748294,0.7082667004694111,0.11486656596173213,0.2713757217943741,0.4630921628222091,0.10972139102062765,0.9633470252712553,0.13887427669647553,0.2045002711006687,0.33758533000946045,0.3711459602924567,0.23942320351068477,0.11389601892395189,0.0,0.0,,
39.0,0.6160731288170512,0.603501298977448,47.45728,47.45728,0.0,0.20275640370466422,0.31788166447235144,0.34564026995176605,2.5798122077133763,0.32221623643829933,0.5929572831122777,0.7213101811015238,0.11486656596173213,0.2930542588838786,0.4630921628222091,0.10972139102062765,0.9633470252712553,0.13887427669647553,0.2045002711006687,0.33758533000946045,0.3711459602924567,0.23942320351068477,0.11389601892395189,0.0,0.0,,
40.0,0.59991763400952,0.7862548237072462,47.45728,47.45728,0.0,0.20352147466118778,0.3286660476878897,0.36470740058011764,2.750510205619822,0.32818952378416427,0.5709481143279137,0.7365279177272127,0.11486656596173213,0.3113276150564566,0.4630921628222091,0.10972139102062765,0.9633470252712553,0.13887427669647553,0.2045002711006687,0.33758533000946045,0.3711459602924567,0.23942320351068477,0.11389601892395189,0.0,0.0,,
41.0,0.6347484997522763,0.5789802761321614,51.10784,51.10784,0.9971592150692714,0.21610225469672315,0.2962818238551041,0.31968400420682597,2.2167628330664724,0.3420542699623898,0.5728555325688822,0.6921032844200509,0.11486656596173213,0.2550228609064598,0.4474267324103998,0.10574354361163946,0.9284217711089988,0.0653061224489796,0.2045002711006687,0.3270154297351837,0.36883258913476374,0.23783264295547002,0.11389601892395189,0.005659626339009465,1.312752389232628,0.004013457092848475,0.0071725374225255715
42.0,0.6393250484667722,0.7134002857615983,51.10784,51.10784,0.0,0.20222440005538436,0.30856803473054006,0.3285012323244506,2.4162314362373825,0.32083005100030965,0.5335723781941341,0.7074655708974664,0.11486656596173213,0.275176593646267,0.4474267324103998,0.10574354361163946,0.9284217711089988,0.0653061224489796,0.2045002711006687,0.3270154297351837,0.36883258913476374,0.23783264295547002,0.11389601892395189,0.0,0.0,,
