round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6437137243754253,0.3007520997451977,16.30256,16.30256,0.36082339058607577,0.2967784556656551,0.3130220344754298,0.3432086828667049,2.3360066254360308,0.11139081183134045,0.21323183626390563,0.25830274910496853,0.544338750152786,0.694320155911922,0.6634935796251921,0.225175988306654,1.9770312468691595,0.2791012758270295,0.2832116788321168,0.5104120373725891,0.3532138628873619,0.22348821421378234,0.11389601892395189,0.018288732509887464,1.1980804740451276,0.02347666326781557,0.018265221137041956,
12.0,0.6437191455235383,0.29102176353340237,18.12784,18.12784,0.9971592150692714,0.2776135096945317,0.2965169446971417,0.3455468612123466,2.2111814232979192,0.11139081183134045,0.21663151258013888,0.2456537498617057,0.5580082064645706,0.6794496495424397,0.663402746693483,0.2255333522745761,1.9801688803992719,0.277861284088469,0.28310616481180445,0.5267361402511597,0.3510179141690756,0.22311721449055594,0.11389601892395189,0.01377141691149549,2.567942588124424,0.011481308784578955,0.01592277050428079,
13.0,0.6430687614609469,0.341309377010516,18.78832,18.78832,0.36082339058607577,0.29397571498147385,0.31477793002292587,0.3334802563696668,2.377147416953913,0.11139081183134045,0.20910523011636445,0.26289950918097105,0.5603746124263677,0.6941112465090755,0.6633855413951446,0.22578308550160223,1.98236152268287,0.2790296495956873,0.28344895936570863,0.5235222578048706,0.34909080833795114,0.221843054569499,0.11389601892395189,0.015259765959003788,1.0976588176563382,0.020978732211039575,0.015232689329764982,
14.0,0.6265369746269848,0.38346235461177625,19.7816,19.7816,0.5426336261527032,0.29793833861209224,0.3208281116864238,0.3407629755587604,2.4898676088003815,0.11139081183134045,0.2132817551474747,0.27434331494562025,0.608658976803192,0.7050202611390151,0.6631931206515836,0.22566105927370989,1.981290139951101,0.27543295654879185,0.28243890148652057,0.5389173030853271,0.35234491274865504,0.22550013279110656,0.11389601892395189,0.01637707134754846,1.7236807569861412,0.021077890530411966,0.01636137122559422,
15.0,0.6174521429220473,0.5750247870865798,20.44208,20.44208,0.36082339058607577,0.3073626029565262,0.34048442844140103,0.3384892750254207,2.645587083931125,0.11139081183134045,0.21063369236747684,0.29093831056384534,0.5936122464225906,0.720744517362179,0.6626420742255897,0.2250017098507186,1.9755010928077454,0.2757244855102898,0.28170825829688706,0.5386329889297485,0.35332886074494874,0.22574054736175414,0.11389601892395189,0.019295634527903952,1.565350502729416,0.018175316863702978,0.019300836915464914,
16.0,0.6431470090491473,0.37680093010515225,22.27256,22.27256,1.0,0.27680914042393784,0.30085422363355935,0.3467245680959327,2.2570623667655867,0.11139081183134045,0.21726767389549514,0.251283288548934,0.538407776948789,0.6831751553150872,0.6634037004518154,0.2275025021082842,1.9974578941182053,0.2788091837855652,0.28321678321678323,0.53627610206604,0.3452542454710759,0.2199311584305706,0.11389601892395189,0.01265808333424468,2.691221593044247,0.01231062970369637,0.012970500082912484,0.009142199742321748
17.0,0.6433326787737818,0.4277178770678655,22.93304,22.93304,0.36082339058607577,0.28528936776252367,0.3161851414228937,0.3586654789455099,2.4436019893261207,0.11139081183134045,0.22417446188707071,0.27063608824300156,0.5555876877939574,0.7016496250711861,0.6631165940948605,0.22749939488127963,1.9974306128573331,0.2776086956521739,0.2828411405295316,0.5266238451004028,0.34697290122616997,0.22095481639152956,0.11389601892395189,0.01304675271828038,1.15429021185264,0.017492770946263763,0.013026084432156805,
18.0,0.6264398015229503,0.5258643670424391,23.92632,23.92632,0.5426336261527032,0.30280109040051933,0.3308232534586168,0.3399172898364366,2.5953189849636633,0.11139081183134045,0.21011312338371363,0.2863556795121716,0.5652295293186804,0.7147575559115219,0.6624098717200063,0.22685164902373925,1.9917434443007844,0.2774363476733977,0.28195643238799833,0.5379477143287659,0.3446375619796515,0.2195122025478621,0.11389601892395189,0.013944317199614434,1.7384676695801318,0.0147979709615042,0.013941386546962977,
19.0,0.6117693553329424,0.582567740139242,24.5868,24.5868,0.36082339058607577,0.3118386692942499,0.3413595939657131,0.3347275175784567,2.699595605288871,0.11139081183134045,0.20765410126365685,0.29733789635271846,0.5714883226805172,0.7278762282425075,0.6620974782177911,0.22681206015439337,1.9913958564770842,0.27602007418721364,0.28268727408699984,0.52085942029953,0.34634572428457244,0.22070982528534072,0.11389601892395189,0.01590913762784462,1.5611897050403059,0.014399719019156815,0.015916168375658176,
20.0,0.6430510834307451,0.5471982499767309,26.41208,26.41208,0.9971592150692714,0.28187675300384635,0.3059894217895431,0.3409386366936322,2.2896433697579033,0.11139081183134045,0.21290831542629124,0.25496789962366995,0.5391367727758152,0.6862777005755354,0.6632381606338859,0.2268300359881963,1.991553683185803,0.28121102165778433,0.286366880799429,0.5354853868484497,0.34404133844608253,0.21806090504733375,0.11389601892395189,0.012009494998155356,2.870287427911535,0.011186345204394335,0.012646989182731832,
21.0,0.6402576923948015,0.4886475536610845,26.42232,26.42232,0.005594161094357764,0.29144773466914814,0.3174719400833908,0.33391803787942664,2.4709351286672225,0.11139081183134045,0.2089042800034141,0.2735336124252429,0.5749755163324786,0.7020753217619131,0.6632554412289347,0.22696504564994457,1.9927390596636096,0.2799866354827932,0.2867162294852013,0.5368108153343201,0.3462776624733494,0.2197204521603081,0.11389601892395189,0.014132914286588836,0.014789687469601631,0.014305934515511771,0.013967797153623729,
22.0,0.625716146339173,0.595098946675827,27.4156,27.4156,0.5426336261527032,0.3007926575151482,0.3356684148625645,0.3569494492095961,2.6441841218696536,0.11139081183134045,0.2218996320403083,0.29161318679567266,0.5725327493410729,0.72050968279365,0.6630484882202564,0.22661348009710974,1.9896523358592457,0.27995203314073913,0.285595567867036,0.5395215749740601,0.3517930289469159,0.22365765397228402,0.11389601892395189,0.012949373362667948,1.8233832214027643,0.011150333015447805,0.012956132849900602,
23.0,0.611559757052874,0.6568136679266393,27.42584,27.42584,0.005594161094357764,0.3108346214868641,0.3559373226576201,0.3292561602074379,2.8024662537503047,0.11139081183134045,0.20421249899130844,0.3080113942591101,0.5876586741512867,0.7319519960430644,0.6630511361545739,0.22661162018621678,1.9896360059566687,0.2805567638103523,0.2855162855162855,0.5422402620315552,0.3517021625634828,0.2237659713471848,0.11389601892395189,0.014348839809433474,0.016191447619348764,0.010730841095040928,0.017773026928581587,
24.0,0.6424964686963182,0.4917751240260869,29.25632,29.25632,1.0,0.282742836800186,0.3116186816951164,0.34482625579640797,2.317232968590073,0.11139081183134045,0.21573666864694918,0.2582461791027916,0.5568748452233548,0.6890072394920184,0.6627762780625193,0.22692751162836566,1.9924095132761808,0.2820427606070677,0.2867518493611298,0.5324743390083313,0.34367377579649416,0.21941285734930913,0.11389601892395189,0.010435806073372435,2.6875493879306305,0.009193753865565977,0.011391435571712636,0.009640669113869411
25.0,0.6437904120729891,0.5596755543661195,29.26656,29.26656,0.005594161094357764,0.30360488183811984,0.32459660166834814,0.3143585111315803,2.513532504172309,0.11139081183134045,0.19708827895444134,0.27845297697470484,0.5394375364610877,0.7082201876505217,0.6627534380603487,0.2269516378636401,1.992621340129326,0.280820423303513,0.28672086720867207,0.5368526577949524,0.3451228488745333,0.22043663487817286,0.11389601892395189,0.012514694856523435,0.015407325234264135,0.012406793785542047,0.012622760628377845,
26.0,0.6231854458269895,0.5680717487198784,29.60704,29.60704,0.18600585638739567,0.3074288965411003,0.34720765978914436,0.3398052768111862,2.7169022096676434,0.11139081183134045,0.21008148912109442,0.30017834248174846,0.5748325743264114,0.7248483268126307,0.6626919331973609,0.22693618169906016,1.9924856359605065,0.2789547263146575,0.28606224627875504,0.5437186360359192,0.3488626490185891,0.22308453163166173,0.11389601892395189,0.013413780110947654,0.5077059112954885,0.009777127590905576,0.013474684559765861,
27.0,0.6096732603585189,0.7034133513570464,29.61728,29.61728,0.005594161094357764,0.318176391257527,0.3601966681472925,0.31410311161570637,2.870075203406949,0.11139081183134045,0.19379407776811625,0.31567531614893146,0.5973873904097973,0.7357581413625502,0.662639238049496,0.22701579420888823,1.9931846288715864,0.27930660888407366,0.28654430212597387,0.5395901203155518,0.3480455658439676,0.22262976081257815,0.11389601892395189,0.011513005996921493,0.014886860735714436,0.009753320234348136,0.013331723270097979,
28.0,0.6421086796967435,0.6136080781036051,31.44256,31.44256,0.9971592150692714,0.28151449591443706,0.3090909465036341,0.34116022908114146,2.3207285574154737,0.11139081183134045,0.21365579135360974,0.25922689548619765,0.5647870032666539,0.6909798738207359,0.6621850733909507,0.22676708133462176,1.9910009452220943,0.2800814314796957,0.28480725623582764,0.5675945281982422,0.35355455073063435,0.22557645068925727,0.11389601892395189,0.009978120636172526,2.7052418019156903,0.008615412476712938,0.01103807731748858,
29.0,0.6404467544546506,0.6400690465649139,31.4528,31.4528,0.005594161094357764,0.29724037430946093,0.3255305870847061,0.3324778160048664,2.5348876330290526,0.11139081183134045,0.20805171523113727,0.28121068308344377,0.5886229694714856,0.7103276079085188,0.6620836361725195,0.22680997102204284,1.9913775140242904,0.27885128643108786,0.28490622208990773,0.5656238794326782,0.3537281729797303,0.22571221730690816,0.11389601892395189,0.010944675442365654,0.0150032052770257,0.010864660131593054,0.011029209014608344,
30.0,0.6209026729060004,0.6748659060388973,31.79328,31.79328,0.18600585638739567,0.30670833473013265,0.34093447586948,0.33797749800538995,2.7390974764070193,0.11139081183134045,0.20949897605799067,0.3028942579871747,0.5986356714448514,0.727643558316257,0.6620439673555628,0.22673393598657265,1.9907099311167529,0.2774674115456238,0.28523895946763456,0.5735980868339539,0.3545891506985229,0.2269116195745209,0.11389601892395189,0.01779016768932489,0.7288235290907323,0.007611388014025943,0.017975501965235764,
