round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_ece,fed_brier,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_f1_best,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
14.0,0.6412852649397208,0.48358078276874056,51.25344,51.25344,1.0,0.28540734819993796,0.3123288025825368,0.1979180923652093,0.6812929080431256,0.11417421953675731,2.1800275251988777,0.5138006715773635,0.3083695303976657,0.24920815117433795,0.6670212305098857,0.22235518765309942,1.9522647916391658,0.28301182327317986,0.28376068376068375,0.5266687273979187,0.3101985549715566,0.19860975203817324,0.11389601892395189,0.006521729056142781,1.5395563776528434,0.004605135676748544,0.008429902720521621,0.0036839445124852016
15.0,0.6453370428155344,0.5930465478773976,54.9144,54.9144,1.0,0.2882367217212512,0.3406794432237414,0.21481730168823032,0.6860991384506606,0.11417421953675731,2.2192389354943667,0.5559942969772872,0.3134115312476835,0.2535928318057875,0.665461308559444,0.22179559460534784,1.9473515992990085,0.27637803938827155,0.2813320436645019,0.5428446531295776,0.3389920911690424,0.21600719330399154,0.11389601892395189,0.006403229271866525,1.5961732980385932,0.0044873453319825,0.00834085365318316,0.0030865862301347933
16.0,0.6383144259206196,0.5191762893005574,58.57536,58.57536,1.0,0.28862609963214225,0.33758304865603134,0.21285511036507015,0.6874324925819991,0.11417421953675731,2.245979617565347,0.5599782417255406,0.3150801374106585,0.25672185662006725,0.6652940494666256,0.22357263585356923,1.9629539115221242,0.2783171521035599,0.2852627419992098,0.5324668288230896,0.3362847164451756,0.21456996621208993,0.11389601892395189,0.006918046497549804,1.8192127013517165,0.004528311933973071,0.009354821333140787,0.004891022214863882
17.0,0.643696704430318,0.6392766574840054,62.23632,62.23632,1.0,0.2862909653844794,0.33242141346054194,0.21022741198888562,0.6893997076219095,0.11417421953675731,2.249310707072103,0.5679377466383928,0.31784413437344977,0.2568087799321767,0.6661122862696599,0.22410482378382496,1.9676264886260795,0.2784014369106421,0.28066707844348365,0.5217145681381226,0.33078659025174967,0.21195241222491792,0.11389601892395189,0.006395752862517566,1.7763940082259069,0.004186103395658618,0.008677774918150152,0.0037965436150841332
18.0,0.6379405151386004,0.7001965250322592,65.89728,65.89728,1.0,0.28692941477289796,0.3379938369283916,0.21376988199171193,0.6932748487745755,0.11417421953675731,2.2806206404038467,0.572999344802905,0.32143256798605796,0.2605823020911148,0.664583411662828,0.22220402382762236,1.9509375826031943,0.2740462117141322,0.28118188423347057,0.527148962020874,0.33629765679497403,0.21600189806178208,0.11389601892395189,0.0061028540061069435,1.7859945711625187,0.004085946071121713,0.008212849678101456,0.0038748121003089396
19.0,0.6424498739488367,0.8699250307448947,69.55824,69.55824,1.0,0.2879625264139714,0.3374208757179731,0.21311105612175418,0.6941142892708778,0.11417421953675731,2.299336483209673,0.5566197103649108,0.32121658492553024,0.2625718636603099,0.6642873449973292,0.22352962191148598,1.9625762517716814,0.27361844231390714,0.2782435697029984,0.5522035360336304,0.33587843940791434,0.2155032557878099,0.11389601892395189,0.005632195788875581,1.7379579942498822,0.003732137138182888,0.0076363023215258695,0.0032944262329574685
20.0,0.648137689042215,0.7871292240902944,73.2192,73.2192,1.0,0.28858483086353154,0.3299909875977199,0.2090251804608317,0.6948434107640534,0.11417421953675731,2.329177332233706,0.5648167789121198,0.3224964526587046,0.26589435098494746,0.6620523629387783,0.22087885920321976,1.939302719181959,0.27512066695919263,0.27824019024970276,0.5610765814781189,0.32830742710555494,0.21196196311609386,0.11389601892395189,0.005542408344639962,1.7935339921314153,0.0035254340455826193,0.007694708593294801,0.003683342190601708
21.0,0.6452134629350061,1.0287746114456624,76.88016,76.88016,1.0,0.28525070902495,0.33744642650732,0.21364695734215702,0.6967526024012157,0.11417421953675731,2.332918996320604,0.5612057910393643,0.3257602839067499,0.26645276966793346,0.6612911508444602,0.22002191305922658,1.9317787850524846,0.26953449709060684,0.2768976443036231,0.5544160008430481,0.3355180969589012,0.21648643936305695,0.11389601892395189,0.004929721270057796,1.6727562346695777,0.0032465731116050347,0.00673869823559149,0.003457083761521616
22.0,0.6441921011993661,0.9100638394453682,80.54112,80.54112,1.0,0.2889441030466888,0.3351560547537088,0.21169438257884488,0.6986539965361547,0.11417421953675731,2.364029809480769,0.5684715212535671,0.3250697141876084,0.26978762685193014,0.6609249703920785,0.220953080422158,1.9399543768925573,0.2723991507430998,0.2773610898515231,0.5647168755531311,0.3333033917541045,0.21482324519667947,0.11389601892395189,0.00471343539243545,1.6688782250566874,0.0029667004064816605,0.006622083608125664,0.0029668641727269196
23.0,0.6473058330594654,1.062154714326355,84.20208,84.20208,1.0,0.2954528692589346,0.32275605350575703,0.20305128702536496,0.701535012061867,0.11417421953675731,2.383412250546279,0.5303082293160221,0.32943928954229795,0.2719345777861239,0.6616782010350889,0.22007693194063566,1.9322618474275253,0.2754789706382496,0.27925195855446044,0.519293487071991,0.32093504523720906,0.20625717070527674,0.11389601892395189,0.004656260527199003,1.7225818892929965,0.0028811672860949945,0.00660550413808643,0.0036212490552276233
24.0,0.6409682492636372,0.9374374493076585,87.86304,87.86304,1.0,0.3016478014047218,0.30748410611744037,0.19290668219676488,0.7025019299409039,0.11417421953675731,2.4169857037715,0.5131031900385447,0.3321273759695169,0.2762825911802494,0.656688827659835,0.22038813982770636,1.9349942334231982,0.27420185375901135,0.27651847213525366,0.49512046575546265,0.30580678615241735,0.1968453607310998,0.11389601892395189,0.004574383262077053,1.7733268627162033,0.002606055582338905,0.006740273908301242,0.003707342285964391
25.0,0.6491903260587361,1.488683964298657,91.524,91.524,1.0,0.2954790654265121,0.325464057748643,0.2043183590960615,0.7031741067133103,0.11417421953675731,2.4340624367706627,0.5604349569908051,0.33354184054163527,0.2780260367367644,0.6597670575787419,0.2192224674395697,1.9247597019694256,0.27270668176670443,0.2756644085461178,0.52554851770401,0.32361526206485236,0.20824769594108455,0.11389601892395189,0.00458194445821381,1.853931356285102,0.0024975559519860788,0.0068845204703510835,0.0024885114792605393
26.0,0.6445879377557058,1.0563641460673638,95.18496,95.18496,1.0,0.29478562472970726,0.33830989600644124,0.2119615376411245,0.7053871732699623,0.11417421953675731,2.4439016450331708,0.5641258253386733,0.33367375507122793,0.27945074625012384,0.657314844510536,0.2163818813773024,1.8998195320749542,0.267488836912609,0.2723286406646665,0.5147190093994141,0.33664198111264826,0.21616956321087535,0.11389601892395189,0.004261944002094293,1.7965889410606906,0.0023704076120590763,0.006360961710412794,0.002199430265704045
27.0,0.6413277573483022,1.0244128429998416,98.84592,98.84592,1.0,0.2965310338779041,0.3286893484556639,0.2070041580147315,0.7069961528368687,0.11417421953675731,2.467725345780126,0.5562428638868011,0.3335741775139392,0.28240984879089565,0.6576886424801249,0.21555802947632974,1.8925861633518317,0.26737967914438504,0.27535456248327533,0.538815438747406,0.3269215809755107,0.21169604245060852,0.11389601892395189,0.003915901984317096,1.7149892123597965,0.002148649816293357,0.005887935724737035,0.0033760046918932794
28.0,0.6414931226375027,1.4441763458884815,102.50688,102.50688,1.0,0.2994002594811439,0.32167649575207136,0.20206336594361668,0.7078930701115003,0.11417421953675731,2.5015328965256343,0.5664596773781566,0.33662597231391167,0.28628806595210826,0.6556551293198413,0.215358310111026,1.8908326396800599,0.27239976757699014,0.2725732899022801,0.5198832154273987,0.32011020325106077,0.20748794022820716,0.11389601892395189,0.0041266109900168465,1.8726102520031418,0.0021783170603936865,0.006310255152445616,0.003377945359149259
29.0,0.6402656347091462,1.3514012768788364,106.16784,106.16784,1.0,0.3021191819044841,0.32951268772129794,0.20669921200761926,0.7085594599551183,0.11417421953675731,2.516254133472495,0.5524884331558736,0.33535614419762805,0.28782618914077424,0.6547625370152353,0.21768531806326955,1.91126362554092,0.2701258211780425,0.27551659361302444,0.5199753642082214,0.3280913780768705,0.21216239279126134,0.11389601892395189,0.004117828765181631,1.941095132899136,0.002085009677445889,0.006394397378251534,0.003970325328381412
30.0,0.6448384688764286,1.494564618567087,109.8288,109.8288,1.0,0.2957196145121348,0.329995659036899,0.20786144783800528,0.7108820283037036,0.11417421953675731,2.552263647738442,0.5625634307392535,0.3393667301899904,0.29234758535334054,0.6548851326093036,0.2153313143046882,1.8905956181705035,0.26561514195583596,0.2728353948620361,0.5198100209236145,0.3283196660385615,0.213417495365486,0.11389601892395189,0.003716523220797817,1.8158383357786079,0.0020109051592373116,0.005630947092176386,0.0036388877801739744
31.0,0.651548337045653,2.276319009124381,113.48976,113.48976,1.0,0.2973905950631267,0.32850970558293185,0.2056696460046217,0.7122290162784899,0.11417421953675731,2.5806359909388634,0.5472806610470902,0.3407213921407809,0.2951704077914604,0.654420715048685,0.2159643848107065,1.896153938048576,0.2676056338028169,0.2745344740815299,0.5213067531585693,0.3267570130683436,0.211495629534474,0.11389601892395189,0.0035787303027588688,1.809309926287824,0.0019068981195048797,0.005466218473611047,0.0034466708811668792
32.0,0.6539976323151181,1.595911434171443,117.15072,117.15072,1.0,0.3040859310138748,0.31891806878955853,0.19937106039580935,0.711241528372563,0.11417421953675731,2.5663815161903263,0.5406946234483823,0.3406210774609463,0.29377750419358245,0.651599422604745,0.21604183506042035,1.8968339464496207,0.27380241309282044,0.2756115282150642,0.5019243359565735,0.3172839402390976,0.20530817336283638,0.11389601892395189,0.0036352518326781013,1.8989127899767482,0.0018002161223132688,0.005715042529556107,0.0038086204869553658
33.0,0.6478524400635957,1.6090971675494417,120.81168,120.81168,1.0,0.3021837890888411,0.3130896296979141,0.19676753942755235,0.7146327314316675,0.11417421953675731,2.5892664683676725,0.5597212073887432,0.3459779370926143,0.29703119711787107,0.6495166151980186,0.21537625364678586,1.8909901828139586,0.271214445886935,0.27265325113411654,0.4975326657295227,0.3111437795334417,0.20349827018442454,0.11389601892395189,0.0034560839469876324,1.8665125313691533,0.001704045322510413,0.0054417480197507225,0.004557514662111142
