round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_ece,fed_f1,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
12.0,0.6233937895184806,0.49581446855465305,26.8032,26.8032,0.5412350858791136,0.3171368985380475,0.20891736787297951,0.3309675143445852,0.29739429899246367,0.11422997041978729,0.6935470130539523,0.5678723464172553,0.2545253171730022,2.2553271544180267,0.35447119898315305,0.08235463716972538,0.7230686194985743,0.2045002711006687,0.20452799493876814,0.5080867409706116,0.42832842927447284,0.28686261648600136,0.11389601892395189,0.007603483252023085,0.7732146631460637,,0.007603483252023085
13.0,0.6118318614057549,0.7358658215117455,28.78464,28.78464,0.5412350858791136,0.3292316397362765,0.2123465270514289,0.33753417866171226,0.30410176980657766,0.11422997041978729,0.704496558726915,0.5578501657888494,0.26912205714610316,2.3911189268317883,0.380183833404723,0.08531437565304861,0.7490549402785783,0.2045002711006687,0.20450951154489178,0.5089397430419922,0.42782578801189597,0.2857089185536975,0.11389601892395189,0.007941778222485278,0.8439428131096065,,0.007941778222485278
14.0,0.5922929507129103,0.793190268868367,30.76608,30.76608,0.5412350858791136,0.34205309534837325,0.20471380836819475,0.3277902184554236,0.3089688791018094,0.11422997041978729,0.7143700635906068,0.5748509705813193,0.2848200613902905,2.5373408495001932,0.38525674848022373,0.08593080971983187,0.7544671932493766,0.2045002711006687,0.20451875282422052,0.5091435313224792,0.4314879695610441,0.289202400664124,0.11389601892395189,0.008288388658178663,0.923084270209074,,0.008288388658178663
15.0,0.6392926440747179,0.7762773000951521,32.4352,32.4352,0.4559241291901578,0.2990555041735989,0.20488260043326773,0.3221178116614831,0.28325181772755426,0.11422997041978729,0.6730078302378552,0.5142405958748562,0.2348245407577343,2.0647252189520677,0.3777646630429539,0.08494877303125282,0.7458449718771376,0.2045002711006687,0.20450951154489178,0.5095825791358948,0.4319875911129422,0.28990986396866425,0.11389601892395189,0.01158247184253155,0.6267420165240765,0.01158247184253155,
16.0,0.6409401815188757,0.8359143636088906,34.41664,34.41664,0.5412350858791136,0.3121462409216504,0.22186885279853744,0.3532740033375692,0.28875725839664346,0.11422997041978729,0.6877226107921988,0.5443441616977933,0.2485641037494334,2.194734894584062,0.38853402525321157,0.08642911900289817,0.7588423179269039,0.2045002711006687,0.20452284034373586,0.5178271532058716,0.4304227124487329,0.28789719080757137,0.11389601892395189,0.0063093888436430755,0.7273010892095044,,0.0063093888436430755
17.0,0.6222661514505721,0.6688448553830914,36.39808,36.39808,0.5412350858791136,0.32484019175241297,0.21462595052714284,0.3410771798249387,0.2972789536095045,0.11422997041978729,0.7006944068441467,0.5492330675582333,0.2654900333227471,2.3550265048658243,0.4128133365935136,0.09046444380792451,0.7942722200705489,0.2045002711006687,0.20457225800598747,0.5205077528953552,0.43268784066920274,0.2896736879754521,0.11389601892395189,0.006609246033452152,0.7867694958113134,,0.006609246033452152
18.0,0.6060581510484377,0.9398097296749712,38.37952,38.37952,0.5412350858791136,0.3340610800161089,0.21894764016205084,0.34682796033334573,0.29733202105729184,0.11422997041978729,0.709880334535493,0.5719777617327585,0.2807315936417417,2.5002014071858856,0.4061609475217568,0.08895952677899169,0.7810591416578815,0.2045002711006687,0.20452799493876814,0.5124712586402893,0.4379795937132802,0.2950104861442394,0.11389601892395189,0.007199638457882721,0.8916274891234934,,0.007199638457882721
19.0,0.5946285883912809,0.8743730593643699,40.36096,40.36096,0.5412350858791136,0.34339654664552915,0.18674120992095888,0.2977823282272141,0.3159003740374007,0.11422997041978729,0.7156439811337271,0.5498042042274611,0.2924585187985451,2.6067258246634353,0.37887709664317726,0.08513424946184366,0.7474734434632663,0.2045002711006687,0.20455572629485672,0.5163961052894592,0.44615144132697837,0.3036816200792635,0.11389601892395189,0.007172166635258166,0.9330532602034509,,0.007172166635258166
20.0,0.6413115278801642,1.1414203173386537,44.01152,44.01152,0.9971592150692714,0.30547569826123844,0.21671879667945854,0.34312159532293207,0.28333913862411186,0.11422997041978729,0.676213492569754,0.5341732765194664,0.2390179382574612,2.097920147470421,0.37825960087020905,0.08510827861929925,0.7472454210724069,0.2045002711006687,0.20450951154489178,0.513823926448822,0.43463833553513015,0.29217739746543164,0.11389601892395189,0.00696249720101447,1.345039821579121,0.010354813849694776,0.005486370624982943
21.0,0.6378988358592663,0.734253435076105,45.99296,45.99296,0.5412350858791136,0.319523997777149,0.20950180291045623,0.33201615465362394,0.29622727159911183,0.11422997041978729,0.690200230544134,0.5431913702646552,0.25442512834606434,2.241202720313121,0.39252584270948887,0.08695418652713917,0.7634523783065524,0.2045002711006687,0.2045002711006687,0.5112333297729492,0.4356918741534872,0.293032301914198,0.11389601892395189,0.005120694150332837,0.7025226964615285,,0.005120694150332837
