round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_ece,fed_auprc,fed_brier,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
14.0,0.6634712011624196,0.16098548877307042,1.22535,51.25344,1.0,0.6516607982394442,1.9585516013486524,0.28217820429112345,0.11331444759206798,0.3537353610050614,0.22001429943834705,0.22187561965248234,0.2573606633425116,0.48702179306814947,0.6620254820131469,0.21481273082668217,1.886042487315664,0.2732460557233971,0.2836233084783209,0.48979371786117554,0.3529183968779389,0.22189899335520058,0.11389601892395189,0.004940349279880556,0.22086600871170958,0.002399827032050218,0.008634199789851176,0.0006072334678733413
15.0,0.6611736094607881,0.1815504017279957,1.312875,54.9144,1.0,0.6517456241679833,1.9591632649173154,0.2823747403594238,0.11331444759206798,0.3508989861918051,0.22012237830609574,0.21976333634684903,0.2576762309136991,0.4852319378259238,0.6620352831349574,0.21481367407902943,1.886050769012919,0.27603143418467585,0.2834815413635139,0.4873102307319641,0.35017936979316183,0.21979106010255364,0.11389601892395189,0.006398258884862874,0.3089528409968807,0.0021918992643839455,0.012743094779592137,0.00048805607330822896
16.0,0.6590013362856877,0.17934581491955393,1.4004,58.57536,1.0,0.6520443409936593,1.965827920232827,0.2827760994098639,0.11331444759206798,0.34797344061613156,0.22079013982918994,0.21749177344948745,0.25819735136665123,0.48586962377458465,0.6621287263526289,0.21521733197386628,1.8895948603573791,0.276232308443143,0.2838254737769943,0.49427059292793274,0.3470602067141211,0.21751817576790847,0.11389601892395189,0.003741847320335855,0.19603972864661046,0.0010725404913922653,0.007864726198232837,0.00047226241148405374
17.0,0.6585938500511425,0.19850180736261583,1.487925,62.23632,1.0,0.6521563487269005,1.9683038634922305,0.28310576482253824,0.11331444759206798,0.34623041560449513,0.22106787049861304,0.2163505275644081,0.2602934450933902,0.48883046597702,0.6621793884893115,0.21529094503280344,1.8902411784607915,0.2783894306385656,0.28429655575014595,0.4957013428211212,0.34554552372097463,0.21637711608727808,0.11389601892395189,0.004242571118571677,0.23863181220121987,0.0016306999837467052,0.008342719247018708,0.0005386724525865399
18.0,0.6610537686948772,0.20566276663919184,1.57545,65.89728,1.0,0.6522635099283491,1.9714404894575432,0.28332507747998753,0.11331444759206798,0.3453969118071308,0.22140682981581528,0.2157760741369771,0.2619982374041853,0.48850521804365604,0.6621559712123609,0.21534706879847373,1.8907339416512923,0.27837795522154374,0.2840392789095706,0.49619653820991516,0.34472614906833643,0.21580193473710638,0.11389601892395189,0.0036655613053214477,0.22107627196055546,0.0008841899386068259,0.008200685927664791,0.0007005474154941891
19.0,0.6589118605073606,0.19691945175705267,1.662975,69.55824,1.0,0.6523626769302481,1.9720874775214847,0.2831365792641555,0.11331444759206798,0.3465458329083374,0.22146535147049953,0.2164217275823799,0.2629815303195452,0.48954003316484834,0.6621863534350284,0.215356303118887,1.8908150184132417,0.28170303677704867,0.2842833996170275,0.49790599942207336,0.3457137477527514,0.21645230231156745,0.11389601892395189,0.004183180461563346,0.265547468081877,0.002060887101750796,0.007791884272188674,0.0008684805626045625
20.0,0.6611601223787099,0.2533221162743602,1.7505,73.2192,1.0,0.6524044838083621,1.9734707327679624,0.2830231108820485,0.11331444759206798,0.3461000682217992,0.22158988484270706,0.2161433244818693,0.26261370780327653,0.49070493822620087,0.6621636263779235,0.21536011247315073,1.8908484643080123,0.2828101644245142,0.2839905826957034,0.49909138679504395,0.34536358231422776,0.2161757771013678,0.11389601892395189,0.004600832160377533,0.3081408133830337,0.0007095172679285807,0.011458025942952586,0.000774866844846726
21.0,0.6604058762105354,0.2297197510816698,1.838025,76.88016,1.0,0.652481339916724,1.9742168661779445,0.2831420597339665,0.11331444759206798,0.3452179566021043,0.22168159881004618,0.2155257820992259,0.2631692563746522,0.49026967464733107,0.6621789116101454,0.21539937485983685,1.8911931856341573,0.281282939316368,0.2839057239057239,0.4895879328250885,0.34451080029315206,0.21556677339726343,0.11389601892395189,0.0026156437284710504,0.18563886093625115,0.0017620693327310489,0.004147104439301573,0.0007712869924536799
22.0,0.6615586278707237,0.24582937629624477,1.92555,80.54112,1.0,0.6525274704020143,1.9741729908096195,0.28310775717870496,0.11331444759206798,0.3453444666876746,0.22169236361026107,0.21565683059800242,0.2608036286534859,0.4919634106532935,0.6622174886248003,0.21541583158028008,1.8913376746215576,0.2828134196586227,0.28440118951067855,0.49123620986938477,0.34472324940691396,0.21570088407119287,0.11389601892395189,0.0034326152696148916,0.2562942706863396,0.0017994558095245825,0.00639426451134056,0.000875371633975349
23.0,0.6587420064445446,0.2340890718510039,2.013075,84.20208,1.0,0.6525345028470658,1.973817611041061,0.2837386058817011,0.11331444759206798,0.3453229974454628,0.22167496208662565,0.21564055353285488,0.26089535904877903,0.4922661197665807,0.6622242527792894,0.21541461462133052,1.8913269897972673,0.2825007303534911,0.28424750067549315,0.49162712693214417,0.34470553006707794,0.2156872915878202,0.11389601892395189,0.0031980296702968265,0.2503091891121585,0.0006881761198617874,0.007890026098881866,0.0009337795825566363
