round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auprc,fed_brier,fed_auprc_lift,fed_auroc,fed_f1_best,fed_prevalence,fed_f1_best_threshold,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6413913010982447,0.3871204143448049,29.20448,29.20448,0.9971592150692714,0.3224660093565017,0.25007991196759416,0.20426929933215177,2.178568479455605,0.6754295875006076,0.31022365851679806,0.11492950654582076,0.5313843329608711,0.29279198455738686,0.5657142377395245,0.166822864562988,1.4646944304030087,0.01050328227571116,0.21493775933609957,0.4805724322795868,0.3669748253131514,0.23540314495021122,0.11389601892395189,0.007737204450859287,1.281700019375421,0.006827320075379921,0.008467470656086646
12.0,0.6425389817043506,0.4333858129304572,29.20448,29.20448,0.0,0.33497880331206836,0.2655591374954457,0.21194067660112656,2.323720936918164,0.6916834949980852,0.3243084185237797,0.11492950654582076,0.5661215701544693,0.29651898865688886,0.5657142377395245,0.166822864562988,1.4646944304030087,0.01050328227571116,0.21493775933609957,0.4805724322795868,0.3669748253131514,0.23540314495021122,0.11389601892395189,0.0,0.0,,
13.0,0.63903128009844,0.44956775469918336,32.85504,32.85504,0.9971592150692714,0.35076040737302777,0.25184628494602107,0.22194999965175824,2.194676507649791,0.677056276262354,0.3153730976103843,0.11492950654582076,0.5619426655760343,0.28144726087909033,0.5151427331973006,0.1309759331775423,1.1499605905013646,0.0,0.20603924115218702,0.4747783839702606,0.36509879025451075,0.23417400459746152,0.11389601892395189,0.00785647706642255,1.3783973389072344,0.0064841227938100005,0.008982478427909597
14.0,0.6369205653116048,0.3802823207405972,32.85504,32.85504,0.0,0.3416986831464812,0.2722565687008867,0.215488132473032,2.3788180769406497,0.6955168330702316,0.32979699593866363,0.11492950654582076,0.5705227201104854,0.29523530485469407,0.5151427331973006,0.1309759331775423,1.1499605905013646,0.0,0.20603924115218702,0.4747783839702606,0.36509879025451075,0.23417400459746152,0.11389601892395189,0.0,0.0,,
15.0,0.6406302268906149,0.5020863046639763,36.5056,36.5056,0.9971592150692714,0.34538905655032953,0.25218630355497745,0.2187619378030469,2.197860273380557,0.6776615895741603,0.31421066932995434,0.11492950654582076,0.547981597642599,0.2810219888562329,0.47702224249767416,0.1214086825102406,1.0659607215183255,0.0026431718061674008,0.20450951154489178,0.4354967474937439,0.36680833811524516,0.23549651409411199,0.11389601892395189,0.00789343276050939,1.4645357528934255,0.006655602413191503,0.008934274542953261
16.0,0.6436264679958879,0.46621144789436747,36.5056,36.5056,0.0,0.3576242113556274,0.2759457566298641,0.22628506463785336,2.415002628578441,0.697401323190689,0.32707031759729227,0.11492950654582076,0.5730785141433593,0.28594989383830444,0.47702224249767416,0.1214086825102406,1.0659607215183255,0.0026431718061674008,0.20450951154489178,0.4354967474937439,0.36680833811524516,0.23549651409411199,0.11389601892395189,0.0,0.0,,
17.0,0.6414174551567939,0.49957416874935,40.15616,40.15616,0.9971592150692714,0.34312585567162646,0.2580696819910723,0.21723270196859476,2.2487351547821235,0.6814434625728393,0.3164658034517623,0.11492950654582076,0.5439123198697634,0.2828660832274194,0.5632877133990346,0.16366916767400924,1.4370051668205432,0.01992204417496752,0.2142099681866384,0.48144233226776123,0.36825549173375505,0.2363127572739017,0.11389601892395189,0.007843434756860963,1.5401815263321623,0.005868022738432285,0.009540484653692453
18.0,0.6377154806374226,0.5315257343731026,40.15616,40.15616,0.0,0.3301469356375901,0.2762866054616762,0.20747708024533681,2.421443760909717,0.7008559869351415,0.3344713501032302,0.11492950654582076,0.5509569103466601,0.3028265692047821,0.5632877133990346,0.16366916767400924,1.4370051668205432,0.01992204417496752,0.2142099681866384,0.48144233226776123,0.36825549173375505,0.2363127572739017,0.11389601892395189,0.0,0.0,,
19.0,0.6361187667207278,0.5130443487299167,43.80672,43.80672,0.9971592150692714,0.3314602818975012,0.2587950104106525,0.21029155862099397,2.25454235767754,0.6829868952717844,0.317429239848624,0.11492950654582076,0.5555867037688048,0.28797834100091335,0.6272880097668869,0.2057870894831095,1.8067979146884237,0.07794294897549217,0.2504071661237785,0.48488345742225647,0.36674635186907667,0.23481857766407135,0.11389601892395189,0.007588238747238559,1.5772695229388773,0.005536169195803071,0.00937798547251908
20.0,0.6347884091900385,0.5719248933958939,43.80672,43.80672,0.0,0.34717855711461937,0.28239536318427294,0.21734108758266224,2.4721299179783522,0.7065747393227636,0.3326134537258962,0.11492950654582076,0.5645882549760386,0.3032777312266007,0.6272880097668869,0.2057870894831095,1.8067979146884237,0.07794294897549217,0.2504071661237785,0.48488345742225647,0.36674635186907667,0.23481857766407135,0.11389601892395189,0.0,0.0,,
21.0,0.6366188364633549,0.6681266559628939,47.45728,47.45728,0.9971592150692714,0.32920124749714,0.25978322963540956,0.20852451405691932,2.263114676233346,0.6851687728841444,0.31701324730382147,0.11492950654582076,0.5562869877463501,0.2919250436452843,0.6397532672372117,0.20777630559660998,1.824263109102538,0.04145516074450085,0.2555086732301922,0.48181113600730896,0.36512449397835106,0.23360849730119362,0.11389601892395189,0.007190051326969838,1.5819431149866432,0.005161617916302066,0.008980262428188394
22.0,0.6348165581743255,0.7003991182043439,47.45728,47.45728,0.0,0.3145135590156647,0.28204906316415596,0.19748633136218605,2.4675283728320476,0.7039483068038203,0.33063175531039796,0.11492950654582076,0.5400735947949677,0.3091575839129134,0.6397532672372117,0.20777630559660998,1.824263109102538,0.04145516074450085,0.2555086732301922,0.48181113600730896,0.36512449397835106,0.23360849730119362,0.11389601892395189,0.0,0.0,,
23.0,0.6374343779007274,0.6335429769557416,51.10784,51.10784,0.9971592150692714,0.33615009401139895,0.26377876673566,0.21269625330641903,2.2973423216825535,0.6884372361823624,0.3212226759175779,0.11492950654582076,0.5783687574265587,0.2893455844078961,0.4902927606379318,0.11651503170112859,1.0229947701589588,0.000882223202470225,0.20814697253883518,0.477018266916275,0.36755248997074547,0.23601882276751984,0.11389601892395189,0.006098575753113107,1.4161338709527627,0.004708827034332023,0.007348495116003631
24.0,0.636417010678404,0.658049374804494,51.10784,51.10784,0.0,0.34384063369766144,0.28767556055919047,0.21701264934030115,2.5214390201035974,0.7086775469774207,0.34339715507229857,0.11492950654582076,0.6009905616708723,0.30234691239043987,0.4902927606379318,0.11651503170112859,1.0229947701589588,0.000882223202470225,0.20814697253883518,0.477018266916275,0.36755248997074547,0.23601882276751984,0.11389601892395189,0.0,0.0,,
25.0,0.6317132945473374,0.6723077046396865,54.7584,54.7584,0.9971592150692714,0.34751778647227616,0.26490534524368314,0.22067382038617442,2.3067214219335903,0.6896653144414447,0.321705324370583,0.11492950654582076,0.5997475824935018,0.28900257895175074,0.4267156819806287,0.09593329670671755,0.8422884101925634,0.000878348704435661,0.20525877233589482,0.4772285521030426,0.3701994234290203,0.23819064113526828,0.11389601892395189,0.006540726705499498,1.5975156497443095,0.0044877910864650275,0.008416889689369267
26.0,0.6337438787534062,0.7410582580948922,54.7584,54.7584,0.0,0.3377924415947985,0.28789372952730363,0.21183332530834514,2.5222798134077897,0.7106487247540686,0.34046376304131803,0.11492950654582076,0.5717070312534664,0.30673033223845997,0.4267156819806287,0.09593329670671755,0.8422884101925634,0.000878348704435661,0.20525877233589482,0.4772285521030426,0.3701994234290203,0.23819064113526828,0.11389601892395189,0.0,0.0,,
27.0,0.633538004232052,0.7096292006541651,58.40896,58.40896,0.9971592150692714,0.3339492935154583,0.26731442865817245,0.2099214047884733,2.3227533247611882,0.6911997337269665,0.32331151213111864,0.11492950654582076,0.569850536361562,0.2974606725400691,0.4540284844443773,0.1027206044551851,0.9018805523287993,0.0017628911414720142,0.20665879574970483,0.47814393043518066,0.37025467047748223,0.23811996589594284,0.11389601892395189,0.00614168785958807,1.5812000704463571,0.0043075096050779055,0.007844071789832069
28.0,0.6348081514669414,0.6823095019645048,58.40896,58.40896,0.0,0.3382822772404057,0.2886155787401399,0.21266107163297204,2.5190675694969165,0.712833003907464,0.34239874918020774,0.11492950654582076,0.561446954217652,0.31279108297113806,0.4540284844443773,0.1027206044551851,0.9018805523287993,0.0017628911414720142,0.20665879574970483,0.47814393043518066,0.37025467047748223,0.23811996589594284,0.11389601892395189,0.0,0.0,,
29.0,0.6361885181670781,0.8399678006710893,62.05952,62.05952,0.9971592150692714,0.3295020945295166,0.26868274868638514,0.20861132814479869,2.334754378896512,0.6925029625140873,0.326295649082545,0.11492950654582076,0.5801334521692895,0.2966315866211609,0.42379460884588765,0.09446197070176918,0.8293702588923781,0.0,0.20454545454545453,0.46134403347969055,0.3669996288595613,0.23584123504372462,0.11389601892395189,0.005824540427832703,1.5779947391711175,0.004083514681729692,0.007465279335457201
30.0,0.6364116203405796,0.8889423732100974,62.05952,62.05952,0.0,0.34239942523437933,0.29131458417630884,0.2144974977012971,2.544121284385255,0.7161715105766512,0.34356150929247486,0.11492950654582076,0.5572625240470468,0.30648617133255446,0.42379460884588765,0.09446197070176918,0.8293702588923781,0.0,0.20454545454545453,0.46134403347969055,0.3669996288595613,0.23584123504372462,0.11389601892395189,0.0,0.0,,
31.0,0.6381514548654359,0.8773754450944822,65.71008,65.71008,0.9971592150692714,0.33417648750707635,0.27011553910634384,0.21294560383999284,2.344047471181572,0.6941122474655859,0.3243932074390767,0.11492950654582076,0.5967418788674346,0.29470446133838807,0.5427047050253878,0.1237410414463178,1.0864386886862079,0.0,0.2194628609956175,0.47383010387420654,0.36214890492761,0.23188734113410694,0.11389601892395189,0.00581073495546929,1.6580834914930165,0.0036579186247476803,0.007865197477621221
