round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_auprc_lift,fed_prevalence,fed_ece,fed_brier,fed_f1_best_threshold,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
28.0,0.645236535412688,1.3723870324133836,102.50688,102.50688,1.0,0.3532120153954506,0.2883207657241168,2.5499489055122293,0.11450333627093039,0.3307885142991732,0.20734426302526132,0.5681686065092085,0.7156300290820272,0.30354047443830035,0.65860658467725,0.22170327631176415,1.9465410503925946,0.2694146393285881,0.27886056971514245,0.5259954333305359,0.3335831690335338,0.21503461404488075,0.11389601892395189,0.003970328398328784,1.82137171037175,0.0022814884046605775,0.005797489648347221,0.003489983115682067
29.0,0.6421360695015462,1.2281901023008592,106.16784,106.16784,1.0,0.35456077570046607,0.29058054902750863,2.5746602184050373,0.11450333627093039,0.31576315384070264,0.19877734753379775,0.5681519383775876,0.7165211987206676,0.31077810332163974,0.6575493937635952,0.22444812460857413,1.9706406486291468,0.272167768406656,0.2787666878575969,0.5597366094589233,0.3185712097433409,0.20702986507728563,0.11389601892395189,0.003667888139071638,1.7436839531910664,0.0020845991673524703,0.005378696312889819,0.0040358661163849684
30.0,0.6444396245719264,1.3809395974608296,109.8288,109.8288,1.0,0.3546981034590224,0.2932260640478582,2.595495197700017,0.11450333627093039,0.3176924767473014,0.20132169067345623,0.587993550518966,0.7184369879356802,0.3090827537356365,0.6576922065244197,0.22313728592901746,1.9591315661173874,0.2715023579609252,0.28314745972738536,0.5692147016525269,0.3205465147057187,0.21066153994856288,0.11389601892395189,0.0033683545733715825,1.660181829789508,0.0019106692346541453,0.004942805041394353,0.0048895622051466575
31.0,0.6451575764469162,1.7491869206919013,113.48976,113.48976,1.0,0.3545523673359493,0.2951962574277557,2.6203073414351876,0.11450333627093039,0.32843469402349523,0.20612704995186282,0.5727174290140824,0.7199592528862236,0.307918133123194,0.6557360732835776,0.22484313637424339,1.9741088274944063,0.2723735408560311,0.2795628771815365,0.5717139840126038,0.3307198817230823,0.21408367713353874,0.11389601892395189,0.0035090683579817885,1.7898844145929615,0.001967024909889316,0.005179181160816399,0.005109785778459329
32.0,0.6447701614859186,1.4202131350287224,117.15072,117.15072,1.0,0.35278297180420853,0.29679521311216384,2.6314913971533973,0.11450333627093039,0.3153916185809921,0.19820383102416517,0.5604548084428955,0.7209307968398452,0.3112145910109708,0.6550926879916655,0.2220719865357364,1.9497783033488936,0.27152538606821464,0.2809295967190704,0.5742579698562622,0.3178783350926441,0.20682154670117459,0.11389601892395189,0.003309118111071736,1.740156112369732,0.0017874796116517102,0.004965044511916431,0.004000548768737245
33.0,0.650492528256126,1.6573376832087536,120.81168,120.81168,1.0,0.35625231579145744,0.2978896688532349,2.6462817269525596,0.11450333627093039,0.31392062534232035,0.19801444121819775,0.5733811760690131,0.7225228641801312,0.31665270650636623,0.655570144432644,0.225053870549295,1.9759590605143358,0.2739155581260844,0.27935629871762635,0.5185134410858154,0.3164280574466304,0.20738812260357067,0.11389601892395189,0.0031343003245238167,1.7042663359934522,0.0017531307419654247,0.004635509121935926,0.005216352622575203
34.0,0.6449055786513809,1.6074874520387972,124.47264,124.47264,1.0,0.3546461225452567,0.29869892936804054,2.6495667014976596,0.11450333627093039,0.3259578286166923,0.2055139082820186,0.5792688381967563,0.7221929721604056,0.310861168164084,0.6534242509320101,0.22197623228535096,1.9489375869543253,0.26871152392266984,0.27953980099502485,0.5703179240226746,0.3281065845815724,0.21479465795479838,0.11389601892395189,0.003073236305591622,1.732266049259124,0.001650478342841213,0.0046183039833790065,0.0036533360282360295
35.0,0.6446503611430902,1.8735301039312688,128.1336,128.1336,1.0,0.35563826129298115,0.30332260208508677,2.6925248641868618,0.11450333627093039,0.32984303322921377,0.20714518142785127,0.5785667487694157,0.7227368188760361,0.3078280502358558,0.6497911219054243,0.2182910470635779,1.9165818886903356,0.26683854334514984,0.2765784775198832,0.5724063515663147,0.3321829710843537,0.2163034784891745,0.11389601892395189,0.0030496755488176653,1.773868251217209,0.0016351058497337363,0.0045884060735217475,0.004604592795195967
36.0,0.654238063187185,1.9459019191697184,131.79456,131.79456,1.0,0.35852386270078207,0.3007890165999129,2.6684767782853016,0.11450333627093039,0.339965211260524,0.2149589289492656,0.613770200421509,0.7244839359228313,0.30425347792488383,0.6522525713701125,0.22641384587833668,1.9878995597687457,0.2647842827524928,0.27893479003072724,0.5980272889137268,0.34281991584954147,0.22470430156164603,0.11389601892395189,0.002910463897761081,1.7472062591641588,0.0015408383483107421,0.004402313953662177,0.0034426718051303604
37.0,0.6482047584869479,2.1513333396644847,135.45552,135.45552,1.0,0.3572019648212287,0.3034767326320504,2.686468641495507,0.11450333627093039,0.3153436273979609,0.19750059562099911,0.5692913306685429,0.7246939578254632,0.3149718605197915,0.6510005753170657,0.22031170093615515,1.934323104684254,0.26894417058351483,0.27740997900855807,0.5587913393974304,0.3174057660399774,0.2066472214767888,0.11389601892395189,0.0026934775357736304,1.6640077536685567,0.0014327019497844039,0.004070325958464728,0.0033567509187847414
38.0,0.6579235613757014,2.200541149681587,139.11648,139.11648,1.0,0.35968864473022544,0.30508423746241786,2.7139974720782205,0.11450333627093039,0.3192001918098992,0.20054691122399562,0.5958222479123424,0.7273499529206658,0.31041314529290315,0.653088013471485,0.22151280104826987,1.9448686893628253,0.26843559977888337,0.27815664393469725,0.6147333979606628,0.32144336035234017,0.2103589248228772,0.11389601892395189,0.0026915286948613133,1.7111799890590191,0.001424741895315156,0.0040772614581993435,0.0034494772523357615
39.0,0.6524557472497056,1.8808518831080598,142.77744,142.77744,1.0,0.35971113677993755,0.30668499091166174,2.722943606644253,0.11450333627093039,0.3417500816306569,0.2143538393998269,0.5868534467580651,0.7259250818249806,0.30354814420578347,0.6529346340722936,0.22210181989890343,1.9500402384318658,0.26364365971107545,0.2767424798239178,0.5652628540992737,0.3439162052344992,0.22348080603541795,0.11389601892395189,0.002708283584482977,1.7731343951563758,0.0013456147237009253,0.00420183137465387,0.0032254390749265793
40.0,0.646512549177277,1.8643299472399177,146.4384,146.4384,1.0,0.36490449214438614,0.3120012992990674,2.775186550374123,0.11450333627093039,0.3342356006757474,0.20990025560295897,0.6019241984557944,0.7300217424771943,0.3099779572750792,0.6493990393846472,0.21935643129434654,1.9259358963267217,0.2658734229151708,0.27539372922988004,0.561629593372345,0.3365427915868057,0.22049828598242,0.11389601892395189,0.0026944971547980118,1.8136501459575811,0.0012539202210192463,0.004268488124654025,0.004425865191132006
41.0,0.6446524529943962,2.1907886576249114,150.09936,150.09936,1.0,0.3654675737821856,0.31219899246243465,2.77899419793568,0.11450333627093039,0.32246498721938804,0.20403361256350097,0.6031383484898384,0.7309240058816321,0.31012852224984366,0.6505847868819478,0.21967044716713147,1.9286929362632501,0.26614075150508615,0.2792207792207792,0.5844640731811523,0.32578208679932324,0.2154048780832469,0.11389601892395189,0.002646104895243348,1.8344545834261226,0.001283885381116515,0.004129274282159749,0.0048002673153183925
42.0,0.6555489688275555,2.5926266341719764,153.76032,153.76032,1.0,0.36967078325316177,0.31264884847121027,2.770639940725715,0.11450333627093039,0.31547645373245325,0.1983265018254937,0.5816472768783569,0.7332053811431613,0.3181505263232524,0.6480161149015754,0.2181761753393376,1.9155733220580198,0.26648989061982103,0.2753389283408651,0.5642547607421875,0.31876736625378765,0.20949333658493735,0.11389601892395189,0.0025328039901912312,1.8052178350553731,0.0012469154752650423,0.003933109277053897,0.004113528820949051
43.0,0.6631534832321446,3.2097648514783708,157.42128,157.42128,1.0,0.36373847892353783,0.31353596137307854,2.795056628687575,0.11450333627093039,0.3218229440506343,0.20215286133989738,0.5795106242656948,0.732117410059629,0.31722071375660343,0.6506534323829767,0.22073863247799133,1.9380715372095492,0.2680052378873854,0.277460421086992,0.5736057758331299,0.32505910402657406,0.21379423114224125,0.11389601892395189,0.0024888638341029902,1.82226449463451,0.00120950730517827,0.0038701442936815217,0.005442410685116501
44.0,0.6516665331537069,2.453209485415289,161.08224,161.08224,1.0,0.3664219782367961,0.3138172851206803,2.790138036915688,0.11450333627093039,0.3414118206347474,0.2153149329241608,0.611393482718032,0.7330819320946717,0.30935970292267984,0.6511692650473825,0.2211291667414947,1.9415004038827919,0.26411350332374245,0.27614513216220654,0.592743992805481,0.3445252813146679,0.22678422594913172,0.11389601892395189,0.0024028087839206725,1.8036181202442094,0.0011157267102290985,0.00379363925072023,0.0039412271005415615
45.0,0.6463804876342824,2.371983243387232,164.7432,164.7432,1.0,0.36939195415233295,0.31807963279462803,2.8208066165651555,0.11450333627093039,0.3257862274431122,0.20472153554106265,0.5839685090303601,0.7356259292742944,0.31772769452050764,0.6468334671188553,0.22102609004993903,1.94059539690775,0.2657357452660531,0.2758851035404142,0.5807737708091736,0.32869414523762824,0.2165558891020317,0.11389601892395189,0.0022550620300965636,1.735781663661328,0.0010819752954885915,0.0035181922566948623,0.004524865046070833
46.0,0.6517359178549571,2.7170563970001096,168.40416,168.40416,1.0,0.3721584212543222,0.3163943690465947,2.8057613189295845,0.11450333627093039,0.32463282614597266,0.20451191505531094,0.5917771406022425,0.7391430800610579,0.322249982821327,0.6461375623714025,0.22092962936457783,1.939748478057798,0.2630148442400167,0.2741020793950851,0.5483172535896301,0.3274331562819827,0.21662407657304647,0.11389601892395189,0.002159762864189882,1.705345341382781,0.001035493454324692,0.0033685502745153164,0.004696030457267051
47.0,0.6563319073732862,3.227156169006008,172.06512,172.06512,1.0,0.37045119930747317,0.32031517489320893,2.8418274487158777,0.11450333627093039,0.3092745430229793,0.1954588544837844,0.5840679438599228,0.7393388855332808,0.32590625970209586,0.6461619710550409,0.2213152485561489,1.9431341907035449,0.2662387960606396,0.2733832175307322,0.5366783738136292,0.3115103228784222,0.20811299283743914,0.11389601892395189,0.0022506955446624875,1.8228073998798209,0.0010306879867134967,0.0035590769507983164,0.004993276454569896
48.0,0.6661612367579371,3.8662426346330028,175.72608,175.72608,1.0,0.3733440835091298,0.3214745145404274,2.8690512402612462,0.11450333627093039,0.3259263494139226,0.20676400710880935,0.611616695280281,0.740074969187957,0.31379275846228305,0.648120538889521,0.21979052744184288,1.9297472336464765,0.2668570845659492,0.27659873506676036,0.5713675618171692,0.3287553140963274,0.22015195254740252,0.11389601892395189,0.0021249202359708984,1.7628591430457163,0.0010030367826327571,0.0033262284202511152,0.004050671546477267
49.0,0.6582912188040164,3.503360952043181,179.38704,179.38704,1.0,0.37089714504657884,0.3216998940583148,2.8560781539794657,0.11450333627093039,0.2995451017291456,0.19008268628730193,0.5851111238085772,0.7400266389613802,0.3255410802005441,0.6455895403632785,0.21825823332102884,1.9162937860607696,0.26717032967032966,0.27461219474735066,0.5634459853172302,0.3027955791381822,0.20405665987628627,0.11389601892395189,0.0020842764974388045,1.7716944067033182,0.0009987482169456375,0.0032445921384432145,0.004461879537595312
50.0,0.6786096812539755,4.189437152279191,183.048,183.048,1.0,0.3725846395041419,0.3246983939594836,2.8809444534657778,0.11450333627093039,0.3045472126933543,0.19180817762327568,0.5763524746798783,0.7445723240461529,0.3293862361359342,0.6435028802748671,0.2187375372951034,1.9205020453011088,0.2669510552312528,0.2721344732647442,0.5454741716384888,0.3083041705983421,0.20575759286977705,0.11389601892395189,0.0020948035903167184,1.8218076588636904,0.0010080311599219446,0.0032540977535672755,0.005202788941121159
