round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_ece,fed_brier,fed_f1_best,fed_f1,fed_auprc_lift,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6413158929903889,0.22540403888315716,3.16197,21.90336,0.0,0.6896547945484869,0.5514430240008628,0.3411597591172563,0.21546130127959182,0.3239409147026013,0.2971750009347819,2.244779451648706,0.2513975115668953,0.11494397582777288,0.6602445516680756,0.22016880209972262,1.9330684617407814,0.2739988045427376,0.2790226977013156,0.5012624263763428,0.37775496617795784,0.24261691509630273,0.11389601892395189,0.0,0.0,,
12.0,0.6248800777522702,0.3613445824271673,3.16197,21.90336,0.0,0.6973280251791506,0.5720894492521972,0.3382075711004657,0.21389792512310388,0.3318108773607863,0.301285356221644,2.3268705594692403,0.2603152641299245,0.11494397582777288,0.6602445516680756,0.22016880209972262,1.9330684617407814,0.2739988045427376,0.2790226977013156,0.5012624263763428,0.37775496617795784,0.24261691509630273,0.11389601892395189,0.0,0.0,,
13.0,0.65949132373173,0.14774923101435283,3.688965,25.55392,0.9971592150692714,0.6669228613146553,0.5134322105765148,0.35681771501724296,0.2249555564310982,0.30233363783177436,0.2782546091737594,2.0201365536499485,0.2278382792259766,0.11494397582777288,0.6594888738819755,0.21688377021803631,1.9042260850473545,0.27448411398624306,0.28004535147392295,0.5024334788322449,0.3780083060234589,0.24273176116239698,0.11389601892395189,0.018619129864173068,0.7168334893358406,0.012594936391904324,0.025646715594026277
14.0,0.6547096660771152,0.17663668128181312,3.688965,25.55392,0.0,0.6780924777929337,0.5662168589051627,0.33902228718976907,0.21721731058299937,0.31322841268756496,0.28456381560397764,2.136090899627392,0.24019032151436914,0.11494397582777288,0.6594888738819755,0.21688377021803631,1.9042260850473545,0.27448411398624306,0.28004535147392295,0.5024334788322449,0.3780083060234589,0.24273176116239698,0.11389601892395189,0.0,0.0,,
15.0,0.6350657580252224,0.26617094201038793,3.688965,25.55392,0.0,0.6896769202551664,0.5426342509922386,0.33747065670616627,0.21367536164429032,0.32866341220385675,0.3005712417331879,2.2418962701088074,0.25164025370184345,0.11494397582777288,0.6594888738819755,0.21688377021803631,1.9042260850473545,0.27448411398624306,0.28004535147392295,0.5024334788322449,0.3780083060234589,0.24273176116239698,0.11389601892395189,0.0,0.0,,
16.0,0.6190559781510703,0.3772788055781849,3.688965,25.55392,0.0,0.6963744557259949,0.5748838174764085,0.3281208305538402,0.21003303169794144,0.3383827172433128,0.30657862284894766,2.3254077827416104,0.26039847692904805,0.11494397582777288,0.6594888738819755,0.21688377021803631,1.9042260850473545,0.27448411398624306,0.28004535147392295,0.5024334788322449,0.3780083060234589,0.24273176116239698,0.11389601892395189,0.0,0.0,,
17.0,0.6528629516025737,0.1798744342644277,4.21596,29.20448,0.9971592150692714,0.6664843324274586,0.5114774134910093,0.3487807977759357,0.21931116692613792,0.3011941972770021,0.27848580895156977,2.018613251596241,0.2278824787229299,0.11494397582777288,0.655823530412768,0.21272220182181367,1.8676877719830383,0.2680373479203999,0.2753380265951503,0.5026233792304993,0.3820399520990443,0.24599599856816634,0.11389601892395189,0.016270119226487263,0.6972744905797299,0.010164747790681668,0.02361296433792256
18.0,0.6515986169482502,0.2059905481794848,4.21596,29.20448,0.0,0.6788031151017352,0.5644258543348095,0.34386096921380427,0.21979275062644785,0.3147339078404364,0.2816621357042909,2.1378826816872594,0.24083287700471928,0.11494397582777288,0.655823530412768,0.21272220182181367,1.8676877719830383,0.2680373479203999,0.2753380265951503,0.5026233792304993,0.3820399520990443,0.24599599856816634,0.11389601892395189,0.0,0.0,,
19.0,0.6353839503285397,0.33811554041262226,4.21596,29.20448,0.0,0.6882309487286776,0.5401776175133215,0.3316788663640927,0.20962175091669036,0.3280981250480979,0.300758041099206,2.2384948705503147,0.25119290397142874,0.11494397582777288,0.655823530412768,0.21272220182181367,1.8676877719830383,0.2680373479203999,0.2753380265951503,0.5026233792304993,0.3820399520990443,0.24599599856816634,0.11389601892395189,0.0,0.0,,
20.0,0.6238091459184013,0.4575645103607452,4.21596,29.20448,0.0,0.6987700123703434,0.589360695545685,0.3336559199927046,0.21334322254366583,0.3409525721622308,0.3007089564919422,2.344936097096645,0.2622879859598172,0.11494397582777288,0.655823530412768,0.21272220182181367,1.8676877719830383,0.2680373479203999,0.2753380265951503,0.5026233792304993,0.3820399520990443,0.24599599856816634,0.11389601892395189,0.0,0.0,,
