round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auprc,fed_auroc,fed_prevalence,fed_f1,fed_brier,fed_f1_best_threshold,fed_f1_best,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
17.0,0.6428788942788751,0.5600965762328688,62.05952,62.05952,0.9971592150692714,2.385189711060009,0.26726716637412645,0.6938650657479641,0.11379657603222558,0.2933172011715704,0.21264486025305468,0.5673589456455045,0.33002350664032726,0.3395687354754841,0.3609982064825548,0.0885244329089916,0.7772390443962678,0.10863298437262935,0.2045002711006687,0.2900540232658386,0.3784034101932684,0.24589443020528004,0.11389601892395189,0.006499622389702836,1.7651010493282229,0.003993039510212283,0.00920847516144648
18.0,0.6441837723084516,0.6618268166646676,65.71008,65.71008,0.9971592150692714,2.4211995766203986,0.27131588945350527,0.6960671576642231,0.11379657603222558,0.2905364664346184,0.22061431474562698,0.5758411309345132,0.3300040077459307,0.3512455686895892,0.3589156124165079,0.08725505504318873,0.7660939852643026,0.09741409847679773,0.2045002711006687,0.2950674295425415,0.37823208621148346,0.24557350534953154,0.11389601892395189,0.0057234259685811275,1.6336026246426627,0.003733367724381903,0.007901627459402384
19.0,0.6398551699315382,0.6341540324018593,69.36064,69.36064,0.9971592150692714,2.448035599140939,0.2746331686652784,0.6975075585486611,0.11379657603222558,0.3025479119842508,0.20505909388906662,0.5490823015251759,0.33145457144779844,0.32943507779083875,0.36403341688088997,0.08770211301626382,0.7700191266107582,0.07122370936902486,0.2045002711006687,0.33638444542884827,0.378727026283366,0.2457556377090724,0.11389601892395189,0.005793750514621727,1.7386064309393987,0.0035729781620592754,0.008255286105407352
20.0,0.6440486756475983,0.6987880865669196,73.0112,73.0112,0.9971592150692714,2.4632124029832236,0.27635587721862187,0.6998310924734785,0.11379657603222558,0.30258043216152103,0.20562735943570465,0.5507937342206096,0.3330883945667282,0.33043468255814157,0.3603237612975812,0.08764713548954389,0.7695364273273299,0.06929133858267716,0.2045002711006687,0.33306625485420227,0.3776443742024016,0.24502325307129957,0.11389601892395189,0.005943629655910959,1.8771444471785799,0.0032989864919990117,0.008901294176788269
21.0,0.6415218624774879,0.6457492077138816,76.66176,76.66176,0.9971592150692714,2.462973263224677,0.2766637371226995,0.7016290874536509,0.11379657603222558,0.3032374380067623,0.21209135029981457,0.5646872666138265,0.3316938962863838,0.3401118863842001,0.35341847567431844,0.08522408529949078,0.7482621965601336,0.0701912260967379,0.2045002711006687,0.31346169114112854,0.3772773457792038,0.24495914317105824,0.11389601892395189,0.00516882976033956,1.714430448366329,0.0031028305895900634,0.007492670377279019
22.0,0.6388441565039902,0.7128764251938091,80.31232,80.31232,0.9971592150692714,2.4867391344367595,0.2794438956890804,0.7011426063512948,0.11379657603222558,0.2993555849138818,0.20920560997514773,0.5784511848541365,0.3344461812589828,0.334437800797119,0.3565928469430213,0.08602977280699914,0.7553360830323755,0.06705613411226823,0.2045002711006687,0.3618500530719757,0.37744331572554873,0.24490977374832248,0.11389601892395189,0.004776889876108394,1.6596256683114916,0.0030018365049076967,0.006797859970374812
23.0,0.6389289411026595,1.0762442465799287,83.96288,83.96288,0.9971592150692714,2.493919202976399,0.2804919416221892,0.7040306055378931,0.11379657603222558,0.29815468017421504,0.21853856155446819,0.5778118936834558,0.3357038299740691,0.3484178512729517,0.34741781727988225,0.08357168062987771,0.7337541857865842,0.08949011446409989,0.2045002711006687,0.34768277406692505,0.37964494881497224,0.24659446718957842,0.11389601892395189,0.004821958986826445,1.75272302958183,0.0028765127273777335,0.007051122576426505
24.0,0.6388354552103338,0.8532558395349744,87.61344,87.61344,0.9971592150692714,2.525519715026087,0.28423333426165515,0.7049180412593465,0.11379657603222558,0.30609934346049633,0.2068034770632775,0.5878209494343186,0.33922516661879665,0.32948208754494873,0.3527989594396198,0.08446736953394474,0.7416182789526946,0.09268081420528368,0.2045002711006687,0.3571241796016693,0.38013610352693,0.24680029332589506,0.11389601892395189,0.0049429206557160205,1.8777309209108353,0.002673828537907948,0.007554594730733685
25.0,0.6413428595041291,0.9598846730734142,91.264,91.264,0.9971592150692714,2.5390704376695044,0.28586163713252366,0.7073476635543638,0.11379657603222558,0.3110333497144913,0.20304895151798938,0.5811736827504269,0.34325778714817673,0.3252256187114537,0.36092275917868155,0.08684362806275797,0.7624816818289607,0.08499804151978065,0.2045002711006687,0.3586684465408325,0.3796407936371605,0.24621876503307105,0.11389601892395189,0.004247443486648709,1.6863095542648807,0.002418568825483133,0.006354139467901591
26.0,0.6430770021609008,1.000688450874369,94.91456,94.91456,0.9971592150692714,2.547132749217726,0.28703323022898425,0.7088754490307644,0.11379657603222558,0.30604828874835927,0.20147109016042852,0.5713464202807629,0.34343056660313365,0.32157634415601993,0.3572156887824316,0.08555440308156653,0.7511623662517213,0.09367753903230792,0.2045002711006687,0.3453609049320221,0.3796873427738126,0.24654186670506195,0.11389601892395189,0.0040847205112586145,1.685499134939164,0.0023266734255787064,0.0061235932228577575
27.0,0.645563367388588,1.0778120042805426,98.56512,98.56512,0.9971592150692714,2.568797129210556,0.2894991770675875,0.7105150667741019,0.11379657603222558,0.3121877597393226,0.20547043829582504,0.5642260892198525,0.3409223225760056,0.33073518871496665,0.37296704529031877,0.09059999314631462,0.7954623348758838,0.09234983369203678,0.2045002711006687,0.3635224401950836,0.38012244584060134,0.2464937189561749,0.11389601892395189,0.004027540337798273,1.7300212963018566,0.0022374605075060265,0.006110087074153157
28.0,0.643494962372589,0.9478268661419509,102.21568,102.21568,0.9971592150692714,2.595456113711098,0.2924208219711797,0.712540929776705,0.11379657603222558,0.30827893711931864,0.2111936411331341,0.5991443500901907,0.34706439870314165,0.3353470386638895,0.36622827834222144,0.08833249322198904,0.775553825818692,0.07641573800318399,0.2045002711006687,0.303493469953537,0.3774508450650335,0.24488648449509146,0.11389601892395189,0.00348874142905479,1.5555148317944258,0.001974160337307979,0.005263082517296289
29.0,0.6397358595498023,1.2034270922354717,105.86624,105.86624,0.9971592150692714,2.6206738855886735,0.2953734424038667,0.7153398732532436,0.11379657603222558,0.31044027273058067,0.20646371059189114,0.5731458809556887,0.3520109436659036,0.3321048041299107,0.37616188471481293,0.0919702104109595,0.8074927576912745,0.06255585344057193,0.2045002711006687,0.33854347467422485,0.3768140487794734,0.2441818059061514,0.11389601892395189,0.0037029220793500257,1.7123311781324446,0.002069718030490632,0.005624437767951165
30.0,0.6448758807362726,1.4667810816588482,109.5168,109.5168,0.9971592150692714,2.6024997019765266,0.29481616270484845,0.7150164554145213,0.11379657603222558,0.3111662110086921,0.20986524352799124,0.5883136591034654,0.3484744323291298,0.3365989719233935,0.37387517381618135,0.0914220166926133,0.8026796507580793,0.0703601108033241,0.2045002711006687,0.3467894196510315,0.3778039783522853,0.24495779501032452,0.11389601892395189,0.0035536986910477157,1.7063196819508448,0.0018586979741879231,0.005548757797923391
31.0,0.6438984436087066,1.0281633275791722,113.16736,113.16736,0.9971592150692714,2.621406022756029,0.2962531065715698,0.7158976425687952,0.11379657603222558,0.3074253307959946,0.21472602599414486,0.5898084756463375,0.349307040487308,0.344791225941049,0.3734222766522621,0.09160609943017176,0.8042958858056043,0.10578568983224923,0.2045002711006687,0.34671151638031006,0.37914972422983206,0.2460274448638129,0.11389601892395189,0.0033868041168939773,1.6882693206425756,0.0018021461310713236,0.005255742260653162
32.0,0.6421185434081216,0.9241175477878253,116.81792,116.81792,0.9971592150692714,2.639930113001008,0.2983125985080473,0.716857606824633,0.11379657603222558,0.30624285491870423,0.20844303082915752,0.5941917313242188,0.3512378153863205,0.33255951418661245,0.3654851374584117,0.09021080145289066,0.7920452558848805,0.10758934208864755,0.20450951154489178,0.3520857095718384,0.3789638762244509,0.24607541567437127,0.11389601892395189,0.0030832118052732437,1.5911431242711842,0.0016620383462059294,0.004760617511765599
33.0,0.6430466143374403,1.2498761170338724,120.46848,120.46848,0.9971592150692714,2.6804289161548183,0.30284797728566903,0.7185459795917104,0.11379657603222558,0.31558449313585585,0.19911580475638713,0.5822916374957303,0.35077172532461354,0.3191816451376789,0.37416617050317624,0.09415577811300341,0.8266819069055522,0.11082400229687052,0.2045002711006687,0.34199100732803345,0.3799229253279772,0.2465668804445755,0.11389601892395189,0.0030756170815222457,1.642881675506942,0.001676549307009929,0.004732023376091182
