round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_f1_best,fed_brier,fed_prevalence,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,9.536308255247683,596.8134475821017,24.82176,24.82176,0.5412350858791136,0.24533647833868896,0.29651178064027855,0.31691390611872,0.23143006753508932,0.11524420946626386,0.6762452354170563,2.139194258017803,0.550319382103023,0.365859164549685,0.35505799879716016,0.08272809946201633,0.7263475953207258,0.0,0.20450951154489178,0.44727328419685364,0.36443008003600136,0.23420429617075175,0.11389601892395189,0.006556258083031537,0.601200487348251,,0.006556258083031537
12.0,9.209893506117684,556.9957374383342,26.8032,26.8032,0.5412350858791136,0.255385315984677,0.29567194637810496,0.32910093237774773,0.24020919362830703,0.11524420946626386,0.686673404193048,2.2229046393539895,0.5763343131546708,0.37807651289925354,0.37315336700033314,0.08540918252007429,0.7498873387058577,0.0,0.20452799493876814,0.4577234983444214,0.3654203142242767,0.2347924926327425,0.11389601892395189,0.007108676441879645,0.6689528221031651,,0.007108676441879645
13.0,8.761249213626304,613.1630190923381,28.78464,28.78464,0.5412350858791136,0.2622759088781895,0.3028145034982013,0.3305949150640312,0.23735639441226822,0.11524420946626386,0.6924508561646515,2.3071457582571573,0.5900131938575736,0.37493384370818544,0.36714187842904356,0.0847036582388592,0.7436928791638945,0.0,0.2045002711006687,0.4500812590122223,0.36540097212106265,0.23480489442461333,0.11389601892395189,0.007643466449503158,0.7438420894322917,,0.007643466449503158
14.0,8.321858559150511,632.0877858020211,30.76608,30.76608,0.5412350858791136,0.27183135951676096,0.29767488950686255,0.34320799172774014,0.24076683037875327,0.11524420946626386,0.6970249334010595,2.3993609826890023,0.6045894336090436,0.37936081620794215,0.3909429803612625,0.09019930027508367,0.791944276255253,0.0,0.20450951154489178,0.4658007025718689,0.36531670912714004,0.2346214111354678,0.11389601892395189,0.007329611729392138,0.7397577618248761,,0.007329611729392138
15.0,9.430046641338572,778.6691507726503,32.4352,32.4352,0.4559241291901578,0.24543390765399126,0.28273167620789036,0.30765212728551045,0.23721831851086622,0.11524420946626386,0.6652886284209335,2.144873237609906,0.5563345473402246,0.37280978471198295,0.39168151559628295,0.08997720394117906,0.7899942841835116,0.0,0.20450951154489178,0.46419715881347656,0.3652005442627915,0.23453878328908562,0.11389601892395189,0.010449294487706673,0.5491894241422415,0.010449294487706673,
16.0,9.526270565068462,758.399926544738,34.41664,34.41664,0.5412350858791136,0.2513663597606553,0.27831392774459013,0.31629116561798337,0.24990096386671568,0.11524420946626386,0.6759615072282875,2.2032783269978222,0.5948572583470311,0.388817199827561,0.4148195170479031,0.09442784709250915,0.8290706557141247,0.0,0.20450951154489178,0.46445873379707336,0.36477513069013107,0.2341280215496974,0.11389601892395189,0.005278421788826286,0.5497851612744853,,0.005278421788826286
17.0,9.039241609593212,814.8545468639452,36.39808,36.39808,0.5412350858791136,0.2576110947120534,0.2967654400388667,0.3277099397626096,0.2380274224423248,0.11524420946626386,0.6834263048111686,2.2641303075375165,0.5886603668500919,0.3745407754628501,0.5531982930336136,0.12926031848887076,1.1348975996709558,0.0,0.22329849604894214,0.48002830147743225,0.36603132036091174,0.2348373821872902,0.11389601892395189,0.00595761370954085,0.635783388686832,,0.00595761370954085
18.0,8.671060032499394,798.3742278754182,38.37952,38.37952,0.5412350858791136,0.2572151668079483,0.31314501842096404,0.3340599990142628,0.23245851357464237,0.11524420946626386,0.6880838948270357,2.2683541800569635,0.5615149509829487,0.36856339826489626,0.5923098641351177,0.14813584890862438,1.300623589025832,0.0,0.24402099941668287,0.47946467995643616,0.36535303299983446,0.2342644191977098,0.11389601892395189,0.007308523388408788,0.8072408982552588,,0.007308523388408788
19.0,8.358085478277774,1042.5494995751174,40.36096,40.36096,0.5412350858791136,0.26811277112218984,0.30794239806912393,0.3423753392070259,0.23471382240068975,0.11524420946626386,0.6920583311293406,2.3798066968052902,0.5919133988954689,0.37170553063337897,0.6300451996113284,0.16382479666939143,1.438371579772045,0.0,0.2784037064336106,0.4774375855922699,0.3630906286372339,0.23238347535459708,0.11389601892395189,0.006125487538798655,0.7014838552568108,,0.006125487538798655
20.0,9.432748977089764,1124.0665172427337,44.01152,44.01152,0.9971592150692714,0.24389413999269574,0.2838423307681567,0.30864339697844445,0.24009121901052063,0.11524420946626386,0.6697906933832036,2.135041414226265,0.5726753927669737,0.37661710686884137,0.6316619203803548,0.17182253817343476,1.5085912553990168,0.0,0.28132817830338863,0.47876814007759094,0.3629001915766852,0.23225549235378,0.11389601892395189,0.005958639057328427,1.0369829659466632,0.008874187314091076,0.004568518496877263
21.0,9.344632769917075,792.4831437571312,45.99296,45.99296,0.5412350858791136,0.24716157769450844,0.2931762612180181,0.31446099976864045,0.23624003275079347,0.11524420946626386,0.6731986377599061,2.1597000482152864,0.5915206810018687,0.3722674188627097,0.5994134561948085,0.15603285716023346,1.3699588329282715,0.0,0.26414677276746246,0.4782295525074005,0.3635590197941732,0.23289683938074196,0.11389601892395189,0.005012368511180957,0.5999127659015357,,0.005012368511180957
