round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_f1_best,fed_f1,fed_auprc_lift,fed_auroc,fed_ece,fed_brier,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6421091714656397,0.41655502255843785,24.82176,24.82176,0.5412350858791136,0.23651019208494778,0.10997796663519042,0.31233174853462803,0.290717936751693,2.2001283267393625,0.6897489514852913,0.3464180906623049,0.21593696080645916,0.523043947796571,0.5809094276451069,0.19801481544580235,1.7385578294709,0.2056028509206098,0.26827078470102356,0.5108098983764648,0.3950628756942827,0.2555261568644382,0.11389601892395189,0.007543804275808126,0.7522875717841089,,0.007543804275808126
12.0,0.6291026913392133,0.5317008838606055,26.8032,26.8032,0.5412350858791136,0.2446126592642874,0.10997796663519042,0.3203162040572934,0.29463493347614794,2.2837515719040784,0.6986705592549713,0.3492821556373816,0.21761974366321796,0.5486113852493262,0.56124353320477,0.19159027025684303,1.68215072016492,0.20654094055860586,0.2643343051506317,0.5151739716529846,0.3970333511326956,0.2571929164150361,0.11389601892395189,0.006847530877851495,0.7076304467627779,,0.006847530877851495
13.0,0.6137701114915719,0.6006376848695612,28.78464,28.78464,0.5412350858791136,0.25488401140041067,0.10997796663519042,0.33037022190430926,0.3000572252953114,2.3855118701152684,0.7094002301013652,0.3496946608631874,0.21711300328958952,0.5429056696033269,0.5318501822356085,0.17607803464481786,1.545954251152402,0.2045919315857966,0.22357229647630616,0.532906174659729,0.4024220573607541,0.2618597304113163,0.11389601892395189,0.0073074816273083825,0.7889064900809899,,0.0073074816273083825
14.0,0.6014431214473788,0.6863890080194637,30.76608,30.76608,0.5412350858791136,0.2657649642893472,0.10997796663519042,0.3361395364751368,0.3077435633270431,2.5034106070616544,0.7149813706378348,0.31815196871452633,0.19783094025361472,0.5547689808589465,0.5413824571414889,0.18203324083875144,1.5982405931176105,0.20395873438965398,0.2438704028021016,0.5262029767036438,0.400215172291858,0.25991455866546576,0.11389601892395189,0.008455074544565549,0.9516715626232326,,0.008455074544565549
15.0,0.6428885074823831,0.618575891091574,32.4352,32.4352,0.4559241291901578,0.22932126514110965,0.10997796663519042,0.30080220971694915,0.28318036616213366,2.1189042320109164,0.6794337866333432,0.34468327801033205,0.21597441866440567,0.5451120142858659,0.5228029561890106,0.1751748837744183,1.538024642383525,0.20284851100561072,0.2280027143180276,0.5262666344642639,0.4002195250358632,0.2601498824356742,0.11389601892395189,0.011215684441700152,0.5987565256655216,0.011215684441700152,
16.0,0.6459210160133297,0.6392445219054285,34.41664,34.41664,0.5412350858791136,0.2404209968612744,0.10997796663519042,0.31364250665998133,0.2876402151771264,2.23138119231037,0.6906048899394912,0.3445649018828359,0.21486174209721218,0.5618983055177935,0.5365609954305439,0.18125074146612447,1.591370297035098,0.20432747996108047,0.23883785515915404,0.5237451791763306,0.40015881640921064,0.2598376352949809,0.11389601892395189,0.006287753765161566,0.737614133162424,,0.006287753765161566
17.0,0.6206312160009537,0.5260748972865745,36.39808,36.39808,0.5412350858791136,0.2515501689408788,0.10997796663519042,0.3232612772416397,0.29632506391394836,2.345217757185324,0.7031074868832068,0.34144250356507516,0.21118812637388953,0.5596200371298882,0.5256168946542297,0.1767762219127519,1.5520842921716604,0.2021501153600707,0.23367537313432835,0.5185970067977905,0.39594281417079524,0.2567546218091054,0.11389601892395189,0.00650156237834243,0.7892891226802021,,0.00650156237834243
18.0,0.6111831356705397,0.8651861822217389,38.37952,38.37952,0.5412350858791136,0.26245804127714556,0.10997796663519042,0.33468666204972336,0.29890681967627764,2.4536907611998147,0.712792576654992,0.33874217286462077,0.21040829971980823,0.5565324479110745,0.5596763074734143,0.18860393797681216,1.6559309074950423,0.20648879614448254,0.25497173958551395,0.5147435665130615,0.3946430634867894,0.255441781918447,0.11389601892395189,0.006566603705601735,0.8284669793210924,,0.006566603705601735
19.0,0.5908357150699814,0.7852502416062924,40.36096,40.36096,0.5412350858791136,0.2757313216509117,0.10997796663519042,0.3476753262580109,0.3141797842173503,2.5850159835727586,0.7209737367924349,0.32547914027636543,0.20050483898398122,0.5569840559446854,0.5361553469524334,0.17445493003486787,1.5317034930900528,0.20447107628485825,0.2154963680387409,0.529106616973877,0.400073411720401,0.26001781204999186,0.11389601892395189,0.009384211216365632,1.2360692971851677,,0.009384211216365632
20.0,0.6452763525257724,0.7387445737151138,44.01152,44.01152,0.9971592150692714,0.22512447950426479,0.10997796663519042,0.30103024186159083,0.27495147321266405,2.0714605368040395,0.6791357444778275,0.3542391705717499,0.22248358766337042,0.5668493374548957,0.5250179218720329,0.16875479722803638,1.4816566796835415,0.2043749147300923,0.2108768035516093,0.5292707681655884,0.4017716955452238,0.2614923200472228,0.11389601892395189,0.007191221435829356,1.4076740939635783,0.01036566588129891,0.00587030695739694
