round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_f1_best,fed_auroc,fed_ece,fed_f1,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6393437347385088,0.3453698267098959,40.15616,40.15616,0.9971592150692714,2.1977161590889884,0.10947434686811457,0.5430742011754663,0.310541570326095,0.6889793530880158,0.35010937046134183,0.28362913905422726,0.21845878807661295,0.23683681598627798,0.5135608873546654,0.16395279461864015,1.4394953938478838,0.20429767021035966,0.2046389655016503,0.49650096893310547,0.4083984571411239,0.2670299193109508,0.11389601892395189,0.007440483908218252,1.4453007619595155,0.006348787682699628,0.008365085420384416
12.0,0.6435316565812459,0.4011092760145269,43.80672,43.80672,0.9971592150692714,2.194802395723228,0.10947434686811457,0.5654341492144087,0.31471872231404835,0.6901483300905641,0.3497476018296873,0.2842735375819191,0.2176733343375107,0.23692599186607174,0.5301780932854961,0.17081333178369962,1.4997304857314748,0.20430691277596816,0.2109507640067912,0.5328813195228577,0.40687265794922406,0.26563742525782597,0.11389601892395189,0.006975163068518872,1.4325961829163134,0.005787985015407278,0.008004784194814828
13.0,0.6416953997881312,0.4224566465682346,47.45728,47.45728,0.9971592150692714,2.2270238926323787,0.10947434686811457,0.5796348170942204,0.31580048616436945,0.692356989603779,0.3511429430165867,0.2875593610754388,0.21862967056325988,0.2404385018377456,0.5165135976572482,0.1596903838330824,1.4020716908437976,0.2045742180437534,0.20480289986406888,0.5064009428024292,0.41081907726646916,0.2690124894277385,0.11389601892395189,0.007285610172900416,1.580500291311182,0.005838223735515832,0.008570153023965856
14.0,0.6406279148191416,0.44172125151559555,51.10784,51.10784,0.9971592150692714,2.244473420855339,0.10947434686811457,0.5501193502281759,0.31611175597839264,0.6932485280970203,0.32121006259293083,0.2951109395872815,0.19920665715430533,0.24228910126068448,0.5195755007394387,0.15658793931129886,1.3748324198745898,0.2044456516818326,0.205847621746729,0.5069116353988647,0.40649413839608806,0.2655533011834672,0.11389601892395189,0.006905029655710722,1.5878891128813848,0.005590416609566679,0.008094218133486436
15.0,0.6416874309461419,0.4606370719538238,54.7584,54.7584,0.9971592150692714,2.273806261144982,0.10947434686811457,0.553274599159518,0.31821499361648,0.6948557832097645,0.341184192283802,0.2987239510985579,0.21064920111636615,0.24545712828382502,0.533109984047639,0.16778700263112417,1.4731595029950535,0.20453414181637178,0.20661996141740277,0.5092534422874451,0.40547399371119935,0.26449866622554696,0.11389601892395189,0.0065906526619116616,1.6045842043822631,0.004940529748872862,0.00810779192262943
16.0,0.6404897482299574,0.45870378654474014,58.40896,58.40896,0.9971592150692714,2.300261322359784,0.10947434686811457,0.5698322563978874,0.3192198511548937,0.6957625384446351,0.3473442810851709,0.29216111113265536,0.2160256058859092,0.24865499914051797,0.5557062256675542,0.17793403017406045,1.5622497770783945,0.20439013351436977,0.21730618637431479,0.5316822528839111,0.406208721758573,0.2648101084393852,0.11389601892395189,0.006592738335414466,1.6958441545721143,0.004605274276477405,0.008443087774732514
17.0,0.6375931595619522,0.548545353536894,62.05952,62.05952,0.9971592150692714,2.3279598908789474,0.10947434686811457,0.5583615426770312,0.3206827832855558,0.7005449527321064,0.3417436251486571,0.29740258333097613,0.21120740648157543,0.25184785860598663,0.5370376487066109,0.16961234186657903,1.4891858685581345,0.20424451296934518,0.20504062038404725,0.5031569600105286,0.40236584392447816,0.2619131277370942,0.11389601892395189,0.005732835706348325,1.5585672399029136,0.004271495806826087,0.007108433953328136
18.0,0.640375423159445,0.5826026277683212,65.71008,65.71008,0.9971592150692714,2.342405547569652,0.10947434686811457,0.5795658532350664,0.3243745554057392,0.7023193888764716,0.34217076535293584,0.29861530772474804,0.21148939888561563,0.25398229062038036,0.5164133275378292,0.15205134160530273,1.3350013726715686,0.20513988881800785,0.2054593752862508,0.5008282661437988,0.39929632859715064,0.2598782749921636,0.11389601892395189,0.005575242555174569,1.5923755273688585,0.00418845840978586,0.006897889656828207
19.0,0.6354899289007918,0.563121156530007,69.36064,69.36064,0.9971592150692714,2.383580184396197,0.10947434686811457,0.5704649625370102,0.32856586822947764,0.7022535848646211,0.32483084997057277,0.30497216278811506,0.20005391042825177,0.258290822151021,0.4920888883690627,0.13384564077845762,1.175156445703568,0.2043132803632236,0.2046204620462046,0.495618999004364,0.4032675907112547,0.26333865092884484,0.11389601892395189,0.005575155408700067,1.6707437315490097,0.00408230310552313,0.007022087211372629
20.0,0.637216082986214,0.6296194576153687,73.0112,73.0112,0.9971592150692714,2.359023661685341,0.10947434686811457,0.583630989931423,0.3266927500445185,0.7002901411382866,0.3475987975865246,0.29207910533990006,0.21619448418193296,0.2554795264730324,0.5013743532075319,0.13225344993637797,1.1611771086106468,0.20447835763273833,0.20527723959774885,0.5026853680610657,0.40528595683480967,0.2650415076824961,0.11389601892395189,0.005439023323719636,1.713117980165407,0.003864878519662032,0.006987287372984225
