round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1,fed_auprc_lift,fed_f1_best_threshold,fed_prevalence,fed_f1_best,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
28.0,0.6048935665326172,0.6897586335585889,9.136,36.5056,0.0,0.7214708042317948,0.29595830209713103,0.3105027896798983,2.6807414095195985,0.6097953108749902,0.11373363544813697,0.3542244844222871,0.336953415135733,0.21232855929519387,0.32523250745726073,0.07876415931985184,0.6915444461008113,0.12766238048137157,0.2045002711006687,0.340069055557251,0.39165788939779267,0.2574050683250088,0.11389601892395189,0.0,0.0,,
29.0,0.6396324473962662,0.6145223740986248,10.0496,40.15616,0.9971592150692714,0.6826024036931161,0.2512005270364005,0.2886482571357845,2.2414771306273855,0.5476666171636436,0.11373363544813697,0.3131375611595476,0.33462990133217485,0.20984271332604829,0.32594492728320584,0.07893366594970735,0.6930327038244523,0.1268357810413885,0.20451875282422052,0.34467777609825134,0.38918642595247604,0.25530778679757365,0.11389601892395189,0.007603665509969513,1.4727044639876112,0.005488241631908431,0.009459431483814777
30.0,0.643922756333366,0.6458441327967445,10.0496,40.15616,0.0,0.701146542537837,0.27061922228599794,0.30270334816161476,2.423179940543902,0.5708206433892881,0.11373363544813697,0.33549758255780704,0.3327730805580275,0.2086269802275056,0.32594492728320584,0.07893366594970735,0.6930327038244523,0.1268357810413885,0.20451875282422052,0.34467777609825134,0.38918642595247604,0.25530778679757365,0.11389601892395189,0.0,0.0,,
31.0,0.6202747585302315,0.598708316531631,10.0496,40.15616,0.0,0.7121099288939632,0.28525772044878717,0.3071256616162375,2.5699878972471804,0.5663333677359429,0.11373363544813697,0.34368620644577225,0.33575746121751626,0.21042560574282698,0.32594492728320584,0.07893366594970735,0.6930327038244523,0.1268357810413885,0.20451875282422052,0.34467777609825134,0.38918642595247604,0.25530778679757365,0.11389601892395189,0.0,0.0,,
32.0,0.5987177020226719,0.7285755043263739,10.0496,40.15616,0.0,0.7213078590881441,0.2988139742301482,0.31534042509599586,2.71804957910798,0.5776932859363753,0.11373363544813697,0.35661233320413516,0.32671961427805996,0.2039731215985889,0.32594492728320584,0.07893366594970735,0.6930327038244523,0.1268357810413885,0.20451875282422052,0.34467777609825134,0.38918642595247604,0.25530778679757365,0.11389601892395189,0.0,0.0,,
33.0,0.6412759876341332,0.7849294849671432,10.9632,43.80672,0.9971592150692714,0.6833036045154204,0.25395902747678883,0.2906882828691247,2.262564703676857,0.5524199566122029,0.11373363544813697,0.31665830415249374,0.3289886993235999,0.206734806601061,0.32589239527821356,0.07899547710340789,0.6935754019300094,0.1247182569496619,0.20450951154489178,0.32539090514183044,0.387377904532594,0.253731957580115,0.11389601892395189,0.006687094867862626,1.3685169311938807,0.004828173091260765,0.008363147260989062
34.0,0.6428851738753064,0.7707843500388425,10.9632,43.80672,0.0,0.7041479151038158,0.27401718522979907,0.29848201729601104,2.451697127073697,0.565244058263371,0.11373363544813697,0.33230829994118044,0.3505615113712922,0.2200286115439345,0.32589239527821356,0.07899547710340789,0.6935754019300094,0.1247182569496619,0.20450951154489178,0.32539090514183044,0.387377904532594,0.253731957580115,0.11389601892395189,0.0,0.0,,
35.0,0.6151589696156514,0.7241569977714166,10.9632,43.80672,0.0,0.7176054217115723,0.28885963375074025,0.31950244968160585,2.6034744810611,0.5528081279221738,0.11373363544813697,0.34660922486843493,0.32312812412242997,0.2011691542691405,0.32589239527821356,0.07899547710340789,0.6935754019300094,0.1247182569496619,0.20450951154489178,0.32539090514183044,0.387377904532594,0.253731957580115,0.11389601892395189,0.0,0.0,,
36.0,0.5944418699168513,0.7510486011757009,10.9632,43.80672,0.0,0.7291952566265384,0.3087850127997539,0.3213261105604881,2.793775710370981,0.5888193052352103,0.11373363544813697,0.3619697693423395,0.32251199762982175,0.20079778314090976,0.32589239527821356,0.07899547710340789,0.6935754019300094,0.1247182569496619,0.20450951154489178,0.32539090514183044,0.387377904532594,0.253731957580115,0.11389601892395189,0.0,0.0,,
37.0,0.6484809397166382,0.9917548420336353,11.8768,47.45728,0.9971592150692714,0.6863321705918632,0.2544849341891833,0.28885859912869777,2.267179158118383,0.5681205556858313,0.11373363544813697,0.31578722183347147,0.3432607674607322,0.21616658183396814,0.32794322668190135,0.07917731834355624,0.6951719567689434,0.1196729614354967,0.2045002711006687,0.3174891769886017,0.385344755134187,0.2520792238204157,0.11389601892395189,0.0065313714161194135,1.4042178697418422,0.004715969730527556,0.00820457845686429
