round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_prevalence,fed_f1,fed_auprc,fed_auprc_lift,fed_ece,fed_auroc,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
24.0,0.5889820787570147,1.2151995356002945,51.93728,51.93728,0.5412350858791136,0.5657466618977968,0.11394397230091279,0.3130629955479432,0.3001923853780391,2.6325467002069236,0.33171951615597217,0.7206279550361598,0.3441227691393455,0.20643335552940664,0.6337102669925976,0.1635286356336788,1.435771304200426,0.24775583482944344,0.2586685873032205,0.49520525336265564,0.3601039961603641,0.22891669734956813,0.11389601892395189,0.006793905274085922,1.0557032724609599,,0.006793905274085922
25.0,0.6422764039760887,1.1993925861702945,53.6064,53.6064,0.4559241291901578,0.5317969937162427,0.11394397230091279,0.2790652682953621,0.24565176764168686,2.1347352672790088,0.3124066290505134,0.6716881708904949,0.2998623348482641,0.19984532580762857,0.6393134591514593,0.16652665117921633,1.4620936952186696,0.2461443553362122,0.2646770504302363,0.4949062466621399,0.3585882835284028,0.22776388815018378,0.11389601892395189,0.008262094516793382,0.5242263064719737,0.008262094516793382,
26.0,0.6437047129401517,0.8548640962814611,55.58784,55.58784,0.5412350858791136,0.570283784170664,0.11394397230091279,0.28324053102619906,0.260557147083646,2.273836488567351,0.3564387499613041,0.6884565559833657,0.3136239193144345,0.22466895450710503,0.6436077936914308,0.16976514217554411,1.4905274458178903,0.26235839340885686,0.2692348849652221,0.4965705871582031,0.3622605191427734,0.23038612071510062,0.11389601892395189,0.005240825405446173,0.8374489630805328,,0.005240825405446173
27.0,0.6192082155921679,0.7220898657086008,57.56928,57.56928,0.5412350858791136,0.5889854890278837,0.11394397230091279,0.2955734901742883,0.27698848576166835,2.4249753291840332,0.3320065775776542,0.6995714960900512,0.31911969309819455,0.20938040887663292,0.6468401559766338,0.1723783206778617,1.5134709914045223,0.2718905472636816,0.2740649219364259,0.4973903298377991,0.357320013366472,0.22665482589479444,0.11389601892395189,0.005266386287802904,0.8598728377837688,,0.005266386287802904
28.0,0.6135376209348771,2.6627640875642897,59.55072,59.55072,0.5412350858791136,0.5590256328323108,0.11394397230091279,0.3086932543954226,0.2916715780171916,2.556288942549844,0.3331592526246387,0.7134937437939369,0.33368489220101144,0.2086670742080727,0.6454534917569428,0.17534678311910107,1.5395339079953243,0.26538512882125215,0.2710094480358031,0.4985889196395874,0.360694168477229,0.2292086168503211,0.11389601892395189,0.006174614942000286,1.0422782527748495,,0.006174614942000286
29.0,0.5827684422054557,1.238530220840476,61.53216,61.53216,0.5412350858791136,0.5755069442466254,0.11394397230091279,0.3160916573611355,0.3060546491563396,2.681832571771186,0.31946275825977216,0.724115627505263,0.3472191328267243,0.19943321700648567,0.6381773196368952,0.1658718122924212,1.4563442503040729,0.24842484248424843,0.26289278004317584,0.4962652325630188,0.35571898218729736,0.22570542290601225,0.11389601892395189,0.0064139201753592315,1.1233865830581635,,0.0064139201753592315
30.0,0.6456893851058046,1.461741591232109,65.18272,65.18272,0.9971592150692714,0.5494052572898757,0.11394397230091279,0.2746843013144299,0.24643972573136294,2.141855666784865,0.34332577177388773,0.6740884271165344,0.30153885055329516,0.21730079967146249,0.6281936033034976,0.15951767361362668,1.4005553058016564,0.24334016393442623,0.2531282835036775,0.49684271216392517,0.3651138436716884,0.23274487013062667,0.11389601892395189,0.005283329903037845,1.316372242756188,0.007622565723235606,0.004405663113498364
31.0,0.6418018316995577,1.0490997622947718,67.16416,67.16416,0.5412350858791136,0.5393306342805748,0.11394397230091279,0.29029699168915446,0.2666221880528052,2.327468535607181,0.34101955059999034,0.6901795277818871,0.31135622135570806,0.21452532704171323,0.622219135614847,0.1571203612725721,1.3795070517564008,0.23505395158938466,0.24623264059883782,0.49599194526672363,0.36414099635238634,0.23212257005013434,0.11389601892395189,0.004303360667828427,0.7941538200248033,,0.004303360667828427
32.0,0.6174715596577055,0.9138305760668773,69.1456,69.1456,0.5412350858791136,0.6059429210088596,0.11394397230091279,0.29784966770710114,0.28209090266030956,2.4682879672346645,0.32462598775737145,0.7043438412930032,0.32923786983252296,0.20585086350084167,0.6343109841485867,0.16561279880313745,1.4540701278919743,0.24379232505643342,0.25695752249424564,0.49506640434265137,0.3601755968061281,0.2290247239079396,0.11389601892395189,0.005527577039093662,1.046552621992305,,0.005527577039093662
33.0,0.6003552184461178,1.1034360814812085,71.12704,71.12704,0.5412350858791136,0.5683466310278966,0.11394397230091279,0.3135697603880242,0.3025290869482437,2.65065553550113,0.33453930455459613,0.7187312934811567,0.34175838322623286,0.2082765685482954,0.6341233698450429,0.16695515549323023,1.465855936586386,0.2406382285900358,0.25615224762113087,0.49564746022224426,0.3631865732985658,0.23132071950475014,0.11389601892395189,0.00465490387388354,0.9112840275047347,,0.00465490387388354
