round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_f1_best,fed_brier,fed_f1,fed_auprc,fed_ece,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6499473475219795,0.250567745900382,4.742955,32.85504,0.9971592150692714,0.11474790709385028,0.6573991690969178,0.29777314138161215,0.21157104065778162,0.2779779457682708,0.22624828663036092,0.33713751142340287,1.985040448172496,0.5035754698105617,0.6558244339732934,0.21068567982685793,1.8498072348563146,0.21316644835783244,0.27199999999999996,0.5315756797790527,0.4051288050040246,0.2639082444295043,0.11389601892395189,0.013937847180141936,0.649611212167656,0.009239323188572629,0.019397682252185886
22.0,0.6479531160761923,0.26414328189838326,4.742955,32.85504,0.0,0.11474790709385028,0.6674354462788069,0.3047695255842004,0.21135300357808365,0.28243799356922633,0.2369801185216332,0.332989518510794,2.087783288704422,0.5384917142479446,0.6558244339732934,0.21068567982685793,1.8498072348563146,0.21316644835783244,0.27199999999999996,0.5315756797790527,0.4051288050040246,0.2639082444295043,0.11389601892395189,0.0,0.0,,
23.0,0.6348202391753311,0.33024829675892375,4.742955,32.85504,0.0,0.11474790709385028,0.6758209972531438,0.3168138793282453,0.21093811724414438,0.2895490061448168,0.2469829855219866,0.33373596372161723,2.1822660089241,0.5441882225368909,0.6558244339732934,0.21068567982685793,1.8498072348563146,0.21316644835783244,0.27199999999999996,0.5315756797790527,0.4051288050040246,0.2639082444295043,0.11389601892395189,0.0,0.0,,
24.0,0.6184430999134076,0.45711236534893845,4.742955,32.85504,0.0,0.11474790709385028,0.6851161641477422,0.3220924175490214,0.20652752646410125,0.29262641511094956,0.255276438451114,0.3207341117578384,2.2655839760595424,0.5731231870987106,0.6558244339732934,0.21068567982685793,1.8498072348563146,0.21316644835783244,0.27199999999999996,0.5315756797790527,0.4051288050040246,0.2639082444295043,0.11389601892395189,0.0,0.0,,
25.0,0.646726460114559,0.24747795103673514,5.26995,36.5056,0.9971592150692714,0.11474790709385028,0.6574517822533242,0.2981615826591471,0.2114520732403413,0.27665149427721614,0.22668329306901536,0.3367987672606701,1.9881534757203976,0.5016775207480662,0.6565346199968285,0.21260659675389854,1.8666727666386256,0.2138210984496503,0.27261358899541477,0.5325532555580139,0.405794539200629,0.26429272037021956,0.11389601892395189,0.014040977211141578,0.7116896689913119,0.00863866413076058,0.020461597461162113
26.0,0.6456797521052375,0.2944833230933604,5.26995,36.5056,0.0,0.11474790709385028,0.6647428955511038,0.30686144696994105,0.2053896432754764,0.2864785040460906,0.23320844429319473,0.3212109040200443,2.05693188041587,0.5308980549654412,0.6565346199968285,0.21260659675389854,1.8666727666386256,0.2138210984496503,0.27261358899541477,0.5325532555580139,0.405794539200629,0.26429272037021956,0.11389601892395189,0.0,0.0,,
27.0,0.6321796604721733,0.3800585526525177,5.26995,36.5056,0.0,0.11474790709385028,0.6722891349424412,0.31163787439717483,0.2098569663632231,0.28034694758667117,0.24587474361675812,0.330297076856457,2.1710878512011775,0.5543435158435112,0.6565346199968285,0.21260659675389854,1.8666727666386256,0.2138210984496503,0.27261358899541477,0.5325532555580139,0.405794539200629,0.26429272037021956,0.11389601892395189,0.0,0.0,,
28.0,0.6140475681768337,0.4254861154418685,5.26995,36.5056,0.0,0.11474790709385028,0.6833941463989567,0.3200287959513264,0.20178278758556922,0.29552548852157184,0.2580030424368176,0.31694213429617957,2.2897560996377413,0.5389346198891725,0.6565346199968285,0.21260659675389854,1.8666727666386256,0.2138210984496503,0.27261358899541477,0.5325532555580139,0.405794539200629,0.26429272037021956,0.11389601892395189,0.0,0.0,,
29.0,0.645096536905277,0.29813809003420577,5.796945,40.15616,0.9971592150692714,0.11474790709385028,0.6575459778859015,0.2977833260980118,0.21046307295779576,0.2796652618607381,0.22758107565926075,0.3346650714862861,1.9968148190848218,0.5021251544272868,0.6566682089106228,0.21458856689292588,1.8840743418451367,0.2128982128982129,0.2727524972253052,0.5328983068466187,0.4061333335164724,0.2646279501130105,0.11389601892395189,0.011343153405414216,0.6197206136930618,0.007704770423317494,0.01574571750740112
30.0,0.6422601426133554,0.31194022091058643,5.796945,40.15616,0.0,0.11474790709385028,0.6666860918645616,0.3046906361077509,0.2136905552880222,0.28214736827317916,0.23915238521671983,0.3334062402910723,2.106942229586848,0.5624062218010714,0.6566682089106228,0.21458856689292588,1.8840743418451367,0.2128982128982129,0.2727524972253052,0.5328983068466187,0.4061333335164724,0.2646279501130105,0.11389601892395189,0.0,0.0,,
31.0,0.6308830656820692,0.3754456556994884,5.796945,40.15616,0.0,0.11474790709385028,0.6770439271601023,0.31827204162670547,0.21727988670822168,0.28575248211916826,0.24931028590140616,0.3400540414883632,2.204236563191215,0.5704256877084581,0.6566682089106228,0.21458856689292588,1.8840743418451367,0.2128982128982129,0.2727524972253052,0.5328983068466187,0.4061333335164724,0.2646279501130105,0.11389601892395189,0.0,0.0,,
32.0,0.6198122089709348,0.5081115089848739,5.796945,40.15616,0.0,0.11474790709385028,0.6861415668570207,0.32781218595766914,0.21385686478228966,0.2970158542147998,0.25845939058947687,0.336562479635669,2.2928554459206634,0.5497142679216938,0.6566682089106228,0.21458856689292588,1.8840743418451367,0.2128982128982129,0.2727524972253052,0.5328983068466187,0.4061333335164724,0.2646279501130105,0.11389601892395189,0.0,0.0,,
