round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_f1,fed_ece,fed_auprc_lift,fed_f1_best,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6418482826459286,0.7474609542515744,76.88016,76.88016,1.0,0.5558552713421172,0.20481198640940454,0.11183134046570165,0.2974079334341848,0.32704080948483044,2.336698596100802,0.32312471669318305,0.26261960530846573,0.6934499264584666,0.650379214312961,0.2049827574586114,1.799735929273155,0.2677035466006834,0.27013403597204716,0.4932233691215515,0.3253084295761152,0.21044404924190027,0.11389601892395189,0.005443498202882239,1.9025377298712556,0.0032284972251444247,0.007935084054220993,0.004208584727617209
22.0,0.6360518004932103,0.9719077074735301,80.54112,80.54112,1.0,0.5757429099142963,0.2060494246006268,0.11183134046570165,0.2928735510777683,0.3265016612904515,2.355923428817133,0.32824480810387935,0.26377550635090424,0.69410718890716,0.6521292353583915,0.2069434291656632,1.8169505055645434,0.2709342950524062,0.27199615892449885,0.5144139528274536,0.32489236428627255,0.21178746166280318,0.11389601892395189,0.005125697158993668,1.881071912821426,0.0030932652651735584,0.0074183032963642415,0.00497617969626198
23.0,0.6444853850414911,1.0678282914704265,84.20208,84.20208,1.0,0.5704648016007758,0.21356786557904925,0.11183134046570165,0.2905459923775001,0.3406517649412887,2.37294682712008,0.3320718451070847,0.2656452830895078,0.6954244468403704,0.6495878082377512,0.2065963666073667,1.8139033177736494,0.26791141988710376,0.2698136645962733,0.5269557237625122,0.3385459703259786,0.21901043098113565,0.11389601892395189,0.0049303175942710005,1.8896380444602983,0.0028683839766996777,0.007283527119869526,0.004315255527675855
24.0,0.6415196091744603,0.9826409605905344,87.86304,87.86304,1.0,0.5543547723899478,0.20599990679347804,0.11183134046570165,0.30019051123105583,0.3293388708059127,2.445227332418219,0.33054611876333895,0.2696618357539986,0.6973750520359323,0.6488937482597048,0.2058003469656341,1.8069143145648183,0.2668545924359878,0.26870704188821165,0.5196651220321655,0.32784247541718065,0.21214059176567832,0.11389601892395189,0.004520841082026964,1.8142552985336806,0.0026523196769911426,0.006665154473782326,0.004541363107299553
25.0,0.6387061279744428,1.3077827404919993,91.524,91.524,1.0,0.5455658381693462,0.19818201839012772,0.11183134046570165,0.3042484990060679,0.31674479228861113,2.3747131831763437,0.33272531887780504,0.26681132245551703,0.6991176120775069,0.6486387057519508,0.20539656873858836,1.8033691667110083,0.26453963069966085,0.2691029900332226,0.5219113826751709,0.3152653685894511,0.20478431897241473,0.11389601892395189,0.004475460731625323,1.8751111089259211,0.0024833176744254223,0.006780111878450878,0.0037907139521459934
26.0,0.6351683056809994,1.2144392434952935,95.18496,95.18496,1.0,0.5730474683419196,0.21066722568424728,0.11183134046570165,0.29724601030825604,0.33626117143238426,2.393723536702929,0.3259922400172242,0.2693517603703276,0.6989120219052953,0.6488873480393164,0.2067715299951196,1.8154412414816754,0.2675638686131387,0.2709102482495226,0.5228236317634583,0.3345519915133465,0.21692938469942527,0.11389601892395189,0.004268329260907167,1.8617558029382053,0.002377377060798675,0.006464562385549793,0.0029987234289645787
27.0,0.6351732639966644,1.0946907800329038,98.84592,98.84592,1.0,0.5678888625773038,0.20883552869718797,0.11183134046570165,0.29974668820703365,0.33446284307142315,2.4298584277231026,0.3321398055249458,0.27259963280188176,0.7012245336940996,0.6463325055547638,0.2033646624471619,1.7855291551757222,0.2657937054904663,0.2668814273324247,0.5136186480522156,0.3329104848524992,0.21555604353866437,0.11389601892395189,0.0037038262364317716,1.6792044013927807,0.0021726245981194127,0.00548786135794354,0.0038295671970046625
28.0,0.6390425401884241,1.3009180871520978,102.50688,102.50688,1.0,0.5536626425008491,0.19852873880271368,0.11183134046570165,0.30655026239379674,0.31786628452653043,2.439998120884407,0.3361370593471899,0.2745573915604358,0.7037963157115373,0.6466357003088521,0.20655928464841555,1.8135777404681257,0.26889082534545,0.2714623260698346,0.5112317800521851,0.31630696614429604,0.20568750036610378,0.11389601892395189,0.0037200300155876527,1.7506059997576813,0.002073475678373397,0.0056460401486862575,0.004385232710724378
29.0,0.6391491563156073,1.3971723283395943,106.16784,106.16784,1.0,0.5498290598992659,0.1930812483472607,0.11183134046570165,0.3058194407495497,0.3061187414752959,2.4365172441291443,0.3350031805232702,0.274712625036298,0.7028280373552037,0.6453915351136923,0.203756246023095,1.7889672347471828,0.26590765338393424,0.2674682698730794,0.5125060081481934,0.3049413436342315,0.20108711907197369,0.11389601892395189,0.0035534258463450837,1.7341530277244601,0.0019764611045990396,0.005407153210839997,0.0040680980114340005
30.0,0.6496506939237316,2.0258026666988584,109.8288,109.8288,1.0,0.5586163771535105,0.20016840962291516,0.11183134046570165,0.3055534739494445,0.3214513331918218,2.5131502600652738,0.33509495874574646,0.2788568935070173,0.7048978638944027,0.6426295011808782,0.2023073346429713,1.7762458824662821,0.26433041301627036,0.2688897710731772,0.5108915567398071,0.3196708894514475,0.20799622177478566,0.11389601892395189,0.003743714299209704,1.8927829570784525,0.0019419716777136617,0.005870771662001879,0.004682939413881578
31.0,0.6456657975883626,1.7844277707911558,113.48976,113.48976,1.0,0.5489650849466279,0.19372134607181432,0.11183134046570165,0.3081740668012309,0.3096804122912625,2.5224624159185858,0.33482425388975395,0.28049485171655836,0.7064773308791868,0.64145327871745,0.2012207141907469,1.7667054221192886,0.26569305662311044,0.26878015161957275,0.5151224136352539,0.30798343618098606,0.20196724068272429,0.11389601892395189,0.0035156799476940797,1.8410208867280744,0.0017939246792556948,0.005556975251125333,0.003920623625874513
32.0,0.6470187182622934,1.8721810869677764,117.15072,117.15072,1.0,0.565899908445105,0.2075680503237409,0.11183134046570165,0.3020333404943634,0.3293661482656703,2.5277941593247357,0.3355115629637306,0.2805543287311636,0.7062173794043083,0.6439355728214817,0.20334521336971,1.7853583934789077,0.26241610738255033,0.2698066579444687,0.5535606145858765,0.3277590729612712,0.2158387480741012,0.11389601892395189,0.003359257787370108,1.8246796733601514,0.001712237014972215,0.005310820456120367,0.0033799978237035186
33.0,0.6420567358416303,1.7657256248688036,120.81168,120.81168,1.0,0.5569459767856261,0.20423688634265225,0.11183134046570165,0.3062975417473106,0.3269566238628125,2.545490440330145,0.33860633521061695,0.2830267747997985,0.7091638608295521,0.6405787199749974,0.20156570339376362,1.7697344059790938,0.26596614127262114,0.26748531767218364,0.5231851935386658,0.3254341177504782,0.21262661800087942,0.11389601892395189,0.0032444792291915665,1.8268570247273601,0.0016112790058270513,0.005169865136812041,0.004157867161967154
34.0,0.6465778159832077,1.875286847918869,124.47264,124.47264,1.0,0.5768676889062752,0.20791351248519527,0.11183134046570165,0.29879847728467185,0.33260670168577294,2.532696459317297,0.33678990008534887,0.2816986217445296,0.7085170085043864,0.6400372111323274,0.20266236038572888,1.7793629865241039,0.26437708885559524,0.26609536365633923,0.4924631714820862,0.33043433760743407,0.21619932638532782,0.11389601892395189,0.0029465059477630237,1.7144954398590926,0.0015091033971285914,0.004631244674950757,0.003949382701422164
35.0,0.6505023491404756,2.223345102274272,128.1336,128.1336,1.0,0.5593801584837944,0.19961180352262695,0.11183134046570165,0.30626072284378,0.3190904656684791,2.5659197503927085,0.33657318497905864,0.2853937107960562,0.7089214013526013,0.6432998301456805,0.20203003340243675,1.7738111947295694,0.2633863965267728,0.27180925666199157,0.5308284163475037,0.3165977585014006,0.2079079789100027,0.11389601892395189,0.0028729640084292343,1.7212205525356694,0.0014556286113261564,0.004546127593552645,0.0029583317951010213
36.0,0.6493054299732723,2.5881719906370675,131.79456,131.79456,1.0,0.5754714426377646,0.20209238625162884,0.11183134046570165,0.3028516906117415,0.3237075066177202,2.5800757998004804,0.3403754227064965,0.28760755392833554,0.7106206209186847,0.6408194059099585,0.19898780078200534,1.7471005805292372,0.26477935054121565,0.2689588243449328,0.5331711173057556,0.3215054283319678,0.21118666266715821,0.11389601892395189,0.00295926581043673,1.8271144666614418,0.0014461882295391316,0.004749262459485752,0.0035750467110924554
37.0,0.6524520596705938,2.3390322704904376,135.45552,135.45552,1.0,0.5684539512390606,0.19848117413463115,0.11183134046570165,0.30835994256568644,0.3185525841471036,2.58258300583081,0.3391799572373696,0.2877900272685302,0.7113852280595799,0.6384839278418573,0.198265284660385,1.7407569336797126,0.2642744575100012,0.27140376652864967,0.5215457081794739,0.31613234893885195,0.20739099911653663,0.11389601892395189,0.002832048247651734,1.804178051240342,0.001348664068810446,0.0045827279504857595,0.003188724494850878
38.0,0.6494148212299994,2.146337713174014,139.11648,139.11648,1.0,0.5468864120106937,0.19203631733134424,0.11183134046570165,0.3102137219951074,0.30598143724821963,2.5724775659668864,0.3380981319141254,0.2866417074215258,0.7118018616984917,0.6397427633461035,0.19961974992480966,1.7526490549076637,0.2679007584522432,0.2691511387163561,0.5013450980186462,0.30383698043023,0.20172342597070803,0.11389601892395189,0.0025778832912844033,1.692574010539829,0.0012654789936134138,0.004125668573837358,0.003356646797955815
