round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_brier,fed_auroc,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_auprc_lift,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
41.0,0.6543950937712706,0.26042263545119043,1.22136,51.10784,0.9971592150692714,0.11381806735914385,0.22440935842176918,0.22340279809845595,0.6544354837677786,0.25868353196379945,0.49411793235040957,0.2834130007229568,1.9799340124885985,0.3549736504082715,0.6626159588165144,0.21701606584075658,1.9053876324303987,0.20526818616077522,0.2791660913985918,0.512585461139679,0.39484384169671666,0.25631454791980207,0.11389601892395189,0.020811806225253342,0.6537529842451022,0.00842937560587922,0.047238673232869295
42.0,0.6529632514853083,0.33605975677684363,1.22136,51.10784,0.0,0.11381806735914385,0.2374421287491266,0.21517409293903034,0.6664027862709344,0.2773816794491433,0.5154681735756189,0.2971628261685324,2.1023256818024185,0.3408935162043249,0.6626159588165144,0.21701606584075658,1.9053876324303987,0.20526818616077522,0.2791660913985918,0.512585461139679,0.39484384169671666,0.25631454791980207,0.11389601892395189,0.0,0.0,,
43.0,0.6424897668508914,0.5794218966941511,1.22136,51.10784,0.0,0.11381806735914385,0.24696175305797163,0.20838883811186393,0.6759048788068653,0.2810161379099515,0.5122205486172282,0.3007682263973101,2.1908962903028524,0.330346286794957,0.6626159588165144,0.21701606584075658,1.9053876324303987,0.20526818616077522,0.2791660913985918,0.512585461139679,0.39484384169671666,0.25631454791980207,0.11389601892395189,0.0,0.0,,
44.0,0.6184168494910559,0.48467783422051214,1.22136,51.10784,0.0,0.11381806735914385,0.25940881763029944,0.2032804759324385,0.685840917555138,0.29496475291819413,0.5245300678363342,0.31865014295794164,2.303375189411191,0.3224052933641283,0.6626159588165144,0.21701606584075658,1.9053876324303987,0.20526818616077522,0.2791660913985918,0.512585461139679,0.39484384169671666,0.25631454791980207,0.11389601892395189,0.0,0.0,,
45.0,0.6509095567405048,0.30688573314534356,1.3086,54.7584,0.9971592150692714,0.11381806735914385,0.22441514202216206,0.21935073046093045,0.6544457254722637,0.25680791076139625,0.48635826510643115,0.28351680487924086,1.9799831434749913,0.34909445131053934,0.662182576050054,0.21534285111337229,1.8906969106370277,0.21043139860471738,0.27885380737596177,0.5123918652534485,0.39405389096891824,0.25563517092820764,0.11389601892395189,0.01704056752308528,0.5764355560413605,0.005658629738325779,0.04212614919498706
46.0,0.649791219641513,0.3401204528557793,1.3086,54.7584,0.0,0.11381806735914385,0.23900644943940136,0.21825552576890686,0.6685534546089483,0.2787585881307692,0.5222582620234095,0.29835187977212063,2.1147099694142555,0.3450615441382664,0.662182576050054,0.21534285111337229,1.8906969106370277,0.21043139860471738,0.27885380737596177,0.5123918652534485,0.39405389096891824,0.25563517092820764,0.11389601892395189,0.0,0.0,,
47.0,0.6364112291954629,0.4523404046621823,1.3086,54.7584,0.0,0.11381806735914385,0.24720685891497005,0.20905070060960884,0.6775099322802443,0.28753863585234796,0.5347734004080877,0.30760723580030863,2.187781202735022,0.33079477063432067,0.662182576050054,0.21534285111337229,1.8906969106370277,0.21043139860471738,0.27885380737596177,0.5123918652534485,0.39405389096891824,0.25563517092820764,0.11389601892395189,0.0,0.0,,
48.0,0.6180915864387443,0.5175880975079991,1.3086,54.7584,0.0,0.11381806735914385,0.2604069672522155,0.20780967283996882,0.6888998834911557,0.29867354851678973,0.5438093242496675,0.31802391072019953,2.306866385716213,0.32839666146024016,0.662182576050054,0.21534285111337229,1.8906969106370277,0.21043139860471738,0.27885380737596177,0.5123918652534485,0.39405389096891824,0.25563517092820764,0.11389601892395189,0.0,0.0,,
49.0,0.6533718417834137,0.3279112973101598,1.39584,58.40896,0.9971592150692714,0.11381806735914385,0.22471976752993195,0.219629001508287,0.6546431782785342,0.2610432001968698,0.49383496125614185,0.2843234281131876,1.9838312100662148,0.3495009092084635,0.6618722155590211,0.21522352064784323,1.8896491965320357,0.21703936051806133,0.27785024784763895,0.5122278332710266,0.3934308986199077,0.2550628617494484,0.11389601892395189,0.015129745274720899,0.549395281543184,0.00557100492874224,0.03680883075695915
50.0,0.6524913873371739,0.3416643829976169,1.39584,58.40896,0.0,0.11381806735914385,0.240422428567828,0.20573756110453428,0.6706727221370773,0.27754535786247125,0.5219460499110296,0.29833146807243277,2.1249079409673466,0.32538239482976683,0.6618722155590211,0.21522352064784323,1.8896491965320357,0.21703936051806133,0.27785024784763895,0.5122278332710266,0.3934308986199077,0.2550628617494484,0.11389601892395189,0.0,0.0,,
51.0,0.6326774254236336,0.44937962223007455,1.39584,58.40896,0.0,0.11381806735914385,0.2484694882937793,0.22610516152764315,0.6779226208156257,0.27853198520881556,0.5613914256167929,0.30602946167723677,2.1996685959761755,0.35590910204493625,0.6618722155590211,0.21522352064784323,1.8896491965320357,0.21703936051806133,0.27785024784763895,0.5122278332710266,0.3934308986199077,0.2550628617494484,0.11389601892395189,0.0,0.0,,
52.0,0.6218991366815562,0.4670324015077205,1.39584,58.40896,0.0,0.11381806735914385,0.2586120449575769,0.21111899882892343,0.6876033975735538,0.2897612571533971,0.550752935095857,0.3141451802976241,2.2920569387532495,0.3356623739339494,0.6618722155590211,0.21522352064784323,1.8896491965320357,0.21703936051806133,0.27785024784763895,0.5122278332710266,0.3934308986199077,0.2550628617494484,0.11389601892395189,0.0,0.0,,
53.0,0.6489318455067309,0.34039178106921575,1.48308,62.05952,0.9971592150692714,0.11381806735914385,0.2248135482819218,0.21473267146802008,0.6546040228353948,0.25912677659598804,0.49289804024819434,0.28451751419903065,1.98329433078581,0.34210385992949516,0.6610328956770603,0.21359387463865656,1.8753410053890707,0.22713074520303436,0.2770508303975843,0.5119729042053223,0.3924691696022758,0.2542527083678925,0.11389601892395189,0.012258334845013376,0.47691731641771185,0.002322757433510799,0.03554243147701309
54.0,0.648718569521961,0.3410806063208606,1.48308,62.05952,0.0,0.11381806735914385,0.23717952800528655,0.20159705672423872,0.6667791161303189,0.27473100801628164,0.5213707854922629,0.29682616604022766,2.1012199374403986,0.3152588167016447,0.6610328956770603,0.21359387463865656,1.8753410053890707,0.22713074520303436,0.2770508303975843,0.5119729042053223,0.3924691696022758,0.2542527083678925,0.11389601892395189,0.0,0.0,,
55.0,0.6340655911997106,0.46762721127089224,1.48308,62.05952,0.0,0.11381806735914385,0.2470947102072943,0.2163769056689271,0.6753874634948228,0.2814937360423679,0.5546846290729615,0.30106087358604317,2.187617204080471,0.3405621136174305,0.6610328956770603,0.21359387463865656,1.8753410053890707,0.22713074520303436,0.2770508303975843,0.5119729042053223,0.3924691696022758,0.2542527083678925,0.11389601892395189,0.0,0.0,,
56.0,0.6261382205922379,0.5938723693369417,1.48308,62.05952,0.0,0.11381806735914385,0.25952285004506137,0.22884838195214338,0.6871807235407452,0.2854767712972998,0.5765198250874282,0.3162790752281989,2.2968650850464747,0.3588944282505849,0.6610328956770603,0.21359387463865656,1.8753410053890707,0.22713074520303436,0.2770508303975843,0.5119729042053223,0.3924691696022758,0.2542527083678925,0.11389601892395189,0.0,0.0,,
57.0,0.6248950251138672,0.3649813999180807,1.5286,64.04096,0.5412350858791136,0.11381806735914385,0.2564204260781575,0.21875400838241552,0.6827062706616847,0.28058177305910653,0.5094704057403356,0.3145911186782933,2.2746119409547654,0.3498475032311248,0.6604198549594605,0.21093278875345378,1.8519768359444866,0.23949286846275752,0.27802251590797844,0.5109574794769287,0.39098006588888673,0.2530175455223546,0.11389601892395189,0.03893821158127624,0.4723206014068637,,0.03893821158127624
