round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_auprc,fed_f1,fed_auroc,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.6414243346241089,0.6784713274656431,44.43136,44.43136,0.4559241291901578,0.11513282135213394,2.190550862971741,0.21433910841633624,0.549181242034085,0.24939343003753012,0.29509910347141877,0.6847981823073667,0.33781489034021633,0.32391695964168216,0.662404048774398,0.2264297859103242,1.9880395122634695,0.2754411275108201,0.28218100056211354,0.5083732008934021,0.3789134729765905,0.24129136767301565,0.11389601892395189,0.007261001947899729,0.6324772890657187,0.007261001947899729,
16.0,0.640440293657121,0.6113309424058572,46.4128,46.4128,0.5412350858791136,0.11513282135213394,2.3708402617663005,0.2144402523188135,0.5683369163818208,0.2691569362398215,0.3038732028480959,0.7006890240012754,0.33968190899432776,0.3377910856647931,0.6624747649349645,0.2270050888360515,1.9930906363603655,0.2732391373632211,0.28300283286118977,0.510175883769989,0.38070401455143016,0.24268719604564773,0.11389601892395189,0.0057284197974608805,0.7066554953344166,,0.0057284197974608805
17.0,0.6144747681252771,0.5870301878419439,48.39424,48.39424,0.5412350858791136,0.11513282135213394,2.5326009561500427,0.2108437372273935,0.5673723064272015,0.28605760899789695,0.3182167424327846,0.7181814699375614,0.33733716212709236,0.3544085834963004,0.6624230360948837,0.22680595225563294,1.9913422295038314,0.27358490566037735,0.28225684465285134,0.5126956105232239,0.38060661414062097,0.24281822703423414,0.11389601892395189,0.006403334982721179,0.8173915768275037,,0.006403334982721179
18.0,0.5953706257131922,0.5993030736800983,50.37568,50.37568,0.5412350858791136,0.11513282135213394,2.679356915806513,0.20829852803797033,0.593715515475001,0.3017581729741767,0.31815063673460564,0.7283294322201055,0.33253013579606133,0.36931490096849384,0.6615996289177317,0.22698235695011842,1.9928910518081762,0.27283384844932324,0.28293391430646336,0.5116760730743408,0.3790864307103192,0.24136530328963735,0.11389601892395189,0.006631383975018811,0.8826508073834702,,0.006631383975018811
19.0,0.5795090543507725,0.9617080693835106,52.35712,52.35712,0.5412350858791136,0.11513282135213394,2.8154168721187838,0.20253429725514097,0.5936393295804604,0.3161302745421537,0.33449869018358225,0.7397224625101949,0.32598623847806985,0.3772797698854205,0.6614094168776773,0.2254508293307141,1.9794443340574273,0.2719226018937835,0.28162884675163197,0.5163072943687439,0.38174099133721334,0.24354135963165444,0.11389601892395189,0.006785480273062219,0.9470310296164826,,0.006785480273062219
20.0,0.6358702086106967,0.8726759301739963,56.00768,56.00768,0.9971592150692714,0.11513282135213394,2.1925154937690694,0.21577788585308302,0.5659198673245259,0.25043283940030536,0.29212516218342655,0.6856701774419202,0.3371667452820183,0.32449777789107664,0.6622112891956398,0.22485472374766646,1.9742105639162106,0.2672018348623853,0.28058638169612277,0.514416515827179,0.38514619072278344,0.24625543624791033,0.11389601892395189,0.006370763352449313,1.5158264091005549,0.006614642990358513,0.006213103092600552
21.0,0.6381029083122132,0.8391212938767121,57.98912,57.98912,0.5412350858791136,0.11513282135213394,2.4142914063331076,0.20526102354517417,0.5730431848579071,0.27442489399543,0.3106290790013388,0.7051809139810331,0.3274360558743401,0.34067052887796995,0.6624521508229253,0.22495483256980578,1.9750895131813835,0.27240218763146823,0.2820734875664976,0.5058807730674744,0.37866103314652616,0.24138638487648809,0.11389601892395189,0.0054930830315473534,0.8165020541055128,,0.0054930830315473534
22.0,0.6179539153432161,0.7467080886079689,59.97056,59.97056,0.5412350858791136,0.11513282135213394,2.5549594286367068,0.21376838768935558,0.5717437057171392,0.28868951630459544,0.31139637459261654,0.7158876363910129,0.34107994506480055,0.3541504565474121,0.6626012634085245,0.22446827688595172,1.9708175843778057,0.26785017557549745,0.2819194515852614,0.5150763988494873,0.3798491117341558,0.24221135522781403,0.11389601892395189,0.0059110899067218725,0.9100353684043512,,0.0059110899067218725
23.0,0.5923256283829095,0.7478341376772153,61.952,61.952,0.5412350858791136,0.11513282135213394,2.78508232871844,0.20622937833475852,0.5899916869048489,0.31361817506266026,0.3325418102555129,0.7335866173595732,0.33155791379984356,0.37187503184158205,0.6622498787597466,0.2239248803982753,1.9660465968331116,0.268047006155568,0.28077488965179015,0.5093961954116821,0.38424726939086157,0.24573595266819187,0.11389601892395189,0.005841957543571627,0.9372063421178609,,0.005841957543571627
24.0,0.5747178025727958,1.0244371321532255,63.93344,63.93344,0.5412350858791136,0.11513282135213394,2.933454756820614,0.20912476646822384,0.6081215603764616,0.3291598038774643,0.3351194020016639,0.746052911978305,0.3354052543089878,0.38515315523672067,0.6620411311794693,0.22353625686658815,1.9626345062670083,0.2655624317437204,0.28099987686245537,0.5111359357833862,0.3849002529407965,0.2461181666519359,0.11389601892395189,0.006371017209333833,1.0720305491704494,,0.006371017209333833
