round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_ece,fed_auroc,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6472389349504144,0.4005844956946619,40.27056,40.27056,1.0,0.11373363544813696,0.23675438740620092,0.3454535898095051,0.674347294284336,0.30579136206973256,0.27926341821926093,0.5476256471618723,2.0846908125438186,0.2184187594598808,0.6677604057669448,0.22151331304223384,1.9448731846381546,0.278640558181409,0.2820642549962054,0.5221561193466187,0.34356068089177644,0.21840667977532555,0.11389601892395189,0.007454296539588328,1.478987950953524,0.0059320078545467714,0.008867289131858911,0.0030041825236187666
12.0,0.6416589908250003,0.4443249048593566,43.93152,43.93152,1.0,0.11373363544813696,0.2405196698886353,0.350060422750038,0.6777063954964444,0.305156403908034,0.28032560571209536,0.5571293346977757,2.1129152589621514,0.2208628617358735,0.6664426505867697,0.2199514227792839,1.9311598847554536,0.27646378639756125,0.2797704447632712,0.5543146133422852,0.3480320039676657,0.22134684365584015,0.11389601892395189,0.006785517806803272,1.4300496497417043,0.005406190884598871,0.008090041122194937,0.0029918576270978542
13.0,0.6393185323946271,0.44509183727566404,47.59248,47.59248,1.0,0.11373363544813696,0.2417978541926954,0.33830340229976485,0.678142956814935,0.30372014303101513,0.27939241221517863,0.5551558535861194,2.1245777328484547,0.214419222725115,0.6671371748945306,0.22095849658102634,1.940001930432352,0.27501600170684876,0.2805208199046023,0.5324851274490356,0.3363085650861926,0.21492284079711405,0.11389601892395189,0.006553311166482885,1.4553920392809232,0.005101522857776503,0.007955757600231945,0.002675451952815182
14.0,0.6442026261513649,0.5320040628869371,51.25344,51.25344,1.0,0.11373363544813696,0.24520237531105527,0.3165914302176917,0.6790057316569226,0.30561786961806287,0.28605068016904833,0.5339171407652377,2.1541149305592233,0.20078108261864103,0.6667220641298067,0.2198181677886788,1.9299899141817318,0.28215968112090833,0.28280254777070063,0.510766863822937,0.31434093255356,0.20152952747719238,0.11389601892395189,0.006547016066940044,1.5416404355528357,0.004794561085104653,0.008256165875986859,0.0033330173217217688
15.0,0.6440622113258029,0.6186895227115312,54.9144,54.9144,1.0,0.11373363544813696,0.2501365846703472,0.34312952714826817,0.6838168395114053,0.308177456879548,0.2826342137197013,0.5712574157406166,2.200921265251084,0.21658363421634724,0.6648187013335399,0.22050718267695213,1.9360394222750161,0.2748322873836832,0.27982918864606887,0.5286195278167725,0.34097400257594807,0.21762252615209737,0.11389601892395189,0.006838728422622976,1.7013903196984757,0.004758078824454872,0.008896516866658875,0.0030357752570287578
16.0,0.6399960399763338,0.5623857226773812,58.57536,58.57536,1.0,0.11373363544813696,0.25287633916420305,0.3378085964120181,0.6854126482815756,0.31106599191253426,0.2848231389932864,0.5602945410491746,2.2244040538431147,0.2129941526426899,0.6646305474035711,0.22169944773213568,1.946507435700311,0.27381618717116313,0.28021759320684625,0.534298300743103,0.3359704296883126,0.21445670504783243,0.11389601892395189,0.006377137281309403,1.6741911146700659,0.004707491601781379,0.008049555356634874,0.002979889370948301
17.0,0.6436370225513458,0.6594855344622889,62.23632,62.23632,1.0,0.11373363544813696,0.2555260490636163,0.326224946779877,0.6872392571337407,0.3117945883488373,0.28820359986011435,0.5710570424521287,2.2498990238920906,0.20619211334188173,0.6648583826999482,0.22135934940349755,1.9435213934149769,0.276091190285256,0.28130617136009584,0.5520595908164978,0.32387158867427146,0.20780816213448164,0.11389601892395189,0.005716508457577326,1.5819052478509548,0.0042006951221034,0.007249667280115466,0.002892219346487485
18.0,0.6430901305699299,0.714644882556185,65.89728,65.89728,1.0,0.11373363544813696,0.2594486627828428,0.3344314456893898,0.6924258827430968,0.3146990514333009,0.2882447458278582,0.5667836003733304,2.2848809916910278,0.21124848256504786,0.6628910804470556,0.2184421053809377,1.9179081713715647,0.27191452245965986,0.2795988624457416,0.5598647594451904,0.3321635816451576,0.21345140662266246,0.11389601892395189,0.006108918742029032,1.7746525048933108,0.004002934080492037,0.00826750879752252,0.003080563043995932
19.0,0.6450647512289227,0.7648408685760784,69.55824,69.55824,1.0,0.11373363544813696,0.2633547209108498,0.34391458613248427,0.6940420946616372,0.3189192548675335,0.2866690538317078,0.5661127193317883,2.3206059236770074,0.21717370076936693,0.6645811653109661,0.2185630529541415,1.9189700835818988,0.27152248773870397,0.28064903846153844,0.5664374828338623,0.341905674836996,0.21965528625460135,0.11389601892395189,0.005777524882110285,1.764426994455789,0.003787502863495971,0.007837075759201272,0.0034327629308174234
20.0,0.6420155821769022,0.7592429356951385,73.2192,73.2192,1.0,0.11373363544813696,0.26310411910008197,0.33405007637872136,0.6941872133801581,0.31989437195222303,0.29251986281963005,0.5619188454602391,2.312402068356086,0.21022825309397797,0.6629843228734992,0.2197585237440291,1.929466243159573,0.27481252756947505,0.2784506854785039,0.5329524278640747,0.33212030772040074,0.21297189269889732,0.11389601892395189,0.005245290320571656,1.6800640636756725,0.003471241339303604,0.0070990056627836876,0.003296274424730525
21.0,0.6400048792564711,0.7870243422599448,76.88016,76.88016,1.0,0.11373363544813696,0.26530160095904287,0.33888463774219546,0.6952048589577546,0.31904767891674835,0.2858791026275161,0.5868180194458841,2.3320151240359572,0.21400103518923166,0.6597858943058068,0.21938684336479197,1.9262029124237965,0.26973068524487886,0.27790432801822323,0.5532917380332947,0.33688943093323187,0.21699063291961934,0.11389601892395189,0.005064061660645293,1.6954482348255624,0.0032894427043637466,0.006943572688833404,0.002930340516844551
22.0,0.6477077073731407,0.9788977415791896,80.54112,80.54112,1.0,0.11373363544813696,0.26748288909870604,0.33295337914832474,0.6979815128326026,0.32101020188500073,0.28899207095952806,0.5730222641525101,2.351128616350308,0.20933822531740437,0.6591764301819535,0.21862582139132397,1.9195211865772055,0.2707433255788191,0.27546792398914133,0.5421767830848694,0.3307035544221492,0.21261019122290067,0.11389601892395189,0.004793751920732707,1.6765825042984943,0.0031558343150913442,0.006551241217385186,0.0026421439303733604
23.0,0.6460454182475209,0.9252875158905262,84.20208,84.20208,1.0,0.11373363544813696,0.2706298248287087,0.3270305149001139,0.7004414611655463,0.32317384602822574,0.29779496363243935,0.5635539613821716,2.383641372223443,0.20465041724232597,0.6597986069004214,0.21885437089896637,1.9215278371151403,0.27334584702017833,0.276720560881385,0.5319985151290894,0.3247266672742875,0.20802709968731983,0.11389601892395189,0.004545113181264507,1.6589484716205334,0.002857243939483517,0.006373636095746137,0.002538880729271782
24.0,0.6449479751638646,0.8771264259754844,87.86304,87.86304,1.0,0.11373363544813696,0.2734756164091347,0.30972107305777175,0.7025846294865451,0.3242379018648973,0.302863921315657,0.5480748181196616,2.4037920018704275,0.19352554946339315,0.6572994086848932,0.21756159261667463,1.9101773237740645,0.2752794385235248,0.27623294858342073,0.5014395713806152,0.3074508622322265,0.19758301958092714,0.11389601892395189,0.004431420925104213,1.6890918590124784,0.0026549134412788486,0.006362912754463549,0.0029943147134692013
25.0,0.6430223705664189,1.0385767984703596,91.524,91.524,1.0,0.11373363544813696,0.275120363708105,0.32469086626953514,0.7036050622491216,0.3260310688708104,0.3004609828235073,0.5577620849133378,2.415070443248276,0.20311687956425367,0.6556449768133821,0.2145661826071437,1.883877809200768,0.2707787568468683,0.27252060244387605,0.5319563746452332,0.3230722687947337,0.20765691031711647,0.11389601892395189,0.004574242489368974,1.8167258393732482,0.002862155252566758,0.006450228696510013,0.00202428432460912
26.0,0.6459903870805531,1.116665207226748,95.18496,95.18496,1.0,0.11373363544813696,0.27673840464131705,0.3458158391285621,0.7049704734223757,0.32994517557302233,0.29198621577286793,0.5871465267971804,2.4374865017539817,0.21675272486400193,0.6537733139322156,0.21511773564908854,1.8887204107873354,0.2677973199329983,0.27254328760962443,0.5107582807540894,0.34389696400783215,0.22098882744915635,0.11389601892395189,0.004619239479739203,1.912089762695814,0.0028160054046390192,0.00660859045178661,0.0029848485843991454
27.0,0.649171283380525,1.061316043609883,98.84592,98.84592,1.0,0.11373363544813696,0.283858845818851,0.32946073678359655,0.7093406462897847,0.33456442214017035,0.3004943432622636,0.5688172748569335,2.489906568050757,0.20655918373895082,0.6531289497830677,0.21250050764966974,1.865741310866676,0.26727904111123557,0.2717797969000535,0.5287684798240662,0.3275209879037204,0.21201015883024485,0.11389601892395189,0.004140121976490913,1.7801666886134626,0.002405488025565182,0.006071707835038913,0.003532238334262928
28.0,0.6528246235949837,1.6776730733561593,102.50688,102.50688,1.0,0.11373363544813696,0.2829944988819141,0.3213003356796844,0.7081537568336845,0.33218185580364584,0.30324959958797526,0.5768605407612531,2.4752671295799145,0.20043204719046384,0.6527994890264833,0.21331521066505732,1.8728943529403552,0.2696237229005731,0.2701365738251425,0.4752954840660095,0.3194217827369642,0.20599566271752306,0.11389601892395189,0.004099073239883598,1.8274950871964393,0.0023786808025854974,0.006033637139597219,0.0029103621126199816
