round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,fed_ece,fed_f1,fed_auroc,fed_f1_best,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6208058062364971,3.1043470220744234,175.616,175.616,0.0,0.20713352585429526,0.11388101983002834,0.5630140758476281,2.386779936548658,0.3265518013597811,0.2942673981092193,0.6995780485816019,0.32103098209370823,0.26929485983186635,0.6579803168375141,0.21120668733401715,1.8543816485371571,0.2180490349504434,0.27955454026270704,0.4341718256473541,0.2974456916791251,0.18570175364015748,0.11389601892395189,0.0,0.0,,
12.0,0.6094070223060329,2.924290865093278,177.28512,177.28512,0.049862104895873664,0.2011392377656969,0.11388101983002834,0.5500967207234875,2.4148890789598547,0.31617618455572966,0.2922003600278431,0.698701195852401,0.318811570649272,0.2704579221681172,0.6561546727958858,0.20974590889977257,1.841556104255228,0.21499219156689225,0.27984484987789116,0.4354497492313385,0.29800589400872746,0.18609737362170897,0.11389601892395189,0.003948439825528298,0.39077237638412043,0.003948439825528298,
13.0,0.6510148539094573,3.353310053443464,210.7392,210.7392,0.9993834153056396,0.23625750397464076,0.11388101983002834,0.5602003124606735,2.017525952442298,0.3614298192254769,0.26354906888547336,0.6624611702397348,0.28924635927692144,0.23021379579446657,0.6531919856791681,0.20316283004984168,1.783757079213568,0.17974835230677053,0.2779143485573813,0.4283699691295624,0.29452166272803254,0.18443981689267117,0.11389601892395189,0.00459668314455478,8.380781799380202,0.0021101143278531445,0.004751662827680146
14.0,0.6437177670882204,2.8683072760289363,210.7392,210.7392,0.0,0.2126958131432871,0.11388101983002834,0.5312851009295352,2.093182729704451,0.32783239191719904,0.26843277411489813,0.6715740640253582,0.2925488780176481,0.2381146611251426,0.6531919856791681,0.20316283004984168,1.783757079213568,0.17974835230677053,0.2779143485573813,0.4283699691295624,0.29452166272803254,0.18443981689267117,0.11389601892395189,0.0,0.0,,
15.0,0.6385515318058711,2.8153256004616014,212.40832,212.40832,0.049862104895873664,0.2305694189173896,0.11388101983002834,0.5487512421994455,2.1884041227817783,0.3591340725165626,0.27801117754651783,0.6784582903134554,0.30193088938139395,0.24881025990791492,0.6545196423767677,0.20365258183872656,1.7880570696215898,0.15497918667947486,0.27637814916438014,0.4224624037742615,0.2915744549888292,0.1827381663145432,0.11389601892395189,0.0022865534247948228,0.25984745559981093,0.0022865534247948228,
16.0,0.6290610501464261,2.7153893715244295,212.40832,212.40832,0.0,0.21052686712403776,0.11388101983002834,0.569479041464268,2.2825662217108236,0.3313123563662767,0.28781707798870243,0.6905608227874487,0.31524237882688244,0.2586703010300358,0.6545196423767677,0.20365258183872656,1.7880570696215898,0.15497918667947486,0.27637814916438014,0.4224624037742615,0.2915744549888292,0.1827381663145432,0.11389601892395189,0.0,0.0,,
17.0,0.6198789804072494,2.4824379104201033,214.07744,214.07744,0.049862104895873664,0.2185550105626825,0.11388101983002834,0.5748297881547257,2.2972517726931767,0.3429000645613273,0.2919401710105379,0.691982932561288,0.31482758119388987,0.26055988059627366,0.6541372103843801,0.20355089036080803,1.7871642247365862,0.15409309791332262,0.27952387321118094,0.4273497462272644,0.29379480836453725,0.1840611069822588,0.11389601892395189,0.002754040794862631,0.3384200230939314,0.002754040794862631,
18.0,0.6148765705548505,2.7766531199674467,214.07744,214.07744,0.0,0.20769656844816117,0.11388101983002834,0.557097401536783,2.3741690757239566,0.33033554847271585,0.29220904932944586,0.699302258239531,0.32371592586523185,0.26857677160918386,0.6541372103843801,0.20355089036080803,1.7871642247365862,0.15409309791332262,0.27952387321118094,0.4273497462272644,0.29379480836453725,0.1840611069822588,0.11389601892395189,0.0,0.0,,
19.0,0.6118312225837643,2.969448392594253,215.74656,215.74656,0.049862104895873664,0.21251059792048235,0.11388101983002834,0.5935362306656535,2.4313122836077627,0.3338361395399244,0.297772617796953,0.7061010857420876,0.3280633832382398,0.2751015880506093,0.654479684922421,0.20357436031158604,1.787370289452454,0.15180019461563413,0.2765876536950184,0.4239892363548279,0.29298383987323706,0.18359077578693997,0.11389601892395189,0.0027798245455470352,0.370388260576874,0.0027798245455470352,
20.0,0.5963123667295543,2.5950564406499232,215.74656,215.74656,0.0,0.20342491620022427,0.11388101983002834,0.5504258046932179,2.475775950851575,0.3217626991927118,0.3131378113553475,0.710036504942783,0.33694636793299027,0.2791252625237929,0.654479684922421,0.20357436031158604,1.787370289452454,0.15180019461563413,0.2765876536950184,0.4239892363548279,0.29298383987323706,0.18359077578693997,0.11389601892395189,0.0,0.0,,
21.0,0.6452266872146885,2.893750698096521,249.20064,249.20064,0.9993834153056396,0.22115276205782586,0.11388101983002834,0.5440419729059133,2.0325687189660098,0.34423130552255404,0.2696956352109303,0.6667505994944495,0.2944087922449053,0.23245454307636798,0.6573836908027929,0.205378089027792,1.8032069159934596,0.15796178343949044,0.27876344086021504,0.42460504174232483,0.2872472173437822,0.18004890094862835,0.11389601892395189,0.005719202725243222,10.784871430543717,0.00161384552429845,0.006054896513627399
22.0,0.645798899769521,2.670284073058778,249.20064,249.20064,0.0,0.22447629542219802,0.11388101983002834,0.5638761478885751,2.1735364941916395,0.35115409302925366,0.27528626327453787,0.6802249129197331,0.30622726698807007,0.24744050346344656,0.6573836908027929,0.205378089027792,1.8032069159934596,0.15796178343949044,0.27876344086021504,0.42460504174232483,0.2872472173437822,0.18004890094862835,0.11389601892395189,0.0,0.0,,
23.0,0.6268217978973445,2.6292904708071694,249.20064,249.20064,0.0,0.2138185433131992,0.11388101983002834,0.58200806656235,2.3152628371802795,0.33735878425815924,0.2861408415716734,0.692928451992484,0.31971396178622596,0.2626108488573616,0.6573836908027929,0.205378089027792,1.8032069159934596,0.15796178343949044,0.27876344086021504,0.42460504174232483,0.2872472173437822,0.18004890094862835,0.11389601892395189,0.0,0.0,,
24.0,0.6167127531868719,2.52674434024903,249.20064,249.20064,0.0,0.20709424719158545,0.11388101983002834,0.5520207429817724,2.4002556935643002,0.32553305663954063,0.2956181695407917,0.7014077716434839,0.32239890764975604,0.27161712197072235,0.6573836908027929,0.205378089027792,1.8032069159934596,0.15796178343949044,0.27876344086021504,0.42460504174232483,0.2872472173437822,0.18004890094862835,0.11389601892395189,0.0,0.0,,
25.0,0.6430232673078091,2.7110293440795026,282.65472,282.65472,0.9993834153056396,0.19153533529083705,0.11388101983002834,0.5178683725681402,2.0619090458490033,0.30040613539120586,0.2719685475404492,0.6679550448469138,0.2922827990355871,0.23524381767324273,0.6560612044793109,0.2098896930045892,1.842818519800346,0.06821829855537721,0.2796434241055074,0.4074367880821228,0.2753300548313764,0.1735014754985219,0.11389601892395189,0.003633813627837684,7.03764383791713,0.001742023755162419,0.0037927469862204864
26.0,0.6386674495209812,1.9346957579165576,282.65472,282.65472,0.0,0.22827726647217492,0.11388101983002834,0.5703289369667031,2.1885640638895762,0.3582853144872553,0.2808742698522914,0.6840153475693344,0.3083128194251179,0.24885104991043808,0.6560612044793109,0.2098896930045892,1.842818519800346,0.06821829855537721,0.2796434241055074,0.4074367880821228,0.2753300548313764,0.1735014754985219,0.11389601892395189,0.0,0.0,,
27.0,0.6339778670891678,2.4393442916699906,284.32384,284.32384,0.049862104895873664,0.20833484649031433,0.11388101983002834,0.5674718960674071,2.234086519308945,0.32598442029176283,0.28963331824835015,0.6854223921501991,0.3109961674051733,0.2531534014882966,0.6559077623328607,0.20954667062940271,1.8398068045672127,0.08209538702111024,0.2789012273524255,0.40874460339546204,0.2782789713075605,0.17511465533757498,0.11389601892395189,0.001928015297583429,0.30741042917361483,0.001928015297583429,
28.0,0.6258991753973382,2.313295591389075,284.32384,284.32384,0.0,0.2021775092875349,0.11388101983002834,0.5881979343348567,2.3526011731503025,0.3167392449373152,0.289452656359315,0.6923933340483435,0.31690169622855785,0.2662703202302115,0.6559077623328607,0.20954667062940271,1.8398068045672127,0.08209538702111024,0.2789012273524255,0.40874460339546204,0.2782789713075605,0.17511465533757498,0.11389601892395189,0.0,0.0,,
29.0,0.6160648418900412,2.06891592521667,285.99296,285.99296,0.049862104895873664,0.20106927842907352,0.11388101983002834,0.5636369954068817,2.4088820183291952,0.31511391239122927,0.2935056850701279,0.6975711588891736,0.32299130699116574,0.27264272070795315,0.6556987888624519,0.20911103976960854,1.8359819925684278,0.08193523214982443,0.279126213592233,0.41555678844451904,0.2791136615910151,0.1756047273894416,0.11389601892395189,0.002078392047842019,0.35388455796055496,0.002078392047842019,
30.0,0.6106760454223156,2.2899240941070045,285.99296,285.99296,0.0,0.20819180888011443,0.11388101983002834,0.5715062621445037,2.4973696846793274,0.33107598638587077,0.3027944146602576,0.710200772311227,0.33561850283343797,0.28202711749593573,0.6556987888624519,0.20911103976960854,1.8359819925684278,0.08193523214982443,0.279126213592233,0.41555678844451904,0.2791136615910151,0.1756047273894416,0.11389601892395189,0.0,0.0,,
31.0,0.6039282631806301,2.1602646941777253,287.66208,287.66208,0.049862104895873664,0.20498891992626533,0.11388101983002834,0.5856281014669981,2.5158777253732194,0.32331181723867186,0.30509975136215534,0.7108682395525071,0.332185385579269,0.2839364126881196,0.6555879395552142,0.20831995806936815,1.8290363441804134,0.08326848249027237,0.27917205692108665,0.41363823413848877,0.27880429787024785,0.1754372037178667,0.11389601892395189,0.0024223408171133894,0.44014911429258063,0.0024223408171133894,
32.0,0.5951234376643748,1.9412557713529002,287.66208,287.66208,0.0,0.201334113990344,0.11388101983002834,0.5793621278161856,2.60743687771484,0.31380349786686557,0.3076449212110695,0.7205148814701262,0.34253022044951453,0.29391249451839097,0.6555879395552142,0.20831995806936815,1.8290363441804134,0.08326848249027237,0.27917205692108665,0.41363823413848877,0.27880429787024785,0.1754372037178667,0.11389601892395189,0.0,0.0,,
33.0,0.6412320176579912,2.07134838252819,321.11616,321.11616,0.9993834153056396,0.22319674918221546,0.11388101983002834,0.543467056633055,2.0998572700833487,0.34951539065596215,0.2785050000422116,0.6725316703124233,0.3012839172066757,0.2399101217505603,0.6500534556446406,0.20409765178146938,1.7919647561847172,0.04847471792728792,0.2708282133202261,0.4123304784297943,0.2877099969329577,0.18104604196731225,0.11389601892395189,0.005140235286208875,10.327617683738936,0.0012476024790630208,0.005554624691179059
34.0,0.6379452880028514,1.8081999845808945,321.11616,321.11616,0.0,0.2160019618881809,0.11388101983002834,0.5860327212023292,2.272162642647499,0.3385741459355251,0.284651039915836,0.6872918515631734,0.3117516981884906,0.2580715222845932,0.6500534556446406,0.20409765178146938,1.7919647561847172,0.04847471792728792,0.2708282133202261,0.4123304784297943,0.2877099969329577,0.18104604196731225,0.11389601892395189,0.0,0.0,,
35.0,0.6189092100995521,1.8474499139559768,321.11616,321.11616,0.0,0.21677371250982902,0.11388101983002834,0.5833595621987339,2.363212287061553,0.3415808388327216,0.2966101992882581,0.6983590937509397,0.32677711027918593,0.26676724044134237,0.6500534556446406,0.20409765178146938,1.7919647561847172,0.04847471792728792,0.2708282133202261,0.4123304784297943,0.2877099969329577,0.18104604196731225,0.11389601892395189,0.0,0.0,,
36.0,0.6038327221696792,1.5728190916514575,321.11616,321.11616,0.0,0.19510259534445656,0.11388101983002834,0.5704867311420027,2.4941553357740567,0.30631121804982864,0.2985954294369261,0.7051254830106063,0.325095708898048,0.28145457512433414,0.6500534556446406,0.20409765178146938,1.7919647561847172,0.04847471792728792,0.2708282133202261,0.4123304784297943,0.2877099969329577,0.18104604196731225,0.11389601892395189,0.0,0.0,,
37.0,0.6412649977796684,1.973841776308848,354.57024,354.57024,0.9993834153056396,0.20742476275485877,0.11388101983002834,0.5282885969679498,2.1095962282777214,0.32869575181152216,0.2746803671918687,0.6747481462549558,0.30087305106281637,0.2405722337014604,0.639596336343177,0.2020749488237907,1.7742055493503746,0.029965753424657533,0.26574891515786325,0.4193325936794281,0.29148097973992076,0.18364095611801795,0.11389601892395189,0.0038512121869508616,7.944287222926505,0.0013625661562241247,0.004121289268200836
38.0,0.6407536023714552,1.8982028414293204,354.57024,354.57024,0.0,0.22312231355221912,0.11388101983002834,0.5511211091218071,2.2547121361925266,0.34934080434147574,0.2827803964344552,0.6870752170371176,0.3093854853436713,0.2551801579574715,0.639596336343177,0.2020749488237907,1.7742055493503746,0.029965753424657533,0.26574891515786325,0.4193325936794281,0.29148097973992076,0.18364095611801795,0.11389601892395189,0.0,0.0,,
39.0,0.6175782653468014,1.771030091330061,354.57024,354.57024,0.0,0.19766274453901103,0.11388101983002834,0.5479716823766696,2.393463078774793,0.31176405835581306,0.2992310813387013,0.6998926870526487,0.3279810784655705,0.2701967338859121,0.639596336343177,0.2020749488237907,1.7742055493503746,0.029965753424657533,0.26574891515786325,0.4193325936794281,0.29148097973992076,0.18364095611801795,0.11389601892395189,0.0,0.0,,
40.0,0.6080768070999173,1.77818887060253,354.57024,354.57024,0.0,0.19412996126874388,0.11388101983002834,0.560245504525986,2.470761816547233,0.3072581386553029,0.3046959718698519,0.7078352203051076,0.33097377278692036,0.2783221493365051,0.639596336343177,0.2020749488237907,1.7742055493503746,0.029965753424657533,0.26574891515786325,0.4193325936794281,0.29148097973992076,0.18364095611801795,0.11389601892395189,0.0,0.0,,
41.0,0.634889458887583,1.7440630047877375,388.02432,388.02432,0.9993834153056396,0.22518130926302218,0.11388101983002834,0.5461365760329537,2.1195500369454723,0.35373737818045853,0.2746053272955721,0.6753886312429768,0.30533910796636066,0.24191675279976954,0.6447813054732827,0.20232014592198475,1.7763583647034533,0.062269561655059404,0.2675987644285482,0.4363148808479309,0.3021764172972032,0.1898019098729285,0.11389601892395189,0.002614234372120311,5.514722166000865,0.0014220378831645978,0.0027474465294263003
42.0,0.6357195394937393,1.7215915725743822,388.02432,388.02432,0.0,0.21498540987235823,0.11388101983002834,0.5734329040747677,2.28512138466818,0.33950369302763816,0.2897136782476487,0.689479354771725,0.317192835169442,0.2591397437473442,0.6447813054732827,0.20232014592198475,1.7763583647034533,0.062269561655059404,0.2675987644285482,0.4363148808479309,0.3021764172972032,0.1898019098729285,0.11389601892395189,0.0,0.0,,
43.0,0.6295442434046159,1.5951137150951706,389.69344,389.69344,0.049862104895873664,0.1917660457484064,0.11388101983002834,0.5296667683057003,2.3333395567760604,0.304511082233368,0.2926349812836442,0.6935740879351279,0.3154879798553055,0.26420665550679984,0.646620427626082,0.20275164579746177,1.7801469069154963,0.05983606557377049,0.2690304983882965,0.42438647150993347,0.30058854036724997,0.18875724619574352,0.11389601892395189,0.0015025586917768025,0.3344484719564207,0.0015025586917768025,
44.0,0.6143379571879284,1.4785052690407026,389.69344,389.69344,0.0,0.19706873653183102,0.11388101983002834,0.5670291027483942,2.409103674553554,0.31178939337855355,0.2996295126620104,0.7030519393656663,0.3237285772604204,0.2709282176067391,0.646620427626082,0.20275164579746177,1.7801469069154963,0.05983606557377049,0.2690304983882965,0.42438647150993347,0.30058854036724997,0.18875724619574352,0.11389601892395189,0.0,0.0,,
45.0,0.6012928199101342,1.388270976006212,391.36256,391.36256,0.049862104895873664,0.1962961694855552,0.11388101983002834,0.5429588560642294,2.483105570907162,0.306384348505589,0.3010920908250115,0.7052844613396339,0.3290345392459303,0.279628532017997,0.6458535808279314,0.2035923386280651,1.7875281379589154,0.057660626029654036,0.2680017670446179,0.4285634458065033,0.2991741182948822,0.18792345834399685,0.11389601892395189,0.0016673178574234337,0.39121196512132883,0.0016673178574234337,
46.0,0.5977605943522397,1.5182084629189758,391.36256,391.36256,0.0,0.1986397772954996,0.11388101983002834,0.5767453675192032,2.6168561502080596,0.312332629308991,0.3099080683583818,0.7177565899959565,0.3408557536670316,0.29222856991429924,0.6458535808279314,0.2035923386280651,1.7875281379589154,0.057660626029654036,0.2680017670446179,0.4285634458065033,0.2991741182948822,0.18792345834399685,0.11389601892395189,0.0,0.0,,
47.0,0.5910504263307808,1.8340829665438694,393.03168,393.03168,0.049862104895873664,0.19344877951459916,0.11388101983002834,0.5556317297868996,2.6050194793053674,0.3053795540820822,0.3130087250400362,0.7178375731371719,0.34125092038789745,0.29040339821104383,0.6459618198492069,0.20279780092223598,1.780552146055637,0.055349029326724496,0.26898954703832756,0.4264663755893707,0.2989511323224749,0.18781363132309062,0.11389601892395189,0.0018428424886627463,0.45508286653785035,0.0018428424886627463,
48.0,0.573118378085135,1.5189385630536976,393.03168,393.03168,0.0,0.20772558289537177,0.11388101983002834,0.5929675795951653,2.6998217139342833,0.32388373240582274,0.31407903732242576,0.729047977002995,0.34743058364345986,0.30121303691141055,0.6459618198492069,0.20279780092223598,1.780552146055637,0.055349029326724496,0.26898954703832756,0.4264663755893707,0.2989511323224749,0.18781363132309062,0.11389601892395189,0.0,0.0,,
49.0,0.6433232212272151,1.6241470065715895,426.48576,426.48576,0.9993834153056396,0.22270314760044627,0.11388101983002834,0.5619608514013251,2.120173508023162,0.3481248298173887,0.2778016052024757,0.6770873496175326,0.30348463883687726,0.24231323423288073,0.6328821412215907,0.19515514182304194,1.7134500719761467,0.024978466838931956,0.2614857682768395,0.43350106477737427,0.30951455122835714,0.19484923906327506,0.11389601892395189,0.003727614876791587,8.119752493686974,0.0010956537492487416,0.004082322750357708
50.0,0.6405473711096582,1.6922080843870826,426.48576,426.48576,0.0,0.1867256040525702,0.11388101983002834,0.5000348138009973,2.292162060697692,0.29548235043137566,0.28937316849523753,0.6922506857265834,0.30831237341893286,0.2598688079882893,0.6328821412215907,0.19515514182304194,1.7134500719761467,0.024978466838931956,0.2614857682768395,0.43350106477737427,0.30951455122835714,0.19484923906327506,0.11389601892395189,0.0,0.0,,
51.0,0.6114016897004211,1.4115938875093972,426.48576,426.48576,0.0,0.21859655277718137,0.11388101983002834,0.5742999829246368,2.423061551912814,0.3423193360096373,0.2917037719835015,0.7041663308291962,0.31901214697845925,0.2737452654784358,0.6328821412215907,0.19515514182304194,1.7134500719761467,0.024978466838931956,0.2614857682768395,0.43350106477737427,0.30951455122835714,0.19484923906327506,0.11389601892395189,0.0,0.0,,
52.0,0.5966244970756087,1.2234549397510937,426.48576,426.48576,0.0,0.20524527002466839,0.11388101983002834,0.5764118960603888,2.481465565872041,0.3255828968491107,0.30377746428858393,0.7129596528756537,0.33265684630265013,0.27967287494417264,0.6328821412215907,0.19515514182304194,1.7134500719761467,0.024978466838931956,0.2614857682768395,0.43350106477737427,0.30951455122835714,0.19484923906327506,0.11389601892395189,0.0,0.0,,
53.0,0.6339440068552467,1.3107302911318957,459.93984,459.93984,0.9993834153056396,0.21191329483149307,0.11388101983002834,0.5617311965286038,2.1360970246670234,0.33000157854027595,0.2748465830560443,0.6778345937297405,0.30369568604871927,0.24379663021174294,0.636888415646275,0.1931406969275985,1.6957633704173463,0.07272727272727272,0.2619047619047619,0.44435441493988037,0.31585786643988945,0.1985436099287982,0.11389601892395189,0.0029658269219854823,6.5918090612394735,0.0010593449170660074,0.0032281092151197946
54.0,0.6357479825718118,1.2896650818065047,459.93984,459.93984,0.0,0.20138515445744004,0.11388101983002834,0.5263953584505771,2.2847606612345297,0.3119516668330584,0.28822637823839486,0.6925405691859647,0.31148336562747014,0.25900181004673806,0.636888415646275,0.1931406969275985,1.6957633704173463,0.07272727272727272,0.2619047619047619,0.44435441493988037,0.31585786643988945,0.1985436099287982,0.11389601892395189,0.0,0.0,,
55.0,0.6066520170331133,1.167095231947982,459.93984,459.93984,0.0,0.21758543917959688,0.11388101983002834,0.5857674408491806,2.4629058928424925,0.34029862017499457,0.297045428037467,0.7078360551861446,0.3282234868041156,0.2776363557644292,0.636888415646275,0.1931406969275985,1.6957633704173463,0.07272727272727272,0.2619047619047619,0.44435441493988037,0.31585786643988945,0.1985436099287982,0.11389601892395189,0.0,0.0,,
56.0,0.5911488626115644,1.3061876223885964,459.93984,459.93984,0.0,0.23889496568423038,0.11388101983002834,0.6191574634003271,2.6157568455454725,0.36927675260011045,0.28953487677172207,0.7169084459785523,0.34219715018285085,0.29434617615407005,0.636888415646275,0.1931406969275985,1.6957633704173463,0.07272727272727272,0.2619047619047619,0.44435441493988037,0.31585786643988945,0.1985436099287982,0.11389601892395189,0.0,0.0,,
57.0,0.6379438925818942,1.5290300151557277,493.39392,493.39392,0.9993834153056396,0.20342055583860755,0.11388101983002834,0.5449882372261632,2.149193226985523,0.3188009000050598,0.2781882855682388,0.679411437625816,0.30201217349936654,0.24585266661037367,0.6418391869079703,0.2013548660760128,1.7678832673726461,0.14782608695652175,0.26551292269156324,0.4515579044818878,0.32713137196632935,0.2056793281952862,0.11389601892395189,0.0033260536947870966,7.513117509079166,0.0010972015869291547,0.0036403971242578983
58.0,0.6286269291866674,1.1759365247411406,493.39392,493.39392,0.0,0.21233927636652103,0.11388101983002834,0.5673020162183157,2.363101250003484,0.33617091885960476,0.293500776806777,0.6985862352618261,0.31583188496675707,0.2678264360710565,0.6418391869079703,0.2013548660760128,1.7678832673726461,0.14782608695652175,0.26551292269156324,0.4515579044818878,0.32713137196632935,0.2056793281952862,0.11389601892395189,0.0,0.0,,
59.0,0.6044279878367596,1.0331582854042893,493.39392,493.39392,0.0,0.2022307100816896,0.11388101983002834,0.6014448739782909,2.503175076256942,0.31807403662152595,0.29725961792870115,0.7086576797131146,0.3267764597746693,0.28332179733709983,0.6418391869079703,0.2013548660760128,1.7678832673726461,0.14782608695652175,0.26551292269156324,0.4515579044818878,0.32713137196632935,0.2056793281952862,0.11389601892395189,0.0,0.0,,
60.0,0.5858033133566676,1.0947172691834184,493.39392,493.39392,0.0,0.20081904447065396,0.11388101983002834,0.5577421992707634,2.6127989299527794,0.3170341199259827,0.3110546806510419,0.7199526530671048,0.34082652043474543,0.2931559300342648,0.6418391869079703,0.2013548660760128,1.7678832673726461,0.14782608695652175,0.26551292269156324,0.4515579044818878,0.32713137196632935,0.2056793281952862,0.11389601892395189,0.0,0.0,,
