round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.13280469253703595,10.321850435064919,139.4688,139.4688,0.033715132169159834,0.9882169290530675,0.8933657595158798,0.1283200966901317,0.9962915472490566,3.086040442635252,0.79056591434356,0.9940254227940222,0.7020547945205481,0.10406055094825248,0.5173570019723865,0.6411371684691513,1.025819469550642,0.0,0.7692307692307693,0.4977940022945404,0.12697287839956772,0.2504981495644293,0.625,8.866368928071813e-05,0.007687425071253529,8.866368928071813e-05,
12.0,0.09587143278502844,5.960398611102165,139.4688,139.4688,0.0,0.9919315848301318,0.9239171343183056,0.11744114051141047,0.9960349567559269,3.085409404890292,0.5734215561266229,0.9938425943348889,0.7020547945205481,0.10514033866018158,0.5173570019723865,0.6411371684691513,1.025819469550642,0.0,0.7692307692307693,0.4977940022945404,0.12697287839956772,0.2504981495644293,0.625,0.0,0.0,,
13.0,0.32085811404575837,35.008721275138456,162.45504,162.45504,0.9991028770524295,0.9875527937771343,0.8412359281191201,0.1862999370755398,0.9941036224874004,3.0842331212655303,0.798385545815507,0.9831658243645529,0.7020547945205481,0.1300456478711066,0.5062623274161735,0.6289000796185295,1.006240127389647,0.0,0.7692307692307693,0.497698038816452,0.12705331410353,0.2505192179338036,0.625,0.00033819279093201006,0.2031745476120932,7.059835974483844e-05,0.0003833336806826351
14.0,0.2810153187676817,32.147410054109514,162.45504,162.45504,0.0,0.9854673065024941,0.9199073586380815,0.12099899314104473,0.9942166791419318,3.082444805855008,0.6681648393046775,0.9884955492861731,0.7020547945205481,0.101295453680664,0.5062623274161735,0.6289000796185295,1.006240127389647,0.0,0.7692307692307693,0.497698038816452,0.12705331410353,0.2505192179338036,0.625,0.0,0.0,,
15.0,0.13871627660268654,23.119203844797962,163.23072,163.23072,0.033715132169159834,0.9889037316556969,0.9255942583540862,0.11969164788869366,0.9944645576915531,3.082532078385901,0.8022449456716646,0.990442707501783,0.7020547945205481,0.10100140646267619,0.49489918912995845,0.6197121147633362,0.991539383621338,0.0,0.7692307692307693,0.49769702553749084,0.12706595114790475,0.2505231414893985,0.625,0.0001377406448204587,0.01194624508934794,0.0001377406448204587,
16.0,0.0884951237056735,12.520957896119265,164.0064,164.0064,0.033715132169159834,0.9887637766109537,0.8832123959069712,0.14457944107577972,0.99496837104207,3.0834454276207444,0.4635699985402138,0.9916005940406626,0.7020547945205481,0.1159780249243348,0.5038845058075827,0.6252659664735748,1.0004255463577196,0.0,0.7692307692307693,0.4976933002471924,0.12706118244200182,0.2505214855301381,0.625,9.091619094087777e-05,0.007886536981459358,9.091619094087777e-05,
17.0,0.2328597729734359,14.264146836878632,186.21696,186.21696,0.9653877448832697,0.9914504952016514,0.8413278128265631,0.16529747346186477,0.9951123925533188,3.086040885452247,0.799702614647885,0.9855287962480729,0.7020547945205481,0.11835421064963944,0.5363960113960113,0.6532589231946402,1.0452142771114243,0.0,0.7692307692307693,0.4976808428764343,0.12712084587949973,0.25053454278459875,0.625,0.0004534385027490305,0.23320425544591217,,0.0004534385027490305
18.0,0.20740892126585772,15.182873900790662,186.99264,186.99264,0.033715132169159834,0.9932879299746268,0.9434432576194289,0.1064112617136619,0.9988337790713587,3.0908368467063685,0.5167503887404727,0.9977047785082447,0.7020547945205481,0.07399876870420949,0.5367521367521367,0.6496081412700468,1.039373026032075,0.0,0.7692307692307693,0.49767953157424927,0.12713296038026994,0.25053769224539657,0.625,7.11653877955027e-05,0.006173861361730815,7.11653877955027e-05,
19.0,0.09241779999365503,3.4127512102787785,186.99264,186.99264,0.0,0.9944348494098203,0.9215431146895422,0.11029979849487669,0.9991459381356215,3.091312074002427,0.7601642444752131,0.9986751927676586,0.7020547945205481,0.09145558294810328,0.5367521367521367,0.6496081412700468,1.039373026032075,0.0,0.7692307692307693,0.49767953157424927,0.12713296038026994,0.25053769224539657,0.625,0.0,0.0,,
20.0,0.06010291230311472,2.3528512417279597,187.76832,187.76832,0.033715132169159834,0.9984679163662582,0.9518034825640648,0.07732926588870863,0.9996765601217655,3.092211675698775,0.6877215079554956,0.999595700152207,0.7020547945205481,0.059692800019335454,0.5377492877492878,0.6467367724035102,1.0347788358456165,0.0,0.7692307692307693,0.4976804256439209,0.12714338269180214,0.2505402584742177,0.625,4.3814339767618755e-05,0.0038014643027963757,4.3814339767618755e-05,
21.0,0.20764725122275235,16.714459864027635,209.97888,209.97888,0.9653877448832697,0.9938860160990288,0.8499925574305691,0.16039161770030452,0.9959648148146596,3.0875577012339357,0.8325210882172194,0.9873492664404039,0.7020547945205481,0.11443778174541995,0.5433158010081087,0.6462132227686213,1.033941156429794,0.0,0.7692307692307693,0.4976581037044525,0.12718265833189857,0.250550122053549,0.625,0.00024622023972238247,0.12669259684926715,,0.00024622023972238247
22.0,0.18138589141141012,10.914203472412154,210.75456,210.75456,0.033715132169159834,0.9969631426012103,0.9581408726648045,0.07904375454539722,0.9994939956576238,3.0918807776075177,0.5312277433296589,0.9993569620067907,0.7020547945205481,0.053904657919944164,0.5466962524654833,0.6490782019683352,1.0385251231493364,0.0,0.7692307692307693,0.49766603112220764,0.12717514079159653,0.2505479635540521,0.625,5.7695004188671974e-05,0.005006136404517747,5.7695004188671974e-05,
23.0,0.08143920528409385,5.09529652479064,210.75456,210.75456,0.0,0.9984679163662582,0.9400995968815269,0.10362244317805366,0.9996765601217655,3.092211675698775,0.6187579052194664,0.999595700152207,0.7020547945205481,0.07780710389409574,0.5466962524654833,0.6490782019683352,1.0385251231493364,0.0,0.7692307692307693,0.49766603112220764,0.12717514079159653,0.2505479635540521,0.625,0.0,0.0,,
