round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_prevalence,fed_f1,fed_brier,fed_f1_best,fed_auroc,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.08720668625696058,2.97920208636368,137.042304,137.042304,0.0,0.9845368003862716,1.0932146970764403,0.9069767441860465,0.8903214774281806,0.08225806919990258,0.9684865831842574,0.9253979884403585,0.11582810275776438,0.2098652175692625,0.3385140731711129,0.9550473480576613,0.9875554063205834,0.0,0.9832657200811359,0.485991895198822,0.48100539527629077,0.26320148868535104,0.9670822942643391,0.0,0.0,,
16.0,0.08020096295939531,2.667607491490791,137.042304,137.042304,0.0,0.9832394592930684,1.0901182987936304,0.9069767441860465,0.8671792260437021,0.12345299135452606,0.9659987365262368,0.9356475219587674,0.15316511643184136,0.21258443313066,0.3385140731711129,0.9550473480576613,0.9875554063205834,0.0,0.9832657200811359,0.485991895198822,0.48100539527629077,0.26320148868535104,0.9670822942643391,0.0,0.0,,
17.0,0.14633632504695773,9.742660306392182,156.619776,156.619776,0.9991046702896288,0.9754918780646897,1.0772287010971187,0.9069767441860465,0.8395606844084816,0.15627901268612934,0.9654780424958262,0.9154239748782597,0.299157960886179,0.539781145578207,0.33238782877772044,0.9532591647420386,0.9857063565279978,0.0,0.9832657200811359,0.4859989881515503,0.48100665107629537,0.2632026917262388,0.9670822942643391,0.00019041618853871172,0.11494625090774946,4.2137920989647766e-05,0.00021501807062706144
18.0,0.14653501441075575,11.389777151519409,156.619776,156.619776,0.0,0.9855618604837997,1.0949186459504092,0.9069767441860465,0.8674117450225866,0.10233099593236028,0.9699360614905289,0.9258945524052244,0.15133129285518512,0.2447176590908405,0.33238782877772044,0.9532591647420386,0.9857063565279978,0.0,0.9832657200811359,0.4859989881515503,0.48100665107629537,0.2632026917262388,0.9670822942643391,0.0,0.0,,
19.0,0.08471059570119746,2.803590615337646,156.619776,156.619776,0.0,0.9853799358614773,1.0941336618046833,0.9069767441860465,0.8459817880536695,0.1258672210299903,0.9778414076135665,0.9363505210940698,0.1817726582191278,0.3167537531447272,0.33238782877772044,0.9532591647420386,0.9857063565279978,0.0,0.9832657200811359,0.4859989881515503,0.48100665107629537,0.2632026917262388,0.9670822942643391,0.0,0.0,,
20.0,0.06528645142886111,2.8067362759795778,156.619776,156.619776,0.0,0.9873736749993952,1.0962824070950576,0.9069767441860465,0.8722099083966822,0.1116311501771847,0.973191180912111,0.9543161152323304,0.17682730677039468,0.13688353212593599,0.33238782877772044,0.9532591647420386,0.9857063565279978,0.0,0.9832657200811359,0.4859989881515503,0.48100665107629537,0.2632026917262388,0.9670822942643391,0.0,0.0,,
21.0,0.14279295467480888,9.725898520356468,176.197248,176.197248,0.9991046702896288,0.982725652458129,1.089757587310979,0.9069767441860465,0.5650875681883434,0.20377895804916588,0.9630178954438264,0.9242781595594591,0.34435089909753136,0.49122375748878305,0.32310860018441245,0.9518542181020594,0.9842535880838726,0.0,0.9832657200811359,0.48605072498321533,0.4809599177647112,0.2631576692194707,0.9670822942643391,0.0001436729857753396,0.0867638854744257,3.443549957432859e-05,0.00016178930534547315
22.0,0.1337511736793397,11.529477575887373,176.197248,176.197248,0.0,0.9896081967683089,1.1005441199953288,0.9069767441860465,0.8578541013522999,0.11456438056692508,0.9682277952038344,0.9500250762299185,0.18533315675896267,0.2583202741693619,0.32310860018441245,0.9518542181020594,0.9842535880838726,0.0,0.9832657200811359,0.48605072498321533,0.4809599177647112,0.2631576692194707,0.9670822942643391,0.0,0.0,,
23.0,0.08741416439219613,3.1817612541051252,176.197248,176.197248,0.0,0.9877123840957276,1.0984981400545233,0.9069767441860465,0.8560097919216646,0.12850856853741852,0.9660581217642668,0.9330887907886951,0.17594540838238804,0.1013190958129112,0.32310860018441245,0.9518542181020594,0.9842535880838726,0.0,0.9832657200811359,0.48605072498321533,0.4809599177647112,0.2631576692194707,0.9670822942643391,0.0,0.0,,
24.0,0.06839510371318501,0.8765725638409059,176.197248,176.197248,0.0,0.9874344832218588,1.0975975595377787,0.9069767441860465,0.8678947465258303,0.13064865597224182,0.970198558164845,0.9371624721248805,0.20156911346021777,0.1189540833927864,0.32310860018441245,0.9518542181020594,0.9842535880838726,0.0,0.9832657200811359,0.48605072498321533,0.4809599177647112,0.2631576692194707,0.9670822942643391,0.0,0.0,,
