round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_ece,fed_brier,fed_prevalence,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6302762606801331,0.34981873084501697,21.90336,21.90336,0.0,0.32517304738537595,0.26499764766249534,0.3182555869902125,0.19972856439221146,0.11404833836858005,0.5651651293729607,0.30569390356978204,2.3544644324003317,0.7012047400840319,0.47210615792059396,0.10955961304055448,0.9619266246145721,0.13275504431453894,0.2045002711006687,0.4110874831676483,0.3771527833346782,0.24365373810778843,0.11389601892395189,0.0,0.0,,
12.0,0.6151847149470224,0.4201073909803921,21.90336,21.90336,0.0,0.33361877964243614,0.27493357052703143,0.32535986126410377,0.2059977425055354,0.11404833836858005,0.570530131594292,0.3089617808976153,2.457803420432118,0.7104542651062071,0.47210615792059396,0.10955961304055448,0.9619266246145721,0.13275504431453894,0.2045002711006687,0.4110874831676483,0.3771527833346782,0.24365373810778843,0.11389601892395189,0.0,0.0,,
13.0,0.6436464629357882,0.31128630449040506,25.55392,25.55392,0.9971592150692714,0.30591219124342856,0.24130234923036223,0.3252159712216202,0.20429885534863043,0.11404833836858005,0.519124670319957,0.29213309179999947,2.1310581022660755,0.6802985591690688,0.4874955380424331,0.11585053782061017,1.0171605549967757,0.1615828524319868,0.2045002711006687,0.4126478135585785,0.37804145985991444,0.24422919695857526,0.11389601892395189,0.008276628722930368,1.3013829505071044,0.006384965391690853,0.009773973170878976
14.0,0.642695994641085,0.3238077582926827,25.55392,25.55392,0.0,0.31955443314091275,0.25690326578129435,0.3378043180769582,0.21143196562696173,0.11404833836858005,0.527922991835789,0.3016825192494264,2.2736917469183293,0.69215198127248,0.4874955380424331,0.11585053782061017,1.0171605549967757,0.1615828524319868,0.2045002711006687,0.4126478135585785,0.37804145985991444,0.24422919695857526,0.11389601892395189,0.0,0.0,,
15.0,0.6289819100040477,0.385063056626532,25.55392,25.55392,0.0,0.3243066079200167,0.2676049131109916,0.35237925020803873,0.22346950023840878,0.11404833836858005,0.5855050959773476,0.29547710229684115,2.3701696636034213,0.7023923322865891,0.4874955380424331,0.11585053782061017,1.0171605549967757,0.1615828524319868,0.2045002711006687,0.4126478135585785,0.37804145985991444,0.24422919695857526,0.11389601892395189,0.0,0.0,,
16.0,0.6128363407291612,0.4340200492936222,25.55392,25.55392,0.0,0.3402505775159293,0.2848886502447239,0.33488275067695994,0.20860073226567127,0.11404833836858005,0.5576535814815958,0.31102399631440697,2.5316429750850613,0.715832144715981,0.4874955380424331,0.11585053782061017,1.0171605549967757,0.1615828524319868,0.2045002711006687,0.4126478135585785,0.37804145985991444,0.24422919695857526,0.11389601892395189,0.0,0.0,,
17.0,0.6434045580195331,0.4241273948421612,29.20448,29.20448,0.9971592150692714,0.3059368566997903,0.24265824864155358,0.3458262860211324,0.21726126840126472,0.11404833836858005,0.5299038171978274,0.2900550838475338,2.1405072527054023,0.6819186664053836,0.47777502136042177,0.11156234092355531,0.9795104515289971,0.15750332005312084,0.2045002711006687,0.4231308698654175,0.3789860940530332,0.2449634576447438,0.11389601892395189,0.007746599769199512,1.2929072498809546,0.006246977253664821,0.008952159996955245
18.0,0.642291038734386,0.3762210204111398,29.20448,29.20448,0.0,0.32046553683292645,0.25765267062296804,0.31616448125265506,0.2007362267413494,0.11404833836858005,0.5210863792254006,0.29541509485690404,2.282348543443829,0.6941045434997657,0.47777502136042177,0.11156234092355531,0.9795104515289971,0.15750332005312084,0.2045002711006687,0.4231308698654175,0.3789860940530332,0.2449634576447438,0.11389601892395189,0.0,0.0,,
19.0,0.6260776045886011,0.35479260502410076,29.20448,29.20448,0.0,0.33186634392916803,0.27530270643028804,0.33347835188636826,0.20781071016020528,0.11404833836858005,0.5427359925491091,0.3057101097435254,2.4454719557114672,0.705296043627076,0.47777502136042177,0.11156234092355531,0.9795104515289971,0.15750332005312084,0.2045002711006687,0.4231308698654175,0.3789860940530332,0.2449634576447438,0.11389601892395189,0.0,0.0,,
20.0,0.6072411145655832,0.4288366364213821,29.20448,29.20448,0.0,0.33959177355787074,0.28840748811123457,0.34769109264987746,0.2178777153869879,0.11404833836858005,0.5800582829784051,0.31052882131581244,2.574617927296117,0.7170746571392711,0.47777502136042177,0.11156234092355531,0.9795104515289971,0.15750332005312084,0.2045002711006687,0.4231308698654175,0.3789860940530332,0.2449634576447438,0.11389601892395189,0.0,0.0,,
