round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
13.0,0.1539981663659296,0.04874223828996196,28.78464,28.78464,0.5412350858791136,0.2529184697506674,0.10985206169342145,0.32581140059650343,0.2366957789965429,0.2934609309750213,0.5312866807190322,0.3801503207085454,2.3438444855857723,0.7070947748351477,0.4361506358882494,0.09650554596214442,0.8473127232531362,0.19498329427018402,0.20453723788864786,0.493434339761734,0.4005787304956784,0.2623197199986744,0.11389601892395189,0.007539831702050505,0.7450578530551866,,0.007539831702050505
14.0,0.1536779143663889,0.08770959555545807,30.76608,30.76608,0.5412350858791136,0.2633406823749105,0.10985206169342145,0.33095507619321357,0.23229156349220648,0.29385784029713674,0.5322234718031129,0.37443770904059975,2.4569273823180664,0.7109951748733443,0.4469693550922086,0.09762555428514119,0.8571463270399781,0.1881564245810056,0.20458346517199294,0.4934871792793274,0.398581788856554,0.26065008412940927,0.11389601892395189,0.008179071313417493,0.8428807192249224,,0.008179071313417493
15.0,0.1634295260036854,0.057199555954080904,32.4352,32.4352,0.4559241291901578,0.22440656670182477,0.10985206169342145,0.2961996657467109,0.23765857516252747,0.2781029603511949,0.5092948394280242,0.3791277239841974,2.054109631704332,0.6782593209274066,0.43235024776884556,0.094661678571228,0.8311236816313429,0.1837011884550085,0.20455572629485672,0.4930562973022461,0.39891918656108327,0.2610801458859869,0.11389601892395189,0.010476455140760383,0.5424517635256052,0.010476455140760383,
16.0,0.16118419868749526,0.04825442808263312,34.41664,34.41664,0.5412350858791136,0.2349299094021838,0.10985206169342145,0.3085235275171857,0.23859749285373344,0.2789708915334321,0.5234765710397679,0.3813636937361301,2.1588184081555055,0.6883187664070471,0.44502252099510725,0.09941147144751626,0.8728265692402565,0.19460481783794545,0.20469662006244058,0.49678927659988403,0.3989709995087407,0.260786885894371,0.11389601892395189,0.0062665147826030335,0.6726989885792136,,0.0062665147826030335
17.0,0.1583429204708631,0.05321940010393633,36.39808,36.39808,0.5412350858791136,0.24497985494843078,0.10985206169342145,0.3198914132970102,0.23715892966675134,0.2903949207501129,0.528462633354543,0.3800554651826817,2.26040358902575,0.6996615818711492,0.4271356242842734,0.09362666609298678,0.8220363361032056,0.17439959763611215,0.20458346517199294,0.49225613474845886,0.3961089906949775,0.25879072982605716,0.11389601892395189,0.006881540891812396,0.765444440767169,,0.006881540891812396
18.0,0.1545063562889963,0.06320184116667146,38.37952,38.37952,0.5412350858791136,0.25418929266742835,0.10985206169342145,0.32517434904277415,0.23325451197432923,0.2952010556176293,0.5320447154078123,0.3756109496314157,2.3476820657737303,0.7076729717014297,0.4476685728949211,0.09940805444289702,0.8727965681510919,0.18184041577499235,0.20451875282422052,0.4914301037788391,0.3970442554168225,0.259364426266565,0.11389601892395189,0.008655772588479932,1.0007772571407259,,0.008655772588479932
19.0,0.15265222980321697,0.0772290647087539,40.36096,40.36096,0.5412350858791136,0.2714159527059522,0.10985206169342145,0.33792951505115526,0.23115279936541785,0.3009262229408776,0.5367337529393611,0.3732963555614116,2.5202684731775307,0.7160259843659744,0.43632590153127915,0.09493870569859937,0.8335559626714409,0.1789552611847038,0.20455778621812265,0.4915350079536438,0.3973232449657982,0.259818079922563,0.11389601892395189,0.008567216757762843,1.036220304085873,,0.008567216757762843
20.0,0.16382609860838393,0.06995862700148914,44.01152,44.01152,0.9971592150692714,0.22241539314467482,0.10985206169342145,0.2944989451281317,0.23990613579764905,0.2699970928753513,0.5279381413785474,0.38229589009757753,2.0292177869280237,0.6762213504114849,0.43920405554106234,0.0952527062222108,0.8363128678431756,0.18694944734332042,0.2045433975925423,0.49324023723602295,0.39939140889363706,0.2615347282851757,0.11389601892395189,0.00642062789450083,1.160948671400547,0.009395138237193259,0.005104057929891548
21.0,0.1627488182432512,0.06873636451574143,45.99296,45.99296,0.5412350858791136,0.23668458371126147,0.10985206169342145,0.31155875196329463,0.2413362331993191,0.2837762116004527,0.5186645438245605,0.38489893206756076,2.1732673964418936,0.691116060057975,0.4601893114913974,0.103159479366035,0.905733846895161,0.18344013066968212,0.20465453228289415,0.4914611876010895,0.39575582351356503,0.2581360823875824,0.11389601892395189,0.004902957897828728,0.6275613020407036,,0.004902957897828728
22.0,0.15773061256707613,0.04282282662949977,47.9744,47.9744,0.5412350858791136,0.24841130800599173,0.10985206169342145,0.31985391914412353,0.23471028518951992,0.2923457891492096,0.5295493023610168,0.37718923329125037,2.2888905737690766,0.7008576421694868,0.4544671756289245,0.10054400628673138,0.8827701550645451,0.18540997262882303,0.20458346517199294,0.49086588621139526,0.39729065728797136,0.25948882991767525,0.11389601892395189,0.005036684299989157,0.6626620648894459,,0.005036684299989157
