round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.2583134258694175,22.932370507628782,253.07568,253.07568,1.0,0.9930543838877172,0.7520374686572837,0.35638941165047855,0.9969194410086607,3.507723447849092,0.5604730415086332,0.9858151699852105,0.7435897435897437,0.293001197434621,0.7775093140477756,0.8287229914739915,1.3259567863583865,0.0,0.7995418098510882,0.46708041429519653,0.1578106480435683,0.25921697395193477,0.625,0.00039650282214598857,0.2391352562507052,0.0001142981297583275,0.0004433403682405964,0.0004795948919077012
12.0,0.23768924456188514,28.223795550537425,276.08256,276.08256,1.0,0.9924875430380017,0.7104521543468653,0.389883250979414,0.9971121878686915,3.5074029260002826,0.5229532420217321,0.9884588746835709,0.7435897435897437,0.31251753570159596,0.797934472934473,0.8363590050879808,1.3381744081407692,0.0,0.8178613396004701,0.4656622111797333,0.15924735142825508,0.25966937611790936,0.625,0.0004111098144359417,0.24805070119037964,0.00012268739098918681,0.0004590931223926013,0.00039663138755805416
13.0,0.19234390421363648,17.531751705193905,299.08944,299.08944,1.0,0.9944560554328707,0.7750891323463168,0.3228867304115854,0.9986346476912188,3.5095210913742387,0.5710678039882808,0.9949211618341172,0.7435897435897437,0.25987677285811955,0.805511724742494,0.8464795443356532,1.3543672709370451,0.0,0.812807881773399,0.46713531017303467,0.15778998357172197,0.25919225228021103,0.625,0.0004289437972974078,0.2589228220800237,0.00013217535944861034,0.0004783210497988301,0.0003964715265306129
14.0,0.19608677104051986,20.20863575924588,322.09632,322.09632,1.0,0.995198308339334,0.767672886694438,0.3330251463906815,0.9994348919611227,3.510655094004447,0.549535919081133,0.9985176137402857,0.7435897435897437,0.26526595656337293,0.8849276791584484,0.8972649280188579,1.4356238848301728,0.0,0.8636942675159236,0.46696770191192627,0.1639818840015393,0.25925559201045983,0.625,0.00038872304621225375,0.2347523292548317,0.00012278729853635277,0.00043297071249079837,0.0003477614484830891
15.0,0.20269361574503814,27.630236195678293,345.1032,345.1032,1.0,0.9971398088214892,0.7560488574353401,0.3476370939168517,0.9996778277952365,3.5111513653994546,0.5755500827247324,0.9989081633616045,0.7435897435897437,0.27283696598705576,0.8951731317115931,0.9039079382119449,1.446252701139112,0.0,0.8735919899874844,0.46629413962364197,0.16016856480676395,0.2594732823908368,0.625,0.00038729113698264214,0.23398705230675887,0.0001143660250137504,0.00043270753719425875,0.0003302876725289373
16.0,0.20144262576059466,34.62604028629293,368.11008,368.11008,1.0,0.9966116904954826,0.7213750952390567,0.3741689504001091,0.9995353927362647,3.510770658676034,0.5197488697138255,0.9992189007573622,0.7435897435897437,0.2910974098692919,0.8735316677624371,0.8877524449737648,1.4204039119580236,0.0,0.859277708592777,0.4661146402359009,0.16034983642972434,0.25954633817109796,0.625,0.00039726421379417576,0.2401134436247503,0.00012201977983837526,0.00044312129728144646,0.0002880421266658313
17.0,0.1937167079725557,23.739339127917578,391.11696,391.11696,1.0,0.9959215167548501,0.7481693871148595,0.3424609976451998,0.9994107776200769,3.5105292319042527,0.4596494989630837,0.9989203958434727,0.7435897435897437,0.2610516203876886,0.7952881875958799,0.8306986273115415,1.3291178036984665,0.0,0.8299319727891157,0.4678024351596832,0.15711001908549893,0.2590076607163058,0.625,0.000652349268666423,0.3944885899148858,0.0001982442804879059,0.0007281159965547052,0.00036889865276490603
18.0,0.1818298736386909,18.579938654692768,414.12384,414.12384,1.0,0.9959215167548501,0.7773052263025659,0.29932100758380364,0.9993840142599804,3.510499062298326,0.5348594871349631,0.9987139356370125,0.7435897435897437,0.23301039482425376,0.6081141792680255,0.7064315408069382,1.130290465291101,0.0,0.7757575757575756,0.46923452615737915,0.15547730835775536,0.25851835081355906,0.625,0.00045552035596393303,0.27565249976174755,0.00013477343037865695,0.0005088996553993507,0.00033349405115596763
19.0,0.2110797217934548,25.468839545596516,437.13072,437.13072,1.0,0.9958192448577063,0.7748473784932274,0.2944251028323868,0.9994206986529184,3.5105506002826807,0.4802588568677981,0.9989203958434727,0.7435897435897437,0.21478612067276354,0.8042296734604427,0.8311690331681614,1.3298704530690582,0.0,0.83451536643026,0.4683300256729126,0.1566046391828702,0.25884580767342286,0.625,0.0003805456890960083,0.23041873862354123,0.00011426727808151835,0.00042483112203055127,0.00028558126604440144
20.0,0.1664305763259751,19.25392949721131,460.1376,460.1376,1.0,0.9966116904954826,0.7858348393538891,0.29156193048185775,0.9995475080225417,3.510796753138785,0.5141300424646872,0.9992189007573622,0.7435897435897437,0.21040213691002022,0.8974030243261012,0.9161757895798887,1.4658812633278218,0.0,0.8730350665054414,0.4675939083099365,0.15734787008319145,0.2590576356444409,0.625,0.0003634393994744074,0.22016117917542033,0.00011182870635729369,0.0004052951782653392,0.00025572901082840957
