round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_f1_best,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
24.0,0.14981444749602751,0.09478542188035512,51.93728,51.93728,0.5412350858791136,0.30923044555443446,0.36999354076358487,0.7282175926632372,0.11488102731965252,2.7818208809252485,0.539724435354756,0.36548579086196853,0.23083787977561354,0.3166688447317825,0.6589151380472319,0.22377446906177056,1.9647259946037645,0.26448315032184777,0.28080552034924655,0.5075958371162415,0.3836860660038151,0.24628145549916194,0.11389601892395189,0.006753392593068507,0.9571664927061647,,0.006753392593068507
25.0,0.1653364380884959,0.09302807925159245,53.6064,53.6064,0.4559241291901578,0.24463158758059833,0.37201930249156057,0.6821711298723104,0.11488102731965252,2.1551085376003116,0.5211322332762748,0.3157474652052303,0.23584404407255738,0.2932129911474267,0.6606141455713311,0.22337992782311542,1.9612619469365797,0.26535626535626533,0.2813502367496563,0.5084124803543091,0.38434374186033754,0.24682720963649987,0.11389601892395189,0.00892727902313762,0.5447654493618757,0.00892727902313762,
26.0,0.1613844908080974,0.06551025311863239,55.58784,55.58784,0.5412350858791136,0.2625416286079696,0.37314418461218335,0.6960833914904947,0.11488102731965252,2.328734290105004,0.523275557647015,0.33261924883410166,0.23577949886027647,0.2931950272909605,0.6602909218922626,0.22618997074771235,1.98593394997185,0.264325995997817,0.28202308960967565,0.5082833170890808,0.38555255619411266,0.247686312136453,0.11389601892395189,0.005099853763227692,0.746860304265283,,0.005099853763227692
27.0,0.15624149248286226,0.05697851087191913,57.56928,57.56928,0.5412350858791136,0.2826394302023924,0.367455747880414,0.710387971133371,0.11488102731965252,2.5210493449322877,0.5260988678452531,0.3443212348760895,0.23094042949750132,0.3025638649927952,0.6605070987479713,0.2255138558991309,1.979997703429002,0.26313875250045465,0.28274428274428276,0.5099121928215027,0.38481386017802977,0.24711425835347747,0.11389601892395189,0.005782888142252411,0.8728174932766706,,0.005782888142252411
28.0,0.15197021909693184,0.07020408484343148,59.55072,59.55072,0.5412350858791136,0.2982757572719799,0.36666591747343935,0.7219814781869395,0.11488102731965252,2.678583444763712,0.5333180036740505,0.3548434526268864,0.2290337191027654,0.31521201137038085,0.6611892367468628,0.225589699934651,1.980663609368794,0.2632786306687842,0.28140953804009466,0.5090670585632324,0.38517798157209626,0.24718869361719678,0.11389601892395189,0.006019557745159892,0.9441279362654313,,0.006019557745159892
29.0,0.14711327268185828,0.08358924093208622,61.53216,61.53216,0.5412350858791136,0.3171177472611848,0.36564723954325085,0.7336571903692888,0.11488102731965252,2.8624774591779816,0.5416789702676217,0.3685250664916711,0.22723212561508405,0.31958879919154887,0.6614117510757014,0.2239912953874703,1.9666297163294952,0.2645132346343652,0.2822745901639344,0.5082553625106812,0.3844304811964097,0.2466864817899902,0.11389601892395189,0.006432152361371853,1.0485163972480223,,0.006432152361371853
30.0,0.16241577616125685,0.09007368184639694,65.18272,65.18272,0.9971592150692714,0.246321301308,0.37600496134049005,0.6813260003285994,0.11488102731965252,2.1705849887887374,0.527409078970028,0.3167917922842549,0.23796926297581428,0.28568134508014226,0.6606702416206182,0.22597838714902763,1.9840762590649712,0.2656518981607321,0.2802874743326489,0.5097644329071045,0.38621783512720637,0.24774194195264104,0.11389601892395189,0.0054239272135807514,1.272445639478974,0.007040900173598902,0.00479143927128682
31.0,0.16087322503522078,0.07232344643863955,67.16416,67.16416,0.5412350858791136,0.26483485063917533,0.3764582793598254,0.7012136357865412,0.11488102731965252,2.347644820071363,0.5221911041701783,0.3347943726567011,0.23809988866970608,0.29581438720269393,0.66081562701905,0.22574155239681493,1.9819968645922739,0.2628721541155867,0.2808807065555417,0.5106597542762756,0.38749102110489314,0.2488571475669181,0.11389601892395189,0.005568574990324575,0.9562212921446189,,0.005568574990324575
32.0,0.15492071217018383,0.06813299274491022,69.1456,69.1456,0.5412350858791136,0.28434273056778586,0.36616691014324104,0.7147723203073936,0.11488102731965252,2.5356091869428545,0.5221834616248048,0.351180522145452,0.22953887738366113,0.31481718301980394,0.6615522672868572,0.22464489679278085,1.9723682962332136,0.26728025770823743,0.28152492668621704,0.5109886527061462,0.38567585388861375,0.2474674019145674,0.11389601892395189,0.0057121990468207975,1.0066794959129766,,0.0057121990468207975
33.0,0.15185620362467572,0.08542711717030543,71.12704,71.12704,0.5412350858791136,0.3036159753038349,0.36774830802117614,0.7279605450451737,0.11488102731965252,2.722599947460133,0.527106105896698,0.3627541647643002,0.22922073578887386,0.31868059185186004,0.6615890748288167,0.22483079000647763,1.9740004271492284,0.26737568803059986,0.28161252900232014,0.5118608474731445,0.3843100386390904,0.24637748673628654,0.11389601892395189,0.006015097804036446,1.0920548082794994,,0.006015097804036446
34.0,0.14559686056807464,0.0903841690372276,73.10848,73.10848,0.5412350858791136,0.3152264378054704,0.37093732902203536,0.734841367859928,0.11488102731965252,2.839214497938399,0.5442085038890742,0.3710852006446268,0.23131680124715198,0.31468146120546825,0.6613572864551407,0.22563697167662364,1.9810786523388577,0.2660233066278223,0.28091740368760304,0.5139772891998291,0.38455315287714725,0.24645634102509395,0.11389601892395189,0.00567427250963433,1.0686980041209608,,0.00567427250963433
35.0,0.16360282257513079,0.13307427364961832,74.7776,74.7776,0.4559241291901578,0.25341074247830003,0.374905120022806,0.6883611044609829,0.11488102731965252,2.2285691462681507,0.5243846488947472,0.32059649458860046,0.23754617235169886,0.2869799246261358,0.6598472234764702,0.2251796238789567,1.9770631669690635,0.26311598690613114,0.27778463056617736,0.5107874274253845,0.3852328917293701,0.24703247929995967,0.11389601892395189,0.00751248581024184,0.5320871057920158,0.00751248581024184,
36.0,0.16148431820298098,0.09512179317704314,76.75904,76.75904,0.5412350858791136,0.269781581567072,0.3787821990496548,0.7045010741669736,0.11488102731965252,2.3812834735697095,0.5354604124647686,0.33356819042763936,0.23958248596776943,0.2884333287151059,0.658749284493009,0.22529192542192983,1.9780491675688572,0.2602612726506532,0.2769683590875644,0.5156048536300659,0.38681410474814176,0.2483899544655894,0.11389601892395189,0.003929139866660991,0.762388265458867,,0.003929139866660991
37.0,0.1545046534643591,0.07317690424448897,78.74048,78.74048,0.5412350858791136,0.2919891116278529,0.370250804431152,0.7201980485836631,0.11488102731965252,2.5968597247386875,0.5317705977845519,0.3510798804951453,0.23214052612967845,0.3098741246914761,0.6583806066997306,0.221067712744047,1.9409608415870392,0.26433465560764513,0.2788732394366197,0.5138654112815857,0.38258157944312077,0.24523675096450287,0.11389601892395189,0.004630708309520573,0.921307381009683,,0.004630708309520573
38.0,0.15096095264226514,0.10166155624766182,80.72192,80.72192,0.5412350858791136,0.3080226383875577,0.36683688906385953,0.7300714846049494,0.11488102731965252,2.757349479679225,0.5384534777569017,0.36238852479412975,0.2285282282070349,0.3152579899158451,0.658730598359365,0.22176943284222905,1.9471219006373173,0.2627481850782822,0.2771996215704825,0.5157991647720337,0.38485971453763546,0.2469194340283403,0.11389601892395189,0.005466008123446977,1.1253799555124715,,0.005466008123446977
39.0,0.1435358719482207,0.09971688085551714,82.70336,82.70336,0.5412350858791136,0.3250846295648574,0.37280091253896847,0.7413304371962962,0.11488102731965252,2.9142930684138237,0.5361473875521984,0.37361069948797104,0.2323759743498007,0.31170606443587495,0.6593278895150285,0.223564679248274,1.9628840530198657,0.2600993377483444,0.2779528740807444,0.515558123588562,0.38707856292681175,0.24871771652085378,0.11389601892395189,0.005249006931752996,1.1244190119905397,,0.005249006931752996
40.0,0.1619992479175259,0.12207896756503889,86.35392,86.35392,0.9971592150692714,0.2555674435980434,0.37682812828366585,0.6883140616899157,0.11488102731965252,2.244741884127538,0.5263856686600116,0.319501292096909,0.23876143934027816,0.28369057545604476,0.660005158326644,0.2284318767876367,2.005617746307359,0.257098940215193,0.2816541139690209,0.5148634910583496,0.38825282187651206,0.24967077329955373,0.11389601892395189,0.004411461959138552,1.3052290932973847,0.006456893855093796,0.0037012367892964248
41.0,0.16102756427451753,0.0865283459340018,88.33536,88.33536,0.5412350858791136,0.2741959315046373,0.3745137585403711,0.7060534946089293,0.11488102731965252,2.4192600565280635,0.5327454072810324,0.3380189656257069,0.23617265718339386,0.29317715450573173,0.6609135503909932,0.22893034747474136,2.009994288102358,0.2562951082598236,0.2819877827307248,0.5170568823814392,0.3873462260048428,0.2488581294410871,0.11389601892395189,0.003619310031751187,0.8088866524631158,,0.003619310031751187
42.0,0.155003264366906,0.08870574756189795,90.3168,90.3168,0.5412350858791136,0.29082503746658,0.371571437303874,0.721140395242022,0.11488102731965252,2.5789375430673083,0.5254641162344361,0.3513871429126978,0.2333437821651918,0.30613470746962834,0.6601905639266813,0.22802417310979467,2.002038133238405,0.25718015665796345,0.2829014043723758,0.5160149335861206,0.3874930694899529,0.24895914852905401,0.11389601892395189,0.004206417288994735,0.9624595016939566,,0.004206417288994735
43.0,0.1497850880302464,0.09472668746608406,92.29824,92.29824,0.5412350858791136,0.31189682723224593,0.36958945268863824,0.7329498346101583,0.11488102731965252,2.786022230846241,0.5397743075208071,0.3682871082434176,0.23003872932017758,0.3176390675700595,0.6602751346819711,0.22697397774681882,1.9928174829215832,0.25793194147624526,0.2853620955315871,0.5174175500869751,0.38802981905377054,0.24938782007507587,0.11389601892395189,0.004686984197211502,1.1002368610352278,,0.004686984197211502
44.0,0.1456761302577629,0.11562822634495618,94.27968,94.27968,0.5412350858791136,0.3316701581055681,0.37588106446558156,0.7472622074078507,0.11488102731965252,2.978950406814987,0.5487880178145763,0.3750893936437444,0.23428849704927585,0.31742185745613205,0.6597912654711524,0.2269409523002742,1.9925275215440335,0.25632323232323234,0.28108402560261475,0.5159409046173096,0.3888198836045714,0.25002841253735053,0.11389601892395189,0.005048143750051194,1.2223482525441796,,0.005048143750051194
45.0,0.1625851513239836,0.12768211683095862,95.9488,95.9488,0.4559241291901578,0.2608930336041478,0.3693520171593827,0.6936845019830045,0.11488102731965252,2.2851189314180127,0.5342057371704583,0.32786873661431215,0.23282335495033374,0.29069297488986007,0.6599015249541581,0.22593278641999914,1.9836758874851803,0.2617524102039075,0.2785702299043464,0.517525851726532,0.38718614334086715,0.24884749689656588,0.11389601892395189,0.00572268150237709,0.46697325026616454,0.00572268150237709,
46.0,0.16215399814130516,0.10237898266918322,97.93024,97.93024,0.5412350858791136,0.27491203649427864,0.37344568960315166,0.7097755861368775,0.11488102731965252,2.4243272653122028,0.5313168574843556,0.3369099342667015,0.2352085290681782,0.29832507418620635,0.6606940479305728,0.2278932862773428,2.0008889549467628,0.26028447321352527,0.2796662546353523,0.515722393989563,0.38663626945914537,0.2483591060657206,0.11389601892395189,0.0032719095500462606,0.813309216289781,,0.0032719095500462606
47.0,0.1553609225138142,0.09382432458915266,99.91168,99.91168,0.5412350858791136,0.2991115956318148,0.3661193389937527,0.7234190829564822,0.11488102731965252,2.6596294446068223,0.5279479409144384,0.3518148634012783,0.22877454494592284,0.31473571472679546,0.6601104984245669,0.22757373493409006,1.9980833139219776,0.2608995347234189,0.27684818983875875,0.5136540532112122,0.3859784977459104,0.24801890349965283,0.11389601892395189,0.003332646456976728,0.8452875019283965,,0.003332646456976728
48.0,0.1501138049259438,0.09021060730922945,101.89312,101.89312,0.5412350858791136,0.3184534454349016,0.3680569286294395,0.7365622034985603,0.11488102731965252,2.841989701636194,0.5413143568741771,0.36693794733350493,0.22895983840493736,0.3168219006109435,0.6601296363384734,0.22586206756252405,1.9830549802915556,0.259782238856754,0.279337652987761,0.5157641768455505,0.3864854090352611,0.2485077684136304,0.11389601892395189,0.0037707019862206893,0.981366851599887,,0.0037707019862206893
49.0,0.1459901686348334,0.13104441471513756,103.87456,103.87456,0.5412350858791136,0.3370523445132956,0.35583831186731213,0.7490177562554889,0.11488102731965252,3.0179831405072894,0.5368272982341704,0.37571643209976247,0.2192132374741085,0.33515839318610535,0.6597372400814028,0.22588950964091917,1.9832959200421665,0.25960645215775696,0.2797309691225925,0.5126566290855408,0.3873122766913198,0.24916631161815708,0.11389601892395189,0.004014571570519587,1.0746180067071691,,0.004014571570519587
50.0,0.16324597103730248,0.14045826055418975,107.52512,107.52512,0.9971592150692714,0.26201683561329986,0.36219666558035857,0.6937750880032277,0.11488102731965252,2.2947367628465627,0.5165499085880534,0.32451145650321717,0.22774378654051544,0.2994364621101649,0.6611072888269871,0.22920618823338565,2.0124161528984263,0.25716680637049455,0.28411633109619683,0.5112995505332947,0.38708804599009694,0.24889623301913472,0.11389601892395189,0.0038699089054179355,1.3990778321167454,0.005450409966972645,0.0033670887915086428
51.0,0.16067011589880945,0.11734023572217785,109.50656,109.50656,0.5412350858791136,0.28414103709550237,0.37105987951146346,0.7102257218208645,0.11488102731965252,2.5044957015925204,0.5311447107400188,0.3379413768569566,0.2329970139223842,0.2974520292426909,0.6604143582995975,0.22759906004285618,1.9983056668102117,0.2598850673299597,0.28402040534951056,0.5096337795257568,0.38621824964332707,0.24838633788919307,0.11389601892395189,0.0031517586661412513,0.8813002270180732,,0.0031517586661412513
