round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_auroc,fed_f1_best,fed_f1,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6428055606160202,0.9930950002192022,45.99296,45.99296,0.5412350858791136,0.5648741182888459,2.2424907129077787,0.11406987724268176,0.2178441719716054,0.2538388635747263,0.6803954682020034,0.3057566335323614,0.28344802192523966,0.3442052249164375,0.5969779840952265,0.1446463364804327,1.269985885784232,0.2162095984329089,0.23753553046016748,0.4793365001678467,0.358673916953674,0.22839037612447283,0.11389601892395189,0.006131042364454174,0.8601903636008501,,0.006131042364454174
22.0,0.622978291964449,0.814640855421849,47.9744,47.9744,0.5412350858791136,0.5683682209784257,2.3978372555824508,0.11406987724268176,0.2241342095978965,0.27018100066910666,0.6974239617717259,0.32351664229049537,0.29082749926311546,0.3553177383637744,0.5990633139417532,0.1446168818014799,1.2697272755252338,0.2161076995748701,0.23892013498312709,0.4801594614982605,0.36095573056133556,0.22997351038124544,0.11389601892395189,0.005732861191408276,0.8299391667824239,,0.005732861191408276
23.0,0.5990358233199171,0.805454775663115,49.95584,49.95584,0.5412350858791136,0.5446256000158131,2.5211760485369465,0.11406987724268176,0.20152773204618454,0.2841121981770171,0.7089328728174064,0.33337517826057683,0.3081958666597141,0.3232339007733639,0.6077996900687002,0.14861101491178685,1.3047955171375576,0.2050170331371942,0.24330092482807683,0.48101386427879333,0.35496468999748343,0.2255077492575095,0.11389601892395189,0.005806851287753715,0.8744881986640394,,0.005806851287753715
24.0,0.5827457278455542,0.9640858668613147,51.93728,51.93728,0.5412350858791136,0.5558074361841975,2.6173600056737456,0.11406987724268176,0.20965102172973146,0.2955481105334645,0.7174976253838861,0.3410490884369118,0.30757093617235853,0.3346049190126008,0.6189170485757652,0.15344153990310805,1.3472072277219858,0.22500336428475307,0.24935551910007028,0.47920262813568115,0.35395156841308306,0.22459200474779173,0.11389601892395189,0.006571093519966628,1.0312795164063573,,0.006571093519966628
25.0,0.6463768388611487,1.5481173691126124,53.6064,53.6064,0.4559241291901578,0.5367721079016466,2.1524257388922217,0.11406987724268176,0.20219843777853327,0.24515099270734697,0.6713924668137251,0.29782171361427484,0.273274070775721,0.316377245718751,0.6241176668721932,0.15472322154881135,1.3584603132803061,0.23285656997727577,0.25333454314490517,0.4912398159503937,0.35468510789392194,0.22507363213862305,0.11389601892395189,0.00876199023198995,0.5466887038201094,0.00876199023198995,
26.0,0.6435448890871409,1.3774084812581904,55.58784,55.58784,0.5412350858791136,0.5675341217518602,2.2904007583373174,0.11406987724268176,0.22246656834075398,0.25884631954430526,0.6886771498338249,0.3112801140886727,0.2841424992016486,0.35304359113308,0.6358579174164755,0.16177036879057918,1.420333830092805,0.2625780806360023,0.2656921754084265,0.49886536598205566,0.36106642304942016,0.22952007486337192,0.11389601892395189,0.0050214004579074495,0.813233639462851,,0.0050214004579074495
27.0,0.6211388008913131,0.8587146594313604,57.56928,57.56928,0.5412350858791136,0.5469273985951885,2.4502822295262856,0.11406987724268176,0.20840038754130294,0.27634685887096544,0.7003009422237577,0.32124167490583516,0.2942657631771296,0.3304175306312672,0.6274411130781401,0.15579839388995492,1.367900259920245,0.24364853141653242,0.25872013183191434,0.4928928315639496,0.35919788210865616,0.22824959268804637,0.11389601892395189,0.005335786218165289,0.8869831740157679,,0.005335786218165289
28.0,0.6066749203278836,2.117617861211221,59.55072,59.55072,0.5412350858791136,0.5531099481855807,2.5412379701675576,0.11406987724268176,0.20285372862743026,0.2861724533653558,0.7095015532608014,0.3309500132250098,0.30319669238667135,0.3227816578192209,0.6189302631484497,0.15303780962528818,1.3436625008594125,0.22608945778800518,0.2493316699340581,0.4905998110771179,0.35965907361608335,0.22876131358629648,0.11389601892395189,0.005939786192803402,1.0255027663661167,,0.005939786192803402
29.0,0.580206978440031,1.4836305386767248,61.53216,61.53216,0.5412350858791136,0.5494063143820969,2.644094334226416,0.11406987724268176,0.19958670187528102,0.29820065347045016,0.7225711822911205,0.340771845079147,0.31085697035611154,0.3174485429781154,0.6106287506232685,0.14852380260438725,1.3040297984739593,0.1872552509789961,0.24489461166242926,0.48145240545272827,0.35278806019407727,0.2239638863709324,0.11389601892395189,0.005944696322455546,1.0665351157076657,,0.005944696322455546
30.0,0.6531635793433879,1.9486352554910347,65.18272,65.18272,0.9971592150692714,0.5493203062717743,2.1828156284749305,0.11406987724268176,0.21756323169821612,0.24819125245021006,0.6755035820121982,0.3014839645070424,0.27769958580035187,0.34410569722950923,0.5961050191331451,0.14182201345340828,1.245188504333084,0.21570810142238714,0.23736992912079624,0.4869758188724518,0.3663097761004805,0.2339915271730642,0.11389601892395189,0.0057992880430079215,1.4566624136641622,0.008222124959631831,0.004916780255040504
