round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_ece,fed_auroc,fed_f1_best,fed_brier,fed_auprc,fed_f1_best_threshold,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
14.0,0.6447700582118333,0.48244308641857725,51.25344,51.25344,1.0,2.168381556205249,0.31282821556408813,0.6818655807560361,0.31485407493487266,0.19854021476651815,0.24920160090332005,0.5289258157866299,0.11486656596173213,0.28494842161154166,0.667414530327482,0.2209403000230196,1.9398421657787788,0.2824273072060683,0.28423101881894874,0.5057364702224731,0.3115505794322606,0.19940408913821772,0.11389601892395189,0.006305789902370257,1.5033899106474564,0.0047398844590620486,0.007801053529111886,0.0037141007148985094
15.0,0.6411751400625956,0.5649964174856967,54.9144,54.9144,1.0,2.199492091135632,0.3428607637898326,0.6866065094115544,0.31804023388540076,0.21685970712556385,0.25301048318867114,0.5623653475832935,0.11486656596173213,0.2858869981337268,0.6662146019497129,0.22024727139181977,1.9337574172709089,0.27662639920203924,0.2812787791080121,0.5328049063682556,0.3418625319176253,0.21799435961071548,0.11389601892395189,0.006118471749601781,1.535684780605152,0.004617588606531581,0.007578353818507524,0.003052679014744933
16.0,0.6419046820829013,0.5723013838023016,58.57536,58.57536,1.0,2.233181524643971,0.333169684622508,0.686851323969204,0.31803978200241284,0.21091841512927306,0.25637012719037716,0.5593406397883085,0.11486656596173213,0.28886849491372873,0.6650446542121556,0.2207823887347341,1.9384557144367793,0.2763761467889908,0.2831050228310502,0.5354046821594238,0.33244941895455016,0.21273800296500506,0.11389601892395189,0.005912960558185989,1.5650643666649557,0.004408908147248111,0.007394507994643898,0.0030441807487867133
17.0,0.6439538501650964,0.626818929978136,62.23632,62.23632,1.0,2.2620383861577245,0.3288649754497445,0.6903051279392763,0.32002819778220776,0.2081788252457609,0.2593955991711146,0.5666651081571435,0.11486656596173213,0.2934133731507441,0.6660421348344218,0.22161168984324264,1.9457369268649527,0.27917725907094987,0.2817944848401701,0.5370303392410278,0.328014376788928,0.2101120002648825,0.11389601892395189,0.0057807500728909835,1.6113323543831939,0.004052007266896548,0.0075038769265304,0.003486921850784368
18.0,0.6446077817749107,0.7941432457301328,65.89728,65.89728,1.0,2.291797044487124,0.3359046286860179,0.694605869895706,0.3237707596814925,0.21203988737615395,0.26308583806538793,0.5633376833381579,0.11486656596173213,0.295777978730168,0.664849736127698,0.22034386895706254,1.9346055379177531,0.2757682276902143,0.2797326270652037,0.5216901302337646,0.3348400527286544,0.21429469298343715,0.11389601892395189,0.006021553596698933,1.764581765888579,0.003995652189848097,0.00806110025228092,0.0038034963987612935
19.0,0.6430095477602124,0.724069993709633,69.55824,69.55824,1.0,2.3262353760514345,0.3358733781837565,0.6955933243153617,0.3242612721178797,0.21212426142877763,0.2670561823208715,0.566698211201158,0.11486656596173213,0.29198965110700464,0.6641756297779214,0.2206166532911224,1.9370005674950557,0.2758774871450928,0.27773507558288496,0.5253859162330627,0.33493786628501354,0.2147657622833215,0.11389601892395189,0.005477845660284302,1.688059166786843,0.0037002526416028574,0.007293981657211713,0.002965934815035207
20.0,0.643374173386204,0.8793300329125275,73.2192,73.2192,1.0,2.33654408664794,0.32588640426605386,0.695086549362443,0.32592650512836685,0.20613338565295614,0.26794688023512214,0.5571783581300295,0.11486656596173213,0.29538733786577376,0.6642411755643701,0.2199469929679393,1.9311209912858973,0.27628390075014425,0.28006941663329327,0.5290837287902832,0.3246110385166926,0.20880239283056043,0.11389601892395189,0.005324604343889614,1.723157339753925,0.003484120716294279,0.007216883584267288,0.0029143355730118932
21.0,0.6435457686243575,0.927983702164682,76.88016,76.88016,1.0,2.353536254247013,0.33606836552242114,0.6967475577372676,0.3269605936309917,0.21343861854890767,0.270003334662382,0.5828930920933458,0.11486656596173213,0.2921251063824317,0.661747762646095,0.21835103373425002,1.9171085679477744,0.2697409981048642,0.27839316695582544,0.54544597864151,0.33493423477250955,0.2164913253714413,0.11389601892395189,0.005084474964669276,1.7234177921664013,0.0032675984627905845,0.006965161754123547,0.0030086551492335147
22.0,0.64228630693646,0.9119731722728627,80.54112,80.54112,1.0,2.3711150155832788,0.3336252349924507,0.6986427866658603,0.3286266396454356,0.2112242168819971,0.27251304546095384,0.5668358232353299,0.11486656596173213,0.2935480714455717,0.6630381349225691,0.21781563707671314,1.9124078184167976,0.2722558340535869,0.27844679282378965,0.5255213379859924,0.33210580952184676,0.21425540738148113,0.11389601892395189,0.004943958674338318,1.7533105155653175,0.0031390125174035255,0.006832078009653035,0.0029428882622523204
23.0,0.6453966081510611,0.9997503475773977,84.20208,84.20208,1.0,2.4061741819130043,0.3261733237186903,0.7022941319605067,0.33154230695391074,0.20488489584025565,0.2764617104370743,0.5609359164316158,0.11486656596173213,0.3024166920121858,0.6622971399950073,0.21941192541524038,1.926423131275038,0.2738177623990773,0.27805199078644294,0.5569270849227905,0.3248096224197323,0.2081199494032619,0.11389601892395189,0.004553678188922319,1.6891002954380383,0.0028325459048166063,0.006368011075380275,0.0029072157208094567
