round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best,fed_auroc,fed_prevalence,fed_auprc,fed_ece,fed_f1,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,9.331797975310328,661.2965972323358,40.27056,40.27056,1.0,0.24323153142069087,0.3131577683979681,0.6660660228709534,0.1149996852772707,0.23947087760380248,0.38058641137039484,0.27941177755824054,0.5883488163080947,2.0995997177824823,0.6587489080094566,0.21384458765532927,1.877542250165151,0.2718403050353258,0.27643610785463074,0.5238695740699768,0.37958653755904115,0.24284220708277257,0.11389601892395189,0.005897391253855743,1.029053984586426,0.005346072058739048,0.006395306059944136,0.0019849154656156193
12.0,9.248593898233262,646.510838011728,43.93152,43.93152,1.0,0.24303112364984433,0.31325904149468337,0.6667337313513039,0.1149996852772707,0.24037284083274313,0.3803106092604544,0.27716775856495474,0.5858385262847539,2.1079653171663613,0.6573440596341915,0.2123927550921566,1.8647952500777991,0.2722298221614227,0.2742466756130291,0.5355199575424194,0.37931666951263737,0.24273687469429808,0.11389601892395189,0.005862052082605051,1.0673038898003142,0.005020988699819987,0.006617573040449813,0.0018896172018604235
13.0,9.288104625937171,694.7475127760737,47.59248,47.59248,1.0,0.24048319470162446,0.3128340839336095,0.6683855859381185,0.1149996852772707,0.24258355893069528,0.37686825605405827,0.28006759156350064,0.5798368803158334,2.1294017254751,0.6573210439396966,0.21237851513692385,1.8646702241518072,0.27086400181179937,0.27417064670194913,0.5642926692962646,0.37634245483808915,0.2404182235837589,0.11389601892395189,0.005640468398228174,1.0716915209577564,0.004978810476408628,0.006246309685182408,0.00201700887737544
14.0,9.290321484638287,677.1236744344702,51.25344,51.25344,1.0,0.2361864254151529,0.3149307197571239,0.6708723039747602,0.1149996852772707,0.2470433697840755,0.3714974099632896,0.2871037685439369,0.569139952197987,2.1684132597642916,0.655710459852572,0.2041978354674903,1.792844362750139,0.270723526593196,0.27467462039045554,0.566731333732605,0.37067748102749876,0.23627703787352858,0.11389601892395189,0.005549484791703781,1.1018000721505814,0.004776419592866472,0.006258318710191936,0.0029258866001027556
15.0,9.20550946676951,697.0982642985991,54.9144,54.9144,1.0,0.24545875569113537,0.31497742575213195,0.6686817132558968,0.1149996852772707,0.2448900782087447,0.3835961274517079,0.2840536719869394,0.5885999429204911,2.1502816246914414,0.6580887566500172,0.21225624127106096,1.863596667173977,0.26992373162374267,0.2767032154736972,0.5600618720054626,0.38247173261862044,0.24524779086724005,0.11389601892395189,0.005681860430046561,1.1728481097543408,0.0045595378507977975,0.006718465524168449,0.0029554564385166834
16.0,9.168908095297741,676.3323139502514,58.57536,58.57536,1.0,0.24321528512866494,0.31588377338031887,0.6707064087939769,0.1149996852772707,0.24339044703764648,0.3801002056522726,0.2781487460160398,0.5939092886784064,2.1406071862437197,0.6566916387370253,0.20933622480179898,1.837959103220037,0.2681197756851127,0.27360834990059646,0.5815954208374023,0.37969872386809883,0.24340406701887776,0.11389601892395189,0.005573354300872388,1.19966808789286,0.004237572076251022,0.006820678496865529,0.0023371148591209527
17.0,9.183997718753513,863.2998518115226,62.23632,62.23632,1.0,0.24343512565856515,0.31779008259331404,0.6717703718565087,0.1149996852772707,0.2462928546957925,0.38062587325257957,0.27806458986694865,0.5942702624097286,2.163777907602538,0.6558031752020423,0.20841554585408448,1.8298755990167055,0.2683261259360827,0.2724689696425901,0.6103028059005737,0.3799127514099906,0.24351811318293673,0.11389601892395189,0.005664448776109411,1.272361944737895,0.004246985480597666,0.0070031243580276105,0.0024627019117945278
18.0,9.114542075142761,797.7048366117781,65.89728,65.89728,1.0,0.2386673047696674,0.31799088641920514,0.67047990975078,0.1149996852772707,0.2470144225533509,0.37518428735490805,0.2914199145189168,0.5661314659112799,2.1671265480211077,0.6546554525435204,0.20936349511171368,1.8381985348540164,0.2725884149923628,0.27314112291350534,0.49616798758506775,0.37443702914879334,0.23916039693775262,0.11389601892395189,0.005169443678843193,1.210294401169449,0.004022543727088313,0.006261410621581568,0.00205206894411026
19.0,9.208203914791634,1054.5824008372665,69.55824,69.55824,1.0,0.24162468541829696,0.32219602593459595,0.67396610973534,0.1149996852772707,0.25052150618058483,0.3783827698154957,0.28086563682600274,0.5938633397740248,2.198470532698336,0.6559535678317192,0.20663078280743452,1.8142054898810942,0.26926872053502904,0.2719483422327083,0.5690286159515381,0.3778931989398131,0.24201448430442993,0.11389601892395189,0.004648334918555395,1.1319024018430355,0.0037022375561763256,0.005558584188414447,0.002157399175645344
20.0,9.058274329051534,814.5133949924782,73.2192,73.2192,1.0,0.2388463930328429,0.32038576519654594,0.6746424012649409,0.1149996852772707,0.2535961234575584,0.37483623830008667,0.2840455975497622,0.5861397177973319,2.221056707719425,0.6571324131305617,0.2074492383429214,1.8213914788490964,0.2706817418560394,0.27246878476944,0.5557885766029358,0.3742414243424435,0.23925851017318675,0.11389601892395189,0.004528627961511102,1.1425024760137603,0.003600809871263151,0.005432447762247364,0.00229956627831881
