round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1,fed_f1_best,fed_auprc_lift,fed_ece,fed_brier,fed_auroc,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.5912318985848477,0.46601427867240836,24.82176,24.82176,0.5412350858791136,0.11183134046570166,0.06223396150643792,0.30331351396595274,2.1879423748694307,0.07779486015617207,0.1085414038085915,0.6735359197972918,0.23997675355785192,0.22693975718986165,0.3411788196979608,0.08074401302269381,0.7089274391285476,0.1646810753821824,0.2045002711006687,0.39532092213630676,0.4122617297743364,0.2749943829112768,0.11389601892395189,0.006466872540416095,0.6012441231869161,,0.006466872540416095
12.0,0.5739104383920342,0.4321991880687473,26.8032,26.8032,0.5412350858791136,0.11183134046570166,0.09164753877739283,0.31210699508717815,2.3133517924412272,0.08580422982822015,0.10976489754053796,0.6873577080714225,0.2528348891801935,0.24016976326685266,0.34060655214907104,0.0806630172514772,0.7082163012680515,0.1679879786517436,0.2045002711006687,0.38473501801490784,0.41511722370652937,0.2775356337428864,0.11389601892395189,0.007187172206292557,0.6916550665628165,,0.007187172206292557
13.0,0.5581225216911102,0.4616441009667315,28.78464,28.78464,0.5412350858791136,0.11183134046570166,0.1056785776118743,0.3253825316115192,2.4575742382934886,0.07975646327135415,0.10768437871907473,0.6957293975012501,0.26344520942750443,0.24646883754890764,0.34063506450342895,0.08069933975551666,0.7085352106064341,0.16756532559104106,0.2045002711006687,0.3786593973636627,0.4161592640147319,0.27869766843811483,0.11389601892395189,0.008167414464322974,0.8169518075883389,,0.008167414464322974
14.0,0.5445767474507134,0.530630891347247,30.76608,30.76608,0.5412350858791136,0.11183134046570166,0.11962825063180008,0.3299625809604031,2.602534493097915,0.07729613349618843,0.10529917670543987,0.706548543619069,0.27756085273023423,0.2407668623011242,0.33999284631052895,0.08056505435377967,0.7073561930867204,0.16734841816393103,0.2045002711006687,0.3783659338951111,0.41903025900941415,0.2815090514651645,0.11389601892395189,0.007795913760650158,0.8212975000496954,,0.007795913760650158
15.0,0.5899269580627926,0.7154599437270821,32.4352,32.4352,0.4559241291901578,0.11183134046570166,0.058665241828585415,0.29794827113344763,2.131617374387515,0.06957744776468798,0.10640265198290708,0.6669032267614778,0.2348866414783435,0.2241635558401135,0.34008611383587595,0.08052726282336473,0.7070243857876419,0.16460473893898092,0.2045002711006687,0.37577417492866516,0.4169937580324419,0.2797125347080735,0.11389601892395189,0.01143551251657514,0.6162165720015764,0.01143551251657514,
16.0,0.5848767603626726,0.5706631496805523,34.41664,34.41664,0.5412350858791136,0.11183134046570166,0.07090034836155545,0.3068912741240463,2.2606020884050015,0.08487394298664179,0.10910484401912775,0.6799465946015669,0.24690004789160722,0.2325395530297217,0.33970269043680074,0.08045355177433791,0.7063772073373045,0.1634753089693948,0.2045002711006687,0.374448299407959,0.41950826991323775,0.28233641219211475,0.11389601892395189,0.005533218210646133,0.6002750487532467,,0.005533218210646133
17.0,0.5682612215367709,0.5174766466549017,36.39808,36.39808,0.5412350858791136,0.11183134046570166,0.08838499208645234,0.31725072406343185,2.415319736998923,0.07373525964558039,0.10703151051928735,0.6924898790492208,0.2607638458105724,0.23077880443267806,0.33945458777586013,0.08045255765283477,0.7063684790120079,0.16436471397576335,0.2045002711006687,0.37167641520500183,0.42209179379108586,0.28495377366667224,0.11389601892395189,0.00668124115239815,0.7422774301376194,,0.00668124115239815
18.0,0.5509478292476588,0.6610218580554292,38.37952,38.37952,0.5412350858791136,0.11183134046570166,0.1076789350410259,0.3303454476542415,2.575733438844597,0.07181399276226878,0.10544300857429177,0.7044893231098516,0.27401621295873013,0.24703226832566277,0.3394704753817656,0.08046735461034793,0.706498395383563,0.16203130883856043,0.2045002711006687,0.3638124167919159,0.4200638897949115,0.2831539119971231,0.11389601892395189,0.007342055487106556,0.8475591439055279,,0.007342055487106556
19.0,0.5328229959497837,0.8544943199471658,40.36096,40.36096,0.5412350858791136,0.11183134046570166,0.12126466366779073,0.3382271915489485,2.703897626342949,0.07307243901870492,0.1042046443380644,0.7138761977552455,0.2862811286693085,0.22560272837694215,0.34004919334885086,0.08057702000542127,0.7074612507678812,0.16389800021161782,0.2045002711006687,0.3594113290309906,0.42436827506294983,0.2868934100460912,0.11389601892395189,0.00830862883554262,1.0030692908912897,,0.00830862883554262
20.0,0.5867104574432279,0.8394161495034986,44.01152,44.01152,0.9971592150692714,0.11183134046570166,0.06051153783174741,0.29787431675320175,2.1510109706224894,0.08840830191416585,0.1101354967022084,0.6677485195649716,0.23719297543287757,0.2363959332985499,0.3402629983581803,0.08072191214195773,0.7087333947629509,0.14251410733581463,0.2045002711006687,0.36576491594314575,0.4032062788699377,0.2681200472768349,0.11389601892395189,0.007492151255107501,1.3754262763541192,0.010428787528112833,0.006109041486024163
