round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_f1,fed_ece,fed_auroc,fed_f1_best,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,0.6516679111511974,0.31583326943072154,4.930455,34.41664,0.5412350858791136,2.0658156946033945,0.11404833836858005,0.21216462464036984,0.23264874113891965,0.2820484531023716,0.33886872117069033,0.6681321442951306,0.2995247238277091,0.5322290177439216,0.6623246232943225,0.2200710110057458,1.9322098619854897,0.18451816745655608,0.28070667414469996,0.4869999289512634,0.3730441488097229,0.2392114236994483,0.11389601892395189,0.007395346341945222,0.2228760484867962,,0.007395346341945222
17.0,0.6373458056619737,0.41238288428140973,5.2127025,36.39808,0.5412350858791136,2.1677595821816844,0.11404833836858005,0.21242020818565607,0.24323958261213513,0.2895540135071258,0.3397232314969403,0.6778147076122155,0.30891214280570034,0.5323040838215466,0.6659489551552369,0.2212170999673677,1.9422724521659869,0.18664169787765295,0.28151093439363817,0.4858291447162628,0.37143327187559455,0.23781928797333762,0.11389601892395189,0.00777025588411788,0.243321946451033,,0.00777025588411788
18.0,0.6181316730980162,0.4464257767043729,5.49495,38.37952,0.5412350858791136,2.2478125916577025,0.11404833836858005,0.2198963758533431,0.25182719882923366,0.29335702667350266,0.3515482122474326,0.6867014482159429,0.31802092510262486,0.5317017451146279,0.6655912330333296,0.22080741168708753,1.938675414410403,0.19032953495534338,0.28082929456112005,0.48589664697647095,0.37134000183657734,0.23793571105475214,0.11389601892395189,0.008276387433369743,0.2723853656971187,,0.008276387433369743
19.0,0.6120426255973513,0.5824356529485372,5.7771975,40.36096,0.5412350858791136,2.3184087877657156,0.11404833836858005,0.21579028655260135,0.2600378044081338,0.2994173530821368,0.3450444663226724,0.6933003085914183,0.32410921915668583,0.5516374526622313,0.6658416573428424,0.2206387463644115,1.9371945433117508,0.18844609206054988,0.28181087597106885,0.4856414198875427,0.3703777393815238,0.2371072373080148,0.11389601892395189,0.008520543043318589,0.2973669561033603,,0.008520543043318589
20.0,0.6570711774171444,0.4865283196289979,6.3041925,44.01152,0.9971592150692714,1.9259227373669798,0.11404833836858005,0.2067056873059071,0.21733025892914656,0.2671835840068356,0.3276609982591786,0.6529944959053331,0.2865060967729988,0.5130065506847513,0.6655987878032783,0.22106977319893126,1.9409789322534534,0.19220308250226656,0.28206832380699187,0.485461562871933,0.3697861286154979,0.2365006077255082,0.11389601892395189,0.011261587768803889,0.5860540556968772,0.02107006379741637,0.0069666005822487005
21.0,0.6470882083642112,0.4316494442192602,6.58644,45.99296,0.5412350858791136,2.072093343881476,0.11404833836858005,0.2223305740654486,0.23337200880527428,0.27468350287272497,0.3526307084182163,0.6683760742089292,0.30274812063132134,0.5416958771199588,0.6657440853555477,0.2210012580351749,1.9403773733543481,0.19209726443768996,0.2815533980582524,0.48459163308143616,0.3689572019907973,0.23584204043934953,0.11389601892395189,0.005781260459527244,0.21451268302917015,,0.005781260459527244
22.0,0.6373728035600169,0.508166021394963,6.8686875,47.9744,0.5412350858791136,2.177111448226646,0.11404833836858005,0.22007282807675288,0.24484551900461712,0.2876789924932304,0.3501000061981973,0.6786336535712593,0.3120235351346504,0.5420264537724753,0.6656805098330225,0.2208765497968028,1.939282442736489,0.19616076784643072,0.2827770021576342,0.4843674898147583,0.3692208520299002,0.2360526844308237,0.11389601892395189,0.005566474850133564,0.21321971269935602,,0.005566474850133564
23.0,0.6195841101161021,0.5044929360051228,7.150935,49.95584,0.5412350858791136,2.232612324555616,0.11404833836858005,0.21540792943431702,0.2507204913259323,0.2949294159381815,0.3441794999014147,0.6868194242087691,0.31849496519680215,0.5460889244532777,0.6661687588024992,0.22131986595616124,1.943174731189999,0.19516562220232767,0.2816621755779322,0.48523229360580444,0.3679673114314438,0.23503317918810201,0.11389601892395189,0.006861673208318826,0.272507273912197,,0.006861673208318826
24.0,0.6050861407954475,0.5982922316961521,7.4331825,51.93728,0.5412350858791136,2.348967764185211,0.11404833836858005,0.21047755876874943,0.2628950499245832,0.2970769998606433,0.337517832491682,0.6948136737389631,0.323522426733314,0.5331611978949947,0.6654231958745033,0.22036799947506602,1.9348174023729945,0.19114077669902912,0.2825052854122622,0.4855847954750061,0.36986423385473866,0.2365229284738941,0.11389601892395189,0.00617817976364432,0.2569156184763415,,0.00617817976364432
25.0,0.6532337949458993,0.6374444434310378,7.67793,53.6064,0.4559241291901578,1.9429853824372314,0.11404833836858005,0.20550528722767136,0.21919639752465958,0.27116774618039724,0.32447498579662437,0.6545963306023881,0.2889332617591916,0.5171923757008345,0.6647313195010599,0.22104310674684496,1.9407448024538498,0.20041383387525866,0.28083229984842223,0.4857763946056366,0.36966312741428103,0.23639217069839874,0.11389601892395189,0.015528043570755854,0.2831907151849009,0.015528043570755854,
