round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_prevalence,fed_auprc_lift,fed_ece,fed_brier,fed_f1_best,fed_auroc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.627568569271909,0.39170848024610117,21.90336,21.90336,0.0,0.3136791755115843,0.2651095463112291,0.11513282135213396,2.3455482518662447,0.33608331216960474,0.21193096426903768,0.3373192651673005,0.7034903178742805,0.5439139184491935,0.6621154992304927,0.22540820183349447,1.9790700672689798,0.2698017335857328,0.2813318368873925,0.5256724953651428,0.3824776114533236,0.24363802492393352,0.11389601892395189,0.0,0.0,,
12.0,0.6066943773465414,0.4711323536542268,21.90336,21.90336,0.0,0.31462331881259015,0.28002367946300205,0.11513282135213396,2.4844003515967787,0.33729021615212385,0.2129577764976455,0.35342218892640787,0.7141749353176604,0.5815300597294173,0.6621154992304927,0.22540820183349447,1.9790700672689798,0.2698017335857328,0.2813318368873925,0.5256724953651428,0.3824776114533236,0.24363802492393352,0.11389601892395189,0.0,0.0,,
13.0,0.6439759889035505,0.3552692035536291,25.55392,25.55392,0.9971592150692714,0.28304778148527704,0.23759419346207744,0.11513282135213396,2.085519914879908,0.35442783375966314,0.2273394888231139,0.311619819545856,0.6781558794007915,0.5494039893116561,0.6623431588345454,0.2252252864693977,1.9774640816882294,0.2699750910136041,0.28173418621179813,0.521152675151825,0.3798796900223819,0.24136608327004797,0.11389601892395189,0.009552490803129912,1.48003517719917,0.007132787946744888,0.011472408159334558
14.0,0.6422189904731563,0.4139417240967502,25.55392,25.55392,0.0,0.2995531561373044,0.25134716093867865,0.11513282135213396,2.215446919498107,0.33175082361855823,0.2116519489578934,0.3225424528579042,0.6912896511249041,0.5482808253814032,0.6623431588345454,0.2252252864693977,1.9774640816882294,0.2699750910136041,0.28173418621179813,0.521152675151825,0.3798796900223819,0.24136608327004797,0.11389601892395189,0.0,0.0,,
15.0,0.6208420451768468,0.4282894731849951,25.55392,25.55392,0.0,0.3140417352629784,0.26731357551501583,0.11513282135213396,2.3644160821134377,0.3351359449639583,0.2111923615195376,0.34146972380510626,0.7049350920423785,0.5665622091700054,0.6623431588345454,0.2252252864693977,1.9774640816882294,0.2699750910136041,0.28173418621179813,0.521152675151825,0.3798796900223819,0.24136608327004797,0.11389601892395189,0.0,0.0,,
16.0,0.6045774898001081,0.49951133472399445,25.55392,25.55392,0.0,0.31099458805355673,0.28269614942856613,0.11513282135213396,2.505238102112945,0.33143829985995543,0.21058384956030998,0.35195070102038717,0.7142434508156846,0.5858504934874017,0.6623431588345454,0.2252252864693977,1.9774640816882294,0.2699750910136041,0.28173418621179813,0.521152675151825,0.3798796900223819,0.24136608327004797,0.11389601892395189,0.0,0.0,,
17.0,0.6397783168792394,0.4757038475270905,29.20448,29.20448,0.9971592150692714,0.2874526464608663,0.23914942145736967,0.11513282135213396,2.0979791080218853,0.34638364043733527,0.2200424946993443,0.3120331521290308,0.6802536996087192,0.5415092120370351,0.6623079450729572,0.22681878008102657,1.991454857017197,0.272001596487727,0.28211739723949647,0.5183640718460083,0.37642583785728323,0.23917724549455105,0.11389601892395189,0.008388990304618194,1.3847262172494084,0.006384675171810543,0.01000948419939962
18.0,0.6403084110645183,0.40127368117825635,29.20448,29.20448,0.0,0.29904128714900574,0.2569438932461471,0.11513282135213396,2.2624480182279187,0.33901576483398244,0.21496241994534218,0.3288783475299917,0.6956365835545611,0.5655690409063948,0.6623079450729572,0.22681878008102657,1.991454857017197,0.272001596487727,0.28211739723949647,0.5183640718460083,0.37642583785728323,0.23917724549455105,0.11389601892395189,0.0,0.0,,
19.0,0.6230900960090303,0.47982181712230065,29.20448,29.20448,0.0,0.31439181457748955,0.2699075861184419,0.11513282135213396,2.382413467842063,0.3325481827465912,0.20885373720897102,0.341187436662211,0.707224016543479,0.5505792293971963,0.6623079450729572,0.22681878008102657,1.991454857017197,0.272001596487727,0.28211739723949647,0.5183640718460083,0.37642583785728323,0.23917724549455105,0.11389601892395189,0.0,0.0,,
20.0,0.6028479868049773,0.5709338844357889,29.20448,29.20448,0.0,0.3180081432642425,0.2867717980119343,0.11513282135213396,2.5360074572354825,0.32467561182050675,0.20674909568981356,0.3542201178999622,0.7183896267950155,0.6017653689428134,0.6623079450729572,0.22681878008102657,1.991454857017197,0.272001596487727,0.28211739723949647,0.5183640718460083,0.37642583785728323,0.23917724549455105,0.11389601892395189,0.0,0.0,,
