round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_ece,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
12.0,0.6473645139850398,0.41566113617037825,43.93152,43.93152,1.0,0.2904676752065547,0.6609303021180484,0.5066958809709413,0.22846627052545432,0.33946392597325165,0.11388101983002831,2.0013319825395532,0.21570639859269872,0.2690533391984093,0.6616542315822614,0.2191036644879217,1.9237166194036748,0.2771164021164021,0.28182342758222734,0.5076837539672852,0.33931204126524844,0.21604743141190283,0.11389601892395189,0.003292758376629039,0.3974349793570582,0.003751955097896759,0.002977695642941504,0.002687535362122737
13.0,0.6443009626350368,0.5040127197809839,47.59248,47.59248,1.0,0.2895868048823487,0.661186020248929,0.5443779545495223,0.22960146413378438,0.3408286876007938,0.11388101983002831,2.0113272155340534,0.2178435131091961,0.27074223420479454,0.6621310103528459,0.2206597090327601,1.9373785942430006,0.2778956300381841,0.28063040162684294,0.535714864730835,0.3405974985287962,0.21808296822882578,0.11389601892395189,0.0032628728772335015,0.39745711101204506,0.003726433078764923,0.0029381752563876966,0.0029467747267046935
14.0,0.643690902932104,0.43637375537399886,51.25344,51.25344,1.0,0.2916614744892722,0.6628626702831428,0.5202243356442806,0.23104659957655732,0.3465525317011969,0.11388101983002831,2.025224494919978,0.22082821897577393,0.26848566716207817,0.6629417802320936,0.2210674546510937,1.9409585755468761,0.27751889820855336,0.28229849595063633,0.5393955707550049,0.3464824570998841,0.22124596447689948,0.11389601892395189,0.003333599099922595,0.4097055161882963,0.003837414217807892,0.0029797285417764077,0.00281607932674371
15.0,0.6403227995041012,0.4063136578029532,54.9144,54.9144,1.0,0.29399998326694254,0.6654340256392015,0.5152531531440938,0.23286207727362324,0.3574663230832133,0.11388101983002831,2.0397003590162157,0.22720693542013812,0.2735946600670672,0.6632511995142459,0.22128879647088623,1.9429019430313912,0.2753898019384745,0.2817258883248731,0.552811324596405,0.3571940326139895,0.22772646209699618,0.11389601892395189,0.0031403249787821416,0.38927276600043115,0.003579180163519268,0.0028284722802060535,0.0027695527441559593
16.0,0.6394182181253083,0.4414716151488407,58.57536,58.57536,1.0,0.29421684913088975,0.6662805412635457,0.5251841512910593,0.23321993621434545,0.3373029442292398,0.11388101983002831,2.042830811125627,0.21408661132448323,0.27356260961658896,0.663169163748208,0.22173688673710235,1.9468361478477625,0.2784951024042743,0.2803212851405623,0.5333174467086792,0.33695787568026114,0.21464718825304974,0.11389601892395189,0.0032913708948657822,0.4115821971654441,0.003787450352727309,0.0029410266930830287,0.0024119708833412815
17.0,0.6423438540975988,0.4580108698016846,62.23632,62.23632,1.0,0.2943945791645086,0.6671690466526067,0.5645778623323678,0.23334411817539225,0.3524683464856728,0.11388101983002831,2.0448646276118536,0.22499094045942522,0.2752451929190513,0.6629330834620363,0.2218245396659854,1.9476057351407263,0.27146927146927147,0.27903596948044085,0.5352842211723328,0.35210510403048356,0.22559519410626075,0.11389601892395189,0.0033028905183012233,0.41697296393613215,0.0036562337785196793,0.0030552154460341888,0.0023366025889298065
18.0,0.6424846986411856,0.4961636220269276,65.89728,65.89728,1.0,0.2919590014700985,0.6676884060140577,0.5511209083665344,0.23401778463922315,0.34789696739254256,0.11388101983002831,2.0497276891000005,0.22045181098731836,0.2740515181926648,0.6624097085771337,0.22270131302883894,1.955303751025188,0.27519500780031203,0.28147960476311124,0.5364159345626831,0.34759002185169646,0.22109797739652604,0.11389601892395189,0.003406300103799927,0.43342040958123107,0.0038475736248908287,0.003090383964601054,0.002492116296057979
19.0,0.6412387332301985,0.4310174684764606,69.55824,69.55824,1.0,0.2958713322247402,0.6698711295298129,0.5310587721629679,0.23538676038446293,0.3384631885431981,0.11388101983002831,2.059846386931267,0.21433049159262363,0.27943204120482945,0.6634793359974648,0.22332708244723323,1.9607979678056018,0.27784052405692344,0.2799664710813077,0.511304497718811,0.33813246800978825,0.21503773898489967,0.11389601892395189,0.00316517963805913,0.4059527059325774,0.00350030258701215,0.0029177762536109152,0.0029040316995905713
20.0,0.6463460563515309,0.5069201190693219,73.2192,73.2192,1.0,0.2974904134787761,0.669702296012689,0.5375356201972457,0.23595978863429232,0.3308927696598076,0.11388101983002831,2.066094769725421,0.2100468513042742,0.2783111565662466,0.6650577934881297,0.22391327945013365,1.9659447412261182,0.27901684114701863,0.2842664689160796,0.5164138674736023,0.33058418789587407,0.21080697262799744,0.11389601892395189,0.0033033618293059606,0.42775881564284646,0.0036011402986662966,0.0030833145167954443,0.002959397724839259
21.0,0.6417545682162717,0.49635472231513944,76.88016,76.88016,1.0,0.29918309995104303,0.670356406746336,0.5375178474092168,0.23608468104684766,0.3437455818530783,0.11388101983002831,2.0672560894216305,0.2193812563651206,0.27759079953082094,0.6646192905453585,0.22328675844987306,1.9604439256034147,0.2789995687796464,0.28245398773006136,0.527932345867157,0.34360740801289574,0.22025733791198554,0.11389601892395189,0.0032597717816106545,0.4259676323072199,0.003563916838938377,0.0030331901281433933,0.002878079387198398
