round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_ece,fed_auprc,fed_f1_best,fed_brier,fed_f1_best_threshold,fed_auroc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6531904681057659,0.5405192975757588,24.82176,24.82176,0.5412350858791136,2.072344009036907,0.2787164558919891,0.33514671197865575,0.22839934954440716,0.29768293807900975,0.20995717243070652,0.521629888125003,0.6691327421734444,0.11220893643801129,0.4003495725079461,0.09013065074869403,0.7913415376605398,0.12702494214451016,0.20451875282422052,0.44858112931251526,0.3895136087576381,0.2555964267250643,0.11389601892395189,0.005708742016403148,1.217170903692022,,0.005708742016403148
12.0,0.6335487646077498,0.534995494890123,26.8032,26.8032,0.5412350858791136,2.1727113070289845,0.28919568259173584,0.34279256206617703,0.23904013735680374,0.3083794434089334,0.21453986269797318,0.5169913590798368,0.6820651769312771,0.11220893643801129,0.40646326381422315,0.09359446378985191,0.8217536018738699,0.13933971973715462,0.20450951154489178,0.4504959285259247,0.39455080861065883,0.25949002465514753,0.11389601892395189,0.0044668891155382655,1.0235390544403344,,0.0044668891155382655
13.0,0.619922018231761,0.6679266448005957,28.78464,28.78464,0.5412350858791136,2.2322183386033334,0.28953152277261696,0.3452246809048874,0.24474190000931226,0.31002280767937057,0.21542786420071705,0.5451300450696217,0.6882621648433356,0.11220893643801129,0.3939357736127096,0.09253042531130637,0.8124114098587477,0.1288763592428514,0.20454853732423023,0.44975993037223816,0.3924722425848497,0.25810699112680424,0.11389601892395189,0.0042130412826049245,1.0384808622766286,,0.0042130412826049245
14.0,0.6039810022468266,0.6661484144824569,30.76608,30.76608,0.5412350858791136,2.3136851595723296,0.2999191767242811,0.33650592613667524,0.25260660105947075,0.31905669313365614,0.20971780108026447,0.5569558179794878,0.6961100348279274,0.11220893643801129,0.3900223776803684,0.09132826243961917,0.8018564942168772,0.12439945092656143,0.20450951154489178,0.439906507730484,0.38885334694629725,0.2553890554437847,0.11389601892395189,0.004086505707890748,1.0771951120113954,,0.004086505707890748
15.0,0.6483378190931197,0.7422473056682175,32.4352,32.4352,0.4559241291901578,1.9900883242519085,0.26873812257929486,0.33834655086683935,0.2200836587367737,0.29087581834802084,0.2138370873747665,0.523173178699573,0.6612988105549852,0.11220893643801129,0.40262491360329944,0.09158331443577716,0.8040958349644085,0.12111352133044107,0.20458346517199294,0.44299376010894775,0.38847048593771,0.2554074555410237,0.11389601892395189,0.008434191888193596,0.7185577172785997,0.008434191888193596,
16.0,0.6468806067004482,0.7362757156805034,34.41664,34.41664,0.5412350858791136,2.0982322168880674,0.28187623804138917,0.3497942275478451,0.2318428678126128,0.3007674205038071,0.21902260968757073,0.5114733024972126,0.6742657604364751,0.11220893643801129,0.41503748847521094,0.09731006615693744,0.8543763607919531,0.12049861495844875,0.20457421804375336,0.44415202736854553,0.38403641121023535,0.2510916774097079,0.11389601892395189,0.003919372732072881,1.099264910677448,,0.003919372732072881
17.0,0.6276881565525534,0.6199146963795147,36.39808,36.39808,0.5412350858791136,2.1929829478178435,0.28960574991262245,0.3489118248754098,0.24072855322622955,0.31181767291070694,0.21845134466519175,0.5318309719435743,0.6839638509221403,0.11220893643801129,0.42362775133552516,0.10018773901369074,0.8796421504476453,0.13090168487317164,0.204715145481696,0.44743067026138306,0.38873917827357085,0.25484679179685776,0.11389601892395189,0.0033314909727804065,0.989909399067983,,0.0033314909727804065
18.0,0.6190786151824852,0.7586296899929142,38.37952,38.37952,0.5412350858791136,2.26776684343857,0.292749656662121,0.3355970310449336,0.2480299054481503,0.31653850816658197,0.20997618268245075,0.5550919883576783,0.6918792926555188,0.11220893643801129,0.39978620252034147,0.08983511067046719,0.7887467140572305,0.1396379191811168,0.2045002711006687,0.43841275572776794,0.40354879078888334,0.26824669797431505,0.11389601892395189,0.0032519772411114273,1.0223711772123352,,0.0032519772411114273
19.0,0.6022944076192873,0.9234127197163616,40.36096,40.36096,0.5412350858791136,2.341714599241168,0.30323212512322395,0.3187272972206346,0.25497913168460173,0.3228348743884172,0.1989443036063139,0.5225977290044271,0.7007706705777533,0.11220893643801129,0.39479903784859427,0.08804725809585834,0.7730494790572732,0.1460909814131771,0.20450951154489178,0.4467618763446808,0.40905973315088945,0.27348200821295804,0.11389601892395189,0.003048554468645945,1.0076859125401825,,0.003048554468645945
20.0,0.651990466462672,1.0535511526677,44.01152,44.01152,0.9971592150692714,1.9915253009011291,0.27257380854992636,0.3506013082151633,0.2203677344625509,0.2910620206967269,0.22084998017658583,0.5124961940371217,0.6605412609144737,0.11220893643801129,0.4146617955384089,0.09158224722380082,0.804086464909279,0.13778809484330956,0.20462706240625425,0.4587763845920563,0.39839724656907854,0.2635461872635138,0.11389601892395189,0.0038270554885661175,1.7080389653565362,0.0064737883570590285,0.003062012710563946
