round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.6484747832546764,1.0688006947150173,118.38848,118.38848,0.4559241291901578,0.27330092927643324,0.3006675114331913,0.34555851837452956,2.1544863432407064,0.11514535990859466,0.2191545355308742,0.24080235316870305,0.5194098174579557,0.6660454469758605,0.5850995389883606,0.14246916130237233,1.2508704224113283,0.1917899285358152,0.2285633763122666,0.47332680225372314,0.3597641261785246,0.22946876053797113,0.11389601892395189,0.003382171680041998,0.18352906848303974,0.003382171680041998,
16.0,0.649887585754353,0.8392575812802895,125.620736,125.620736,0.5412350858791136,0.2886660500670385,0.3144340825204417,0.3440565788323645,2.313700466093942,0.11514535990859466,0.21663986792827125,0.25843705043584403,0.5425810764378304,0.6820190114183108,0.5827821321307678,0.14108223199810824,1.2386932689219674,0.19827586206896552,0.22683892748165946,0.4723525047302246,0.3638805328713695,0.23250228398625988,0.11389601892395189,0.0018631509890337783,0.22156857035588473,,0.0018631509890337783
17.0,0.6388498891853432,0.741431601286193,132.852992,132.852992,0.5412350858791136,0.2920234068178254,0.3297351114476739,0.3619081580414809,2.4516073132027905,0.11514535990859466,0.2278797912190419,0.27314071687889,0.5798271357941267,0.69605292893882,0.5686417863913645,0.13847184727192327,1.2157742525169437,0.1862348178137652,0.220320197044335,0.4676741063594818,0.3626574501698963,0.2318980473085107,0.11389601892395189,0.002020981628777977,0.2482772117073182,,0.002020981628777977
18.0,0.6303325670362018,0.7873761922454161,140.085248,140.085248,0.5412350858791136,0.3009548233671929,0.34022624207673574,0.3405519442596614,2.649704944265724,0.11514535990859466,0.21321406860610465,0.2910022441405258,0.5733035765782184,0.7070326854588224,0.5916905235927433,0.14476796793498553,1.2710538024305027,0.20308483290488433,0.23013100436681222,0.4802933633327484,0.36210408047980824,0.23100413699947905,0.11389601892395189,0.0017739703513869136,0.22810057195601985,,0.0017739703513869136
19.0,0.6095769737596988,1.043190367373695,147.317504,147.317504,0.5412350858791136,0.3098004692687521,0.34630497702071394,0.33539416618378937,2.7825548051092865,0.11514535990859466,0.20982711498940612,0.302290286418085,0.5769872821227113,0.7145441352495878,0.5790564132492293,0.13972926046803189,1.226814262589185,0.18668012108980828,0.22452107279693484,0.46726834774017334,0.3595328770881271,0.229398798423767,0.11389601892395189,0.0019426012440074878,0.2599556776985992,,0.0019426012440074878
20.0,0.6461536619505941,0.9402035194386182,160.642048,160.642048,0.9971592150692714,0.26965772463533744,0.2981025004704454,0.34703734019359533,2.147410816902236,0.11514535990859466,0.22123244449299248,0.24058048413188005,0.5215165510128578,0.6650609834841619,0.5777453971246395,0.13936629649750976,1.2236274613826872,0.19363677880956007,0.22513056835637477,0.46424081921577454,0.3603636826345836,0.2300235323913773,0.11389601892395189,0.0018729631143608795,0.3717368451762013,0.0027894097366133064,0.0014851053539929192
21.0,0.642652118692586,0.8793869037575921,167.874304,167.874304,0.5412350858791136,0.2856984393151638,0.31474011476093555,0.34065584439696317,2.2994192447886883,0.11514535990859466,0.21508900012313906,0.25708793788885254,0.5700403864260053,0.6816811867092059,0.5711806157754941,0.13620293774816974,1.195853367263979,0.18286277084701247,0.22207807524472228,0.4591778814792633,0.3600480113240552,0.2299438563062269,0.11389601892395189,0.0016508116277310473,0.23495105211623013,,0.0016508116277310473
22.0,0.628359151382715,0.966091055614031,175.10656,175.10656,0.5412350858791136,0.29118853580041876,0.32967482747703636,0.3516321241237498,2.526705189791269,0.11514535990859466,0.22115400015860012,0.27810276409957513,0.5656475003024141,0.6972499447539391,0.5775207493890048,0.13791615170057983,1.210895279778533,0.16413846752236483,0.22440896150513676,0.46286821365356445,0.35813381507782,0.22842425907241426,0.11389601892395189,0.0018105400293447723,0.2649835122865625,,0.0018105400293447723
23.0,0.6131642305241478,0.954456633518276,182.338816,182.338816,0.5412350858791136,0.3066570064576357,0.34523303856950277,0.33182830653124146,2.7370015836080053,0.11514535990859466,0.20660553216114008,0.2974331666250357,0.5777169964205905,0.7107364270953703,0.5780547160111779,0.13823167527933167,1.213665557280177,0.16831491177040916,0.2247110259328023,0.4619047939777374,0.3600718289789217,0.22978685228664095,0.11389601892395189,0.0018924562207486614,0.28744037821888924,,0.0018924562207486614
24.0,0.6037365134382994,1.247128768212318,189.571072,189.571072,0.5412350858791136,0.31361522040808326,0.3489736761210951,0.3287763211703415,2.835018413869148,0.11514535990859466,0.20494624681031842,0.3082853036343978,0.5455914777487808,0.7199996296620483,0.5742762517839672,0.1368375834487919,1.2014255172532242,0.1648440664236533,0.22345094909650573,0.4541887640953064,0.35913553290682954,0.22919760048615095,0.11389601892395189,0.0019291903429091539,0.3049031424743589,,0.0019291903429091539
25.0,0.6263020007917878,1.3334514631118142,195.66336,195.66336,0.4559241291901578,0.280227106911745,0.3051600462563004,0.3146492328802903,2.2096424473765217,0.11514535990859466,0.20047151554580692,0.24751875622432587,0.511363850469265,0.6698936424813751,0.5857501151161209,0.14008173687506792,1.2299089836370856,0.15573241557324155,0.23042505592841167,0.4701562821865082,0.3553150701375233,0.2262248032645111,0.11389601892395189,0.0023861304177563306,0.1520849745720625,0.0023861304177563306,
26.0,0.624341123808574,1.1282011860989323,202.895616,202.895616,0.5412350858791136,0.28730100962118515,0.3176436626612267,0.3525995098608212,2.371516470499238,0.11514535990859466,0.22228294775278085,0.26520319684620175,0.5555914307671239,0.6872573323263811,0.5811180622803187,0.13910021014379434,1.2212912396584399,0.1708601521357519,0.22786759045419552,0.47362518310546875,0.3583803510931683,0.22850900063922808,0.11389601892395189,0.0014771378120586455,0.24290382154867984,,0.0014771378120586455
27.0,0.61721427068952,1.2481946894858285,210.127872,210.127872,0.5412350858791136,0.30064056341173806,0.3338556194347406,0.328331244839276,2.598090736550001,0.11514535990859466,0.20625018317028798,0.286033213714809,0.5727851407996618,0.7012236052689363,0.5923152854982702,0.14205552485375367,1.2472387199819848,0.17438185536345047,0.23341880934229678,0.4699861705303192,0.3551591549748725,0.22597731268302446,0.11389601892395189,0.0015401989551923543,0.2592112962156534,,0.0015401989551923543
28.0,0.5938979417637757,1.3681032038275347,217.360128,217.360128,0.5412350858791136,0.30902320983186593,0.34363771048719355,0.3294720309362632,2.784288720987446,0.11514535990859466,0.20590866137602135,0.30337386601567856,0.56664960427803,0.7121227849347607,0.5861301627126774,0.13975709088192678,1.2270586119014597,0.1550721516261038,0.22971491228070176,0.46785613894462585,0.3536588596232111,0.22506612803829326,0.11389601892395189,0.0019285762657193822,0.3357077088148799,,0.0019285762657193822
29.0,0.5737127186876264,1.3985331127577079,224.592384,224.592384,0.5412350858791136,0.3195649631914342,0.3639314279397212,0.32775655803144715,2.918752621524135,0.11514535990859466,0.20454157362897943,0.3183941391341493,0.6000830894086632,0.7275789102932593,0.5881769406434525,0.14080944228935763,1.2362981921552127,0.17737556561085974,0.23132141810723705,0.47422510385513306,0.3553912761923087,0.226241805661973,0.11389601892395189,0.0021059148158641973,0.3821845502825454,,0.0021059148158641973
30.0,0.6143822292316651,1.7074108618291726,237.916928,237.916928,0.9971592150692714,0.27781157729447653,0.3075392461948862,0.341583020728324,2.233286722791359,0.11514535990859466,0.21690132880564303,0.25069568919497554,0.5701851327720896,0.6730773600541222,0.573108688442241,0.13663063575085077,1.1996085292680752,0.19211748838603326,0.2230554067726001,0.4682598114013672,0.36448670210563044,0.23307666852381867,0.11389601892395189,0.0016032850307170698,0.41381991235539317,0.0022140812184782872,0.0013814930751335495
