round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_prevalence,fed_ece,fed_auprc_lift,fed_f1_best,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
12.0,0.6407279968248372,0.4301343576102906,31.65792,31.65792,0.9971592150692714,0.5468813629899846,0.6702831022111572,0.2433920602969833,0.11468496254799516,0.3453913234385758,2.1540590534336412,0.31153565896613783,0.2833068419192891,0.21840881119978572,0.6591263578695028,0.2151212349849146,1.8887511347394024,0.27237169610050965,0.27573719606828767,0.5153558254241943,0.3404046182732883,0.21658024150121774,0.11389601892395189,0.008313694738803492,1.378336108289659,0.0068863591702691025,0.009493929964416382,
13.0,0.6378444658748939,0.4255587423744417,31.6784,31.6784,0.005594161094357764,0.5460395744818304,0.6837135114061657,0.259667133925123,0.11468496254799516,0.3385925165567432,2.3069802282036753,0.32392675877267013,0.29352072511327665,0.21418725044990114,0.6591723892584926,0.2151301851288559,1.8888297164495085,0.2729389846297159,0.27501282709081576,0.5179135799407959,0.3425695050024616,0.21814931290266257,0.11389601892395189,0.008750788628543647,0.007110929582268,0.008623990420256656,0.008882997603592057,
14.0,0.637012561283808,0.4422068362849906,34.66848,34.66848,0.8167475197762336,0.5371438451198076,0.6725618629387276,0.2490962407876614,0.11468496254799516,0.3183744924081168,2.203409980099429,0.3154218358159578,0.2893032369956155,0.20350187487048038,0.6578571941664728,0.2146998566318113,1.8850514588676353,0.27268408551068885,0.27327111749222305,0.5012207627296448,0.33170379785685566,0.21128156787664626,0.11389601892395189,0.007427686280720147,1.093102432321757,0.0061496202094842665,0.008976056048017388,
15.0,0.6359321533330963,0.4521783629986943,34.68896,34.68896,0.005594161094357764,0.5503552452225948,0.688154572837935,0.2626531641937022,0.11468496254799516,0.34500494374375795,2.335474602375016,0.32758963438865873,0.29451929941731686,0.2180575930675549,0.6580284063365897,0.21483479272411446,1.886236189410265,0.27266338721011946,0.27356617217614765,0.4996068477630615,0.3339761496550172,0.21268407497330258,0.11389601892395189,0.007655578136559173,0.006941307336091995,0.007638936322182566,0.007672947203729158,
16.0,0.6358351295246194,0.4346511746933654,38.34992,38.34992,1.0,0.5628308878375952,0.6733371859984779,0.24878983514817468,0.11468496254799516,0.34081471495950777,2.1991031231166933,0.31498925714408427,0.2818229521972152,0.21670840122996932,0.6584901257650836,0.21505635002084744,1.888181448768987,0.2725754370337379,0.27582046332046334,0.5139971971511841,0.3399479100178343,0.21753609010496197,0.11389601892395189,0.007216705025216304,1.342679223696905,0.0056511210797905624,0.00860588174963971,0.00477755010576876
17.0,0.6392594099345459,0.5031221544473965,39.67088,39.67088,0.36082339058607577,0.5539327622896895,0.689458282348248,0.2636730847392374,0.11468496254799516,0.3315652927379442,2.3433990019835282,0.32780503873481015,0.297516542173987,0.2101238758452565,0.6583637653354928,0.21466262475212716,1.8847245652673505,0.2719278466741826,0.27475809341775176,0.5096929669380188,0.33980006873915125,0.2171719963872531,0.11389601892395189,0.009122466519389047,0.6701121563091874,0.008418457462734997,0.009127294500138017,
18.0,0.619328328278089,0.45766346414112924,41.65744,41.65744,0.5426336261527032,0.5544572971860181,0.6981087080561212,0.28015763466757904,0.11468496254799516,0.33334453582769286,2.5019010135004125,0.3370729551718028,0.3047964595752355,0.20866732294662427,0.6582975669775534,0.21378247828292435,1.8769969337178187,0.27228888639677024,0.274981765134938,0.515028715133667,0.3433855777219477,0.21969624320569914,0.11389601892395189,0.00948659481808107,1.0284440331161022,0.007006541511800614,0.009498497226058302,
19.0,0.6022651721534276,0.5837561425871889,42.9784,42.9784,0.36082339058607577,0.5877494474013202,0.7113371920691265,0.29833852114222636,0.11468496254799516,0.32515639040281236,2.666082222429783,0.34486473479616736,0.3077691413875612,0.20516652715816946,0.6579893900911237,0.21214177451657196,1.8625916561510243,0.2706518142715341,0.2748652621264086,0.5190116763114929,0.3427012234069758,0.2192815418362222,0.11389601892395189,0.00944852229645658,0.7862064472865313,0.00666836316718845,0.009466448853768556,
20.0,0.6404475073294574,0.5778748093756343,46.62896,46.62896,0.9971592150692714,0.5534112580083513,0.6760096239002205,0.25589926545853015,0.11468496254799516,0.31805297831259705,2.2623360760080335,0.31889995896868545,0.28931067864634513,0.20279229594281645,0.6591081988128319,0.21316209636663005,1.8715500188725465,0.2748782972942375,0.2788033099936346,0.5175021290779114,0.3332523702761417,0.2131756671233322,0.11389601892395189,0.006602015132216233,1.401257929042913,0.006187026419107242,0.0069249302673709875,
21.0,0.640760570515446,0.6435912178958587,46.64944,46.64944,0.005594161094357764,0.5565076028639623,0.6933813903771388,0.2755265477463879,0.11468496254799516,0.31551911263753785,2.4539648330956636,0.3326592117356052,0.2990420959446905,0.19846391592678184,0.659122693429594,0.2131325229196567,1.8712903658376752,0.2740281690140845,0.2792066538707614,0.5192119479179382,0.3341268225893101,0.21370361207049796,0.11389601892395189,0.007267254116312157,0.007888640742748976,0.007466091462569141,0.007028980848870916,
22.0,0.6370892119213967,0.6377316754254687,49.63952,49.63952,0.8167475197762336,0.5653489278041446,0.6792550929933715,0.2594345106243533,0.11468496254799516,0.3379716575089444,2.2970848725766473,0.31829930105293974,0.2888168080562557,0.2134954388555866,0.6585323797690991,0.21283548008467476,1.8686823481230237,0.27463863337713534,0.2773162939297124,0.5256023406982422,0.3449600978026849,0.22014431167955775,0.11389601892395189,0.00674302765275625,1.2812485694885254,0.005797124328353589,0.007778404200780848,
23.0,0.6390024844434523,0.6177300148369946,49.66,49.66,0.005594161094357764,0.5415961138588472,0.6948861106715298,0.2760121757416382,0.11468496254799516,0.32523488263144845,2.461137132960341,0.3342913619709064,0.303486826127492,0.20429372709371738,0.658523871240818,0.21294733568840668,1.8696644334038675,0.27379773302520083,0.27684117125110913,0.5230405926704407,0.34432657537026123,0.21964440894384885,0.11389601892395189,0.006619938025670244,0.007834016345441341,0.006773948037206158,0.0064387777705618605,
24.0,0.639094597631625,0.556447638805514,53.32096,53.32096,1.0,0.5765683983097427,0.6811673679579838,0.25746841633452505,0.11468496254799516,0.3336854996279847,2.2778292734521948,0.3195594244407817,0.2845883650517879,0.21287631438983304,0.6589136948602817,0.21496960432353135,1.8874198269130553,0.275705186533212,0.27785317705120294,0.5171736478805542,0.33221932208824845,0.21424929131961085,0.11389601892395189,0.005988694260773078,1.4051413217639492,0.00489474153568048,0.006904540051004421,0.004156274292695563
25.0,0.6367423888661323,0.6495470384771673,53.34144,53.34144,0.005594161094357764,0.5503526247586192,0.6985824423479294,0.28027307401072044,0.11468496254799516,0.3282095042776095,2.4912114153770535,0.33379462475300564,0.30239625100417145,0.20596807956460342,0.6588596820199839,0.21484488905028098,1.8863248345294001,0.27567445023804127,0.2774580629362067,0.5152656435966492,0.33332030208600144,0.21470790545672525,0.11389601892395189,0.006536518039085874,0.00846404954791069,0.0064274775876279515,0.006663273763961298,
26.0,0.615210134398427,0.6590277640912747,55.328,55.328,0.5426336261527032,0.5446230704251488,0.708183124366312,0.29198439418535044,0.11468496254799516,0.3157661255740289,2.604288024473441,0.34307296585605807,0.31175160957875236,0.19800530045614398,0.6583858774694623,0.21367678354556607,1.8760689404625948,0.2756232686980609,0.27791862851623805,0.5092310309410095,0.3305404213168966,0.21311203383158342,0.11389601892395189,0.007315103433060998,0.9846379542723298,0.0058377062164549,0.007322701839965123,
27.0,0.5957757205356579,0.7200575888303005,55.34848,55.34848,0.005594161094357764,0.5597054379217619,0.7198232734284975,0.3094575332747265,0.11468496254799516,0.31993274731623556,2.7602382701762376,0.35115567808320813,0.31377127953253503,0.20046999826894407,0.6584742381591782,0.21371399784221004,1.8763956796848746,0.27535243292405637,0.2778982887442757,0.512334942817688,0.33301867159728743,0.2148547553162427,0.11389601892395189,0.006171133958958593,0.00830825138837099,0.005079887210056012,0.007423242173413115,
28.0,0.6390886665101165,0.7910658934369647,58.99904,58.99904,0.9971592150692714,0.5476043024702113,0.6836497496397269,0.2634813219937677,0.11468496254799516,0.32585449079713447,2.324259355779409,0.32166334498625027,0.2945105592846037,0.20594066303155467,0.656343479297345,0.2119974195858953,1.8613242287901695,0.27174572364430427,0.2738367658276125,0.5082480311393738,0.32734335068217874,0.20982294783883718,0.11389601892395189,0.005170984186455967,1.312978858477436,0.004365888872748994,0.005816817395012249,
29.0,0.6361746122333928,0.707223464398248,59.01952,59.01952,0.005594161094357764,0.5742740681096081,0.701495343551279,0.2870412835537846,0.11468496254799516,0.3287214830636419,2.547520953540767,0.33699747641822647,0.30450594564140027,0.20695250859339717,0.6564082721166894,0.21186868010882315,1.8601939041459157,0.27182610772721844,0.2742298029882322,0.5182706117630005,0.3297586613919458,0.21148896250789845,0.11389601892395189,0.005393668880067388,0.007923533208668232,0.005594331267859761,0.005161031757848416,
30.0,0.6131795656670609,0.748119304627014,61.00608,61.00608,0.5426336261527032,0.5898285585667746,0.7097811235952071,0.2998969427019951,0.11468496254799516,0.31830506314756063,2.6701354948765355,0.3459621431766782,0.3084969835634186,0.20171675304476683,0.6560086975732221,0.2111614550408009,1.8539845118010043,0.2717208182912154,0.27471520230456986,0.5151954889297485,0.3231171558590143,0.20832880032263243,0.11389601892395189,0.006100830560115634,0.8951785736717284,0.0039754389457083185,0.0061125133033156955,
