round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_ece,fed_brier,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_f1,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6443949418705636,0.33626373820609257,40.27056,40.27056,1.0,1.9787512974610628,0.32196313491576956,0.20410768910238308,0.30106788107229776,0.6703424377202921,0.5335383271087571,0.22587522792101414,0.2842432640367828,0.1148036253776435,0.6638947981468375,0.21921620593596036,1.9247047263551023,0.2775131934611919,0.2792743265530511,0.5134514570236206,0.3229316122748543,0.20512765655542606,0.11389601892395189,0.0030456515937639897,0.36129062885993335,0.0034481527356534434,0.0027639465484571423,0.0025261973212219796
12.0,0.647136683083744,0.3522420353691613,43.93152,43.93152,1.0,1.981979935376614,0.32931576271645524,0.2107000837731091,0.3003058161223021,0.6714151941220685,0.5499624344449929,0.2262847577177276,0.28264585763234606,0.1148036253776435,0.6643332006939948,0.21929009871254623,1.9253535003621658,0.2762160840870203,0.28032853103541133,0.5246490836143494,0.3306964786788035,0.212191708223831,0.11389601892395189,0.0030504782252297994,0.3647657463188807,0.0033992930208052103,0.0027973031392889867,0.0031914358044040116
13.0,0.6438911635274538,0.3944116346417595,47.59248,47.59248,1.0,2.0093311947005046,0.3278019834358586,0.20771928124181202,0.3034043766234458,0.6723473193973325,0.5154139884360217,0.22935824920848824,0.282707782388595,0.1148036253776435,0.6645401286037697,0.21919102770197524,1.9244836630183588,0.2762063227953411,0.2801845680594719,0.5142896771430969,0.32887054767109586,0.20895389410435883,0.11389601892395189,0.003129033197437508,0.3775396760320291,0.003520111866832094,0.0028430654073186568,0.0033302861916993712
14.0,0.6480809935365169,0.3303680749075405,51.25344,51.25344,1.0,2.038727935836524,0.3347263259753165,0.21143776270747353,0.30272265983180446,0.6739949687121138,0.5166777283148343,0.23278487126509867,0.28546686010938943,0.1148036253776435,0.665134934967988,0.21962942464060128,1.9283327610181646,0.2755923625488843,0.28202792956891315,0.5474544167518616,0.33562697861297697,0.21263211446069147,0.11389601892395189,0.0029458170270625613,0.35751258789423446,0.003284987078313847,0.002697499808022379,0.0029560321156762866
15.0,0.645201297533369,0.33638497396127354,54.9144,54.9144,1.0,2.040220034916433,0.34761425160708176,0.22130166796183456,0.3065538606238736,0.6751700085285743,0.5497642977956649,0.23313730841598465,0.2815053906970434,0.1148036253776435,0.6646724249240344,0.2196645691649094,1.9286413277673817,0.27072511946810723,0.284,0.5762484073638916,0.34826940451149396,0.22273852216406967,0.11389601892395189,0.002892477361371505,0.3541057763777644,0.0031972989927560305,0.0026650665478378088,0.003081184680328506
16.0,0.6472581809210116,0.392241473838236,58.57536,58.57536,1.0,2.046783471724506,0.344370807146828,0.21823173868705603,0.3058941572321355,0.6758675177597057,0.5378539355646179,0.23395968965841796,0.2840222556028485,0.1148036253776435,0.6647820694839048,0.2198439925976185,1.9302166544065762,0.27186147186147186,0.2831774219121611,0.5653992891311646,0.3451321734486435,0.21963410654546223,0.11389601892395189,0.003018776543974401,0.3728910091904254,0.0034123197430540064,0.0027334986585935187,0.002350547349129962
17.0,0.6428607468864971,0.36309105135293107,62.23632,62.23632,1.0,2.0432183391252474,0.3480445041451584,0.22078519180507966,0.3054160694262019,0.6761924137160598,0.5333461641256152,0.2337312587109819,0.283017181814536,0.1148036253776435,0.6643102100984033,0.2192642346459896,1.9251264154578733,0.27326392615648815,0.2829869130100077,0.5658616423606873,0.3489370647287433,0.2222713503941536,0.11389601892395189,0.003121317154631652,0.388661647661138,0.0034107603889576535,0.002906093666197444,0.0029242880140115807
18.0,0.645556026413071,0.38209881547068525,65.89728,65.89728,1.0,2.0566790999979125,0.32368245912895866,0.206444197752672,0.3071741301130594,0.6768703451826393,0.5233254187476838,0.2351161406415825,0.28776388737284736,0.1148036253776435,0.6652443536377272,0.22016229467794354,1.9330113269801414,0.2763203917453655,0.28498871331828446,0.5393709540367126,0.324484562325162,0.20808313385582616,0.11389601892395189,0.0030979067007758663,0.38893175771227106,0.0034621509634472085,0.0028289018194462097,0.002514985529219141
19.0,0.644164162954907,0.44278500009980204,69.55824,69.55824,1.0,2.073471541978723,0.3338069546571956,0.21128549340951414,0.30613534548878063,0.6775098731103303,0.5221903194079677,0.23710253163994,0.2885660771262676,0.1148036253776435,0.6648060012883769,0.21928263224701014,1.92528794525667,0.2752441125789776,0.2827606290040769,0.5459328293800354,0.3345113388889899,0.21292612956145504,0.11389601892395189,0.003313137513973257,0.42025216362890205,0.00366479255076255,0.003054588087483688,0.002451633594919256
20.0,0.6425994752813802,0.43572689429823785,73.2192,73.2192,1.0,2.077560759901304,0.34808264145757056,0.22060854166659746,0.3087929088757657,0.6785660605274783,0.5448572218553177,0.23733521640926614,0.284836958339268,0.1148036253776435,0.6654349045129786,0.2210984334914281,1.941230567848513,0.27548092252099055,0.28505348366579936,0.556259274482727,0.34883873739131077,0.22216921739942186,0.11389601892395189,0.0032754759412792897,0.4186680469720159,0.0036350110168990334,0.0030089240116321797,0.0023777325484388876
21.0,0.6455938700242769,0.3624363522176292,76.88016,76.88016,1.0,2.0650554809460364,0.34164050881341024,0.2173536221375942,0.3067103924745521,0.6786158080356781,0.547363062590841,0.23602487862525035,0.2856828617290521,0.1148036253776435,0.6650353174200595,0.22158159824044216,1.945472724453975,0.27675723242767575,0.28430160692212614,0.5492798686027527,0.3422781951113133,0.21924575061150917,0.11389601892395189,0.00317079067781197,0.40931964958872413,0.0033440446771616453,0.003042999290203836,0.0025841611701510865
22.0,0.6424625545437793,0.39859520258438497,80.54112,80.54112,1.0,2.1085948537049037,0.33683727652656076,0.2134514106098231,0.310610403924266,0.6807554831985864,0.5512446187744208,0.2408455367263846,0.28760796343318473,0.1148036253776435,0.665730406453149,0.22151925346559548,1.944925341187767,0.27571508693213687,0.2840150855816652,0.5563557147979736,0.3372319927392689,0.21528120186171434,0.11389601892395189,0.003314673487197762,0.43195903937703406,0.0034290005246415413,0.003233676851719871,0.0026037547757978736
23.0,0.6412576935903533,0.4535310928973061,84.20208,84.20208,1.0,2.124583175749094,0.33685800957062995,0.21293939495719225,0.3128287392230223,0.682153704789744,0.5590520302679725,0.2424285656188697,0.29147984084929096,0.1148036253776435,0.6659351758572242,0.221693808214363,1.9464579210831543,0.2805153707052441,0.2831685585255706,0.518632173538208,0.33737104919207667,0.21489659819987728,0.11389601892395189,0.0033638383706606017,0.4424772926031437,0.003525676797434352,0.003243807569277096,0.002701367212683127
24.0,0.6431819687871027,0.44297676590956075,87.86304,87.86304,1.0,2.130814040317808,0.32288866339688455,0.2050543989971468,0.31116704732497863,0.6823272607281702,0.5127207557731734,0.24323986868047956,0.297902331451597,0.1148036253776435,0.6661091865550796,0.22128217203800116,1.9428437809204793,0.27928475854518914,0.28322875071306336,0.5394365787506104,0.32351633181893064,0.20716354363308104,0.11389601892395189,0.0032951356071295465,0.43715929746576876,0.0034123102442521086,0.003209860878816555,0.002606822421116877
25.0,0.6451749277532896,0.5026230886800972,91.524,91.524,1.0,2.130733928398608,0.3411665855806549,0.21772185721818757,0.31582722609757713,0.6838229008592093,0.5620679389741665,0.24344470697809042,0.2887213429611955,0.1148036253776435,0.6660282174924398,0.2202244666015232,1.9335571926229185,0.2749440954104994,0.28316326530612246,0.5878709554672241,0.3418125356246843,0.2200869883060489,0.11389601892395189,0.00331120684214303,0.4439265065248037,0.0034808510088071855,0.0031867101858094335,0.0023424688889057453
26.0,0.6393908584611878,0.5178852896582085,95.18496,95.18496,1.0,2.1400887926516523,0.3474790659322322,0.22201535911772485,0.3135693013723124,0.6851053648547344,0.566528212123392,0.24485291485263064,0.28744864111518276,0.1148036253776435,0.6666573089588177,0.22154935197304,1.945189604221092,0.2725211296639868,0.2866242038216561,0.5872778296470642,0.3479323128293724,0.22437796527581136,0.11389601892395189,0.003376910855998891,0.45778397893991496,0.0034668560695249643,0.003312857619827516,0.0026554046988913308
27.0,0.6446868340459417,0.5418148668538746,98.84592,98.84592,1.0,2.1641306914151905,0.34390508235701384,0.21717154067936714,0.31362806724837206,0.6865739962205953,0.5409885443022995,0.24721016964326264,0.29565818114147874,0.1148036253776435,0.6660609213636797,0.21989083079210303,1.9306278908565158,0.2771043389600091,0.28327699983904714,0.5750631093978882,0.3444131106240226,0.21947794840586535,0.11389601892395189,0.0034355759811497922,0.47045163260463596,0.0034737393159518675,0.0034166329405284027,0.002434122446731551
28.0,0.6437238549245787,0.44589212596303585,102.50688,102.50688,1.0,2.1574645116530484,0.3320842346496324,0.21009166040492877,0.3126944579643404,0.6861805707294276,0.5442986626924584,0.24640183947129235,0.2961269150124579,0.1148036253776435,0.6655445867212042,0.22113547214465662,1.941555764932471,0.27744186046511626,0.2844432814339919,0.525668740272522,0.33264743405053443,0.21242220791175,0.11389601892395189,0.0034725141164737654,0.4797206668590661,0.00342207107237082,0.0035246658980314866,0.002611926666768782
29.0,0.6433434269287587,0.48807593590788445,106.16784,106.16784,1.0,2.157404150912255,0.31357869523280074,0.1997901517727822,0.31400490761018784,0.6860500071270609,0.5347851094361188,0.24681166958790113,0.2940351721066709,0.1148036253776435,0.6656175617830843,0.22253106417921084,1.9538089766578612,0.28116646415552854,0.2855506229414292,0.5358697772026062,0.31393281017052843,0.20225679077453834,0.11389601892395189,0.0034581100597224916,0.4831598000109807,0.0034559689022983955,0.003468677004487855,0.002754284169433636
30.0,0.645155103993998,0.5983049504182547,109.8288,109.8288,1.0,2.176266451553334,0.32206709184876126,0.20407833910653664,0.3153712447806565,0.6869711858822525,0.5417540812037682,0.24881179599936187,0.29660660417183954,0.1148036253776435,0.6650773706328472,0.2223747967249508,1.95243695807691,0.27876366200493596,0.28701984863629876,0.5399129986763,0.32260228951437575,0.20664759943536304,0.11389601892395189,0.003492497773699449,0.49361656173641677,0.003514066516248887,0.0034851364406742013,0.002647928521422019
31.0,0.6396994752548186,0.5148193416441605,113.48976,113.48976,1.0,2.2009314176997794,0.30979769048679623,0.19736027031302417,0.3162400102332074,0.6881777608729034,0.5301187240630238,0.25131875038346896,0.2997716144214889,0.1148036253776435,0.6642747202488767,0.22055519443995944,1.9364609625839833,0.2802626688142733,0.28500438468284134,0.5398448705673218,0.3104195895206977,0.2004862613840442,0.11389601892395189,0.0034132250441141583,0.48756764887002646,0.003370172419094962,0.0034617679869715524,0.00247009711014845
