round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_brier,fed_prevalence,fed_auroc,fed_auprc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.7377652695852583,20.857221172513306,32.4352,32.4352,0.4559241291901578,0.347355158740627,0.5031484008792214,0.24481182672991667,1.7994275665800132,0.21705619561945783,0.109663204280768,0.6358136725466628,0.19641927756220967,0.2696381426310139,0.40404578762843923,0.08976906839001819,0.7881668669205795,0.17660044150110377,0.20452799493876814,5.742239409300964e-06,0.5864959123372032,0.5016034180347566,0.11389601892395189,0.0009079358162106434,0.6020161770284176,0.0009079358162106434,
16.0,0.7566978500435952,29.027580825251572,34.41664,34.41664,0.5412350858791136,0.3627582954620396,0.5062489839087202,0.2587338502886348,1.8312532892909574,0.22785188574253318,0.109663204280768,0.6443005488051431,0.20098440702271173,0.27290945368886793,0.40026700966493517,0.08893911036753717,0.7808798868283676,0.17712622851809148,0.2045002711006687,1.7505279174656607e-05,0.5921434906845164,0.5096131284274719,0.11389601892395189,0.00043691025050431157,1.4351380411535501,,0.00043691025050431157
17.0,0.7575226374581074,31.40215299827462,36.39808,36.39808,0.5412350858791136,0.3541580095989199,0.5022614562533958,0.26031772561606203,1.8593101746590672,0.22111730370823604,0.109663204280768,0.6546469379906587,0.2031685279169968,0.2792956895331067,0.40922932612104634,0.0903778253390286,0.7935117152722755,0.18679187506379505,0.2045002711006687,8.863015682436526e-05,0.6274065425818691,0.5416206718843432,0.11389601892395189,0.00033783031199678264,1.196527325315401,,0.00033783031199678264
18.0,0.7249666328773873,32.045552844651716,38.37952,38.37952,0.5412350858791136,0.35171551441983084,0.49407360709647846,0.2547965464734658,1.924669637692436,0.21885090949269947,0.109663204280768,0.6574164914070625,0.2077300239940338,0.2802161202333707,0.4072763176936879,0.09033658621314167,0.7931496382982376,0.1798439460904676,0.20453723788864786,0.003250082256272435,0.5977469359817382,0.5196021933904406,0.11389601892395189,0.00027015971532724184,1.0215973798185587,,0.00027015971532724184
19.0,0.7126642228386139,32.041742646198436,40.36096,40.36096,0.5412350858791136,0.34806952405958985,0.509702265236338,0.26340308661886525,1.9738754311471716,0.21591296929085868,0.109663204280768,0.6646324881488139,0.2128546062542228,0.2826733867976865,0.42961377706923015,0.09409567553145151,0.8261542099577596,0.18866739915240935,0.20453723788864786,0.0119669483974576,0.6131198172913077,0.5285791717793544,0.11389601892395189,0.0002594952486103426,1.048578429268673,,0.0002594952486103426
20.0,0.7106303419126114,36.53761307226664,44.01152,44.01152,0.9971592150692714,0.3735864069888548,0.5089048963749526,0.23580457017429568,1.680632425109886,0.23598765235125077,0.109663204280768,0.6256963128023495,0.18132319927982365,0.2574997290771835,0.4436793531751544,0.09699816595668462,0.851637896329371,0.19305263157894736,0.2045002711006687,0.01940574124455452,0.6138048160060354,0.5259306311348627,0.11389601892395189,0.0003410133198214325,1.7523273676633835,0.0006087529220405086,0.0002862367696327249
21.0,0.7337418196079435,38.75451427394559,45.99296,45.99296,0.5412350858791136,0.36830422670108776,0.5090749686755659,0.25982510995794567,1.887122126867775,0.23091110059690376,0.109663204280768,0.6414724363967961,0.2015145790453794,0.2776755041750966,0.4517277056103428,0.10086020216669161,0.8855463353292071,0.18501574475669894,0.2045002711006687,0.0006086917710490525,0.5307666110338362,0.4286258055110477,0.11389601892395189,0.0003001975569229831,1.350204121787101,,0.0003001975569229831
22.0,0.7101600290159793,39.849439064174945,47.9744,47.9744,0.5412350858791136,0.3565957888374548,0.49342468103448434,0.24391027622142353,1.8988918910340162,0.22223994165437605,0.109663204280768,0.6497444724569367,0.20293468932183606,0.28136330114727387,0.49594551058172276,0.11214654196738554,0.9846397005523566,0.20206090610788094,0.2045002711006687,0.007094899658113718,0.535673925647733,0.4212168543877853,0.11389601892395189,0.00023415480406525796,1.1126134821679443,,0.00023415480406525796
23.0,0.7041709244640924,36.30223070834111,49.95584,49.95584,0.5412350858791136,0.3480883532595083,0.5117811489863181,0.2656648932416916,1.9866154786660444,0.2160488810990053,0.109663204280768,0.6618960597955309,0.211989483562986,0.2863637314497413,0.4719762710950636,0.10370461313450982,0.9105200876577886,0.19532600814323164,0.20450951154489178,0.00019866343063768,0.5452202762086447,0.4351098307987809,0.11389601892395189,0.00020212093638548632,1.0114789395593107,,0.00020212093638548632
24.0,0.6980086230764245,36.606311675805514,51.93728,51.93728,0.5412350858791136,0.35724270106239037,0.5095962278415919,0.27261192985959276,2.022542801612789,0.2222011537334094,0.109663204280768,0.669192331014805,0.21686658670792794,0.2920631189697618,0.4288487750404858,0.09463390942482729,0.8308798702438769,0.18014955812372535,0.20452799493876814,0.012733097188174725,0.561894331616963,0.4680784358428785,0.11389601892395189,0.00019775591142487197,1.0408531811553985,,0.00019775591142487197
25.0,0.7146295138908074,48.93864089413234,53.6064,53.6064,0.4559241291901578,0.3609649410887,0.49357032257316613,0.22486857471133773,1.7847227941196557,0.22610526870724384,0.109663204280768,0.6224858751263067,0.1922531385256111,0.25905583269270305,0.4639663952789163,0.10539407981763539,0.9253535006171443,0.191307229248357,0.2045002711006687,0.0044278670102357864,0.561229727358836,0.4596146739509326,0.11389601892395189,0.00048412757176137083,0.5266728200949728,0.00048412757176137083,
26.0,0.7111346873324124,51.0078921412398,55.58784,55.58784,0.5412350858791136,0.3446258635642133,0.48683171810914705,0.21602233477587934,1.8403493032040832,0.21427049696999306,0.109663204280768,0.6407931551518433,0.19883081636722852,0.26889104983594403,0.4859173691891584,0.11193789814937884,0.982807820737962,0.19750053407391582,0.20454648167397296,0.015212533995509148,0.5893808119358755,0.4888807387744447,0.11389601892395189,0.000227509174755766,1.2545345227699727,,0.000227509174755766
