round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_ece,fed_auprc,fed_f1,fed_brier,fed_prevalence,fed_auprc_lift,fed_auroc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6432196551901296,0.4530220057009872,40.27056,40.27056,1.0,0.3180164340437347,0.35459894421233723,0.2517547598183178,0.28227778561750116,0.22379051511079673,0.11423716012084593,2.2112280487535902,0.6837294500267711,0.5704918022118395,0.673325334647445,0.22784978104205122,2.0005069816723444,0.27698446031079377,0.2896269478986306,0.5719926357269287,0.3531432890470246,0.22394880087358657,0.11389601892395189,0.007258194803442616,1.446413110587855,0.006342737258673736,0.00810560517045663,0.005043061128526606
12.0,0.6406055875846841,0.43277396643586136,43.93152,43.93152,1.0,0.32224847953185826,0.35110494835360373,0.25426640953327145,0.2809896903452528,0.2222916510695504,0.11423716012084593,2.2347370389006382,0.6847322076462844,0.580705377654982,0.6744399393028198,0.23028927638480784,2.021925599862902,0.27800829875518673,0.29039886489043043,0.5776742100715637,0.34984414857613066,0.22249717026934973,0.11389601892395189,0.006861623715819941,1.4586980506737746,0.005817771836562232,0.007861198741082445,0.0038361827210081113
13.0,0.6478117962590088,0.5138328300696615,47.59248,47.59248,1.0,0.32084107306083104,0.3145890983092634,0.25815658495224886,0.2919465637847514,0.19927219243501276,0.11423716012084593,2.2708865405847827,0.6861463708669211,0.5590892984116337,0.6748469933195252,0.2289717817008111,2.010358078043931,0.2875688916105328,0.2912128897508578,0.5422625541687012,0.3130237359850377,0.19979421684754764,0.11389601892395189,0.006611501880559422,1.4924953439658566,0.005076035271182067,0.008115914248893514,0.004620021467443196
14.0,0.644769449737521,0.6678071280816377,51.25344,51.25344,1.0,0.3183723669447291,0.3384247880301477,0.2610685591861422,0.2937484280933151,0.21253006950394404,0.11423716012084593,2.294529079477755,0.6880554429882064,0.5517686342282176,0.6731939544371573,0.22827284456707936,2.004221453249359,0.2830188679245283,0.29048656499636893,0.5803845524787903,0.3371855609564796,0.21338428709694002,0.11389601892395189,0.006638990364541348,1.5858967322237731,0.005092598122536186,0.008177025076706873,0.005843105866405793
15.0,0.6441577991474594,0.6040381205197708,54.9144,54.9144,1.0,0.32415427771139543,0.3431354500817591,0.2627411129667366,0.29378622927729225,0.21658953653786536,0.11423716012084593,2.3053679514918137,0.6912823871637132,0.5810931946103126,0.6727996757623254,0.22725540158361074,1.9952883667983923,0.2784948588930212,0.2892517495065494,0.5954669117927551,0.3420546850296157,0.21801234155829205,0.11389601892395189,0.005977147781282112,1.5115753666214005,0.00434921663750993,0.0076345544549186175,0.005076584636127146
16.0,0.6405233874297813,0.6455400407910528,58.57536,58.57536,1.0,0.32461090678472565,0.3118562716507697,0.2663358880363105,0.29849754162905967,0.19532614311936505,0.11423716012084593,2.337485764149423,0.6919991271687013,0.5431716094658243,0.6729002094202309,0.22901837173510753,2.010767135662771,0.28622862286228623,0.29005676616004394,0.5655730366706848,0.3105117741801028,0.19681505242796882,0.11389601892395189,0.0059616712300540955,1.5895781624512892,0.004235911377015018,0.007741837502833393,0.005381845155053151
17.0,0.6454032240716698,0.6930527320824227,62.23632,62.23632,1.0,0.3278882347896598,0.3347384496751426,0.2690228965842503,0.29463686775726994,0.21016075601727283,0.11423716012084593,2.357266997740012,0.6948528793970092,0.5637305284824977,0.6719068701170396,0.22687815107441664,1.9919761306661883,0.27747587889541975,0.2889933628318584,0.5391918420791626,0.3336511430309903,0.21204810884578237,0.11389601892395189,0.005563970373040986,1.5599525509096566,0.003811677017093378,0.007406653271167533,0.0045787418825927375
18.0,0.6426873736789416,0.6785595894318565,65.89728,65.89728,1.0,0.3297382003497612,0.33416238977467827,0.2711575253151772,0.29126910673066986,0.21109978488137335,0.11423716012084593,2.377091618276042,0.6958619671976285,0.5804325864075385,0.6714526050628806,0.2271873464254639,1.9946908467200803,0.2787387781913729,0.29088867050400113,0.5505354404449463,0.3326177249063399,0.21309402197032598,0.11389601892395189,0.0054868964682190675,1.6187717011707718,0.003734395650377669,0.0073532658610746884,0.0053763465741735435
19.0,0.6448452309234949,0.8784958720120706,69.55824,69.55824,1.0,0.33236697447069585,0.3230118744967698,0.2748678491144341,0.30404798377469905,0.20159202767826134,0.11423716012084593,2.408139639531757,0.6979750972782142,0.5392888529546942,0.6711992065333048,0.22763096155327947,1.9985857600981483,0.2836629298400302,0.2902892561983471,0.5597596764564514,0.3216873271743,0.20393733842747205,0.11389601892395189,0.005345871610689611,1.6645267241892725,0.0035071532345735744,0.007330138021095466,0.0046527787133245155
20.0,0.6500209876812426,0.890308978726732,73.2192,73.2192,1.0,0.3341280870928884,0.32064340796958457,0.27712215822718933,0.301373189362904,0.20144431168532595,0.11423716012084593,2.4275808532432688,0.6990324499414686,0.5535644390127901,0.6707064146622974,0.2260518999822425,1.9847216971927426,0.2848678753406802,0.28805725361562545,0.5431524515151978,0.3195201686272081,0.20415695562832312,0.11389601892395189,0.005325563384188053,1.7376062550270035,0.003314564702481959,0.007516184440929839,0.004938540105259037
