round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_auroc,fed_ece,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
19.0,9.289345027638248,1114.5309478572208,69.55824,69.55824,1.0,2.162237749860809,0.11392245720040284,0.6790727904211187,0.37574867147498375,0.288740021770189,0.5850722095577379,0.32316042615643503,0.23795342239766915,0.24606465786986664,0.6653366172069348,0.2206835577694083,1.9375879846753747,0.2771230311708338,0.28404423380726695,0.6072079539299011,0.37614760345046866,0.23964514711265875,0.11389601892395189,0.005224307098508537,1.2899256646069261,0.003733295062066373,0.00665301979762929,0.0035693285538146366
20.0,9.319255946278467,928.9452748028356,73.2192,73.2192,1.0,2.164140368604946,0.11392245720040284,0.6786551323733555,0.37491810282791727,0.29390613951435546,0.5831269622205457,0.32276826222544086,0.23723894272252663,0.24651719141485762,0.6639399008763984,0.2219048315600055,1.9483106930029825,0.2752770866319837,0.284063981042654,0.596286952495575,0.375351922145109,0.23906737368932143,0.11389601892395189,0.0059867401054737425,1.5407658170406648,0.0037395027225473527,0.008150949749979222,0.0034088515222869815
21.0,9.294786925038448,908.7667966813588,76.88016,76.88016,1.0,2.1341521137879185,0.11392245720040284,0.6763172617162321,0.3751272290029676,0.28979840003797086,0.5918334290790415,0.3227687702674997,0.23760141469964258,0.2430084373211988,0.6628665086205447,0.22052013229584758,1.936153119127793,0.2758242961989265,0.28051874823794753,0.5975911021232605,0.37553699788050554,0.2396078789577705,0.11389601892395189,0.005063480750396311,1.3612435476534301,0.0036799116479894244,0.006394999260616018,0.002982682091855214
22.0,9.280210521011988,1233.7974283774656,80.54112,80.54112,1.0,2.178199143583066,0.11392245720040284,0.680016433737926,0.36906974910301676,0.29766202124488783,0.5650001629785618,0.3235712129091957,0.23255842539550478,0.24723604787143053,0.664107536452769,0.22035108778897528,1.9346689188153556,0.2770076481835564,0.28383128295254834,0.5865467190742493,0.36943332468073203,0.23463462233968702,0.11389601892395189,0.004956741796990358,1.3824167703160128,0.003522147092788735,0.006346261014664656,0.003057707396996491
23.0,9.36722068338889,855.7252802181292,84.20208,84.20208,1.0,2.1929683445851196,0.11392245720040284,0.6791736407515994,0.3745117200649187,0.2945197166257023,0.577339953027313,0.32609045459554853,0.23703603115230185,0.24834356889666245,0.6628989740522013,0.2117263634984582,1.8589443731112973,0.27664242004387485,0.2831858407079646,0.6004045009613037,0.3749204401977349,0.239010656233782,0.11389601892395189,0.004509137356848516,1.3043983606094116,0.003122887468625485,0.005869224777819383,0.002977242137284691
24.0,9.373996998958813,1012.8018595220232,87.86304,87.86304,1.0,2.188380945948044,0.11392245720040284,0.6813767702865446,0.3802795984800098,0.2937918582712446,0.6005693171548488,0.32620634746522076,0.24127267927588847,0.24892690773341025,0.661389576194473,0.2162355700519579,1.8985349276899475,0.27567149331270036,0.28268063982349695,0.6003184914588928,0.38080175181892884,0.24353612609405242,0.11389601892395189,0.0041674245406886174,1.2513942061132184,0.002933094295323884,0.00538331383703022,0.0033631053902406245
25.0,9.440275136442608,985.5662096935572,91.524,91.524,1.0,2.184723412347822,0.11392245720040284,0.6836237350299255,0.3753100936671519,0.2965085153274284,0.5890599066262159,0.32525860305366877,0.23738232402622098,0.24831221646176646,0.6577048940201309,0.21104894267420982,1.8529966601828876,0.27296118134019465,0.2775379301837918,0.5535622239112854,0.37576096678357324,0.23985749656170155,0.11389601892395189,0.004373547555342926,1.3572652849525184,0.00280766701813057,0.005933745506044736,0.0026643269534074743
26.0,9.3788520718198,1206.5317334470176,95.18496,95.18496,1.0,2.213242929351124,0.11392245720040284,0.6845391226714543,0.3801242499935843,0.2930525140141284,0.5949323731422994,0.3305177596962265,0.24113248108995503,0.25199535199746614,0.6588961632761982,0.21722440905329393,1.9072168729473695,0.27384020618556704,0.27804696235557214,0.5755301117897034,0.38084892454694036,0.24375830275698296,0.11389601892395189,0.004161402069977441,1.335926854745594,0.002717704589592432,0.005601338853317292,0.0028969728896474016
27.0,9.389157860028467,946.7194638326577,98.84592,98.84592,1.0,2.2375379850304316,0.11392245720040284,0.6842052590907512,0.379352628715779,0.2936209722884111,0.5925471909655575,0.3304784143640429,0.2407273385128579,0.2542527306840993,0.6555739469165219,0.21612225398429197,1.8975400196261145,0.2731749090130593,0.27754910031753494,0.5558136105537415,0.37980603136343843,0.24300632797903696,0.11389601892395189,0.004137872819905957,1.3694925675545164,0.0026522891177676693,0.005629154080505901,0.0027361887896520352
28.0,9.242068616036534,946.988452156168,102.50688,102.50688,1.0,2.2179780999457335,0.11392245720040284,0.6835107595812038,0.3816589117294022,0.2930094630390476,0.5959572857574063,0.335507351384495,0.24221214555021672,0.2525623150598584,0.653394044401667,0.21776940719671917,1.9120019229304521,0.27337817313950963,0.27822286962855064,0.5650741457939148,0.3820787220630836,0.24487445310947778,0.11389601892395189,0.00417292169678013,1.4295401812546515,0.002552925951797169,0.005803510707703666,0.002890426587131458
