round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_ece,fed_auprc,fed_brier,fed_auroc,fed_prevalence,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6374849881784839,0.39155358178924227,40.27056,40.27056,1.0,0.31159022048594803,0.29188893155591505,0.5519561989074524,0.34116461371222345,0.24952179758075796,0.21447338485144457,0.6806814543391368,0.11498520989363713,2.1766016005830555,0.6633083873658345,0.22453390422538919,1.9713937883580457,0.27730603698964756,0.2854090354090354,0.5378885865211487,0.34149374245601327,0.21591406517606068,0.11389601892395189,0.007442375839765904,1.5175881919494714,0.005744223621069733,0.00906494333389089,0.005773955975598719
12.0,0.6326379883336344,0.44336746300557445,43.93152,43.93152,1.0,0.31326789636277486,0.29765703512440234,0.5596882214262004,0.32965086488524115,0.24939047962381347,0.20898736602346968,0.682959773062269,0.11498520989363713,2.172661664274197,0.6648572908976468,0.22617119474128466,1.9857690977969884,0.2760700614777868,0.2848,0.5260180234909058,0.32978757758834804,0.21077614028715638,0.11389601892395189,0.006756134012519761,1.4687060580326943,0.005234749297682717,0.008248635073203251,0.004416598407768576
13.0,0.6474756580090754,0.7609446412345461,47.59248,47.59248,1.0,0.3120526178583593,0.2923126826972171,0.5569422642871353,0.3410234183782981,0.25274346847149026,0.2161585497461033,0.6844885176900495,0.11498520989363713,2.1989806981701725,0.662096072679196,0.22566294125216915,1.9813066636055452,0.27323880261084854,0.2850991849915424,0.5595937967300415,0.3413813003751873,0.21830205771860892,0.11389601892395189,0.006318604866143627,1.4499992876226315,0.004962297638713835,0.007681993278713251,0.004560264351272617
14.0,0.6412573203413733,0.7021155719844813,51.25344,51.25344,1.0,0.31809088196611995,0.2943183859486485,0.5669678305636511,0.3316673516980524,0.25832602559543644,0.20965049051526663,0.6869979527570048,0.11498520989363713,2.251227947526716,0.6623784227939407,0.22313706685306856,1.9591296426441092,0.27550327980095,0.28263380824027723,0.5219073295593262,0.331894764609849,0.21204140488335735,0.11389601892395189,0.006511531273709149,1.5793623840927467,0.004687445162950865,0.008383820242013368,0.005287718967262005
15.0,0.6371713162837691,0.6074588659734784,54.9144,54.9144,1.0,0.3204139216241365,0.29793682345536904,0.5541441248646242,0.32622717108782184,0.2592392355833573,0.20568630965586093,0.6890421465639641,0.11498520989363713,2.2594964437702982,0.6626859847572352,0.22330256199074028,1.9605826797145465,0.2766931790792962,0.2821316614420063,0.5403869152069092,0.3264360764503143,0.20849675419882763,0.11389601892395189,0.006258353796151546,1.6070643820530677,0.004446989238990833,0.008162607643984946,0.0035554403126927332
16.0,0.6416238274102416,0.8737688348852126,58.57536,58.57536,1.0,0.32208019988359654,0.29373542611746967,0.5659554848602536,0.34778186926989013,0.26334514195367115,0.21910153436147095,0.6917819801646948,0.11498520989363713,2.294958367445061,0.6620964240638447,0.2242730605241331,1.969103596798056,0.27406128614587827,0.28127094784823703,0.5334435105323792,0.3484628833123508,0.22209081027868088,0.11389601892395189,0.006643490192216391,1.8026447398096934,0.004299697914098556,0.009145670326754887,0.0033945288580554222
17.0,0.634538336392049,0.6061568765181665,62.23632,62.23632,1.0,0.3230933825084052,0.2953082625837124,0.5501457571690737,0.34142713554180537,0.2644700601109076,0.21551564510110255,0.693020399903022,0.11498520989363713,2.3020920879830724,0.6616860318929758,0.22483576321466983,1.9740440916094895,0.27520139342477684,0.28186587267829294,0.5434350967407227,0.34209176281939474,0.21889175145886902,0.11389601892395189,0.005724035097515034,1.643955368510433,0.00376490611140976,0.007831995004884434,0.004232933655653171
18.0,0.6377266404627386,0.9430983667007885,65.89728,65.89728,1.0,0.3229445775968575,0.2925134529693923,0.5676456738132777,0.34364110440511914,0.2668761083550175,0.21745866982333603,0.6961267871823141,0.11498520989363713,2.322404026234965,0.6607733855644861,0.2227191124848044,1.9554600291474054,0.27176616915422885,0.28278338177466233,0.5839932560920715,0.34422567265540494,0.2214169645494592,0.11389601892395189,0.005693948723342519,1.7243899952736683,0.0036557059946266774,0.007914794254505494,0.004177403006848416
19.0,0.6381022219890118,1.0896757380226292,69.55824,69.55824,1.0,0.32776427060384206,0.3007650604010696,0.5475385278581529,0.3076371255099391,0.2705738698498866,0.19482189051669158,0.6975903490819115,0.11498520989363713,2.3542793996186084,0.6610931957926809,0.22252438714501066,1.953750352710657,0.27858880778588807,0.280189204229271,0.5224945545196533,0.3081779986455144,0.19907222830233862,0.11389601892395189,0.005597611537608926,1.7830513412372966,0.003440938749820906,0.007971077864074494,0.005017635017352223
20.0,0.6419204371136865,1.1747997626158664,73.2192,73.2192,1.0,0.33184488891909536,0.297845373872626,0.5637494238007099,0.3378705984707486,0.2747710918793528,0.21212694781105887,0.7005099987819037,0.11498520989363713,2.390422756942623,0.6584050028339173,0.22185647922497112,1.947886162492687,0.27090771394568863,0.2811087677011148,0.5472460389137268,0.338824035372868,0.21653066940016708,0.11389601892395189,0.005545597018179601,1.8540419397286314,0.0032920455995509024,0.00805938195995218,0.0038476396980313935
21.0,0.6408467707141916,1.0900615948111783,76.88016,76.88016,1.0,0.3339227647809598,0.29654628479804845,0.5831928185668914,0.3384534710382474,0.2741314934743137,0.21453454871592337,0.701347750097252,0.11498520989363713,2.383696688243212,0.6597371898835958,0.22341529040772432,1.9615724282417473,0.2713870431893688,0.2808354131091554,0.5400696992874146,0.3388041729887749,0.21917639244708156,0.11389601892395189,0.005050032023186399,1.7719768184597342,0.0029465527484211964,0.007421461582867674,0.003680275003397758
22.0,0.6460134340685793,1.2523976289746828,80.54112,80.54112,1.0,0.3416432255974734,0.2957499503360433,0.5743125914473225,0.3452817366311178,0.2773200515594268,0.21741516082700021,0.7049511001255088,0.11498520989363713,2.4111700450644675,0.6575941953063142,0.2209358444659687,1.9398030462635139,0.27060876706703624,0.27840084443858026,0.5389537811279297,0.3459120507565467,0.22255137861252283,0.11389601892395189,0.004775402801911619,1.7554743626915297,0.0028230644795246506,0.00698515498002724,0.003991992327264009
23.0,0.6358730724018523,1.0418867893279162,84.20208,84.20208,1.0,0.340462149668313,0.30480069133631726,0.5751511204163179,0.33106448759562057,0.27923113985248077,0.20920585509891423,0.7054865486964,0.11498520989363713,2.4259370177785917,0.6582839759213167,0.2198368847102402,1.9301542475951226,0.2741283200349765,0.2804780876494024,0.534803569316864,0.3313698412836343,0.21467805921870334,0.11389601892395189,0.004522338518141002,1.7411965580922697,0.0025813410458844716,0.006731383312027963,0.00491479219422279
