round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_brier,fed_auprc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,9.649227172588176,559.3789182478412,24.82176,24.82176,0.5412350858791136,0.6668290159977487,0.5618410741105028,0.234475322912989,0.2307311867837138,2.124818176195521,0.11164254247954684,0.3720742043907196,0.28018006518056277,0.3020942730468026,0.6158949021566935,0.19701679042017475,1.7297952314884897,0.26438618925831203,0.27761329993167844,0.4762880802154541,0.3663229183936744,0.23363109476713054,0.11389601892395189,0.00728377434767875,0.6466438040370122,,0.00728377434767875
12.0,9.288909653533334,586.8839035747856,26.8032,26.8032,0.5412350858791136,0.6757258024065094,0.5957640737370171,0.24414641726686054,0.2384801689216091,2.1972390489914044,0.11164254247954684,0.38532241432639763,0.27944816188192767,0.3115841477289876,0.631420983456359,0.19986191353290542,1.7547752364053457,0.26784895275951687,0.2772344780532181,0.4798797369003296,0.36585899159582985,0.23319635918884765,0.11389601892395189,0.006714637839785331,0.6166507601737976,,0.006714637839785331
13.0,8.918453405636878,605.9449544769756,28.78464,28.78464,0.5412350858791136,0.679144820724071,0.5500948924662707,0.2343639615326264,0.23876539842847275,2.205691470523993,0.11164254247954684,0.37290919347331536,0.29482342415175194,0.31444341579667817,0.6189128445094316,0.1965141091056125,1.7253817206449027,0.26304455855557396,0.2769476445762518,0.4735393822193146,0.36489367879680795,0.2326628180684666,0.11389601892395189,0.00558965139114244,0.5278009416069835,,0.00558965139114244
14.0,8.476019654160826,628.7441377434246,30.76608,30.76608,0.5412350858791136,0.684468259727895,0.5493107053545602,0.23287037075515216,0.24343167160508428,2.254540745836914,0.11164254247954684,0.37192440461332194,0.30703226045769094,0.32344599983818373,0.6274948247315961,0.19785978416396566,1.7371966644073502,0.2550486163051608,0.277211672070403,0.47569605708122253,0.3641484907792507,0.2321814375960669,0.11389601892395189,0.005465408013102336,0.528958541341126,,0.005465408013102336
15.0,9.501188829280744,749.3424078774453,32.4352,32.4352,0.4559241291901578,0.661481103312026,0.5722148718662873,0.2364964917959021,0.2222540306912983,2.0385380393829773,0.11164254247954684,0.37418975464535476,0.27540769508053875,0.296921920414723,0.6305885657728562,0.20120796332534963,1.76659347030993,0.25672645739910316,0.27744995950480156,0.4777906537055969,0.36414395725188897,0.23212389153893004,0.11389601892395189,0.009861142621771379,0.5192128056660295,0.009861142621771379,
16.0,9.37712921602911,642.4299059315371,34.41664,34.41664,0.5412350858791136,0.6671739346574901,0.5243114745114268,0.23561580410714125,0.23078256054935734,2.1199151082647254,0.11164254247954684,0.3736868860325473,0.28328135928339787,0.30187359901259025,0.6039465189552692,0.19221637841583894,1.6876479110668599,0.2458025520483546,0.2769827795294688,0.47869256138801575,0.364524778260085,0.2326445847955053,0.11389601892395189,0.005776613316182833,0.5724752963287756,,0.005776613316182833
17.0,9.04354763806617,912.5295402339732,36.39808,36.39808,0.5412350858791136,0.6755745829120611,0.5501468846901472,0.2368917341584318,0.23724318774662964,2.1841518522155012,0.11164254247954684,0.3757921758014648,0.28574942541246007,0.30876225949194797,0.6050761453043791,0.1938337678810278,1.7018484905117726,0.25952845240205635,0.27705729780712096,0.47994333505630493,0.3670352522134361,0.23449666857371024,0.11389601892395189,0.006678557591092209,0.6808644990669563,,0.006678557591092209
18.0,8.783821602596444,805.0604685284865,38.37952,38.37952,0.5412350858791136,0.6773964469621087,0.5684866039500887,0.23465323661513,0.24163930374783646,2.2448352097901734,0.11164254247954684,0.3736390284560924,0.2924828813703504,0.31660330104243245,0.6118883265451676,0.19547488104636979,1.7162573625763682,0.26548381797272874,0.277105630525826,0.4774226248264313,0.3656407743369911,0.2332972074713563,0.11389601892395189,0.00677430061549771,0.7124448174145073,,0.00677430061549771
19.0,8.40678679785552,674.0178993178636,40.36096,40.36096,0.5412350858791136,0.683430122475946,0.5850675751834338,0.23357576450407888,0.24698675738088025,2.3069187537730005,0.11164254247954684,0.37251380850415017,0.2984660076228149,0.32425692865119127,0.6200852770384337,0.19126585475834057,1.6793023721579623,0.20195439739413681,0.27775153519130846,0.48222553730010986,0.3646180977746473,0.2326840074649095,0.11389601892395189,0.007585288609017683,0.8225528232287616,,0.007585288609017683
20.0,9.423834503257073,795.5637884616874,44.01152,44.01152,0.9971592150692714,0.663508000290546,0.5689820844171329,0.2459561323380338,0.22611445607973546,2.0671083102415895,0.11164254247954684,0.3864891894682162,0.2717712776759029,0.29547640224919935,0.620472302130159,0.18466641037117587,1.6213596587118397,0.017278617710583154,0.2736951441184108,0.4932934045791626,0.3664588530708363,0.2342542299819593,0.11389601892395189,0.006325341334517705,1.0612973088864237,0.009483682487701135,0.004738021685914019
21.0,9.406071834852149,746.8920458256464,45.99296,45.99296,0.5412350858791136,0.6676835360565946,0.5762308526669303,0.23613680109694865,0.23296464998475006,2.1354970483517834,0.11164254247954684,0.37454043921057417,0.28349374693037444,0.30257594089762707,0.6322581573820719,0.17774643508960733,1.560602703842425,0.0070052539404553416,0.2740326646936314,0.4826444983482361,0.36383258949480946,0.23226025035990003,0.11389601892395189,0.005326116765494779,0.6061516515910625,,0.005326116765494779
