round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_ece,fed_f1_best,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
19.0,0.6451641303409643,2.611445995243465,40.36096,40.36096,0.5412350858791136,0.11385235068286237,2.190385699691472,0.6894053160264803,0.2465215474820904,0.5043702109812551,0.3162918860327569,0.3106414937247755,0.2950056279712601,0.19802317124214527,0.3980763522699373,0.08817568142383773,0.7741770279320512,0.20287037037037037,0.20453723788864786,0.4265781044960022,0.5140019557086538,0.3773905689485686,0.11389601892395189,0.0010119630992516087,1.083451210288331,,0.0010119630992516087
20.0,0.6743252054062973,2.9502919837919817,44.01152,44.01152,0.9971592150692714,0.11385235068286237,1.9053480903548294,0.6456746534177427,0.21554765898478082,0.48878336008840956,0.3345034052591765,0.28404773461962385,0.25935114705177587,0.21038291905420425,0.39813744300101767,0.08873243795049524,0.7790653157924833,0.2019047619047619,0.20455370101596515,0.4613748788833618,0.5141908601942607,0.37824209149272825,0.11389601892395189,0.0013090943437914396,1.8203863732051104,0.0023435889481765206,0.0010750346446092897
21.0,0.6661894408288875,3.033654435650312,45.99296,45.99296,0.5412350858791136,0.11385235068286237,1.9874741290938607,0.660208781702598,0.22542479584422112,0.5253028315540917,0.3504024159308131,0.29341052683961616,0.2743533241620081,0.22091214484993668,0.38506821806670277,0.08712829880105846,0.7649810733001461,0.1952903937461033,0.2045002711006687,0.3636151850223541,0.4952186163826277,0.360409934054306,0.11389601892395189,0.001053638583006507,1.2652828422142193,,0.001053638583006507
22.0,0.6677683230616022,2.767395298234755,47.9744,47.9744,0.5412350858791136,0.11385235068286237,2.0745282821424778,0.6719279445844119,0.2349268661424952,0.5379262923654148,0.35339575304979004,0.30297771546756314,0.2825247407454876,0.22138369752217918,0.38907323754621276,0.08795219914318049,0.772214867333563,0.188420314534709,0.20451875282422052,0.33177322149276733,0.4798968721197466,0.3451684898761355,0.11389601892395189,0.0008471450740773915,1.069755690637976,,0.0008471450740773915
23.0,0.6438710978186916,2.29735123159481,49.95584,49.95584,0.5412350858791136,0.11385235068286237,2.139954058890398,0.6787808397225503,0.24235021837025975,0.5355754400321482,0.3411446404577417,0.31186909859175016,0.2869581243834749,0.2133209428382124,0.3842483247360386,0.08685920581632199,0.7626184535415385,0.1891918789808917,0.20457421804375336,0.38263261318206787,0.5020528727070579,0.3710271354870621,0.11389601892395189,0.0007738772770593588,1.027977970894426,,0.0007738772770593588
24.0,0.6416468080033002,2.630187287282964,51.93728,51.93728,0.5412350858791136,0.11385235068286237,2.1764964011024213,0.6880681286317722,0.24658547552631124,0.5367018995200854,0.3473648598037938,0.3118199119906399,0.29145615874556885,0.21722793508365168,0.38609433653784425,0.08696711341972459,0.763565875623733,0.18962665998496617,0.20464821848435522,0.40507587790489197,0.4941107375994741,0.36184045478783294,0.11389601892395189,0.0007183026429929383,0.9970227786106989,,0.0007183026429929383
25.0,0.6702744644948851,4.017620098946563,53.6064,53.6064,0.4559241291901578,0.11385235068286237,1.9510370923801088,0.660407751128197,0.2216701712425181,0.5352813499964494,0.36181414955206476,0.29310198341667243,0.26716725707723166,0.22970668378474995,0.40106781527949964,0.08883984706437142,0.780008361167475,0.1907982375243365,0.2046237533998187,0.41524043679237366,0.49280473451002654,0.3629929594244121,0.11389601892395189,0.001927310710930767,0.5961892670020461,0.001927310710930767,
26.0,0.6685200503132843,2.9090130386089106,55.58784,55.58784,0.5412350858791136,0.11385235068286237,2.00879146593153,0.6668405270266485,0.22735007138497515,0.5334484181340191,0.3448325725805337,0.30042394525569727,0.2781762030303613,0.2176291220413855,0.4117634871091279,0.090586158242109,0.7953408652728519,0.19629483642096965,0.20454648167397296,0.3890313506126404,0.5132581322651768,0.38458872649251025,0.11389601892395189,0.0007918981559767761,1.1556239845231175,,0.0007918981559767761
27.0,0.6575171845027776,3.5055594754097883,57.56928,57.56928,0.5412350858791136,0.11385235068286237,2.0876107802478403,0.677582978120536,0.23608675534824852,0.532846582478698,0.3539604510936366,0.30639262575317927,0.28160757814679027,0.2234651079314396,0.43029984304651697,0.09489887650743012,0.8332062648369991,0.19845773315873708,0.2046979865771812,0.42660027742385864,0.5053486162021803,0.3725435925723997,0.11389601892395189,0.0006985108584739358,1.0606298877391964,,0.0006985108584739358
28.0,0.6538270254822143,3.059702059639447,59.55072,59.55072,0.5412350858791136,0.11385235068286237,2.1264357231943483,0.6833431188569001,0.24114580904627786,0.5342228978532807,0.3404619412257424,0.3083165360174809,0.28255393081708013,0.21444190472172117,0.4264056728742446,0.0942830789699556,0.8277996005541527,0.19695411586112335,0.2046019619366213,0.370068222284317,0.5196223888422297,0.39045039000836357,0.11389601892395189,0.0006868088098069594,1.0851710091810673,,0.0006868088098069594
29.0,0.6450508159526784,3.3236241152825534,61.53216,61.53216,0.5412350858791136,0.11385235068286237,2.1590017139233018,0.6902281701721182,0.24464445999273376,0.5162189855015267,0.34220291880693904,0.31149296004176735,0.2883517562105735,0.21402489565780403,0.41089786357631564,0.09203597822012899,0.8080701949870716,0.19442277691107646,0.2046237533998187,0.40315011143684387,0.5164673380927584,0.3874382088377733,0.11389601892395189,0.0005895450793844578,0.968972896807827,,0.0005895450793844578
30.0,0.6720442242576329,4.848747046113868,65.18272,65.18272,0.9971592150692714,0.11385235068286237,1.946437383162141,0.659926150485682,0.22113338853631007,0.5274567597087498,0.37760628550959635,0.29162392644119645,0.26966191585812277,0.24094544729558978,0.42638432625683137,0.09382887063781255,0.823811679497436,0.19373719637108575,0.20455572629485672,0.3204316794872284,0.5080139785382544,0.37494338058523685,0.11389601892395189,0.0007876769269194858,1.626481112325564,0.0014807795248014358,0.0006403233083525155
31.0,0.6737397841232169,4.147422899395098,67.16416,67.16416,0.5412350858791136,0.11385235068286237,2.0217582487141135,0.6693637183039123,0.2293171217244086,0.5196782909617401,0.3625959709996627,0.29892222107207017,0.27499795065640903,0.22845236131625407,0.4244869369995937,0.09267257234645801,0.8136594520334839,0.19925848464682955,0.20458346517199294,0.37426134943962097,0.5061912595373771,0.3713716202835897,0.11389601892395189,0.0006401203183198726,1.1277961814776063,,0.0006401203183198726
32.0,0.6544920039655256,3.4170263135720385,69.1456,69.1456,0.5412350858791136,0.11385235068286237,2.0717047876550483,0.6770103790795051,0.23506916161798896,0.5354720303625013,0.34677067831832936,0.30615482685459233,0.2854057567964727,0.21737569561576064,0.41943426418975294,0.09161769689782163,0.8043977108540954,0.19896275341819897,0.20459271313624447,0.38276681303977966,0.5119528356718126,0.37840154769499723,0.11389601892395189,0.0005676624793905989,1.0350946935359389,,0.0005676624793905989
