round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_f1,fed_prevalence,fed_auprc_lift,fed_ece,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.577900068545943,0.30031294175505685,21.90336,21.90336,0.0,0.32093753976043,0.6842426978804339,0.2413270874574424,0.08825152570871057,0.11468496254799518,2.2934736030093883,0.07659756659889512,0.1083617503757585,0.2587957635535286,0.6572278642605117,0.21421844277459642,1.8808246749838515,0.2577469335054874,0.27593181161514013,0.5091861486434937,0.38685824697490095,0.2493228846146132,0.11389601892395189,0.0,0.0,,
12.0,0.5623245664716657,0.46992504087600134,21.90336,21.90336,0.0,0.32625694799155563,0.6948980958494808,0.23444047947752167,0.10793850625192324,0.11468496254799518,2.455446272608872,0.07320244973218812,0.1062103740692105,0.2765440659811648,0.6572278642605117,0.21421844277459642,1.8808246749838515,0.2577469335054874,0.27593181161514013,0.5091861486434937,0.38685824697490095,0.2493228846146132,0.11389601892395189,0.0,0.0,,
13.0,0.5901681821217786,0.3266603815048596,25.55392,25.55392,0.9971592150692714,0.3064151188935376,0.6648841749613036,0.2328661637601253,0.07058434914390471,0.11468496254799518,2.108443134013305,0.08138608900089053,0.11054839181287847,0.239294217100751,0.6552298284003027,0.2138832232540931,1.8778814683321146,0.2383732118801719,0.27572370306678134,0.5125257968902588,0.3916443955604897,0.25305688516700275,0.11389601892395189,0.0077831998291058545,1.1673323817085475,0.006582649804944571,0.008777534535893973
14.0,0.5883805948403603,0.36382627404530477,25.55392,25.55392,0.0,0.31261346373904186,0.676147540911781,0.22194402922413117,0.07560031724078756,0.11468496254799518,2.2524529349316933,0.07478339644447914,0.108358504640997,0.2548395959238578,0.6552298284003027,0.2138832232540931,1.8778814683321146,0.2383732118801719,0.27572370306678134,0.5125257968902588,0.3916443955604897,0.25305688516700275,0.11389601892395189,0.0,0.0,,
15.0,0.5690749016061647,0.3877644244066806,25.55392,25.55392,0.0,0.32783858765431817,0.6917795643315753,0.24853384079364843,0.10730501220918588,0.11468496254799518,2.388572519993279,0.07374019218579307,0.10699081116758238,0.2692108364341182,0.6552298284003027,0.2138832232540931,1.8778814683321146,0.2383732118801719,0.27572370306678134,0.5125257968902588,0.3916443955604897,0.25305688516700275,0.11389601892395189,0.0,0.0,,
16.0,0.5485799500305599,0.4515610672078827,25.55392,25.55392,0.0,0.33595650196595905,0.6983797821760125,0.24160241172755942,0.10255264560245436,0.11468496254799518,2.489753508468201,0.067644248332825,0.1057430662092714,0.279023367419429,0.6552298284003027,0.2138832232540931,1.8778814683321146,0.2383732118801719,0.27572370306678134,0.5125257968902588,0.3916443955604897,0.25305688516700275,0.11389601892395189,0.0,0.0,,
17.0,0.5883287842182313,0.42603198982179674,29.20448,29.20448,0.9971592150692714,0.3090370471068323,0.6674709717984049,0.23354741958068267,0.07651010670337692,0.11468496254799518,2.1456056383139734,0.07840085423762479,0.11017981174253143,0.24336836466970266,0.6522374367313116,0.21311434092428344,1.8711307290431232,0.21014664705044847,0.2746968251805423,0.5169446468353271,0.3989066580136378,0.2590442624416595,0.11389601892395189,0.008768367401130375,1.39663007366471,0.006361535858442189,0.010814900966714808
18.0,0.5789880225764604,0.4135596620527431,29.20448,29.20448,0.0,0.3140680361560622,0.6788628520096183,0.2339357508553607,0.09772979501574315,0.11468496254799518,2.292980753324447,0.07472213688008418,0.10924553896167766,0.25866995385999536,0.6522374367313116,0.21311434092428344,1.8711307290431232,0.21014664705044847,0.2746968251805423,0.5169446468353271,0.3989066580136378,0.2590442624416595,0.11389601892395189,0.0,0.0,,
19.0,0.5627100769916502,0.4405343081829547,29.20448,29.20448,0.0,0.3239952419957103,0.6909299452641883,0.25685202642171295,0.09608229474946774,0.11468496254799518,2.414375399854023,0.06745889034582289,0.10680952684646346,0.271716893537681,0.6522374367313116,0.21311434092428344,1.8711307290431232,0.21014664705044847,0.2746968251805423,0.5169446468353271,0.3989066580136378,0.2590442624416595,0.11389601892395189,0.0,0.0,,
20.0,0.5450805180287356,0.5105564659036911,29.20448,29.20448,0.0,0.33675857644356083,0.7033668427436407,0.24587962718504278,0.12755704512045424,0.11468496254799518,2.587102172299257,0.06631875103407553,0.10476203541668967,0.2907737554899865,0.6522374367313116,0.21311434092428344,1.8711307290431232,0.21014664705044847,0.2746968251805423,0.5169446468353271,0.3989066580136378,0.2590442624416595,0.11389601892395189,0.0,0.0,,
