round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_prevalence,fed_ece,fed_f1_best,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,fed_f1,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
12.0,0.6429213835125239,0.45273322134346117,43.93152,43.93152,1.0,0.22103427920675336,0.11461480362537763,0.3490709784944342,0.3217606684024099,0.583524592273305,2.249955454615473,0.6847251806234326,0.28047040505198084,0.2566239348214065,0.6730889406249798,0.22873306149115755,2.008262129371546,0.27721731820092477,0.28996282527881045,0.5631731152534485,0.348172910022138,0.22167621079612645,0.11389601892395189,0.0073562796634793655,1.560872366948388,0.005401017754835483,0.009206053752114616,0.003935196598103085
13.0,0.6451207921269627,0.5139882941749652,47.59248,47.59248,1.0,0.19834686686448902,0.11461480362537763,0.3134956129771271,0.3209926890444664,0.5399564324098771,2.292022883362962,0.6865034832353414,0.295238370224142,0.26133120437496987,0.6734645457156196,0.2281450761102546,2.0030996541028054,0.2849435998038254,0.29118345675562385,0.5262235999107361,0.3124963125745804,0.19941666865355,0.11389601892395189,0.006684888657664077,1.5091337743251643,0.00513372469947899,0.008185811068349024,0.004160211389798079
14.0,0.6457470639040486,0.6281581876164654,51.25344,51.25344,1.0,0.2127415258357264,0.11461480362537763,0.3389626554516402,0.32365735624093245,0.5501171266725746,2.305797906385909,0.6888354374740047,0.29531107073860624,0.26329523497166313,0.6722345363020249,0.22758771862224858,1.9982060898389116,0.2790804071828892,0.29129843643779746,0.5660164952278137,0.33829613992393787,0.21394064308546207,0.11389601892395189,0.007411048253301826,1.7675492992621002,0.005265368458028684,0.00953777965459025,0.0041064984387919334
15.0,0.6443722861144351,0.5249620893612874,54.9144,54.9144,1.0,0.21893897387493153,0.11461480362537763,0.3457816484307332,0.32709052137647854,0.5739971861967297,2.3124052013438487,0.6913896508007615,0.29073781154979206,0.26399405103265644,0.6717875624793279,0.22687408014611887,1.991940388167581,0.2768313458262351,0.29385964912280704,0.6005985140800476,0.34480702474273095,0.22060212212925756,0.11389601892395189,0.0064004809664650235,1.6170391792129521,0.004492784966909528,0.008328846780915838,0.004877319019251449
16.0,0.6415174974002495,0.8126331276882063,58.57536,58.57536,1.0,0.19881473647890646,0.11461480362537763,0.31771358350115525,0.32542410833582874,0.5490115286176508,2.3255336164825833,0.6911970739416955,0.29962363283788557,0.26557914540702393,0.6714437827983059,0.2274158989164253,1.9966975234513717,0.2838131797824696,0.2877675363224496,0.53791344165802,0.31689206601303654,0.2004532206280819,0.11389601892395189,0.006671395446862621,1.7783433925123973,0.004458532144396934,0.008953354521304578,0.004604752034238469
17.0,0.6485727023742778,0.6674278557174204,62.23632,62.23632,1.0,0.21011256319492966,0.11461480362537763,0.33407494580196845,0.3294465739861337,0.552289250515934,2.3524666007997657,0.6945088948227769,0.29414947729778723,0.2694018773248935,0.6695057082185206,0.22688866088694762,1.9920684061700231,0.27578574590526783,0.2867608581894296,0.5736592411994934,0.33344884429327026,0.21225820546792545,0.11389601892395189,0.0058535850674290195,1.6444356550582597,0.004068933429783515,0.007729067445437927,0.004087421418764992
18.0,0.6427339939696514,0.7027041622481001,65.89728,65.89728,1.0,0.21427943295439972,0.11461480362537763,0.33887526058204565,0.3314462470934695,0.5871178841186464,2.378441220046695,0.6951090384797729,0.2940419136205258,0.2717553860569659,0.6672611634777422,0.2268648814435253,1.991859624127885,0.27452667814113596,0.28893587033121915,0.592307984828949,0.33787132571596906,0.21677761158051015,0.11389601892395189,0.005590386129083146,1.6514471395112196,0.003785401194331747,0.007522849294400327,0.00481125693051648
19.0,0.6451126690156687,1.0073656034589415,69.55824,69.55824,1.0,0.20281650720666147,0.11461480362537763,0.3244642154820083,0.33214032715040903,0.5492226178049742,2.3852224542561924,0.6970465231185685,0.3046628655359444,0.2732873888708482,0.6676002622132645,0.2265349309167956,1.9889626789155155,0.2797611485198831,0.28912329240878437,0.5609080791473389,0.3233007270649861,0.20517729826814549,0.11389601892395189,0.00545448867871511,1.6973032117421099,0.003733782686551857,0.007338747939682242,0.004168475198407445
20.0,0.6455991016632207,0.8582269815888781,73.2192,73.2192,1.0,0.20147832103767607,0.11461480362537763,0.320766992992201,0.3322476011930397,0.5439374051661741,2.404413649866837,0.6979902996187315,0.30226979089011036,0.2758253445434923,0.6682134409748333,0.2262671189788379,1.9866113066683737,0.27987496994469824,0.28684116170670493,0.5761815905570984,0.31953599673283706,0.2042161497143029,0.11389601892395189,0.005162836804539271,1.6882144104210965,0.003363722891616082,0.007157981177951076,0.004595229235458411
21.0,0.6477345842967334,1.0767793889717008,76.88016,76.88016,1.0,0.20826488397780413,0.11461480362537763,0.332599959952648,0.33460468487779754,0.5689051409119747,2.4182496231836907,0.6991273221085533,0.3012583280064131,0.27747434925142433,0.6673040073059896,0.2265394171350984,1.9890020676346751,0.27610988756230437,0.287715313268976,0.589004397392273,0.3317012398155594,0.21122577429596892,0.11389601892395189,0.004916684433777773,1.687103185156957,0.003125349492346071,0.00692780292904228,0.0037076774853570748
