round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best,fed_auprc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.6290140893827104,0.3771064004282394,25.55392,25.55392,0.0,0.5295414232648615,0.702800863335681,0.11010387157695939,0.20998920551111025,0.3033676246189475,2.305044614560098,0.3253322396648525,0.24625901584164395,0.3372037056618923,0.46042102456836287,0.11478661622957914,1.0078193892467997,0.20456497175141242,0.2045649717514124,0.5003086924552917,0.41847566446022527,0.27706270175950215,0.11389601892395189,0.0,0.0,,
16.0,0.6133987653828349,0.47350194026264686,25.55392,25.55392,0.0,0.5699063568941481,0.7091546101821968,0.11010387157695939,0.20838590493657394,0.3025643315948135,2.395550656849574,0.3311079782080935,0.2553490592640099,0.33391949697662954,0.46042102456836287,0.11478661622957914,1.0078193892467997,0.20456497175141242,0.2045649717514124,0.5003086924552917,0.41847566446022527,0.27706270175950215,0.11389601892395189,0.0,0.0,,
17.0,0.6459900757488344,0.466789271530767,29.20448,29.20448,0.9971592150692714,0.5423812515280853,0.6823140111638691,0.11010387157695939,0.21357929408660908,0.28575579557271497,2.074055222972595,0.302569131972721,0.2249474390817618,0.34350206196064237,0.4306722856753179,0.10130074158217142,0.8894142441432452,0.20192753220276155,0.20460404323639816,0.495739221572876,0.41248549138709495,0.27258509860062136,0.11389601892395189,0.007581427598148622,1.2271938106277958,0.006301718907863767,0.008574686111885476
18.0,0.6430755090563743,0.3674666768636591,29.20448,29.20448,0.0,0.5219966017321892,0.6923196271238469,0.11010387157695939,0.21408761587740904,0.2893475575952002,2.19855023788424,0.31295381175115644,0.23504340058919704,0.342192441479033,0.4306722856753179,0.10130074158217142,0.8894142441432452,0.20192753220276155,0.20460404323639816,0.495739221572876,0.41248549138709495,0.27258509860062136,0.11389601892395189,0.0,0.0,,
19.0,0.62679298110395,0.4298217763748021,29.20448,29.20448,0.0,0.5453803111124534,0.7003569333657014,0.11010387157695939,0.2015584495372329,0.30382268617865715,2.313405284717698,0.3264478443557967,0.2470741232202029,0.3243947339763347,0.4306722856753179,0.10130074158217142,0.8894142441432452,0.20192753220276155,0.20460404323639816,0.495739221572876,0.41248549138709495,0.27258509860062136,0.11389601892395189,0.0,0.0,,
20.0,0.6178470449887279,0.4772987618979,29.20448,29.20448,0.0,0.5647604200237384,0.7105600084466152,0.11010387157695939,0.21631658536037687,0.30042562036357745,2.4139823713294066,0.329268658880716,0.2571536980423545,0.3463754917312323,0.4306722856753179,0.10130074158217142,0.8894142441432452,0.20192753220276155,0.20460404323639816,0.495739221572876,0.41248549138709495,0.27258509860062136,0.11389601892395189,0.0,0.0,,
21.0,0.6425558519428022,0.37530839038501485,32.85504,32.85504,0.9971592150692714,0.5433192625655894,0.6824995494553218,0.11010387157695939,0.22348962048639157,0.2817846488453369,2.083838586263462,0.3034844333525967,0.22615984225669614,0.35861669645806243,0.4798652203942244,0.13349457922370817,1.1720741469712141,0.203534151254349,0.20458265139116205,0.49924883246421814,0.4053727802560592,0.26523360111288063,0.11389601892395189,0.007433172972707101,1.2680710293352604,0.006046687358002817,0.008529577889543819
22.0,0.643238986316947,0.3613225612296863,32.85504,32.85504,0.0,0.5403000111020059,0.6940144859065245,0.11010387157695939,0.21380988765380826,0.2958664765559925,2.22916913662009,0.31610667635002687,0.23847221142459876,0.34338287951194313,0.4798652203942244,0.13349457922370817,1.1720741469712141,0.203534151254349,0.20458265139116205,0.49924883246421814,0.4053727802560592,0.26523360111288063,0.11389601892395189,0.0,0.0,,
23.0,0.6267471282824838,0.4047756636309049,32.85504,32.85504,0.0,0.560469761073383,0.7040852056197402,0.11010387157695939,0.21545972030591176,0.2969971668233177,2.3521108033101834,0.32752271626974117,0.2512129628218571,0.3464225295674306,0.4798652203942244,0.13349457922370817,1.1720741469712141,0.203534151254349,0.20458265139116205,0.49924883246421814,0.4053727802560592,0.26523360111288063,0.11389601892395189,0.0,0.0,,
24.0,0.610314717257367,0.4953141512577006,32.85504,32.85504,0.0,0.5800339926703756,0.7145967579739506,0.11010387157695939,0.21051670448259927,0.307979176485945,2.4500258980401304,0.33731588137363455,0.2612065978140724,0.3381688161633808,0.4798652203942244,0.13349457922370817,1.1720741469712141,0.203534151254349,0.20458265139116205,0.49924883246421814,0.4053727802560592,0.26523360111288063,0.11389601892395189,0.0,0.0,,
25.0,0.6462768954991266,0.484956921540062,36.5056,36.5056,0.9971592150692714,0.5582165038863331,0.6846422313709698,0.11010387157695939,0.2211191323668358,0.280122958240983,2.1004744872914336,0.3065019517031325,0.22767162691539727,0.3553859896317645,0.4979437221342562,0.1511525949845616,1.3271104329422245,0.20446298984034833,0.20479956367602947,0.5004664659500122,0.4040210525068809,0.26373026280862655,0.11389601892395189,0.007198740940499782,1.2989397095516324,0.005271297628591606,0.00875559647562307
