round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best,fed_f1_best_threshold,fed_auroc,fed_ece,fed_f1,fed_auprc,fed_brier,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6410080919622471,0.5128089593389841,40.27056,40.27056,1.0,0.11318854265029901,0.29927780030454826,0.5294523156548507,0.6752049909413002,0.33550425212986257,0.2783097190032426,0.24635023259888822,0.21076410442214175,2.1696314758491515,0.6643846408966855,0.2283134158579702,2.0045776666734465,0.28352122811225716,0.2841284837033538,0.4973667860031128,0.3345542356193386,0.21215421578420302,0.11389601892395189,0.0077039353226129184,1.5595534517688066,0.006102992058363333,0.009132398104773846,0.004567428367494646
12.0,0.6437263629080517,0.6404733353946533,43.93152,43.93152,1.0,0.11318854265029901,0.3016879826123909,0.5345134042440288,0.6761587831364693,0.34480481578431726,0.2756460877835727,0.24653040513793734,0.21738430423792998,2.1697551820270875,0.6639462258000765,0.22771080765115362,1.999286803897822,0.28058436489349836,0.28349468148679335,0.5124126076698303,0.3438004591727756,0.21877216656179288,0.11389601892395189,0.0075684505542973355,1.6262116468992645,0.005995087737437494,0.009007090063424051,0.003991841728311095
13.0,0.6428578489595984,0.6658911461599898,47.59248,47.59248,1.0,0.11318854265029901,0.3036638228773938,0.5324612406221695,0.6778819277583465,0.336138235776913,0.2814234409822267,0.24777548547897688,0.2127688685017884,2.1761198935281576,0.6644010179312089,0.22884110694908533,2.0092107618079433,0.28254847645429365,0.2833926981300089,0.4930165708065033,0.3353572357771255,0.21460248324648792,0.11389601892395189,0.006666058761459814,1.5180416170951503,0.005237501013131048,0.00799818441803327,0.004042269852333448
14.0,0.6364500655163111,0.6090525598857586,51.25344,51.25344,1.0,0.11318854265029901,0.305266342400281,0.555624217218973,0.6806850698881812,0.34794659666695943,0.2753316185407356,0.25275060444703484,0.22023202642637008,2.2214113176176955,0.6636691590045152,0.22956442404869093,2.0155614411946265,0.27848101265822783,0.28284350665661895,0.534845232963562,0.34695529217735094,0.22233047803136932,0.11389601892395189,0.00688635164740167,1.6575124433838937,0.0050048999503456305,0.00866480906123903,0.0040986773356011105
15.0,0.6336627147782112,0.768280600593299,54.9144,54.9144,1.0,0.11318854265029901,0.3086811814702199,0.5793132210231855,0.6840083298995328,0.3490886167193645,0.28253789828161197,0.2550027985297069,0.21956342875440574,2.2380620068350443,0.6619688212385315,0.22924433833944302,2.0127511084694625,0.2789904502046385,0.28180435884439936,0.5224288702011108,0.3480160541675328,0.22186963857427003,0.11389601892395189,0.007010944118933682,1.7897465958794783,0.004785351474426252,0.009137743206845713,0.004047858249986501
16.0,0.6361039378716526,0.7509198376778177,58.57536,58.57536,1.0,0.11318854265029901,0.30919629312107677,0.5746856520789053,0.6865374129042592,0.3407189280111289,0.2825654284591544,0.258918866691016,0.21402228345250426,2.272446987281568,0.6615966672471207,0.2288102335122718,2.008939694942699,0.2775904697684873,0.2809734513274337,0.5136764049530029,0.33977827018731416,0.216805800581929,0.11389601892395189,0.0065083599748298965,1.7609999460419203,0.004409105216019308,0.008543909873238349,0.0037349884969468386
17.0,0.6359648823598945,0.8847081087160756,62.23632,62.23632,1.0,0.11318854265029901,0.31293080092574593,0.5854387290210592,0.6881032030559492,0.35673140678197135,0.2808956565819737,0.2612506831702575,0.22451323904847612,2.293211122960927,0.6602906207054207,0.22816614038394897,2.0032845971227053,0.27607297268796793,0.28020536223616654,0.5127673745155334,0.35571265559975557,0.22741003331034657,0.11389601892395189,0.006337951502763514,1.8106444994446065,0.004179963221464459,0.008452426634303256,0.0039531995307911716
18.0,0.639585835571243,0.8144921374381647,65.89728,65.89728,1.0,0.11318854265029901,0.31896814454850964,0.5848399499282922,0.6905280235744361,0.3372649087824178,0.28907874497493946,0.26254653556755736,0.21129390861600084,2.303076603192511,0.6590380599270454,0.22773256775207054,1.9994778562376887,0.2768657585283502,0.2778076881662539,0.48682981729507446,0.33620384868587444,0.21459869001714765,0.11389601892395189,0.005649350806081242,1.702143532145783,0.003860995336420062,0.007422295620251772,0.00397056097418457
19.0,0.6389198192562167,1.3719763391817579,69.55824,69.55824,1.0,0.11318854265029901,0.3154217556706371,0.5712405625044793,0.6919323988041178,0.3370602224477112,0.285639772841341,0.26356400315774775,0.21217700089262456,2.310061040871173,0.6584632699383556,0.22646738172220704,1.9883696011659442,0.2734684883208462,0.27769110764430577,0.5288615226745605,0.33620659617418486,0.21604538822010622,0.11389601892395189,0.005354248880767176,1.6932394744017074,0.003594078854358372,0.007119403964012177,0.004332960008864839
20.0,0.6434444426280514,1.1335845064392274,73.2192,73.2192,1.0,0.11318854265029901,0.3170529175527242,0.5827749734034433,0.6933576463445039,0.3272925504798414,0.290016604380652,0.26752443272932014,0.2060456750088421,2.347141811013456,0.6582956343619852,0.22710543863893728,1.993971701421584,0.2774725274725275,0.27897838899803534,0.5017299652099609,0.3268286558750276,0.2104327780291975,0.11389601892395189,0.005383533350016267,1.7805999139400228,0.003384147627074118,0.007419240135262742,0.00416761341904146
