round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auprc,fed_f1_best_threshold,fed_auprc_lift,fed_f1,fed_brier,fed_auroc,fed_prevalence,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6458677115236495,0.29297492990538154,40.27056,40.27056,1.0,0.3488557514187357,0.2322122812182097,0.5510059862327144,2.0934690464034738,0.27987886524020056,0.22074168262687444,0.6742816930015793,0.11374795417348607,0.3090401677879039,0.6628767489731662,0.22282935857806777,1.9564279830259073,0.27406164814426504,0.28244897959183674,0.5676140785217285,0.35011711244620575,0.22272830468207117,0.11389601892395189,0.003079084279346677,0.3652759987016907,0.0035821558652646274,0.0027353591907917124,0.0026678547159458437
12.0,0.6419671555063341,0.3356530952750853,43.93152,43.93152,1.0,0.33962355685518464,0.23317526026424668,0.5393956345281476,2.102866505127515,0.2800238085227104,0.2149365407383322,0.6757342503160682,0.11374795417348607,0.3125191116706823,0.6644199048560807,0.22409754985169164,1.9675626239519493,0.2763628481629999,0.2822972795373899,0.5283485054969788,0.3405417686291637,0.21677199245706402,0.11389601892395189,0.0032767009482316586,0.39254701698791905,0.0038381835578161776,0.0028928472715945984,0.0026132748414065816
13.0,0.6446130014171457,0.37381776930286525,47.59248,47.59248,1.0,0.3521127178214456,0.23358369542581542,0.5721882128916624,2.1086329548187512,0.27440518496576494,0.22676048250144093,0.6764710221085984,0.11374795417348607,0.3126927519302754,0.6639541194052222,0.22370263742070473,1.9640953172390554,0.27137970353477764,0.2829473684210526,0.5747637152671814,0.3535471424011179,0.2292973379108701,0.11389601892395189,0.003289633821344845,0.3979266745482164,0.0037817880234099492,0.0029458563472000293,0.0030752486961846052
14.0,0.646232268796387,0.45532975168202555,51.25344,51.25344,1.0,0.32936311936507545,0.23460088148135375,0.5545897244352787,2.116313670446569,0.2845667777478525,0.21071361758232127,0.6777115986906661,0.11374795417348607,0.31183256855949654,0.6641583491828726,0.22373976261083758,1.96442127411168,0.2799864084267754,0.28468375627978876,0.5276048183441162,0.3307494318165323,0.21324347514207564,0.11389601892395189,0.0034354472047728,0.4196296535883448,0.003952181737450321,0.003076613358054564,0.002788939477075911
15.0,0.6442364516294832,0.4283738548158234,54.9144,54.9144,1.0,0.3383566248914794,0.23645231700987937,0.5344240911718611,2.13738924059955,0.28909516194403434,0.21363106577427776,0.6788568404579536,0.11374795417348607,0.3156441485289401,0.6637795314325867,0.22361581764027472,1.9633330449379665,0.2820601451780159,0.28269517652909,0.5132043957710266,0.33969956722525435,0.21598387975485425,0.11389601892395189,0.0035027176106446943,0.4315927116131206,0.0041036860582915795,0.0030785385572852358,0.0029774783669423367
16.0,0.6420014727136104,0.3626138615614566,58.57536,58.57536,1.0,0.3370589100046736,0.23704687522238127,0.5589015466784494,2.140114921220874,0.2883616353867414,0.21444947948597423,0.6786000844444838,0.11374795417348607,0.31585902192087767,0.6642106678471851,0.22456475328018222,1.9716646411506586,0.28,0.28423645320197044,0.5241209864616394,0.3385238005133818,0.2171370803774101,0.11389601892395189,0.003266535810214049,0.40583249647716,0.0036894282072800506,0.002963129617561779,0.0030640552060205756
17.0,0.6381622492201109,0.43125046350779417,62.23632,62.23632,1.0,0.3433600615756451,0.2375074700956753,0.558784545766126,2.1438912171188407,0.2874715430181596,0.21708031429777452,0.6804631204351598,0.11374795417348607,0.31917914167641115,0.6643579356633784,0.22520548365556556,1.9772902142078799,0.27824443511129776,0.283969465648855,0.5208255648612976,0.3444748793202873,0.21950314496739337,0.11389601892395189,0.003381810952667094,0.424645534634692,0.003860581075140207,0.003037998405686839,0.002985104670479217
18.0,0.6405285334356602,0.3819252843809796,65.89728,65.89728,1.0,0.34037424762415885,0.2389406560776816,0.5608338195922975,2.1550112044300755,0.28511650512759923,0.21643688665133506,0.681058547902018,0.11374795417348607,0.31852532671083006,0.6644699144212727,0.22462563141169833,1.9721991473791578,0.2780948427934004,0.28554873102329353,0.5217834115028381,0.341499782431974,0.21910258951396908,0.11389601892395189,0.0033740729390933774,0.4268074537621942,0.0037093172423478676,0.0031336121929774327,0.0028246688726078777
19.0,0.6389843468869476,0.45165246925047314,69.55824,69.55824,1.0,0.3349621880090867,0.2389291166379823,0.5408827095011929,2.1565610517349736,0.2902871225667354,0.21197855917927771,0.6817099149459542,0.11374795417348607,0.31597730891855125,0.6639882664634125,0.2229227418386655,1.9572478822768204,0.2817425569176883,0.2829268292682927,0.51569664478302,0.33619973641508594,0.21474506793907555,0.11389601892395189,0.0033251570469055155,0.4255827743563714,0.00374822875226556,0.003021472522770111,0.002490515421569346
20.0,0.6410552729883895,0.42371597015207174,73.2192,73.2192,1.0,0.3398512893469061,0.24045939016395917,0.5650459819651664,2.170995067838317,0.2858972475882209,0.21699581584128683,0.6832888226872135,0.11374795417348607,0.31789657238235086,0.6634467952690976,0.22402416995819543,1.9669183530266836,0.2742857142857143,0.28227114716106605,0.5298324227333069,0.3414689168109766,0.2203848960239008,0.11389601892395189,0.0034319260278246728,0.4430558395215485,0.0038554337048909357,0.003119401811313369,0.0030126108011471263
21.0,0.6395387392274121,0.48692260195937587,76.88016,76.88016,1.0,0.32339829088090327,0.24098780452592208,0.5333805411442482,2.17345277271529,0.29133238827644037,0.2046085774141121,0.6835772248202558,0.11374795417348607,0.31779891066311394,0.6641705974477728,0.22561697686827445,1.9809030991585261,0.2809081284554758,0.2833940072808737,0.5349945425987244,0.3247567434984146,0.20774780163285891,0.11389601892395189,0.0034429087640039783,0.44847413015122584,0.0037972116472171848,0.0031841423484074674,0.002669446520792365
22.0,0.6418104420998614,0.48488856335636,80.54112,80.54112,1.0,0.3453118032167874,0.2412018017706136,0.5502734423100192,2.177159223952555,0.28711098772417015,0.21869934765091475,0.682926689210561,0.11374795417348607,0.3213624119727092,0.664633032195016,0.2259771019175965,1.9840649748125165,0.27815554611134724,0.2841136454581833,0.5440648198127747,0.3469197323763399,0.2216898390305715,0.11389601892395189,0.003513465437113979,0.46192146858084016,0.003830247019839475,0.0032806585424386436,0.002756574036215346
