round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_prevalence,fed_brier,fed_auprc,fed_f1_best,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6238947268190826,0.42913696860342077,21.90336,21.90336,0.0,0.3330015429442781,0.11448171691107058,0.20961152802557131,0.2586969844833104,0.322338748477817,0.6981303765975894,2.2793319063097726,0.5369126247173516,0.3048630295088658,0.40303972318118164,0.0887336627484118,0.7790760694424189,0.2045002711006687,0.20452799493876814,0.5140994191169739,0.43481325088650535,0.29176915322373875,0.11389601892395189,0.0,0.0,,
12.0,0.6099927535001579,0.551868611977419,21.90336,21.90336,0.0,0.32098208335305356,0.11448171691107058,0.20405200335761245,0.2677581046449362,0.327796898867311,0.707119868351279,2.3660070192575016,0.5596294725370404,0.3068710629852936,0.40303972318118164,0.0887336627484118,0.7790760694424189,0.2045002711006687,0.20452799493876814,0.5140994191169739,0.43481325088650535,0.29176915322373875,0.11389601892395189,0.0,0.0,,
13.0,0.6450342006035903,0.40004156707700594,25.55392,25.55392,0.9971592150692714,0.3430706084977801,0.11448171691107058,0.21730407852674102,0.2336445587417183,0.30201883994075857,0.6751229139925177,2.0503083947954974,0.5262091126677689,0.28877252658284275,0.42810396507959436,0.09415511255927109,0.8266760633849568,0.2045002711006687,0.204587612541284,0.5202872157096863,0.43318972372073966,0.2898832795416604,0.11389601892395189,0.007634434433817721,1.2063782959012315,0.006766228632211603,0.008320098762543086
14.0,0.6411353537475742,0.4077523452936779,25.55392,25.55392,0.0,0.32981727761209134,0.11448171691107058,0.20797625901255418,0.2511180300061093,0.31651282436600775,0.6900895231181186,2.2146635319315053,0.5425909194429208,0.296527076835528,0.42810396507959436,0.09415511255927109,0.8266760633849568,0.2045002711006687,0.204587612541284,0.5202872157096863,0.43318972372073966,0.2898832795416604,0.11389601892395189,0.0,0.0,,
15.0,0.6244834130566793,0.4872245118527273,25.55392,25.55392,0.0,0.31772330188037634,0.11448171691107058,0.2008380853459778,0.2612971453224426,0.3254483822750625,0.7006457945821616,2.308678327629057,0.5102763320933926,0.30866917760871093,0.42810396507959436,0.09415511255927109,0.8266760633849568,0.2045002711006687,0.204587612541284,0.5202872157096863,0.43318972372073966,0.2898832795416604,0.11389601892395189,0.0,0.0,,
16.0,0.6092630777542964,0.5587826825073003,25.55392,25.55392,0.0,0.34462160471245573,0.11448171691107058,0.21646909375579998,0.27561639743561533,0.3386747419912162,0.711849961323831,2.4424434997856417,0.563202283342877,0.3068404575484434,0.42810396507959436,0.09415511255927109,0.8266760633849568,0.2045002711006687,0.204587612541284,0.5202872157096863,0.43318972372073966,0.2898832795416604,0.11389601892395189,0.0,0.0,,
17.0,0.6369615742361008,0.43560321324112544,29.20448,29.20448,0.9971592150692714,0.34099510906616937,0.11448171691107058,0.21597774172445477,0.23746438514353338,0.3047309592778104,0.6780616250823295,2.0855160337562664,0.5416234915901278,0.28904771571791354,0.4361858245509342,0.09566109346310794,0.8398984825534651,0.2045002711006687,0.20480289986406888,0.5253466367721558,0.43550361217349215,0.29192695173869837,0.11389601892395189,0.0075237464095184595,1.2594675085274503,0.006438556205668179,0.008404146931578607
18.0,0.6389503773733557,0.5850074153122706,29.20448,29.20448,0.0,0.34344254960441684,0.11448171691107058,0.21905493679932225,0.25478046210281047,0.3159149055243808,0.6931020526107782,2.248294262484743,0.5634917306554155,0.29304359640973876,0.4361858245509342,0.09566109346310794,0.8398984825534651,0.2045002711006687,0.20480289986406888,0.5253466367721558,0.43550361217349215,0.29192695173869837,0.11389601892395189,0.0,0.0,,
19.0,0.621474822095579,0.5662340912091485,29.20448,29.20448,0.0,0.3001441824035336,0.11448171691107058,0.19064422142574808,0.26611649874901744,0.3283151120923581,0.7018698490323311,2.351019114852515,0.5436399533769785,0.30520491886192896,0.4361858245509342,0.09566109346310794,0.8398984825534651,0.2045002711006687,0.20480289986406888,0.5253466367721558,0.43550361217349215,0.29192695173869837,0.11389601892395189,0.0,0.0,,
20.0,0.6007359189165244,0.608630077745178,29.20448,29.20448,0.0,0.33219292678409734,0.11448171691107058,0.20801808489971127,0.28072335764454565,0.33888989593040264,0.7148324321410052,2.4853026426868388,0.5647593463759147,0.3117065589655671,0.4361858245509342,0.09566109346310794,0.8398984825534651,0.2045002711006687,0.20480289986406888,0.5253466367721558,0.43550361217349215,0.29192695173869837,0.11389601892395189,0.0,0.0,,
21.0,0.6409927235218051,0.6092878221091399,32.85504,32.85504,0.9971592150692714,0.3312597334878685,0.11448171691107058,0.2108333570033765,0.2406048316881615,0.30774881700861095,0.6804634146182802,2.1124089777157486,0.5398374460396079,0.29029035852446305,0.4309304278976521,0.09356412467852619,0.8214872263533526,0.2045002711006687,0.204760825209703,0.5240427255630493,0.4397641480901987,0.2963263578217998,0.11389601892395189,0.007493966783024981,1.329389245947823,0.005956914361160112,0.008770053511779835
22.0,0.6391074603396333,0.715995454340431,32.85504,32.85504,0.0,0.34096315486790474,0.11448171691107058,0.21486096284480477,0.2587038160396637,0.32674172120508055,0.6987878011446849,2.279949286721246,0.5551186126416923,0.2987591937975061,0.4309304278976521,0.09356412467852619,0.8214872263533526,0.2045002711006687,0.204760825209703,0.5240427255630493,0.4397641480901987,0.2963263578217998,0.11389601892395189,0.0,0.0,,
23.0,0.6157687370286015,0.6519668950677511,32.85504,32.85504,0.0,0.3313722464082081,0.11448171691107058,0.2087697928886727,0.27276939158850244,0.3324477844409493,0.7122982430492142,2.4107276750550115,0.5799115626918069,0.30688524801143086,0.4309304278976521,0.09356412467852619,0.8214872263533526,0.2045002711006687,0.204760825209703,0.5240427255630493,0.4397641480901987,0.2963263578217998,0.11389601892395189,0.0,0.0,,
24.0,0.5955253336282501,0.703841813711715,32.85504,32.85504,0.0,0.3248732703634108,0.11448171691107058,0.20449509094788962,0.2874460385069504,0.3458489586447423,0.7215139096311055,2.539183414661867,0.5672279136848913,0.3201789746507331,0.4309304278976521,0.09356412467852619,0.8214872263533526,0.2045002711006687,0.204760825209703,0.5240427255630493,0.4397641480901987,0.2963263578217998,0.11389601892395189,0.0,0.0,,
25.0,0.6357815204628481,0.7030423221869551,36.5056,36.5056,0.9971592150692714,0.3294680899082846,0.11448171691107058,0.20873292481090605,0.2436405230620737,0.3113729134996363,0.6841615121362248,2.141159019398382,0.5430381243408526,0.2928211133643667,0.44442078733352713,0.09762007032835557,0.8570981782386641,0.2045002711006687,0.20461329715061058,0.5217454433441162,0.4347670887765602,0.29120231257830637,0.11389601892395189,0.00798458225832011,1.4997036987915635,0.005987197802113666,0.009665561550875642
26.0,0.6315673122249059,0.7617282001838267,36.5056,36.5056,0.0,0.31503568733784737,0.11448171691107058,0.19890747901313255,0.259179459819649,0.3225180185013805,0.6988158945409907,2.2893110506574335,0.5137344203737912,0.3069566507762298,0.44442078733352713,0.09762007032835557,0.8570981782386641,0.2045002711006687,0.20461329715061058,0.5217454433441162,0.4347670887765602,0.29120231257830637,0.11389601892395189,0.0,0.0,,
27.0,0.6100814171463392,1.0651830928945423,36.5056,36.5056,0.0,0.3265875176700046,0.11448171691107058,0.20645719501936025,0.275530802783749,0.3359451479080444,0.7140384939356037,2.4454461894202755,0.5666043081767639,0.3129372046476267,0.44442078733352713,0.09762007032835557,0.8570981782386641,0.2045002711006687,0.20461329715061058,0.5217454433441162,0.4347670887765602,0.29120231257830637,0.11389601892395189,0.0,0.0,,
28.0,0.6001725382647429,0.881448497049371,36.5056,36.5056,0.0,0.3218183293086385,0.11448171691107058,0.20120279975055783,0.2934027806766549,0.35088577717501795,0.7260380688275844,2.610686207517435,0.5710275431821673,0.32271094041528664,0.44442078733352713,0.09762007032835557,0.8570981782386641,0.2045002711006687,0.20461329715061058,0.5217454433441162,0.4347670887765602,0.29120231257830637,0.11389601892395189,0.0,0.0,,
