round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_ece,fed_prevalence,fed_f1_best,fed_auroc,fed_f1,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6299881141801416,0.38753777658707733,21.90336,21.90336,0.0,0.5582691971824675,0.21070250802721807,0.3346304577036268,0.11462923328717109,0.3384415135486468,0.7023047945267371,0.3094677961820481,0.2641423312681953,2.3641073075173837,0.6619985634391601,0.22531029491526194,1.9782104505838884,0.27274637528892626,0.28147670482024834,0.5133877396583557,0.386954864047663,0.2477815956456287,0.11389601892395189,0.0,0.0,,
12.0,0.6101349994700985,0.4380796576132961,21.90336,21.90336,0.0,0.5792764368472076,0.2116014876461601,0.3357631476970849,0.11462923328717109,0.35090704444017584,0.7127380920454593,0.3118467728496548,0.27927557676202003,2.5044587914965835,0.6619985634391601,0.22531029491526194,1.9782104505838884,0.27274637528892626,0.28147670482024834,0.5133877396583557,0.386954864047663,0.2477815956456287,0.11389601892395189,0.0,0.0,,
13.0,0.6441599388880775,0.33236357741533373,25.55392,25.55392,0.9971592150692714,0.5549807015472975,0.22493615747986534,0.3515726775109175,0.11462923328717109,0.3104660049756263,0.6758203986043371,0.2808542216409593,0.23486710314939588,2.0713841602521916,0.6622828963672801,0.22523605012677556,1.9775585859341156,0.2702595992498273,0.28059273422562137,0.508617103099823,0.38460125761583125,0.2454511376401132,0.11389601892395189,0.008691883630892796,1.3520810921909288,0.007006197040575656,0.010027942615989391
14.0,0.6413121838764945,0.3969802571576416,25.55392,25.55392,0.0,0.5816226027034535,0.21292858009993457,0.33449091195185954,0.11462923328717109,0.32948402683992944,0.6916574435439373,0.2984310429682673,0.2513564902103313,2.2393515264997927,0.6622828963672801,0.22523605012677556,1.9775585859341156,0.2702595992498273,0.28059273422562137,0.508617103099823,0.38460125761583125,0.2454511376401132,0.11389601892395189,0.0,0.0,,
15.0,0.6222693285406675,0.44271082901618886,25.55392,25.55392,0.0,0.5462905614442555,0.20686352997202773,0.32905372725120796,0.11462923328717109,0.34219818536752256,0.7041724646728947,0.3131077802708479,0.2648071182566454,2.3710498213272775,0.6622828963672801,0.22523605012677556,1.9775585859341156,0.2702595992498273,0.28059273422562137,0.508617103099823,0.38460125761583125,0.2454511376401132,0.11389601892395189,0.0,0.0,,
16.0,0.6066306572808153,0.5080297260957114,25.55392,25.55392,0.0,0.5938566183542613,0.20961189713642875,0.33028813765086323,0.11462923328717109,0.354950155079136,0.7133871916584698,0.31497626268313406,0.2804993913749137,2.52040283390566,0.6622828963672801,0.22523605012677556,1.9775585859341156,0.2702595992498273,0.28059273422562137,0.508617103099823,0.38460125761583125,0.2454511376401132,0.11389601892395189,0.0,0.0,,
17.0,0.6393995348571468,0.4216486771082589,29.20448,29.20448,0.9971592150692714,0.5508409009747611,0.22117735107801123,0.34876837145551676,0.11462923328717109,0.3112202509924294,0.6783673547154631,0.2832841573810095,0.23655062818589964,2.082665005642661,0.6621460947938398,0.22591707685202356,1.9835379584502235,0.27489423176142813,0.2814544348090674,0.5154613256454468,0.3805277554646515,0.24261758626812768,0.11389601892395189,0.007858619873037986,1.2971358157228678,0.006269638621042771,0.009149460364610808
18.0,0.6406544836877979,0.3867261937550681,29.20448,29.20448,0.0,0.5630317026971795,0.21656372947987587,0.34060026077715666,0.11462923328717109,0.33032981895172897,0.6932372363405372,0.2932790397765496,0.25613121687757073,2.2801476999687744,0.6621460947938398,0.22591707685202356,1.9835379584502235,0.27489423176142813,0.2814544348090674,0.5154613256454468,0.3805277554646515,0.24261758626812768,0.11389601892395189,0.0,0.0,,
19.0,0.6214691167794937,0.45538499524720644,29.20448,29.20448,0.0,0.554836013772829,0.20734768174128534,0.33033780099142374,0.11462923328717109,0.3430233848994393,0.7057965290010988,0.3079790599254921,0.26912452569826634,2.402581514443522,0.6621460947938398,0.22591707685202356,1.9835379584502235,0.27489423176142813,0.2814544348090674,0.5154613256454468,0.3805277554646515,0.24261758626812768,0.11389601892395189,0.0,0.0,,
20.0,0.5970474180370838,0.47331047875292526,29.20448,29.20448,0.0,0.599899699503208,0.2073160525446903,0.3261203342230517,0.11462923328717109,0.3521579038016732,0.7156844025663052,0.31553671037587183,0.28499053943657715,2.5561115478396155,0.6621460947938398,0.22591707685202356,1.9835379584502235,0.27489423176142813,0.2814544348090674,0.5154613256454468,0.3805277554646515,0.24261758626812768,0.11389601892395189,0.0,0.0,,
21.0,0.6410700166436553,0.46962267829645976,32.85504,32.85504,0.9971592150692714,0.5585085407122699,0.2145370502623791,0.3382401920751395,0.11462923328717109,0.3122730575673321,0.6783068064457227,0.287146253943245,0.23748518256160916,2.086404467733872,0.6620415076630216,0.22548641778373393,1.9797567984732698,0.27473625763464743,0.282107096212451,0.5119572281837463,0.38156039114296963,0.24354394523245607,0.11389601892395189,0.008210991922537686,1.4301339690573514,0.005820016034275999,0.010200919315769516
22.0,0.6346610263956005,0.4753019798537479,32.85504,32.85504,0.0,0.5535177405007642,0.21472584906022668,0.3393803853520507,0.11462923328717109,0.33277885819771075,0.6944185754868683,0.2974925045168757,0.2530459522118494,2.2505037373429646,0.6620415076630216,0.22548641778373393,1.9797567984732698,0.27473625763464743,0.282107096212451,0.5119572281837463,0.38156039114296963,0.24354394523245607,0.11389601892395189,0.0,0.0,,
23.0,0.6181221841575834,0.5624874860364887,32.85504,32.85504,0.0,0.5482176157999861,0.2109429532775158,0.3360252660154207,0.11462923328717109,0.34434109455392115,0.7091560263161563,0.3166536315168608,0.2715259677958375,2.4272917139102237,0.6620415076630216,0.22548641778373393,1.9797567984732698,0.27473625763464743,0.282107096212451,0.5119572281837463,0.38156039114296963,0.24354394523245607,0.11389601892395189,0.0,0.0,,
24.0,0.6016521935743315,0.6252162071096901,32.85504,32.85504,0.0,0.5875320641719528,0.2134055405902667,0.3391984167241918,0.11462923328717109,0.3611294306506409,0.7227145917461814,0.3206604620809503,0.29031517410600455,2.6088060108460702,0.6620415076630216,0.22548641778373393,1.9797567984732698,0.27473625763464743,0.282107096212451,0.5119572281837463,0.38156039114296963,0.24354394523245607,0.11389601892395189,0.0,0.0,,
25.0,0.6411363029539825,0.4971098696375697,36.5056,36.5056,0.9971592150692714,0.5222845924383864,0.21754275803324705,0.3457507444910275,0.11462923328717109,0.31261420645231386,0.6789889220157318,0.29380700739838733,0.24078316933003938,2.116487622981222,0.6621152356920061,0.22423773896125565,1.9687934756611527,0.2708963790044871,0.2831453825053337,0.5116881132125854,0.3808927304659883,0.24328525587745267,0.11389601892395189,0.008063573306208483,1.4874843852594495,0.005824878030866008,0.00995512838593251
26.0,0.6387685807100071,0.43829460225357864,36.5056,36.5056,0.0,0.5378638374314686,0.20612399914137158,0.32714597078950813,0.11462923328717109,0.3346425023626011,0.698732990762242,0.30948340627027066,0.26187364303838756,2.325333213246667,0.6621152356920061,0.22423773896125565,1.9687934756611527,0.2708963790044871,0.2831453825053337,0.5116881132125854,0.3808927304659883,0.24328525587745267,0.11389601892395189,0.0,0.0,,
27.0,0.6199865182347805,0.4944304718312612,36.5056,36.5056,0.0,0.554999277798592,0.19007556264047376,0.30190393108727764,0.11462923328717109,0.35013320083887217,0.7108545621986465,0.3164676107514347,0.279514517142069,2.498647663222615,0.6621152356920061,0.22423773896125565,1.9687934756611527,0.2708963790044871,0.2831453825053337,0.5116881132125854,0.3808927304659883,0.24328525587745267,0.11389601892395189,0.0,0.0,,
28.0,0.601016872396775,0.6368221154238795,36.5056,36.5056,0.0,0.5740909356735042,0.20412121913966663,0.32544492460024815,0.11462923328717109,0.35946385725205027,0.7233108662493414,0.31987128587012187,0.2945365177086255,2.6450624251885246,0.6621152356920061,0.22423773896125565,1.9687934756611527,0.2708963790044871,0.2831453825053337,0.5116881132125854,0.3808927304659883,0.24328525587745267,0.11389601892395189,0.0,0.0,,
29.0,0.6374180452556966,0.4829429533977988,40.15616,40.15616,0.9971592150692714,0.5405144952476796,0.20967341335516299,0.3308236309736741,0.11462923328717109,0.3141410519316394,0.6808192180302082,0.28951990965065955,0.2419174922091763,2.126126500111394,0.6623007040393021,0.22553571925758262,1.9801896623636364,0.27643573381950776,0.2831367106176267,0.5068636536598206,0.37951377595915126,0.2422877454056425,0.11389601892395189,0.0077286074063197124,1.5103217735886574,0.00526165816314047,0.009848398551246954
30.0,0.6357038224077923,0.586746552064864,40.15616,40.15616,0.0,0.5886118373859743,0.2135120359955089,0.3342732500299448,0.11462923328717109,0.3314152014214955,0.6978842120504619,0.2989788251238324,0.2609353554140779,2.3297372600903246,0.6623007040393021,0.22553571925758262,1.9801896623636364,0.27643573381950776,0.2831367106176267,0.5068636536598206,0.37951377595915126,0.2422877454056425,0.11389601892395189,0.0,0.0,,
31.0,0.6120319286459825,0.5527460911719614,40.15616,40.15616,0.0,0.569032627048472,0.20297587794144498,0.3235678142499463,0.11462923328717109,0.3471383019727122,0.7133420839951179,0.31602354379041464,0.2801992795488591,2.512925748740642,0.6623007040393021,0.22553571925758262,1.9801896623636364,0.27643573381950776,0.2831367106176267,0.5068636536598206,0.37951377595915126,0.2422877454056425,0.11389601892395189,0.0,0.0,,
32.0,0.5929558579885689,0.7355611018751397,40.15616,40.15616,0.0,0.5767922028814773,0.19083380572268832,0.30408309734574523,0.11462923328717109,0.3571138280505718,0.7252784299757347,0.32693291297612775,0.29570003063724865,2.651852691712367,0.6623007040393021,0.22553571925758262,1.9801896623636364,0.27643573381950776,0.2831367106176267,0.5068636536598206,0.37951377595915126,0.2422877454056425,0.11389601892395189,0.0,0.0,,
33.0,0.6401242173171489,0.6278328002640642,43.80672,43.80672,0.9971592150692714,0.5455368724642841,0.21213042475830024,0.33376213245564695,0.11462923328717109,0.31801930165339815,0.6844939640754885,0.2941430997145261,0.2456691118242499,2.1586329588514803,0.6636119837023784,0.22604811235813982,1.9846884420874413,0.2773722627737226,0.2831615120274914,0.5063563585281372,0.3775022714599653,0.24054645099789151,0.11389601892395189,0.006919317908604252,1.4296073549194261,0.00494103069422402,0.008647568568661921
34.0,0.6365307226078467,0.620771468496006,43.80672,43.80672,0.0,0.5834826977974399,0.2203162721152645,0.34677437104211606,0.11462923328717109,0.33881038471073505,0.702373220459802,0.2992625252531472,0.26714288935086816,2.3868776936347196,0.6636119837023784,0.22604811235813982,1.9846884420874413,0.2773722627737226,0.2831615120274914,0.5063563585281372,0.3775022714599653,0.24054645099789151,0.11389601892395189,0.0,0.0,,
35.0,0.6121699812434505,0.615597993882569,43.80672,43.80672,0.0,0.5500470258499084,0.2057557310787841,0.3296584536191429,0.11462923328717109,0.35550079049406047,0.7180209051497983,0.3210058487810511,0.28601700869722285,2.573589334308696,0.6636119837023784,0.22604811235813982,1.9846884420874413,0.2773722627737226,0.2831615120274914,0.5063563585281372,0.3775022714599653,0.24054645099789151,0.11389601892395189,0.0,0.0,,
36.0,0.5929523650046783,0.6842619396004713,43.80672,43.80672,0.0,0.5880385285981368,0.21078100563479513,0.3325127646999217,0.11462923328717109,0.36925160813404845,0.7295061471643892,0.316543446409561,0.30416632487210776,2.7417971998001516,0.6636119837023784,0.22604811235813982,1.9846884420874413,0.2773722627737226,0.2831615120274914,0.5063563585281372,0.3775022714599653,0.24054645099789151,0.11389601892395189,0.0,0.0,,
37.0,0.6427040104751779,0.7744654956543396,47.45728,47.45728,0.9971592150692714,0.529377612159037,0.20820042778757195,0.3298372921877311,0.11462923328717109,0.3159073835114151,0.6844365589910036,0.2946334357320655,0.24575207181496056,2.1602851874577826,0.6624192838088129,0.2213742831286899,1.943652510598294,0.2796911386199289,0.2833047832388984,0.5024678707122803,0.3748654979582287,0.23893407585492293,0.11389601892395189,0.006713740248873593,1.465476194745861,0.0047202071464742595,0.008472495739252035
