round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best_threshold,fed_f1,fed_ece,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6291381250301723,0.38404544384242467,21.90336,21.90336,0.0,0.21100799849826318,0.5655851662984412,0.3100712990997192,0.3349309756082753,2.3556426393976087,0.33617911005966866,0.11481807881153216,0.2649628801771406,0.7005707774786805,0.6608807586735913,0.22441888578939018,1.9703839336055649,0.26705561306107084,0.2801128768750928,0.5143361687660217,0.39004191585405223,0.24999036175984798,0.11389601892395189,0.0,0.0,,
12.0,0.6084563985228191,0.45670270637223276,21.90336,21.90336,0.0,0.2131685443247991,0.5746519280597333,0.3093144756626924,0.3378037097817539,2.5034308228669384,0.35125665786273436,0.11481807881153216,0.2809819449581142,0.7126290175803804,0.6608807586735913,0.22441888578939018,1.9703839336055649,0.26705561306107084,0.2801128768750928,0.5143361687660217,0.39004191585405223,0.24999036175984798,0.11389601892395189,0.0,0.0,,
13.0,0.6440061230926133,0.335290522832558,25.55392,25.55392,0.9971592150692714,0.22645665859781797,0.5586187552778422,0.2849599120838734,0.35442270661209324,2.109938404881927,0.31256108174840913,0.11481807881153216,0.23898428672506783,0.6776039052430486,0.6618781514496951,0.2244747363442412,1.9708742980219744,0.2663150955833883,0.282765737874097,0.5202423930168152,0.3874118048430534,0.24744791655689935,0.11389601892395189,0.009217205849410126,1.4225573763251305,0.007371431268181354,0.01068499689783229
14.0,0.6413543276206835,0.3754064491839208,25.55392,25.55392,0.0,0.21010538280424862,0.5480875714864836,0.3061777991574903,0.3307728443175636,2.2518747619879362,0.3263907682343447,0.11481807881153216,0.2542205108595225,0.692802469363282,0.6618781514496951,0.2244747363442412,1.9708742980219744,0.2663150955833883,0.282765737874097,0.5202423930168152,0.3874118048430534,0.24744791655689935,0.11389601892395189,0.0,0.0,,
15.0,0.6208785523148823,0.4354838816174425,25.55392,25.55392,0.0,0.21039532320949506,0.5456819603582872,0.3131304405902941,0.33375622750986067,2.383350782957961,0.34148864643760596,0.11481807881153216,0.26825790347250694,0.7040966679868578,0.6618781514496951,0.2244747363442412,1.9708742980219744,0.2663150955833883,0.282765737874097,0.5202423930168152,0.3874118048430534,0.24744791655689935,0.11389601892395189,0.0,0.0,,
16.0,0.6072938813219249,0.5057909222757926,25.55392,25.55392,0.0,0.21044722074559694,0.5838263536015851,0.3112374876138876,0.33202244656168206,2.519116625113316,0.35338075625578863,0.11481807881153216,0.2826062239644948,0.7139107451335063,0.6618781514496951,0.2244747363442412,1.9708742980219744,0.2663150955833883,0.282765737874097,0.5202423930168152,0.3874118048430534,0.24744791655689935,0.11389601892395189,0.0,0.0,,
17.0,0.640943060197536,0.4227305266002464,29.20448,29.20448,0.9971592150692714,0.21707647037055489,0.5342020945447407,0.2868996502223419,0.34247637265688397,2.139746868311531,0.316229258200133,0.11481807881153216,0.2425004587995314,0.6802865744975665,0.6620153295066876,0.22624288379405888,1.9863985232453185,0.2701703163017032,0.2808460634547591,0.5156343579292297,0.38344161057125437,0.2447717560315123,0.11389601892395189,0.008005862232477422,1.313502299017273,0.0062777984949029895,0.009416975256594315
18.0,0.6401951735911657,0.39647126891749046,29.20448,29.20448,0.0,0.21622040243629434,0.5516714431185064,0.2951681543848121,0.34081048040012824,2.2967561235339957,0.32920248239607874,0.11481807881153216,0.25936244169748357,0.6940388229119627,0.6620153295066876,0.22624288379405888,1.9863985232453185,0.2701703163017032,0.2808460634547591,0.5156343579292297,0.38344161057125437,0.2447717560315123,0.11389601892395189,0.0,0.0,,
19.0,0.6223340406730209,0.474218909596935,29.20448,29.20448,0.0,0.20693088054874814,0.5584720079013806,0.3165551857870853,0.33016812746464286,2.430333294405338,0.3427024262924688,0.11481807881153216,0.2736897746517171,0.706736414396977,0.6620153295066876,0.22624288379405888,1.9863985232453185,0.2701703163017032,0.2808460634547591,0.5156343579292297,0.38344161057125437,0.2447717560315123,0.11389601892395189,0.0,0.0,,
20.0,0.5984393046970709,0.5345483974766395,29.20448,29.20448,0.0,0.20754526023932657,0.5801067850169677,0.31413963082306556,0.3270720331966558,2.57445883627923,0.3570325295171231,0.11481807881153216,0.289176871404837,0.7187330323570802,0.6620153295066876,0.22624288379405888,1.9863985232453185,0.2701703163017032,0.2808460634547591,0.5156343579292297,0.38344161057125437,0.2447717560315123,0.11389601892395189,0.0,0.0,,
