round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_prevalence,fed_ece,fed_f1_best,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6435603128608346,0.3885116886054612,24.82176,24.82176,0.5412350858791136,0.2892115615393374,0.5390279221110723,0.23518432709645676,0.6891198203262483,0.11035568146049732,0.34462704631023,0.310530436368827,2.179041402981621,0.2151346774944188,0.5598144392887393,0.19084735224309926,1.67562794596471,0.20512114537444934,0.2646758028226631,0.5182048082351685,0.3989911098155997,0.2586873710200232,0.11389601892395189,0.007567698635300847,0.7572443460812792,,0.007567698635300847
12.0,0.6317869618960897,0.48674261154062837,26.8032,26.8032,0.5412350858791136,0.2943246175866231,0.5617708953758211,0.24221948287110753,0.6985536022273036,0.11035568146049732,0.3487688469748884,0.32363510657156536,2.2526913474387964,0.21773823998771882,0.5576910595045306,0.18913244385301392,1.6605711563921932,0.20592592592592593,0.25890238793464604,0.5202092528343201,0.3989043395732489,0.2587175198768337,0.11389601892395189,0.00695537943952911,0.7199988958891481,,0.00695537943952911
13.0,0.6131218478935598,0.5283047152591733,28.78464,28.78464,0.5412350858791136,0.29876903706637686,0.578261886811459,0.25536890223020964,0.7074899175305226,0.11035568146049732,0.3448626221588827,0.3273622733426885,2.380993297305913,0.21377571954296642,0.5470398001846175,0.18604841895881052,1.633493608613613,0.20512119555312558,0.2491023339317774,0.5315821170806885,0.40426274774400817,0.26286205185645356,0.11389601892395189,0.00741784849471627,0.799395231762901,,0.00741784849471627
14.0,0.6049971919469522,0.673435024681265,30.76608,30.76608,0.5412350858791136,0.3044668897613835,0.5393855102170291,0.265954982057154,0.7135072198876439,0.11035568146049732,0.3246703424126608,0.33329747580142427,2.4924660643730965,0.20244413501949965,0.5632486093074063,0.19338681081094003,1.6979242350873032,0.20538609766414437,0.2655826558265582,0.5269609689712524,0.40181715392047657,0.26061054142736856,0.11389601892395189,0.008409388903774143,0.9464703178964555,,0.008409388903774143
15.0,0.6451219930066602,0.5653668662657317,32.4352,32.4352,0.4559241291901578,0.2805578604983741,0.5493873124307231,0.22871296020996032,0.6796908493045463,0.11035568146049732,0.3431567903463857,0.300605318847504,2.107090777822783,0.21439845517627545,0.5394512094634513,0.18568420066046865,1.6302957944864567,0.20448809141388646,0.25461254612546125,0.5259722471237183,0.4008905535222683,0.2601459998559721,0.11389601892395189,0.011310748801000754,0.6033818502910435,0.011310748801000754,
16.0,0.6423629434149662,0.5151042661765208,34.41664,34.41664,0.5412350858791136,0.28855026704959325,0.5716991536884439,0.2388687417193616,0.6907855187110175,0.11035568146049732,0.34724560052784953,0.31154467076923376,2.208586063982042,0.21653291645258796,0.5313304215928075,0.18212089949931176,1.5990102307343461,0.20448463596936423,0.2456306093528578,0.5280548334121704,0.4015652692424758,0.26082280149468295,0.11389601892395189,0.006108746678692258,0.7199224598007277,,0.006108746678692258
17.0,0.6260774441860755,0.5716652879375672,36.39808,36.39808,0.5412350858791136,0.29931824353908815,0.5361732036316211,0.25203587071742606,0.7033232476777813,0.11035568146049732,0.3414878655859405,0.3247534212578853,2.337800136200072,0.21119489552170967,0.542510376765162,0.1884970949533521,1.6549928323588832,0.19169180784404735,0.2659953849381162,0.5115662813186646,0.393445144435997,0.25428433284123003,0.11389601892395189,0.006621856121776499,0.8073936391156167,,0.006621856121776499
18.0,0.6109033071600458,0.6740166338245486,38.37952,38.37952,0.5412350858791136,0.3028078675325584,0.5698014953037386,0.2620620602437716,0.711712935946331,0.11035568146049732,0.3394723954213315,0.3336600744820516,2.445032682230171,0.2108040871753832,0.5501449988753182,0.1908870632506257,1.6759766061540795,0.19417345085110677,0.26631103816167423,0.509995698928833,0.391655756984553,0.2528808329242792,0.11389601892395189,0.006841725207044003,0.86975611676462,,0.006841725207044003
19.0,0.5938015473228765,0.721989344441335,40.36096,40.36096,0.5412350858791136,0.30849803411880256,0.573012843404433,0.27704688179909753,0.7190704722089972,0.11035568146049732,0.32406024831046115,0.34563003939490455,2.5860547151291415,0.20057700265531211,0.5314089309629059,0.18198386371171088,1.5978070649968994,0.20035851472471192,0.24216524216524216,0.5220856666564941,0.3969964525337111,0.2573238540961932,0.11389601892395189,0.00754575827080786,1.0074030563700944,,0.00754575827080786
20.0,0.6482634584702822,0.7984759685177527,44.01152,44.01152,0.9971592150692714,0.2740059730823984,0.5651496941220808,0.22602331253780764,0.6794798631982798,0.11035568146049732,0.35503384050639664,0.3022365841668187,2.0762367457066127,0.22291951474320637,0.5354895734386136,0.18136350269056853,1.5923603336097685,0.20177562550443906,0.24372597784309294,0.5289312601089478,0.4008805321377545,0.26037874346351253,0.11389601892395189,0.006795950365855131,1.3359778919257224,0.010064963151029312,0.0054431073191854255
