round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_auroc,fed_prevalence,fed_f1_best,fed_auprc_lift,fed_f1,fed_brier,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6691945372527832,1.2025349648260129,24.82176,24.82176,0.5412350858791136,0.2193336727066285,0.3794274044861831,0.6645411070293039,0.11404833836858005,0.2922029522020235,1.943486813566003,0.26224755345799206,0.24185258435177398,0.5461957529693662,0.5725583447855447,0.16464386591312197,1.4455629570604598,0.21527517783601646,0.2227937630606012,0.4947058856487274,0.35929305837360065,0.22917089313372732,0.11389601892395189,0.002362610493490985,1.4740218463120982,,0.002362610493490985
12.0,0.6676814101061695,1.8918182530405996,26.8032,26.8032,0.5412350858791136,0.23178767164857722,0.36563763340976374,0.6758726127957219,0.11404833836858005,0.30286135665695546,2.071356518260106,0.27252011703860834,0.2311879892573645,0.5422017026321224,0.616572472155151,0.18302042849483025,1.606908039665834,0.23690357023690356,0.24848178137651822,0.4857315123081207,0.3531295342215343,0.22355851247011382,0.11389601892395189,0.0017497299527285757,1.2034307041903958,,0.0017497299527285757
13.0,0.6539269784378,1.6087426047268436,28.78464,28.78464,0.5412350858791136,0.23796521854981428,0.35646236440108686,0.6807910563775113,0.11404833836858005,0.3089055019771272,2.11324914864682,0.2811990376042979,0.22451796734676585,0.5328855192755825,0.6099820020782896,0.1767068629825918,1.5514753250557298,0.23728287841191067,0.24200913242009137,0.4955734610557556,0.355431393422612,0.22540950014365857,0.11389601892395189,0.0014560934182186345,1.0935936487512663,,0.0014560934182186345
14.0,0.6499533272581342,1.6743030806045578,30.76608,30.76608,0.5412350858791136,0.24190394581641347,0.334576267423624,0.6871423785131918,0.11404833836858005,0.31400041892662445,2.14587609132802,0.29410054351793663,0.20916671670753229,0.5111721373516747,0.6267387202641369,0.19263654132949376,1.6913369154554625,0.2558113164757909,0.2572385738214884,0.5042891502380371,0.37195997024657623,0.23671942316912112,0.11389601892395189,0.0012587539141183887,1.0243989962618798,,0.0012587539141183887
15.0,0.6665704272722053,1.8645468527566258,32.4352,32.4352,0.4559241291901578,0.217063129900384,0.3604385519897554,0.6574433238334945,0.11404833836858005,0.2938160898916862,1.9175266143415965,0.2663723438390792,0.2275594960639348,0.5178000938620001,0.6268386139000037,0.1858997231729328,1.632188068812639,0.25489471739933506,0.25757776307081404,0.5052868127822876,0.36588996221530334,0.2324454081969834,0.11389601892395189,0.003699654243441689,0.7384815625846386,0.003699654243441689,
16.0,0.6694351229628059,1.8594677847387882,34.41664,34.41664,0.5412350858791136,0.22466022691048462,0.35269480417337185,0.6661252149708387,0.11404833836858005,0.2967491814800627,1.984706938502125,0.2670352094708458,0.2227409906314355,0.542275836409894,0.5790100932228494,0.15680184897976443,1.3767105335302428,0.2113266097750194,0.22314392368311903,0.47849810123443604,0.3538393846914233,0.2253710624726801,0.11389601892395189,0.00134786154889265,1.1783106174552813,,0.00134786154889265
17.0,0.660586583389857,1.9333574343563218,36.39808,36.39808,0.5412350858791136,0.23298710303938586,0.35593091404723887,0.6725630930243596,0.11404833836858005,0.3058286863280139,2.057425299638197,0.2792686628738013,0.22613257731659106,0.5475177851478378,0.5897561385517702,0.16150037698711317,1.4179633187613572,0.22560553633217992,0.22900763358778625,0.5046244859695435,0.37613004323034527,0.2414681408135823,0.11389601892395189,0.0011631831929563392,1.0859788628295064,,0.0011631831929563392
18.0,0.6489666897244486,2.2065681439099345,38.37952,38.37952,0.5412350858791136,0.23899423633439087,0.36062593227724826,0.6811228346970463,0.11404833836858005,0.3112749995907326,2.1177554491513666,0.2834261623659714,0.22714644419612684,0.5533838765573765,0.5908292923680409,0.16827193338386487,1.4774171650039818,0.229097605893186,0.2317693612210288,0.5083974599838257,0.36264604734146894,0.23135605728074415,0.11389601892395189,0.0010767857790867754,1.0752326941583306,,0.0010767857790867754
19.0,0.6368572192468038,2.013880963711517,40.36096,40.36096,0.5412350858791136,0.2459802646359378,0.3564563107668363,0.6844375767065137,0.11404833836858005,0.315703422263993,2.1838470376142736,0.28262998279305696,0.22437491337565835,0.5501088668167411,0.6156373874069464,0.17808941865548308,1.563614078332211,0.24500120452902915,0.24961360123647605,0.5051684975624084,0.35880052843873367,0.22815606886930526,0.11389601892395189,0.0009927653152948983,1.0560235666343942,,0.0009927653152948983
20.0,0.6774740267269517,2.7977302692986434,44.01152,44.01152,0.9971592150692714,0.21252333151911568,0.36090485533476174,0.6487062652580771,0.11404833836858005,0.28235323007679675,1.8812523654045512,0.2598331516335668,0.22888144840180458,0.5110969931817606,0.6103925197436759,0.1860318005579597,1.6333477000822365,0.24725592143269787,0.25026766595289085,0.49330374598503113,0.3431608683195152,0.21729805330587784,0.11389601892395189,0.001318875226356334,1.8175756599521264,0.0025337866625189664,0.001046494978087142
21.0,0.6754702468070948,2.779043450051578,45.99296,45.99296,0.5412350858791136,0.22224275501785762,0.3694785784949687,0.6634797200327712,0.11404833836858005,0.2954121284353924,1.964265313854057,0.27085071551830864,0.23432088427917552,0.520674105634217,0.6041229642467625,0.1906775609289008,1.6741371887301504,0.243269001667858,0.24708304735758407,0.5125919580459595,0.36128285054447984,0.23016252027318393,0.11389601892395189,0.001024872072757063,1.215926879318431,,0.001024872072757063
22.0,0.6654336615395041,2.4241948790592134,47.9744,47.9744,0.5412350858791136,0.23137247878992986,0.3673911208675167,0.672089361601575,0.11404833836858005,0.3056572516711514,2.048451043083883,0.27380722782292977,0.23272995229793106,0.542110164570064,0.5956780993343319,0.18276182229002894,1.6046374931862946,0.22065837829384627,0.23972188633615477,0.5603464841842651,0.3994885355210147,0.2598419585150848,0.11389601892395189,0.0008167848844698368,1.0196023850003257,,0.0008167848844698368
23.0,0.6554320604714974,2.4668734051500456,49.95584,49.95584,0.5412350858791136,0.2411845488520867,0.35319427888107013,0.6816093613461476,0.11404833836858005,0.3105899848880655,2.143553957588617,0.2858773342802097,0.22173486451629562,0.5280073265763597,0.5751609755823308,0.16351936142169626,1.4356898771929665,0.215424879365339,0.22095647501343363,0.5212206840515137,0.390917206719211,0.25355819447515004,0.11389601892395189,0.000762650992882494,1.002775307977572,,0.000762650992882494
24.0,0.643934250488325,2.190400125718152,51.93728,51.93728,0.5412350858791136,0.24537128912780776,0.33871280945920024,0.6856918811139211,0.11404833836858005,0.3132600241092203,2.1829739441783764,0.28968087133344217,0.21155201839961546,0.5261693682581605,0.5885908466608092,0.17621204403746904,1.5471308453294177,0.2244101171278221,0.22859638905066978,0.5410119891166687,0.3891216462541882,0.25154421669219906,0.11389601892395189,0.0007344542700555934,1.0118083300767466,,0.0007344542700555934
25.0,0.6729424921953444,2.776205813769846,53.6064,53.6064,0.4559241291901578,0.21870867376756176,0.34292747136599344,0.6582382362009912,0.11404833836858005,0.29119733379594837,1.940583466146782,0.25906155192475516,0.21600333231437277,0.5020121017382795,0.5947476202349168,0.1794072842481767,1.5751848567065942,0.22446043165467625,0.23603280369041515,0.5403826236724854,0.3960335583171209,0.2571590129488238,0.11389601892395189,0.0019250158509586403,0.5861141625791788,0.0019250158509586403,
26.0,0.6720555077929721,2.6814476740632847,55.58784,55.58784,0.5412350858791136,0.22557308640131965,0.358121870604249,0.667227746014638,0.11404833836858005,0.29465403353069675,2.005483029188537,0.2755923581198689,0.22599265708742525,0.5321703119783062,0.5436998639990815,0.14831768005040807,1.3022200552017489,0.20542529989094874,0.20710094244561675,0.4842190146446228,0.410792297366653,0.2710243800675301,0.11389601892395189,0.0008408716957872401,1.2093640390085056,,0.0008408716957872401
27.0,0.6585886343708619,2.6620017546176302,57.56928,57.56928,0.5412350858791136,0.23288377024809484,0.34101986027137954,0.673050657520947,0.11404833836858005,0.3028687278823609,2.065894344174408,0.2852622874191836,0.21351646450703393,0.5228119422395573,0.523424430138181,0.14125243261248005,1.2401876197867283,0.1983326610192282,0.2062064965197216,0.441417396068573,0.411818088764417,0.27282569105881666,0.11389601892395189,0.0007145122407061654,1.0682660340098664,,0.0007145122407061654
28.0,0.6598081241488885,3.0009808539904066,59.55072,59.55072,0.5412350858791136,0.23867483269804554,0.33885185504899606,0.6792126183797611,0.11404833836858005,0.30578046738019665,2.1158885846094937,0.28600336459367437,0.21260772833545905,0.5304108907722783,0.5218504653512398,0.13938508575322384,1.2237924298854637,0.19409735530854733,0.2058823529411765,0.40043124556541443,0.3983119059682367,0.2636103227305178,0.11389601892395189,0.0006629069997668946,1.0274499390507117,,0.0006629069997668946
