round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auroc,fed_f1_best,fed_f1,fed_auprc_lift,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
14.0,8.445474413216475,1004.6041051809145,30.76608,30.76608,0.5412350858791136,0.25276569141420135,0.37538819947696805,0.5956404222510403,0.6907313271220509,0.3265294161524849,0.29681908465133905,2.2614554387603953,0.11404116055132484,0.23727434834029934,0.3487350202841808,0.0828618190584304,0.7275216451047077,0.20116194625998549,0.2045002711006687,0.47288402915000916,0.4164342738909609,0.27581931520233915,0.11389601892395189,0.006034858088080165,0.5886810148367658,,0.006034858088080165
15.0,9.381545086875288,957.2704698709151,32.4352,32.4352,0.4559241291901578,0.22652453145238555,0.3725141086586022,0.5383328340417286,0.6647361078643268,0.29722784329660146,0.2782743689341661,2.0022431266634024,0.11404116055132484,0.2368220112570056,0.34730930217066863,0.08243003391279469,0.7237305982383198,0.20015452438303868,0.2045002711006687,0.46924149990081787,0.416346186801144,0.2757959745937076,0.11389601892395189,0.010333846018929812,0.5490481094457209,0.010333846018929812,
16.0,9.217847408388044,636.2951260906722,34.41664,34.41664,0.5412350858791136,0.23049735084545817,0.38541276744789654,0.57975632610454,0.6704717837493179,0.30595784659427866,0.2764968878122753,2.0368908383827544,0.11404116055132484,0.2464948642196267,0.3419464320126675,0.08125693216982237,0.7134308375087055,0.1984503190519599,0.2045002711006687,0.47025787830352783,0.41769055506412583,0.2771562467150931,0.11389601892395189,0.004918800849458744,0.49033382174093276,,0.004918800849458744
17.0,9.031934487909204,667.1396677081195,36.39808,36.39808,0.5412350858791136,0.23686296550442296,0.37489621104239157,0.5399165025358498,0.6779918131686071,0.31376069253545114,0.2992181764977565,2.0982209758841335,0.11404116055132484,0.23737996554608545,0.34092722828943595,0.08117676866881249,0.7127270069291363,0.19501903407787918,0.2045002711006687,0.46556106209754944,0.4163387812037696,0.27604107096073377,0.11389601892395189,0.0062945796007306916,0.6421180043253116,,0.0062945796007306916
18.0,8.697305325197595,643.4103788914898,38.37952,38.37952,0.5412350858791136,0.24311876030529372,0.37878089557248323,0.560094497049873,0.6810973936581921,0.3194126534203025,0.3002033750136973,2.1624689052972217,0.11404116055132484,0.24013757231332294,0.34019371283511235,0.08110876198837635,0.7121299124821254,0.1948821610695089,0.2045002711006687,0.46471264958381653,0.419033356436522,0.27858637567902217,0.11389601892395189,0.0068839914547193844,0.7251460555708036,,0.0068839914547193844
19.0,8.552013290663128,942.8655123746842,40.36096,40.36096,0.5412350858791136,0.2515714158303549,0.36635422873912665,0.519234119485943,0.6862211531160155,0.3257772834040901,0.30211370088258177,2.248660990176898,0.11404116055132484,0.23073823982605515,0.3399855801779703,0.08109414649321384,0.7120015893387829,0.19873400428070495,0.2045002711006687,0.47680869698524475,0.421007953916056,0.2804138008456761,0.11389601892395189,0.005417874128132829,0.5898641253006645,,0.005417874128132829
20.0,9.291774904426436,856.9662157335185,44.01152,44.01152,0.9971592150692714,0.2262038865522147,0.36880657584576126,0.5076173245981858,0.6619107395262794,0.2953833718464107,0.2760168701671119,1.98387639551896,0.11404116055132484,0.23412810390692396,0.3411423133428431,0.08150043473683002,0.7155687749827997,0.19344745076385053,0.2045002711006687,0.4612047076225281,0.4209329116052864,0.28035197315944904,0.11389601892395189,0.005781893249312275,0.9760920562548563,0.008695343132098772,0.0042913984583050025
21.0,9.539429317203338,754.5083743836867,45.99296,45.99296,0.5412350858791136,0.2323228168282688,0.3785736080596938,0.5943932228282247,0.6715664628429064,0.3088942218373448,0.28562747751249334,2.0478199936185413,0.11404116055132484,0.24079947657996403,0.3399340144807622,0.08117853945682005,0.7127425543382931,0.19152087383134314,0.2045002711006687,0.45895299315452576,0.42039575261914675,0.2800035876417038,0.11389601892395189,0.0046096426433215555,0.5268744645873085,,0.0046096426433215555
22.0,8.911266024846444,680.7073574293446,47.9744,47.9744,0.5412350858791136,0.2395357014631368,0.3841649344711099,0.5938561027912372,0.6786960023148844,0.3156971776284981,0.28829296685889766,2.1141776748914967,0.11404116055132484,0.24489600755276822,0.3392706755605802,0.08097477662509292,0.710953529281472,0.19259874492432633,0.2045002711006687,0.4626069962978363,0.42076670305136976,0.28035134885648566,0.11389601892395189,0.004898978339269716,0.5722777185728773,,0.004898978339269716
23.0,8.670638346474988,702.9894507773486,49.95584,49.95584,0.5412350858791136,0.24089935733575293,0.37656480921163343,0.5927976609698117,0.6820060563730784,0.3205683536249432,0.29894443519057345,2.128327740345175,0.11404116055132484,0.2384954186220002,0.33966233139999824,0.08111010475266348,0.7121417018694964,0.19557955429460486,0.2045002711006687,0.4692624807357788,0.42409044099781634,0.2833825173634642,0.11389601892395189,0.0055086175975172765,0.6587801422574557,,0.0055086175975172765
