round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best,fed_auprc_lift,fed_f1,fed_auroc,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6419998706115783,0.3778347286641355,40.27056,40.27056,1.0,0.2042205125913346,0.30944199613205553,2.1609373355142383,0.29520001585119343,0.6841763952632931,0.11524420946626385,0.24843335647737763,0.32259710296455774,0.5383749732434421,0.6626473951931283,0.22290631241428469,1.9571036329471596,0.2737235367372354,0.2832343535861124,0.5425764322280884,0.3226053921650272,0.20588630249310838,0.11389601892395189,0.007126370011370098,1.400008590757352,0.005861197916739336,0.008303740261545591,0.0038238585842865513
12.0,0.6407038714291092,0.4648555909237853,43.93152,43.93152,1.0,0.211535328250744,0.31189469027798605,2.1710605465327975,0.29515731775664095,0.6848878409310101,0.11524420946626385,0.2493546537576619,0.3332741052420643,0.5333374500263404,0.662815946879476,0.22208245395526285,1.9498702066447713,0.2755534051046329,0.28299474357153004,0.5393008589744568,0.3334743239338399,0.21368263491987108,0.11389601892395189,0.007181041556195145,1.4925538201714517,0.005806290175749301,0.008481742611482556,0.004616183887881964
13.0,0.6452348525211526,0.4831447488727599,47.59248,47.59248,1.0,0.20564199033570132,0.3155808111598995,2.205823267546025,0.29461224960942695,0.687930884710186,0.11524420946626385,0.25380830830341394,0.3252904908853505,0.5211649078421844,0.6628424889699104,0.22048566347626,1.93585048502422,0.27327544621321753,0.2803508232035698,0.5462511777877808,0.3254932739240689,0.2079657716193857,0.11389601892395189,0.006673829075465985,1.4678984963793482,0.005207100324881865,0.00808083900048274,0.005105199773550864
14.0,0.6423352123053399,0.4891382197033531,51.25344,51.25344,1.0,0.21130528963410278,0.31661827514349566,2.255782840467657,0.2928367288618608,0.6900794613766117,0.11524420946626385,0.25959485235956103,0.33530374715144096,0.5248607118489279,0.6622495650234531,0.22135253065660762,1.9434615252391236,0.2745452491243927,0.28223473892525497,0.5491797924041748,0.33525691002928326,0.21354969508809896,0.11389601892395189,0.006340828728492381,1.4711484447525436,0.00463808458410483,0.008008462843726168,0.004051321027601907
15.0,0.6402603400805017,0.47810195826565954,54.9144,54.9144,1.0,0.21545139686830023,0.3172358646705605,2.262984214792741,0.29282435960103465,0.6911404332799382,0.11524420946626385,0.2605597500550949,0.33988779065155117,0.5485888603185599,0.6612375270371663,0.22115241519438694,1.9417045238609254,0.2716049382716049,0.2805775764439411,0.5534517765045166,0.3400306869439777,0.2184039604415081,0.11389601892395189,0.006051940224294927,1.480664772738237,0.004467912438068689,0.007633790813873216,0.0039174768958458285
16.0,0.6406026670151033,0.5676348091069453,58.57536,58.57536,1.0,0.21914318992220383,0.3206400121310912,2.2984883290376352,0.2950402976683986,0.6932094932436376,0.11524420946626385,0.26464523049193805,0.34700166864915255,0.5556866980166233,0.6597574321492559,0.21937385192538097,1.9260888483894805,0.2688447576339953,0.2823972387825541,0.5661522150039673,0.3469063997395422,0.22204260110471594,0.11389601892395189,0.006321305358083967,1.6352054383078212,0.004643427625049523,0.008022409333480529,0.003834872284819433
17.0,0.6387079290283607,0.5724229260812332,62.23632,62.23632,1.0,0.2179623279838934,0.3212461720923258,2.3029283316286695,0.2960836816410351,0.6923659517364418,0.11524420946626385,0.2658458177072318,0.3459467946107181,0.5426161805691134,0.6566542790191889,0.21645686159208755,1.9004778537221332,0.2692644483362522,0.2767251868590301,0.5767827033996582,0.3458846603894777,0.22130902433800778,0.11389601892395189,0.006178628221725391,1.686018413021884,0.004159844563292119,0.008251305252162687,0.005474563984643799
18.0,0.6461763256878401,0.7752892393899942,65.89728,65.89728,1.0,0.2002093932138898,0.32198623083598443,2.288771000189502,0.29926676202915703,0.6922234909954132,0.11524420946626385,0.2641189365010694,0.31409662595292615,0.5568007289723671,0.6589784123829154,0.21875546228144338,1.9206594255722484,0.273015128415621,0.2807998881275346,0.5329791307449341,0.31375052180930374,0.2037517882088316,0.11389601892395189,0.005721752017604968,1.653885180454381,0.004073186585002049,0.007422746967546767,0.0049482982580252004
19.0,0.6483116952835575,0.852874703064748,69.55824,69.55824,1.0,0.2117322425899789,0.3256428396643102,2.354950164519448,0.29811191383108004,0.6969852539738973,0.11524420946626385,0.2713540623911714,0.3360804339740913,0.5518374309311401,0.657165531133709,0.21637794442267128,1.8997849658568517,0.270991945271985,0.2762709352304728,0.5485092401504517,0.3361809562341056,0.21564399483698035,0.11389601892395189,0.005648983034359107,1.7143224627034215,0.0036933238586980945,0.007694600500587198,0.005177953026569253
20.0,0.6426290999607586,0.6792244259387473,73.2192,73.2192,1.0,0.21809678698341076,0.32657141582197907,2.3567064679647083,0.2983904106424565,0.6968329634848229,0.11524420946626385,0.27207752982038635,0.3459222569551942,0.5639780980683976,0.6586329636248117,0.2173813243269768,1.9085945793427759,0.27009024495058015,0.2796727501573317,0.5309805274009705,0.3456937041941922,0.22190886996210263,0.11389601892395189,0.0053951842484288096,1.7147596758823056,0.003474221095258728,0.007432001070472959,0.003460211760263747
21.0,0.6443608819361636,0.7732764884050312,76.88016,76.88016,1.0,0.2143790445399688,0.3296138748939406,2.377312296028587,0.29807336065527335,0.6993060958513685,0.11524420946626385,0.27430708743814464,0.3399522357210208,0.5643769307409048,0.6575245082007907,0.2181096254234137,1.9149890179133038,0.2733545066257803,0.2785883526624267,0.5226091742515564,0.3399820705196375,0.2186688727266437,0.11389601892395189,0.005413701886745678,1.800845932779339,0.003263388477795589,0.007709678011200994,0.005005607600367392
22.0,0.641933130090057,0.7937446031365505,80.54112,80.54112,1.0,0.20586103105760908,0.3302291806485711,2.4477040257499034,0.30335052130452667,0.7011759119077499,0.11524420946626385,0.28180347901077324,0.3267812460287186,0.550076932898626,0.6560725491836857,0.21594379628635402,1.8959731720784656,0.27357085576812923,0.2780381130896595,0.5521964430809021,0.3263508462620782,0.21040452453639383,0.11389601892395189,0.005163533852135404,1.803603655196639,0.0031017864907202093,0.0073699741813122365,0.005207209248700318
23.0,0.641935594848202,1.0169020429246791,84.20208,84.20208,1.0,0.20763889623191456,0.3317366278459086,2.4532746144104056,0.30612195446749435,0.7025942678819347,0.11524420946626385,0.28288918314889555,0.3296330482278099,0.5667437643412038,0.6564205831288484,0.21673009238417112,1.9028768031732637,0.27323653824168287,0.2771618625277162,0.5145247578620911,0.3295388176869995,0.2126016394121715,0.11389601892395189,0.005344945683079431,1.9601301238690212,0.003067835774787352,0.007798235548251544,0.0048727463508882775
24.0,0.6405353973265179,0.9226128462301931,87.86304,87.86304,1.0,0.19972959153815628,0.33172455898622216,2.479480492795344,0.3085321706143798,0.7042979279023283,0.11524420946626385,0.2859881945425345,0.3143370133332666,0.5509903784904607,0.6557928093549035,0.215804961625647,1.894754212346434,0.2738860951935446,0.2761121856866538,0.5067332983016968,0.31371976868681406,0.205422641617665,0.11389601892395189,0.004728980836054928,1.8123687922452518,0.002770785956369275,0.006851368393918852,0.0050844012020867186
25.0,0.6509619735292358,1.3540286228925527,91.524,91.524,1.0,0.21084926139502694,0.333473177603376,2.4940719973892564,0.30310835598232494,0.7056803317352446,0.11524420946626385,0.288128649480969,0.33277212613046986,0.5576841439812633,0.6539347500794254,0.21419257618786386,1.8805975679525704,0.2706958927431368,0.2760978175124902,0.5405768752098083,0.33182813130885147,0.2166682830623088,0.11389601892395189,0.004495768627578344,1.7961556101217866,0.002694075611171822,0.006458897230160847,0.00399677039664596
